compound name	compound synonyms	target or activity of compound	gene symbol of protein target	status	tested concentrations	max conc for AUC
BRD-K14844214		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K16147474		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K17060750		product of diversity oriented synthesis		transcriptionally active	0.00200 - 67.0 uM	67
BRD-K19103580		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K24690302		inhibitor of HDAC1	HDAC1	probe	0.00200 - 66.0 uM	66
BRD-K27224038		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K27986637		product of diversity oriented synthesis; screening hit		probe	0.00200 - 66.0 uM	66
BRD-K29086754		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K29313308		inhibitor of HDAC3	HDAC3	probe	0.00200 - 66.0 uM	66
BRD-K30019337		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K30748066		inhibitor of CDK9	CDK9	probe	0.00200 - 66.0 uM	66
BRD-K33199242		product of diversity oriented synthesis		transcriptionally active	0.00200 - 67.0 uM	67
BRD-K33514849		screening hit		probe	0.00100 - 34.0 uM	34
BRD-K34099515		screening hit		probe	0.00200 - 66.0 uM	66
BRD-K34222889		analog of the natural product piperlongumine		probe	0.00170 - 66.0 uM	66
BRD-K34485477		product of diversity oriented synthesis		transcriptionally active	0.00100 - 33.0 uM	33
BRD-K35604418		inhibitor of MCL1	MCL1	probe	0.00200 - 270 uM	270
BRD-K37390332		product of diversity oriented synthesis		transcriptionally active	0.00100 - 33.0 uM	33
BRD-K41334119		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K41597374		product of diversity oriented synthesis		transcriptionally active	0.00200 - 67.0 uM	67
BRD-K42260513		inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	EZH2	probe	0.00200 - 66.0 uM	66
BRD-K44224150		product of diversity oriented synthesis		transcriptionally active	0.00100 - 34.0 uM	34
BRD-K45681478		product of diversity oriented synthesis; screening hit		probe	0.00200 - 66.0 uM	66
BRD-K48334597		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K48477130		screening hit		probe	0.00200 - 66.0 uM	66
BRD-K49290616		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K50799972		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K51490254		inhibitor of HDAC6 and HDAC8	HDAC6;HDAC8	probe	0.00200 - 66.0 uM	66
BRD-K51831558		inhibitor of enhancer of zeste polycomb repressive complex 2 subunit	EZH2	probe	0.00200 - 66.0 uM	66
BRD-K52037352		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K55116708		product of diversity oriented synthesis; inhibitor of leukemic stem cells		probe	0.00200 - 66.0 uM	66
BRD-K61166597		inhibitor of HDAC1 and HDAC2		probe	0.00200 - 66.0 uM	66
BRD-K63431240		product of diversity oriented synthesis; screening hit		probe	0.000910 - 66.0 uM	66
BRD-K64610608		product of diversity oriented synthesis; screening hit		probe	0.00100 - 33.0 uM	33
BRD-K66453893		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K66532283		inhibitor of HDAC1 and HDAC2	HDAC1;HDAC2	probe	0.00200 - 66.0 uM	66
BRD-K71781559		screening hit		probe	0.00200 - 66.0 uM	66
BRD-K75293299		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K78574327		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K80183349		inhibitor of HDAC1 and HDAC2	HDAC1;HDAC2	probe	0.00200 - 66.0 uM	66
BRD-K84807411		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K85133207		inhibitor of HDAC1	HDAC1	probe	0.00200 - 66.0 uM	66
BRD-K86535717		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K90370028		screening hit		probe	0.00100 - 33.0 uM	33
BRD-K92856060		screening hit		probe	0.00100 - 33.0 uM	33
BRD-K96431673		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K96970199		product of diversity oriented synthesis		transcriptionally active	0.00200 - 66.0 uM	66
BRD-K97651142		aphrocallistin derivative		probe	0.00200 - 66.0 uM	66
BRD-K99006945		screening hit		probe	0.00200 - 66.0 uM	66
BRD-M00053801		inhibitor of BCL2	BCL2	probe	0.00200 - 66.0 uM	66
BRD1378	BRD-K94991378	inducer of ROS		probe	0.00250 - 83.0 uM	83
BRD1812	BRD-K73261812	screening hit		probe	0.00200 - 66.0 uM	66
BRD1835	BRD-K62801835	product of diversity oriented synthesis; screening hit	EZH2	probe	0.00410 - 130 uM	130
BRD4132	BRD-K86574132	screening hit		probe	0.00490 - 160 uM	160
BRD5468	BRD-K71935468	inducer of ROS		probe	0.00250 - 83.0 uM	83
BRD6340	BRD-K35716340	screening hit		probe	0.00100 - 33.0 uM	33
BRD8899	BRD-K22828899	inhibitor of serine/threonine kinasase STK33	STK33	probe	0.00100 - 33.0 uM	33
BRD8958	BRD-K68548958	inhibitor of E1A binding protein p300	EP300	probe	0.00200 - 66.0 uM	66
BRD9647	BRD-K05649647	screening hit		probe	0.00100 - 33.0 uM	33
BRD9876	BRD-K89329876	screening hit		probe	0.00410 - 130 uM	130
brefeldin A	brefeldin A, BRD-A31107743	modulator of ADP-ribosylation factor 1; inhibitor of protein translocation from ER to Golgi	ARF1	probe	0.00110 - 37.0 uM	37
brivanib	BMS-582664, BRD-K28428262	inhibitor of VEGFR 1/2	FLT1;KDR	experimental	0.00200 - 66.0 uM	66
BYL-719	alpelisib, BRD-K54997624	inhibitor of PI3K catalytic subunit alpha	PIK3CA	experimental	0.00200 - 66.0 uM	66
C6-ceramide	BRD-K08608874	inhibitor of glucosylceramide synthase; activator of MAP kinase (ERK); stimulator of protein phosphatase 2A	MAPK1;PPP2CA;UGCG	probe	0.00200 - 66.0 uM	66
cabozantinib	cabozantinib s-malate, BMS-907351, XL184, cabozantinib, Cabozantinib, Cometriq, BRD-K51544265	"inhibitor of c-MET, VEGFR2/3, and RET"""	FLT3;KDR;MET;RET	approved	0.00200 - 66.0 uM	66
CAL-101	idelalisib, BRD-K60866521	inhibitor of PI3K catalytic subunit delta	PIK3CD	experimental	0.00200 - 66.0 uM	66
canertinib	Canertinib, CI-1033, PD-183805, PD183805, canertinib, BRD-K50168500	inhibitor of EGFR and HER2	EGFR;ERBB2	experimental	0.00200 - 66.0 uM	66
carboplatin	carboplatin, carboplatin, carboplatin, CARBOPLATIN, CBDCA, Carboplatin, JM 8,...			MISSING	0.00200 - 66.0 uM	66
CAY10576	CAY10576, IKK-3 inhibitor IX, BRD-K51781482	inhibitor of IKK-epsilon	IKBKE	probe	0.00200 - 66.0 uM	66
CAY10594	BRD2457, BRD-K61662457	inhibitor of phospholipase D2	PLD2	probe	0.00200 - 66.0 uM	66
CAY10618	BRD-K83289131	inhibitor of nicotinamide phosphoribosyltransferase	NAMPT	probe	0.00100 - 33.0 uM	33
CBB-1007	BRD-K84754008	inhibitor of lysine-specific demethylase 1A (LSD1)	KDM1A	probe	0.00200 - 66.0 uM	66
CCT036477	BRD7170, BRD-A22997170	inhibitor of WNT signaling by blocking beta-catenin transcription		probe	0.00100 - 33.0 uM	33
CD-1530	CD-1530, BRD-K25737009	agonist of retinoic acid receptor gamma	RARG	probe	0.00410 - 130 uM	130
CD-437	CD437, CD-437, AHPN, BRD-K28907958	agonist of retinoic acid receptor gamma	RARG	probe	0.00110 - 37.0 uM	37
cediranib	AZD2171, cediranib, BRD-K86930074	inhibitor of VEGFRs	FLT1;FLT4;KDR	experimental	0.00200 - 66.0 uM	66
ceranib-2	BRD-K31514534	inhibitor of ceramidase activity	ACER1;ACER2;ACER3;ASAH1;ASAH2;ASAH2B	probe	0.00200 - 66.0 uM	66
cerulenin	cerulinen, BRD-K52075040	inhibitor of fatty acid synthase; inhibitor of HMG-CoA synthase	FASN;HMGCS1	probe	0.00450 - 150 uM	150
Ch-55	CH55, BRD-K71487808	agonist of retinoid acid receptors	RARA;RARB;RARG	probe	0.00200 - 66.0 uM	66
CHIR-99021	CHIR-99021, CT99021, BRD-K16189898	inhibitor of GSK3 beta	GSK3B	probe	0.00240 - 80.0 uM	80
chlorambucil	chlorambucil, chlorambucil, CBL, Cbl348, CHL, chlorambucil, chlorambucilum, c...	DNA alkylator		approved	0.00810 - 270 uM	270
Compound 23 citrate	BRD2618, BRD-K67112618	analog of natural product cortistatin		probe	0.00100 - 33.0 uM	33
Compound 7d-cis	BRD9047, BRD-K61829047	inhibitor of CRM1-mediated nucleocytoplasmic transport	XPO1	probe	0.00100 - 33.0 uM	33
CR-1-31B	BRD-K23547378	silvestrol analog; inhibits translation by modulating the eIF4F complex	EIF4A2;EIF4E;EIF4G1	probe	0.00100 - 33.0 uM	33
crizotinib	PF-02341066, crizotinib, PF-2341066, Crizotinib, Xalkori, BRD-K78431006	inhibitor of c-MET and ALK	ALK;MET	approved	0.00200 - 66.0 uM	66
cucurbitacin I	BRD-A28105619	natural product; modulator of NFKB1 and STAT3 signaling		probe	0.00100 - 33.0 uM	33
curcumin	C.I. 75300, C.I. natural yellow 3, CI 75300, CI natural yellow 3, CU, cucurmi...	natural product; modulator of ROS; modulator of NF-kappa-B signaling		experimental	0.00510 - 170 uM	170
cyanoquinoline 11	Cyanoquinoline, 11, BRD-K00088062	inhibitor of MAP3K8; inhibitor of phosphorylated EGFR in cells	MAP3K8	experimental	0.00410 - 130 uM	130
cyclophosphamide	cyclophosphamide, cyclophosphamide, cyclophosphamide, cyclophosphamide, ciclo...	DNA alkylator		approved	0.00410 - 130 uM	130
cytarabine	cytarabine hydrochloride, cytarabine, cytarabine, cytarabine, cytarabine hydr...	inducer of DNA damage		approved	0.00200 - 66.0 uM	66
cytochalasin B	cytochalasin b, cytochalasin_B, cytochalasin B, BRD-K26664453	inhibitor of actin polymerization		probe	0.00100 - 33.0 uM	33
dabrafenib	dabrafenib mesylate, GSK2118436, Tafinlar, BRD-K09951645	inhibitor of BRAF	BRAF	experimental	0.00200 - 66.0 uM	66
dacarbazine	BRD-K35520305	DNA alkylator		approved	0.00200 - 66.0 uM	66
dactolisib	NVP-BEZ235, BEZ235, BRD-K12184916	inhibitor of PI3K and mTOR kinase activity	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	experimental	0.000510 - 17.0 uM	17
daporinad	FK866, daporinad, APO866, FK-866, BRD0667, BRD-K58550667	inhibitor of nicotinamide phosphoribosyltransferase	NAMPT	experimental	0.00000790 - 2.00 uM	2
darinaparsin	BRD-K35723520	inducer of ROS; inhibitor of microtubule assembly		experimental	0.00100 - 33.0 uM	33
dasatinib	BMS-354825, Dasatinib, BMS354825, Sprycel, BRD-K49328571	"inhibitor of SRC, YES1, EPHA2, c-KIT, and LCK"""	EPHA2;KIT;LCK;SRC;YES1	approved	0.00200 - 66.0 uM	66
DBeQ	BRD-K59204667	inhibitor of p97 in cells	VCP	probe	0.00200 - 66.0 uM	66
decitabine	decitabine, BRD-K79254416	inhibitor of DNA methyltransferase	DNMT1	approved	0.00200 - 66.0 uM	66
dexamethasone	Decadron, dexamethasone, BRD-A35108200	agonist of glucocorticoid receptor	NR3C1	approved	0.00100 - 33.0 uM	33
dinaciclib	SCH-727965, dinaciclib, BRD-K13662825	inhibitor of cyclin-dependent kinases	CDK1;CDK2;CDK5;CDK9	experimental	0.00200 - 66.0 uM	66
DNMDP	compound 1B, BRD-A42556028, BRD-K01825500	screening hit		probe	0.00200 - 66.0 uM	66
docetaxel	docetaxel, Docetaxel, BRD-A05821830	inhibitor of microtubule assembly		approved	0.00200 - 66.0 uM	66
doramapimod	BIRB-796, BIRB 796, doramapimod, Doramapimod, BRD-K74065929	inhibitor of p38 MAPK	MAPK11;MAPK11;MAPK14	probe	0.00200 - 66.0 uM	66
doxorubicin	doxorubicin, doxorubicin, doxorubicin, doxorubicin hydrochloride, adriblastin...	inhibitor of topoisomerase II	TOP2A	approved	0.00200 - 66.0 uM	66
ELCPK	BRD-K44847641	screening hit		probe	0.0000120 - 0.400 uM	0.4
elocalcitol	BXL-628, BXL 628, BRD-A04287157	agonist of vitamin D receptor	VDR	experimental	0.00200 - 66.0 uM	66
entinostat	MS-275, MS 27-275, MS-27-275, MS-275, MS275, entinostat, BRD-K77908580	"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8"""	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8	experimental	0.00200 - 66.0 uM	66
epigallocatechin-3-monogallate	(-)-epigallocatechol gallate, EGCG, EPIGALLOCATECHIN-3-MONOGALLATE, epigalloc...	natural product		probe	0.00900 - 300 uM	300
erastin	BRD-A25004090	modulator of voltage-dependent anion channels; inhibitor of solute carrier SLC7A11	SLC7A11;VDAC1;VDAC2	probe	0.00200 - 66.0 uM	66
erlotinib	NSC718781, CP-358774, Erlotinib Hydrochloride, NSC 718781, OSI-774, Tarceva, BRD-K70401845	inhibitor of EGFR and HER2	EGFR;ERBB2	approved	0.00200 - 66.0 uM	66
etomoxir	BRD-K81335284	inhibitor of carnitine palmitoyltransferase	CPT1A	experimental	0.00900 - 300 uM	300
etoposide	etoposide, etoposide, etoposide, etoposide, trans-etoposide, VP 16213, VP-16,...	inhibitor of topoisomerase II	TOP2A	approved	0.000860 - 28.0 uM	28
ETP-46464	BRD-K24556407	inhibitor of serine/threonine-protein kinase ATR	ATM;ATR	probe	0.00200 - 66.0 uM	66
EX-527	EX-527, SEN0014196, BRD-K76964878	inhibitor of sirtuin 1	SIRT1	experimental	0.00240 - 80.0 uM	80
fedratinib	TG-101348, SAR302503, TG-101348, TG-101348, BRD-K12502280	inhibitor of Janus kinase 2	JAK2	experimental	0.00110 - 37.0 uM	37
FGIN-1-27	FGIN-1-27, N,N-Dihexyl-2-(4-fluorophenyl)indole-3-acetamide[FGIN-1-27], BRD-K09778810	activator of peripheral benzodiazepine receptor/translocator protein	TSPO	probe	0.00100 - 33.0 uM	33
fingolimod	FTY720, fingolimod, Gilenya, BRD-K88025533	inhibitor of sphingosine 1-phosphate receptor	S1PR1	approved	0.00200 - 66.0 uM	66
fluorouracil	fluorouracil, fluorouracil, fluorouracil, fluorouracil, 5-FU, FU, 5-fluoroura...	pyrimidine analog; inhibitor of thymidylate synthase	TYMS	approved	0.00410 - 130 uM	130
foretinib	GSK1363089, XL880, EXEL-2880, GSK089, EXEL-288, foretinib, BRD-K03449891	inhibitor of MET and VEGFR2	KDR;MET	experimental	0.00200 - 66.0 uM	66
FQI-1	BRD-A91658086	inhibitor of LSF1-mediated transcription		probe	0.00100 - 33.0 uM	33
FQI-2	BRD-K35498412	inhibitor of LSF1-mediated transcription		probe	0.00100 - 33.0 uM	33
FSC231	BRD-K24784241	inhibitor of PDZ domain of protein interacting with PRKCA 1 (PICK1)	PICK1	probe	0.00810 - 270 uM	270
fulvestrant	Faslodex, BRD-A85667082	antagonist of the estrogen receptor	ESR1;GPER1	approved	0.00200 - 66.0 uM	66
fumonisin B1	BRD-A63646118	inhibitor of ceramide synthase	CERS1;CERS2;CERS3;CERS4;CERS5;CERS6	probe	0.0150 - 500 uM	500
GANT-61	BRD-K09485525	inhibitor of hedgehog signaling pathway		probe	0.00200 - 66.0 uM	66
GDC-0879	BRD-K67578145	inhibitor of BRAF	BRAF	probe	0.00200 - 66.0 uM	66
GDC-0941	BRD-K52911425	inhibitor of PI3K kinase activity	PIK3CA;PIK3CB;PIK3CD;PIK3CG	experimental	0.00200 - 66.0 uM	66
gefitinib	gefitinib, gefitinib, ZD1839, ZD-1839, Gefitinib, Iressa, Irressat, BRD-K64052750	inhibitor of EGFR and AKT1	AKT1;EGFR	approved	0.00200 - 66.0 uM	66
gemcitabine	Gemcitabine Hydrochloride, gemcitabine, Gemcitabine, Gemzar, Tabicad, gemcitabine, BRD-K15108141	"inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase """	CMPK1;RRM1;TYMS	approved	0.00100 - 33.0 uM	33
glutaminase inhibitor 968	968, AG-690/36107028, BRD-A43210826	inhibitor of glutaminase	GLS	probe	0.00200 - 66.0 uM	66
GMX1778	GMX-1778, CHS-828, GMX-1778, GMX-1778, BRD-K47335880	inhibitor of nicotinamide phosphoribosyltransferase	NAMPT	experimental	0.00000870 - 0.300 uM	0.3
gossypol	GOSSYPOL-ACETIC ACID COMPLEX, acetic acid gossypol, gossypol, GOSSYPOL, gossy	inhibitor of lactate dehydrogenase; inhibitor of BCL2 family members	BCL2;BCL2L1;LDHA;LDHB;LDHC	experimental	0.00110 - 37.0 uM	37
GSK-3 inhibitor IX	6-bromoindirubin-3-oxime, GSK-3 inhibitor IX, 6BIO, BIO, GSK-3-inhibitor-IX, BRD-K04923131	inhibitor of JAK/STAT signaling		probe	0.00200 - 66.0 uM	66
GSK-J4	BRD-K98203492	inhibitor of lysine-specific demethylases	KDM6A;KDM6B	probe	0.00200 - 66.0 uM	66
GSK1059615	BRD-K06750613	inhibitor of PI3K and mTOR kinase activity	MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG	experimental	0.00100 - 33.0 uM	33
GSK2636771	BRD-K49215523	inhibitor of PI3K catalytic subunit beta	PIK3CB	experimental	0.00200 - 66.0 uM	66
GSK4112	BRD-K78667050	antagonist of Rev-ErbAalpha	NR1D1	probe	0.00200 - 66.0 uM	66
