node_from	node_to	weight
chr1:2927637-2944794	chr1:3343970-3346908	1
chr1:2927637-2944794	chr1:3346909-3363739	1
chr1:2927637-2944794	chr1:3363740-3369034	1
chr1:3470648-3481073	chr1:2420090-2426369	1
chr1:6553634-6581701	chr1:6585869-6593669	1
chr1:6614862-6634284	chr1:6675893-6682118	1
chr1:6614862-6634284	chr1:6682119-6683583	1
chr1:6614862-6634284	chr1:7279196-7281793	1
chr1:6808226-6817296	chr1:7071461-7078881	1
chr1:6808226-6817296	chr1:7279196-7281793	1
chr1:7279196-7281793	chr1:6551345-6553633	1
chr1:7279196-7281793	chr1:6783066-6787866	1
chr1:7279196-7281793	chr1:6838765-6840502	1
chr1:7279196-7281793	chr1:6945025-6948369	1
chr1:7279196-7281793	chr1:6948370-6951771	1
chr1:7279196-7281793	chr1:6951772-6959418	1
chr1:7279196-7281793	chr1:7099368-7102005	1
chr1:7279196-7281793	chr1:7102006-7102603	1
chr1:7279196-7281793	chr1:7102604-7105313	1
chr1:7279196-7281793	chr1:7107975-7116846	1
chr1:7279196-7281793	chr1:7597707-7598132	1
chr1:7279196-7281793	chr1:7611665-7615356	1
chr1:7279196-7281793	chr1:7632861-7645490	1
chr1:7279196-7281793	chr1:7645491-7652743	1
chr1:7279196-7281793	chr1:7705064-7718367	1
chr1:7500933-7503257	chr1:7066843-7070256	1
chr1:7500933-7503257	chr1:7597707-7598132	1
chr1:7500933-7503257	chr1:7705064-7718367	1
chr1:8265143-8268856	chr1:8078323-8078938	1
chr1:8265143-8268856	chr1:8099040-8100797	1
chr1:8265143-8268856	chr1:8143930-8145402	1
chr1:8265143-8268856	chr1:8156250-8157012	1
chr1:8265143-8268856	chr1:8157013-8157893	1
chr1:8351923-8354157	chr1:8052131-8061078	1
chr1:8351923-8354157	chr1:8061079-8066528	1
chr1:8351923-8354157	chr1:8066529-8071951	1
chr1:8351923-8354157	chr1:8071952-8073015	1
chr1:8351923-8354157	chr1:8073016-8074057	1
chr1:8351923-8354157	chr1:8078323-8078938	1
chr1:8351923-8354157	chr1:8099040-8100797	1
chr1:8571654-8573207	chr1:8073016-8074057	1
chr1:8571654-8573207	chr1:8446156-8453976	1
chr1:8571654-8573207	chr1:8777515-8786832	1
chr1:8571654-8573207	chr1:8790116-8793643	1
chr1:8571654-8573207	chr1:8802965-8808577	1
chr1:8571654-8573207	chr1:8823082-8824314	1
chr1:8571654-8573207	chr1:8849437-8851984	1
chr1:8571654-8573207	chr1:8906170-8917372	1
chr1:9082025-9091716	chr1:9145897-9148200	1
chr1:9205544-9214053	chr1:9633248-9634745	1
chr1:9205544-9214053	chr1:9639705-9641495	1
chr1:9336978-9341933	chr1:9498857-9502487	1
chr1:9336978-9341933	chr1:9502488-9512513	1
chr1:9336978-9341933	chr1:9512514-9528023	1
chr1:9336978-9341933	chr1:9530811-9541282	1
chr1:9336978-9341933	chr1:9556069-9575001	1
chr1:9336978-9341933	chr1:9575002-9587134	1
chr1:9336978-9341933	chr1:9587135-9593481	1
chr1:9336978-9341933	chr1:9593482-9598276	1
chr1:9336978-9341933	chr1:9614151-9617427	1
chr1:9336978-9341933	chr1:9619751-9621770	1
chr1:9336978-9341933	chr1:9621771-9628974	1
chr1:9336978-9341933	chr1:9633248-9634745	1
chr1:9336978-9341933	chr1:9634746-9639704	1
chr1:9336978-9341933	chr1:9639705-9641495	1
chr1:9336978-9341933	chr1:9649793-9651338	1
chr1:9336978-9341933	chr1:9668908-9674426	1
chr1:10221034-10226462	chr1:9978498-9985581	1
chr1:10221034-10226462	chr1:10344000-10351185	1
chr1:10221034-10226462	chr1:10362376-10366235	1
chr1:10221034-10226462	chr1:10383893-10386967	1
chr1:10221034-10226462	chr1:10386968-10388362	1
chr1:10221034-10226462	chr1:10399524-10399824	1
chr1:10221034-10226462	chr1:10399825-10405839	1
chr1:10221034-10226462	chr1:10418315-10425863	1
chr1:10355588-10362375	chr1:10186733-10187478	1
chr1:10355588-10362375	chr1:10187479-10189210	1
chr1:10494029-10510019	chr1:10969541-10977347	1
chr1:10517783-10519585	chr1:10969541-10977347	1
chr1:11039443-11046834	chr1:10584312-10589923	1
chr1:11039443-11046834	chr1:10597535-10598680	1
chr1:11039443-11046834	chr1:10599974-10600450	1
chr1:11085726-11113120	chr1:11700882-11704791	1
chr1:11192293-11204078	chr1:11700882-11704791	1
chr1:11192293-11204078	chr1:19475026-19479384	1
chr1:11228704-11246524	chr1:11248311-11249465	1
chr1:11248311-11249465	chr1:11122976-11125911	1
chr1:11248311-11249465	chr1:11192293-11204078	1
chr1:11248311-11249465	chr1:11228704-11246524	1
chr1:11285314-11287968	chr1:11122976-11125911	1
chr1:11285314-11287968	chr1:11192293-11204078	1
chr1:11285314-11287968	chr1:11679034-11680689	1
chr1:11837145-11851241	chr1:11826283-11830115	1
chr1:11837145-11851241	chr1:11830116-11832760	1
chr1:11901356-11913795	chr1:11039443-11046834	1
chr1:11901356-11913795	chr1:11879068-11884142	1
chr1:11901356-11913795	chr1:11948873-11953287	1
chr1:11901356-11913795	chr1:12041914-12044139	1
chr1:12566709-12567962	chr1:12156607-12157956	1
chr1:12566709-12567962	chr1:12333399-12337089	1
chr1:12566709-12567962	chr1:12363249-12363426	1
chr1:12566709-12567962	chr1:12370513-12372881	1
chr1:12566709-12567962	chr1:12372882-12378990	1
chr1:12566709-12567962	chr1:12399260-12399843	1
chr1:12566709-12567962	chr1:12399844-12401170	1
chr1:12566709-12567962	chr1:12407781-12420692	1
chr1:12566709-12567962	chr1:12441329-12447752	1
chr1:12566709-12567962	chr1:12458479-12462632	1
chr1:12566709-12567962	chr1:12462633-12467935	1
chr1:12566709-12567962	chr1:12467936-12470068	1
chr1:12566709-12567962	chr1:12479572-12484818	1
chr1:12566709-12567962	chr1:12488132-12494813	1
chr1:12566709-12567962	chr1:12513221-12520791	1
chr1:12566709-12567962	chr1:12538964-12540016	1
chr1:12566709-12567962	chr1:12540456-12548821	1
chr1:12566709-12567962	chr1:12548975-12554927	1
chr1:12566709-12567962	chr1:12554928-12563683	1
chr1:12566709-12567962	chr1:12579447-12581493	1
chr1:12566709-12567962	chr1:12644205-12647788	1
chr1:12566709-12567962	chr1:12691644-12696496	1
chr1:12627258-12642357	chr1:12156607-12157956	1
chr1:12627258-12642357	chr1:12333399-12337089	1
chr1:12627258-12642357	chr1:12363249-12363426	1
chr1:12627258-12642357	chr1:12370513-12372881	1
chr1:12627258-12642357	chr1:12372882-12378990	1
chr1:12627258-12642357	chr1:12399260-12399843	1
chr1:12627258-12642357	chr1:12399844-12401170	1
chr1:12627258-12642357	chr1:12441329-12447752	1
chr1:12627258-12642357	chr1:12458479-12462632	1
chr1:12627258-12642357	chr1:12462633-12467935	1
chr1:12627258-12642357	chr1:12467936-12470068	1
chr1:12627258-12642357	chr1:12488132-12494813	1
chr1:12627258-12642357	chr1:12644205-12647788	1
chr1:12700924-12716452	chr1:12156607-12157956	1
chr1:12700924-12716452	chr1:12173246-12178576	1
chr1:12700924-12716452	chr1:12181563-12186991	1
chr1:12700924-12716452	chr1:12274908-12280033	1
chr1:12700924-12716452	chr1:12303698-12317592	1
chr1:12700924-12716452	chr1:12317593-12324400	1
chr1:12700924-12716452	chr1:12333399-12337089	1
chr1:12700924-12716452	chr1:12340466-12349599	1
chr1:12700924-12716452	chr1:12363249-12363426	1
chr1:12700924-12716452	chr1:12363863-12370166	1
chr1:12700924-12716452	chr1:12370513-12372881	1
chr1:12700924-12716452	chr1:12372882-12378990	1
chr1:12700924-12716452	chr1:12399260-12399843	1
chr1:12700924-12716452	chr1:12399844-12401170	1
chr1:12700924-12716452	chr1:12407781-12420692	1
chr1:12700924-12716452	chr1:12441329-12447752	1
chr1:12700924-12716452	chr1:12458479-12462632	1
chr1:12700924-12716452	chr1:12462633-12467935	1
chr1:12700924-12716452	chr1:12467936-12470068	1
chr1:12700924-12716452	chr1:12479572-12484818	1
chr1:12700924-12716452	chr1:12488132-12494813	1
chr1:12773296-12776419	chr1:13833669-13837794	1
chr1:12794756-12801844	chr1:14099687-14108178	1
chr1:12832196-12836206	chr1:12773296-12776419	1
chr1:15495408-15502593	chr1:15569793-15572273	1
chr1:15495408-15502593	chr1:15581327-15587836	1
chr1:15495408-15502593	chr1:15589889-15606755	1
chr1:15495408-15502593	chr1:15606756-15608807	1
chr1:15495408-15502593	chr1:15609857-15618224	1
chr1:15495408-15502593	chr1:15636059-15644350	1
chr1:15495408-15502593	chr1:15646859-15650000	1
chr1:15495408-15502593	chr1:15739272-15745983	1
chr1:15495408-15502593	chr1:15760937-15763810	1
chr1:15659242-15665924	chr1:15650958-15657291	1
chr1:15659242-15665924	chr1:15739272-15745983	1
chr1:15659242-15665924	chr1:15745984-15760936	1
chr1:15659242-15665924	chr1:15760937-15763810	1
chr1:15659242-15665924	chr1:15763811-15767301	1
chr1:15659242-15665924	chr1:15816682-15819395	1
chr1:15667944-15673815	chr1:15414612-15416215	1
chr1:15667944-15673815	chr1:15717222-15718121	1
chr1:15667944-15673815	chr1:15739272-15745983	1
chr1:15667944-15673815	chr1:15745984-15760936	1
chr1:15667944-15673815	chr1:15760937-15763810	1
chr1:15667944-15673815	chr1:15763811-15767301	1
chr1:15763811-15767301	chr1:15438399-15444089	1
chr1:15763811-15767301	chr1:15445159-15448433	1
chr1:15763811-15767301	chr1:15495408-15502593	1
chr1:15763811-15767301	chr1:15606756-15608807	1
chr1:15763811-15767301	chr1:15636059-15644350	1
chr1:15763811-15767301	chr1:15646859-15650000	1
chr1:15763811-15767301	chr1:15650958-15657291	1
chr1:15763811-15767301	chr1:15659242-15665924	1
chr1:15763811-15767301	chr1:15665925-15667943	1
chr1:15763811-15767301	chr1:15667944-15673815	1
chr1:15763811-15767301	chr1:15673816-15682713	1
chr1:15779730-15788479	chr1:15495408-15502593	1
chr1:15779730-15788479	chr1:15650958-15657291	1
chr1:15779730-15788479	chr1:15659242-15665924	1
chr1:15779730-15788479	chr1:15667944-15673815	1
chr1:15779730-15788479	chr1:15763811-15767301	1
chr1:15855326-15870456	chr1:15892653-15893973	1
chr1:15855326-15870456	chr1:15981316-15985643	1
chr1:15855326-15870456	chr1:15986909-15988469	1
chr1:15855326-15870456	chr1:16048416-16055395	1
chr1:15855326-15870456	chr1:16055396-16059769	1
chr1:15855326-15870456	chr1:16059770-16064295	1
chr1:15932824-15936842	chr1:15855326-15870456	1
chr1:15932824-15936842	chr1:16042430-16047938	1
chr1:15932824-15936842	chr1:16048416-16055395	1
chr1:15932824-15936842	chr1:16055396-16059769	1
chr1:15932824-15936842	chr1:16059770-16064295	1
chr1:15985644-15986908	chr1:15855326-15870456	1
chr1:15985644-15986908	chr1:15881526-15889707	1
chr1:15985644-15986908	chr1:15889708-15892652	1
chr1:15985644-15986908	chr1:15892653-15893973	1
chr1:15985644-15986908	chr1:15893974-15904570	1
chr1:15985644-15986908	chr1:15904571-15905902	1
chr1:15985644-15986908	chr1:16042430-16047938	1
chr1:15985644-15986908	chr1:16048416-16055395	1
chr1:15985644-15986908	chr1:16059770-16064295	1
chr1:16059770-16064295	chr1:15855326-15870456	1
chr1:16059770-16064295	chr1:15889708-15892652	1
chr1:16059770-16064295	chr1:15892653-15893973	1
chr1:16059770-16064295	chr1:15904571-15905902	1
chr1:16059770-16064295	chr1:15915580-15920005	1
chr1:16059770-16064295	chr1:15920857-15923636	1
chr1:16059770-16064295	chr1:15932824-15936842	1
chr1:16059770-16064295	chr1:15985644-15986908	1
chr1:16059770-16064295	chr1:15986909-15988469	1
chr1:16059770-16064295	chr1:16048416-16055395	1
chr1:16059770-16064295	chr1:16331358-16347268	1
chr1:16064296-16081772	chr1:15659242-15665924	1
chr1:16064296-16081772	chr1:15855326-15870456	1
chr1:16064296-16081772	chr1:15932824-15936842	1
chr1:16064296-16081772	chr1:15985644-15986908	1
chr1:16064296-16081772	chr1:16232922-16239426	1
chr1:16064296-16081772	chr1:16331358-16347268	1
chr1:16064296-16081772	chr1:16485103-16490906	1
chr1:16064296-16081772	chr1:16516866-16525321	1
chr1:16232922-16239426	chr1:15892653-15893973	1
chr1:16232922-16239426	chr1:16128285-16138736	1
chr1:16232922-16239426	chr1:16197296-16199875	1
chr1:16232922-16239426	chr1:16199876-16202541	1
chr1:16232922-16239426	chr1:16202542-16203690	1
chr1:16232922-16239426	chr1:16250568-16255439	1
chr1:16232922-16239426	chr1:16257070-16258325	1
chr1:16232922-16239426	chr1:16316134-16321495	1
chr1:16232922-16239426	chr1:16380563-16391162	1
chr1:16321496-16331357	chr1:16128285-16138736	1
chr1:16321496-16331357	chr1:16232922-16239426	1
chr1:16321496-16331357	chr1:16380563-16391162	1
chr1:16321496-16331357	chr1:16393181-16393463	1
chr1:16321496-16331357	chr1:16516866-16525321	1
chr1:16331358-16347268	chr1:16105129-16107123	1
chr1:16331358-16347268	chr1:16107124-16113963	1
chr1:16331358-16347268	chr1:16128285-16138736	1
chr1:16331358-16347268	chr1:16197296-16199875	1
chr1:16331358-16347268	chr1:16199876-16202541	1
chr1:16331358-16347268	chr1:16257070-16258325	1
chr1:16331358-16347268	chr1:16380563-16391162	1
chr1:16331358-16347268	chr1:16393181-16393463	1
chr1:16331358-16347268	chr1:16516866-16525321	1
chr1:16331358-16347268	chr1:16525322-16530289	1
chr1:16331358-16347268	chr1:16538420-16542892	1
chr1:16331358-16347268	chr1:16555003-16560581	1
chr1:16331358-16347268	chr1:16682250-16690066	1
chr1:16331358-16347268	chr17:64227660-64229298	1
chr1:16358634-16372517	chr1:15495408-15502593	1
chr1:16358634-16372517	chr1:15855326-15870456	1
chr1:16358634-16372517	chr1:15932824-15936842	1
chr1:16358634-16372517	chr1:15985644-15986908	1
chr1:16358634-16372517	chr1:16059770-16064295	1
chr1:16358634-16372517	chr1:16232922-16239426	1
chr1:16358634-16372517	chr1:16331358-16347268	1
chr1:16358634-16372517	chr1:16485103-16490906	1
chr1:16358634-16372517	chr1:16516866-16525321	1
chr1:16358634-16372517	chr1:16538420-16542892	1
chr1:16358634-16372517	chr1:16555003-16560581	1
chr1:16358634-16372517	chr1:16763583-16765770	1
chr1:16485103-16490906	chr1:16393181-16393463	1
chr1:16485103-16490906	chr1:16682250-16690066	1
chr1:16485103-16490906	chr1:16695287-16699687	1
chr1:16516866-16525321	chr1:16107124-16113963	1
chr1:16516866-16525321	chr1:16331358-16347268	1
chr1:16516866-16525321	chr1:16380563-16391162	1
chr1:16516866-16525321	chr1:16393181-16393463	1
chr1:16516866-16525321	chr1:16393464-16395666	1
chr1:16516866-16525321	chr1:16408326-16424852	1
chr1:16516866-16525321	chr1:16436753-16447915	1
chr1:16516866-16525321	chr1:16447916-16450459	1
chr1:16516866-16525321	chr1:16452016-16454405	1
chr1:16516866-16525321	chr1:16564477-16570148	1
chr1:16516866-16525321	chr1:16572294-16574199	1
chr1:16516866-16525321	chr1:16574465-16580873	1
chr1:16516866-16525321	chr1:16674553-16677335	1
chr1:16516866-16525321	chr1:16682250-16690066	1
chr1:16516866-16525321	chr1:16695287-16699687	1
chr1:16538420-16542892	chr1:16380563-16391162	1
chr1:16538420-16542892	chr1:16393181-16393463	1
chr1:16538420-16542892	chr1:16393464-16395666	1
chr1:16538420-16542892	chr1:16408326-16424852	1
chr1:16538420-16542892	chr1:16572294-16574199	1
chr1:16538420-16542892	chr1:16674553-16677335	1
chr1:16538420-16542892	chr1:16682250-16690066	1
chr1:16538420-16542892	chr1:16695287-16699687	1
chr1:16538420-16542892	chr1:16759564-16763582	1
chr1:16538420-16542892	chr1:234916041-234921527	1
chr1:16555003-16560581	chr1:16331358-16347268	1
chr1:16555003-16560581	chr1:16393181-16393463	1
chr1:16555003-16560581	chr1:16393464-16395666	1
chr1:16555003-16560581	chr1:16516866-16525321	1
chr1:16555003-16560581	chr1:16538420-16542892	1
chr1:16555003-16560581	chr1:16682250-16690066	1
chr1:16555003-16560581	chr1:16763583-16765770	1
chr1:16763583-16765770	chr1:16393181-16393463	1
chr1:16763583-16765770	chr1:16538420-16542892	1
chr1:16763583-16765770	chr1:16574465-16580873	1
chr1:16763583-16765770	chr1:16695287-16699687	1
chr1:16763583-16765770	chr1:16719539-16726150	1
chr1:16763583-16765770	chr1:234916041-234921527	1
chr1:17297144-17307321	chr1:17366817-17370002	1
chr1:17297144-17307321	chr1:17573271-17575857	1
chr1:17530817-17533093	chr1:17387432-17392367	1
chr1:17530817-17533093	chr1:17399401-17407313	1
chr1:17530817-17533093	chr1:17458607-17462960	1
chr1:17530817-17533093	chr1:17466184-17482493	1
chr1:17530817-17533093	chr1:17513778-17527000	1
chr1:17530817-17533093	chr1:17913601-17925401	1
chr1:17573271-17575857	chr1:17280950-17282496	1
chr1:17573271-17575857	chr1:17296687-17297143	1
chr1:17573271-17575857	chr1:17340728-17345384	1
chr1:17573271-17575857	chr1:17366817-17370002	1
chr1:17573271-17575857	chr1:17387432-17392367	1
chr1:17573271-17575857	chr1:17399401-17407313	1
chr1:17573271-17575857	chr1:17407314-17415945	1
chr1:17573271-17575857	chr1:17415946-17435910	1
chr1:17573271-17575857	chr1:17435911-17440652	1
chr1:17573271-17575857	chr1:17458607-17462960	1
chr1:17573271-17575857	chr1:17466184-17482493	1
chr1:17573271-17575857	chr1:17664971-17667282	1
chr1:17573271-17575857	chr1:17685885-17697587	1
chr1:17573271-17575857	chr1:17697588-17701265	1
chr1:17573271-17575857	chr1:17701582-17706081	1
chr1:17573271-17575857	chr1:17710723-17714179	1
chr1:17573271-17575857	chr1:17715833-17724564	1
chr1:17573271-17575857	chr1:17724565-17728738	1
chr1:17573271-17575857	chr1:17728739-17733875	1
chr1:17573271-17575857	chr1:17747484-17751755	1
chr1:17573271-17575857	chr1:234916041-234921527	1
chr1:17728739-17733875	chr1:17387432-17392367	1
chr1:17728739-17733875	chr1:17458607-17462960	1
chr1:17728739-17733875	chr1:17573271-17575857	1
chr1:17773612-17779452	chr1:17530817-17533093	1
chr1:17773612-17779452	chr1:17573271-17575857	1
chr1:17773612-17779452	chr1:18504333-18508604	1
chr1:17773612-17779452	chr1:18806440-18810128	1
chr1:18504333-18508604	chr1:18009051-18011533	1
chr1:18504333-18508604	chr1:18013272-18014070	1
chr1:19834133-19846538	chr1:19710268-19711146	1
chr1:19834133-19846538	chr1:19732737-19733372	1
chr1:19834133-19846538	chr1:19792155-19795633	1
chr1:19834133-19846538	chr1:19813226-19813400	1
chr1:19834133-19846538	chr1:19908067-19908638	1
chr1:19852468-19871393	chr1:19834133-19846538	1
chr1:19965667-19968102	chr1:19211165-19214734	1
chr1:19965667-19968102	chr1:19443297-19446427	1
chr1:19965667-19968102	chr1:19544827-19547192	1
chr1:19965667-19968102	chr1:19585354-19589637	1
chr1:19965667-19968102	chr1:19608913-19611759	1
chr1:19965667-19968102	chr1:19651533-19653952	1
chr1:19965667-19968102	chr1:19654146-19660144	1
chr1:19965667-19968102	chr1:19660145-19665358	1
chr1:19965667-19968102	chr1:19665359-19666592	1
chr1:19965667-19968102	chr1:19666593-19670827	1
chr1:19965667-19968102	chr1:19674563-19685763	1
chr1:19965667-19968102	chr1:19685764-19690131	1
chr1:19965667-19968102	chr1:19690132-19698612	1
chr1:19965667-19968102	chr1:19698613-19702884	1
chr1:19965667-19968102	chr1:19702885-19710267	1
chr1:19965667-19968102	chr1:19710268-19711146	1
chr1:19965667-19968102	chr1:19711147-19719770	1
chr1:19965667-19968102	chr1:19719771-19720188	1
chr1:19965667-19968102	chr1:19722137-19724925	1
chr1:19965667-19968102	chr1:19724926-19727864	1
chr1:19965667-19968102	chr1:19727865-19729163	1
chr1:19965667-19968102	chr1:19729164-19732736	1
chr1:19965667-19968102	chr1:19732737-19733372	1
chr1:19965667-19968102	chr1:19733373-19736100	1
chr1:19965667-19968102	chr1:19736101-19737008	1
chr1:19965667-19968102	chr1:19737852-19744434	1
chr1:19965667-19968102	chr1:19744435-19745873	1
chr1:19965667-19968102	chr1:19745874-19749748	1
chr1:19965667-19968102	chr1:19749749-19753796	1
chr1:19965667-19968102	chr1:19753797-19756964	1
chr1:19965667-19968102	chr1:19760201-19769046	1
chr1:19965667-19968102	chr1:19769825-19774452	1
chr1:19965667-19968102	chr1:19774453-19778569	1
chr1:19965667-19968102	chr1:19778570-19784798	1
chr1:19965667-19968102	chr1:19792155-19795633	1
chr1:19965667-19968102	chr1:19795634-19807996	1
chr1:19965667-19968102	chr1:19808352-19810058	1
chr1:19965667-19968102	chr1:19810059-19810352	1
chr1:19965667-19968102	chr1:19813226-19813400	1
chr1:19965667-19968102	chr1:19813401-19818777	1
chr1:19965667-19968102	chr1:19818778-19829502	1
chr1:20140001-20141953	chr1:20063822-20064586	1
chr1:20140001-20141953	chr1:20064587-20065675	1
chr1:20140001-20141953	chr1:20084531-20084897	1
chr1:20247143-20260754	chr1:20458341-20473891	1
chr1:20247143-20260754	chr1:20488073-20493459	1
chr1:20247143-20260754	chr1:20503783-20504897	1
chr1:20247143-20260754	chr1:20519797-20521634	1
chr1:20301548-20307716	chr1:20444530-20457757	1
chr1:20301548-20307716	chr1:20458341-20473891	1
chr1:20301548-20307716	chr1:20473892-20476062	1
chr1:20301548-20307716	chr1:20476063-20478373	1
chr1:20301548-20307716	chr1:20503783-20504897	1
chr1:20301548-20307716	chr1:20519797-20521634	1
chr1:20301548-20307716	chr1:20644901-20650388	1
chr1:20458341-20473891	chr1:20233727-20239536	1
chr1:20458341-20473891	chr1:20247143-20260754	1
chr1:20458341-20473891	chr1:20260755-20265673	1
chr1:20458341-20473891	chr1:20301548-20307716	1
chr1:20458341-20473891	chr1:20307717-20309915	1
chr1:20458341-20473891	chr1:20309916-20318424	1
chr1:20458341-20473891	chr1:20476063-20478373	1
chr1:20503783-20504897	chr1:20233727-20239536	1
chr1:20503783-20504897	chr1:20247143-20260754	1
chr1:20503783-20504897	chr1:20307717-20309915	1
chr1:20503783-20504897	chr1:20764370-20767825	1
chr1:20644901-20650388	chr1:20307717-20309915	1
chr1:20644901-20650388	chr1:20764370-20767825	1
chr1:21064878-21072569	chr1:19489873-19492380	1
chr1:21064878-21072569	chr1:21103310-21106330	1
chr1:21064878-21072569	chr1:21210857-21213144	1
chr1:21064878-21072569	chr1:21476613-21478998	1
chr1:21064878-21072569	chr1:21515867-21547550	1
chr1:21064878-21072569	chr1:21547551-21550871	1
chr1:21314908-21317537	chr1:21029241-21030887	1
chr1:21314908-21317537	chr1:21103310-21106330	1
chr1:21314908-21317537	chr1:21110346-21112233	1
chr1:21314908-21317537	chr1:21364712-21368338	1
chr1:21314908-21317537	chr1:21369077-21374246	1
chr1:21314908-21317537	chr1:21383608-21385768	1
chr1:21314908-21317537	chr1:21385769-21399269	1
chr1:21314908-21317537	chr1:21399270-21405819	1
chr1:21314908-21317537	chr1:21428498-21439267	1
chr1:21314908-21317537	chr1:21439785-21441677	1
chr1:21314908-21317537	chr1:21476613-21478998	1
chr1:21314908-21317537	chr1:21515867-21547550	1
chr1:21592479-21598521	chr1:21574442-21589588	1
chr1:21592479-21598521	chr1:21655385-21658927	1
chr1:21592479-21598521	chr1:21662318-21664261	1
chr1:21592479-21598521	chr1:21695339-21698944	1
chr1:21904946-21937583	chr1:21563561-21569535	1
chr1:22137923-22169002	chr1:22282512-22288910	1
chr1:22974711-22980184	chr1:22434527-22438348	1
chr1:22974711-22980184	chr1:22438349-22439840	1
chr1:22974711-22980184	chr1:22460436-22463350	1
chr1:22974711-22980184	chr1:22495682-22496585	1
chr1:22974711-22980184	chr1:22705031-22711598	1
chr1:22974711-22980184	chr1:22761295-22765923	1
chr1:22974711-22980184	chr1:23214916-23216962	1
chr1:22974711-22980184	chr1:23283163-23292199	1
chr1:23072076-23078076	chr1:23177028-23177445	1
chr1:23072076-23078076	chr1:23203937-23211737	1
chr1:23072076-23078076	chr1:23214916-23216962	1
