A	B	nOverlap
zymogen activation	respiratory system development	2
zymogen activation	positive regulation of endopeptidase activity	4
zymogen activation	negative regulation of immune system process	2
zymogen activation	epithelial tube branching involved in lung morphogenesis	2
zymogen activation	epithelial tube morphogenesis	2
zymogen activation	tissue morphogenesis	2
zymogen activation	negative regulation of binding	2
zymogen activation	epithelial cell migration	2
zymogen activation	epithelium migration	2
zymogen activation	tissue migration	2
zymogen activation	regulation of fibrinolysis	2
zymogen activation	positive regulation of programmed cell death	3
zymogen activation	adaptive immune response	2
zymogen activation	regulation of protein processing	3
zymogen activation	positive regulation of peptidase activity	4
zymogen activation	ameboidal-type cell migration	2
zymogen activation	positive regulation of apoptotic process	3
zymogen activation	regulation of protein maturation	3
zymogen activation	regulation of protein binding	2
zymogen activation	positive regulation of interleukin-1 beta production	2
zymogen activation	regulation of cell-matrix adhesion	2
zymogen activation	negative regulation of blood coagulation	2
zymogen activation	negative regulation of hemostasis	2
zymogen activation	ficolin-1-rich granule	2
zymogen activation	tertiary granule	2
zymogen activation	lytic vacuole	2
zymogen activation	lysosome	2
zymogen activation	ficolin-1-rich granule lumen	2
zymogen activation	endopeptidase activity	3
zymogen activation	cysteine-type endopeptidase activity	2
craniofacial suture morphogenesis	skeletal system morphogenesis	4
craniofacial suture morphogenesis	digestive system development	2
craniofacial suture morphogenesis	regulation of neuron differentiation	2
craniofacial suture morphogenesis	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2
craniofacial suture morphogenesis	bone morphogenesis	4
craniofacial suture morphogenesis	digestive tract development	2
craniofacial suture morphogenesis	axis specification	2
craniofacial suture morphogenesis	embryonic organ development	4
craniofacial suture morphogenesis	cranial skeletal system development	4
craniofacial suture morphogenesis	regulation of cellular response to growth factor stimulus	2
craniofacial suture morphogenesis	embryonic organ morphogenesis	4
craniofacial suture morphogenesis	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2
craniofacial suture morphogenesis	roof of mouth development	2
craniofacial suture morphogenesis	positive regulation of MAPK cascade	2
craniofacial suture morphogenesis	pattern specification process	2
craniofacial suture morphogenesis	lung alveolus development	2
craniofacial suture morphogenesis	cell fate commitment	2
craniofacial suture morphogenesis	regionalization	2
craniofacial suture morphogenesis	BMP signaling pathway	2
craniofacial suture morphogenesis	positive regulation of neuron differentiation	2
craniofacial suture morphogenesis	transmembrane receptor protein serine/threonine kinase signaling pathway	2
craniofacial suture morphogenesis	biomineralization	2
craniofacial suture morphogenesis	embryonic skeletal system morphogenesis	2
craniofacial suture morphogenesis	respiratory system development	2
craniofacial suture morphogenesis	response to BMP	2
craniofacial suture morphogenesis	cellular response to BMP stimulus	2
craniofacial suture morphogenesis	anterior/posterior axis specification	2
craniofacial suture morphogenesis	positive regulation of ossification	2
craniofacial suture morphogenesis	regulation of epithelial to mesenchymal transition	2
craniofacial suture morphogenesis	anterior/posterior pattern specification	2
craniofacial suture morphogenesis	negative regulation of immune system process	2
craniofacial suture morphogenesis	muscle cell proliferation	2
craniofacial suture morphogenesis	reproductive structure development	2
craniofacial suture morphogenesis	reproductive system development	2
craniofacial suture morphogenesis	positive regulation of epithelial to mesenchymal transition	2
craniofacial suture morphogenesis	regulation of ossification	2
craniofacial suture morphogenesis	regulation of biomineral tissue development	2
craniofacial suture morphogenesis	embryonic morphogenesis	4
craniofacial suture morphogenesis	regulation of biomineralization	2
craniofacial suture morphogenesis	positive regulation of programmed cell death	2
craniofacial suture morphogenesis	sensory organ morphogenesis	3
craniofacial suture morphogenesis	skeletal system development	4
craniofacial suture morphogenesis	gland development	2
craniofacial suture morphogenesis	muscle structure development	2
craniofacial suture morphogenesis	positive regulation of pathway-restricted SMAD protein phosphorylation	2
craniofacial suture morphogenesis	biomineral tissue development	2
craniofacial suture morphogenesis	positive regulation of apoptotic process	2
craniofacial suture morphogenesis	regulation of protein transport	3
craniofacial suture morphogenesis	regulation of bone mineralization	2
craniofacial suture morphogenesis	positive regulation of bone mineralization	2
craniofacial suture morphogenesis	positive regulation of collagen metabolic process	2
craniofacial suture morphogenesis	positive regulation of collagen biosynthetic process	2
craniofacial suture morphogenesis	smooth muscle cell proliferation	2
craniofacial suture morphogenesis	growth factor activity	2
craniofacial suture morphogenesis	cytokine activity	2
detection of visible light	anatomical structure regression	2
detection of visible light	regulation of circadian rhythm	3
detection of visible light	phototransduction, visible light	3
detection of visible light	detection of stimulus	6
detection of visible light	detection of external stimulus	6
detection of visible light	detection of abiotic stimulus	6
detection of visible light	cellular response to radiation	4
detection of visible light	cellular response to abiotic stimulus	5
detection of visible light	cellular response to environmental stimulus	5
detection of visible light	response to radiation	6
detection of visible light	behavior	2
detection of visible light	cellular response to light stimulus	4
detection of visible light	entrainment of circadian clock	2
detection of visible light	rhythmic process	3
detection of visible light	visual perception	4
detection of visible light	sensory perception of light stimulus	4
detection of visible light	photoreceptor disc membrane	2
detection of visible light	G protein-coupled photoreceptor activity	3
detection of visible light	photoreceptor activity	3
detection of visible light	retinoid binding	2
detection of visible light	isoprenoid binding	2
detection of visible light	retinal binding	2
negative regulation of systemic arterial blood pressure	response to extracellular stimulus	2
negative regulation of systemic arterial blood pressure	response to nutrient levels	2
negative regulation of systemic arterial blood pressure	regulation of systemic arterial blood pressure	4
negative regulation of systemic arterial blood pressure	response to hydrogen peroxide	2
negative regulation of systemic arterial blood pressure	regulation of reactive oxygen species metabolic process	2
negative regulation of systemic arterial blood pressure	fat cell differentiation	2
negative regulation of systemic arterial blood pressure	positive regulation of MAPK cascade	2
negative regulation of systemic arterial blood pressure	response to inorganic substance	2
negative regulation of systemic arterial blood pressure	response to reactive oxygen species	2
negative regulation of systemic arterial blood pressure	negative regulation of blood pressure	4
negative regulation of systemic arterial blood pressure	regulation of blood pressure	4
negative regulation of systemic arterial blood pressure	response to oxidative stress	2
negative regulation of systemic arterial blood pressure	reactive oxygen species metabolic process	2
negative regulation of systemic arterial blood pressure	cellular response to reactive oxygen species	2
negative regulation of systemic arterial blood pressure	cellular response to chemical stress	2
negative regulation of systemic arterial blood pressure	lytic vacuole	2
negative regulation of systemic arterial blood pressure	lysosome	2
response to starvation	response to extracellular stimulus	13
response to starvation	response to nutrient levels	13
response to starvation	cellular response to starvation	11
response to starvation	cellular response to nutrient levels	11
response to starvation	cellular response to extracellular stimulus	11
response to starvation	protein processing	2
response to starvation	male gonad development	2
response to starvation	cellular response to external stimulus	11
response to starvation	development of primary male sexual characteristics	2
response to starvation	positive regulation of proteolysis	2
response to starvation	response to oxygen levels	2
response to starvation	epithelial cell differentiation	2
response to starvation	cellular response to radiation	2
response to starvation	response to nutrient	2
response to starvation	cellular response to abiotic stimulus	2
response to starvation	cellular response to environmental stimulus	2
response to starvation	male sex differentiation	2
response to starvation	positive regulation of cysteine-type endopeptidase activity	2
response to starvation	protein maturation	2
response to starvation	positive regulation of endopeptidase activity	2
response to starvation	response to radiation	2
response to starvation	negative regulation of immune system process	2
response to starvation	autophagosome maturation	2
response to starvation	reproductive structure development	2
response to starvation	reproductive system development	2
response to starvation	autophagosome organization	3
response to starvation	positive regulation of programmed cell death	4
response to starvation	positive regulation of peptidase activity	2
response to starvation	cellular response to prostaglandin stimulus	2
response to starvation	vacuole organization	4
response to starvation	positive regulation of catabolic process	2
response to starvation	positive regulation of apoptotic process	4
response to starvation	small molecule biosynthetic process	2
response to starvation	regulation of protein secretion	2
response to starvation	cellular response to chemical stress	2
response to starvation	regulation of protein transport	2
response to starvation	lytic vacuole	2
response to starvation	lysosome	2
response to extracellular stimulus	response to nutrient levels	22
response to extracellular stimulus	cellular response to starvation	11
response to extracellular stimulus	skeletal system morphogenesis	3
response to extracellular stimulus	regulation of fat cell differentiation	2
response to extracellular stimulus	digestive system development	2
response to extracellular stimulus	neural tube closure	2
response to extracellular stimulus	tube closure	2
response to extracellular stimulus	positive regulation of reactive oxygen species metabolic process	2
response to extracellular stimulus	regulation of neuron differentiation	2
response to extracellular stimulus	urogenital system development	2
response to extracellular stimulus	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2
response to extracellular stimulus	regulation of systemic arterial blood pressure	2
response to extracellular stimulus	bone morphogenesis	2
response to extracellular stimulus	cellular response to nutrient levels	12
response to extracellular stimulus	response to hydrogen peroxide	2
response to extracellular stimulus	primary neural tube formation	2
response to extracellular stimulus	cellular response to extracellular stimulus	13
response to extracellular stimulus	kidney development	2
response to extracellular stimulus	digestive tract development	2
response to extracellular stimulus	regulation of reactive oxygen species metabolic process	3
response to extracellular stimulus	embryonic organ development	3
response to extracellular stimulus	negative regulation of leukocyte differentiation	3
response to extracellular stimulus	renal system development	2
response to extracellular stimulus	protein processing	2
response to extracellular stimulus	negative regulation of hemopoiesis	3
response to extracellular stimulus	digestive tract morphogenesis	2
response to extracellular stimulus	negative regulation of fibroblast proliferation	2
response to extracellular stimulus	male gonad development	4
response to extracellular stimulus	neural tube formation	2
response to extracellular stimulus	striated muscle tissue development	3
response to extracellular stimulus	response to hypoxia	3
response to extracellular stimulus	cellular response to external stimulus	13
response to extracellular stimulus	development of primary male sexual characteristics	4
response to extracellular stimulus	negative regulation of myeloid leukocyte differentiation	3
response to extracellular stimulus	prostate gland development	2
response to extracellular stimulus	regulation of muscle cell apoptotic process	2
response to extracellular stimulus	glandular epithelial cell development	2
response to extracellular stimulus	positive regulation of proteolysis	2
response to extracellular stimulus	response to oxygen levels	4
response to extracellular stimulus	fat cell differentiation	3
response to extracellular stimulus	cardiac muscle tissue development	3
response to extracellular stimulus	bone remodeling	3
response to extracellular stimulus	response to decreased oxygen levels	3
response to extracellular stimulus	muscle cell apoptotic process	2
response to extracellular stimulus	regulation of cellular response to growth factor stimulus	2
response to extracellular stimulus	epithelial cell differentiation	4
response to extracellular stimulus	cellular response to radiation	2
response to extracellular stimulus	regulation of transmembrane transport	3
response to extracellular stimulus	regulation of binding	3
response to extracellular stimulus	response to nutrient	8
response to extracellular stimulus	positive regulation of MAPK cascade	2
response to extracellular stimulus	pattern specification process	2
response to extracellular stimulus	response to inorganic substance	6
response to extracellular stimulus	cellular response to abiotic stimulus	2
response to extracellular stimulus	cellular response to environmental stimulus	2
response to extracellular stimulus	response to reactive oxygen species	3
response to extracellular stimulus	negative regulation of myeloid cell differentiation	3
response to extracellular stimulus	positive regulation of stem cell differentiation	2
response to extracellular stimulus	negative regulation of blood pressure	2
response to extracellular stimulus	cell fate commitment	3
response to extracellular stimulus	regionalization	2
response to extracellular stimulus	regulation of blood pressure	2
response to extracellular stimulus	male sex differentiation	4
response to extracellular stimulus	columnar/cuboidal epithelial cell differentiation	3
response to extracellular stimulus	response to estrogen	3
response to extracellular stimulus	embryonic epithelial tube formation	2
response to extracellular stimulus	BMP signaling pathway	2
response to extracellular stimulus	kidney epithelium development	2
response to extracellular stimulus	regulation of BMP signaling pathway	2
response to extracellular stimulus	response to xenobiotic stimulus	6
response to extracellular stimulus	columnar/cuboidal epithelial cell development	2
response to extracellular stimulus	positive regulation of cysteine-type endopeptidase activity	2
response to extracellular stimulus	response to vitamin	5
response to extracellular stimulus	transmembrane receptor protein serine/threonine kinase signaling pathway	2
response to extracellular stimulus	muscle cell differentiation	5
response to extracellular stimulus	protein maturation	2
response to extracellular stimulus	biomineralization	3
response to extracellular stimulus	response to vitamin A	2
response to extracellular stimulus	response to BMP	2
response to extracellular stimulus	cellular response to BMP stimulus	2
response to extracellular stimulus	positive regulation of endopeptidase activity	2
response to extracellular stimulus	response to radiation	3
response to extracellular stimulus	anterior/posterior pattern specification	2
response to extracellular stimulus	negative regulation of immune system process	4
response to extracellular stimulus	cardiac muscle tissue growth	2
response to extracellular stimulus	cardiac muscle cell differentiation	3
response to extracellular stimulus	autophagosome maturation	3
response to extracellular stimulus	striated muscle cell differentiation	4
response to extracellular stimulus	epithelial tube morphogenesis	3
response to extracellular stimulus	glandular epithelial cell differentiation	2
response to extracellular stimulus	reproductive structure development	4
response to extracellular stimulus	tissue morphogenesis	3
response to extracellular stimulus	negative regulation of binding	2
response to extracellular stimulus	cellular response to estrogen stimulus	2
response to extracellular stimulus	reproductive system development	4
response to extracellular stimulus	epithelial tube formation	2
response to extracellular stimulus	response to oxidative stress	6
response to extracellular stimulus	bone resorption	2
response to extracellular stimulus	regulation of ossification	2
response to extracellular stimulus	embryonic morphogenesis	3
response to extracellular stimulus	morphogenesis of embryonic epithelium	2
response to extracellular stimulus	autophagosome organization	3
response to extracellular stimulus	negative regulation of osteoclast differentiation	2
response to extracellular stimulus	positive regulation of programmed cell death	5
response to extracellular stimulus	muscle tissue development	3
response to extracellular stimulus	skeletal system development	4
response to extracellular stimulus	gland development	3
response to extracellular stimulus	heart growth	2
response to extracellular stimulus	reactive oxygen species metabolic process	3
response to extracellular stimulus	muscle structure development	5
response to extracellular stimulus	glutathione metabolic process	3
response to extracellular stimulus	retinoic acid receptor signaling pathway	2
response to extracellular stimulus	positive regulation of peptidase activity	2
response to extracellular stimulus	regulation of fibroblast proliferation	2
response to extracellular stimulus	cellular response to reactive oxygen species	3
response to extracellular stimulus	biomineral tissue development	3
response to extracellular stimulus	cellular response to prostaglandin stimulus	2
response to extracellular stimulus	vacuole organization	4
response to extracellular stimulus	heart development	4
response to extracellular stimulus	positive regulation of catabolic process	3
response to extracellular stimulus	positive regulation of apoptotic process	5
response to extracellular stimulus	regulation of tissue remodeling	2
response to extracellular stimulus	aging	3
response to extracellular stimulus	small molecule biosynthetic process	3
response to extracellular stimulus	regulation of protein secretion	2
response to extracellular stimulus	cellular response to chemical stress	6
response to extracellular stimulus	regulation of protein transport	2
response to extracellular stimulus	steroid metabolic process	2
response to extracellular stimulus	neural tube development	2
response to extracellular stimulus	regulation of ion transmembrane transport	2
response to extracellular stimulus	regulation of bone remodeling	2
response to extracellular stimulus	positive regulation of cation transmembrane transport	2
response to extracellular stimulus	negative regulation of bone remodeling	2
response to extracellular stimulus	response to hyperoxia	2
response to extracellular stimulus	cellular response to oxygen radical	2
response to extracellular stimulus	cellular response to superoxide	2
response to extracellular stimulus	tube formation	2
response to extracellular stimulus	positive regulation of transmembrane transport	3
response to extracellular stimulus	regulation of leukocyte differentiation	3
response to extracellular stimulus	mitochondrial matrix	3
response to extracellular stimulus	lytic vacuole	3
response to extracellular stimulus	lysosome	3
response to extracellular stimulus	ligase activity	2
response to extracellular stimulus	ligase activity, forming carbon-sulfur bonds	2
response to nutrient levels	cellular response to starvation	11
response to nutrient levels	skeletal system morphogenesis	3
response to nutrient levels	regulation of fat cell differentiation	2
response to nutrient levels	digestive system development	2
response to nutrient levels	neural tube closure	2
response to nutrient levels	tube closure	2
response to nutrient levels	positive regulation of reactive oxygen species metabolic process	2
response to nutrient levels	regulation of neuron differentiation	2
response to nutrient levels	urogenital system development	2
response to nutrient levels	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2
response to nutrient levels	regulation of systemic arterial blood pressure	2
response to nutrient levels	bone morphogenesis	2
response to nutrient levels	cellular response to nutrient levels	12
response to nutrient levels	primary neural tube formation	2
response to nutrient levels	cellular response to extracellular stimulus	12
response to nutrient levels	kidney development	2
response to nutrient levels	digestive tract development	2
response to nutrient levels	regulation of reactive oxygen species metabolic process	3
response to nutrient levels	embryonic organ development	3
response to nutrient levels	negative regulation of leukocyte differentiation	3
response to nutrient levels	renal system development	2
response to nutrient levels	protein processing	2
response to nutrient levels	negative regulation of hemopoiesis	3
response to nutrient levels	digestive tract morphogenesis	2
response to nutrient levels	negative regulation of fibroblast proliferation	2
response to nutrient levels	male gonad development	4
response to nutrient levels	neural tube formation	2
response to nutrient levels	striated muscle tissue development	3
response to nutrient levels	response to hypoxia	3
response to nutrient levels	cellular response to external stimulus	12
response to nutrient levels	development of primary male sexual characteristics	4
response to nutrient levels	negative regulation of myeloid leukocyte differentiation	3
response to nutrient levels	prostate gland development	2
response to nutrient levels	regulation of muscle cell apoptotic process	2
response to nutrient levels	glandular epithelial cell development	2
response to nutrient levels	positive regulation of proteolysis	2
response to nutrient levels	response to oxygen levels	4
response to nutrient levels	fat cell differentiation	3
response to nutrient levels	cardiac muscle tissue development	3
response to nutrient levels	bone remodeling	3
response to nutrient levels	response to decreased oxygen levels	3
response to nutrient levels	muscle cell apoptotic process	2
response to nutrient levels	regulation of cellular response to growth factor stimulus	2
response to nutrient levels	epithelial cell differentiation	4
response to nutrient levels	cellular response to radiation	2
response to nutrient levels	regulation of transmembrane transport	3
response to nutrient levels	regulation of binding	3
response to nutrient levels	response to nutrient	8
response to nutrient levels	positive regulation of MAPK cascade	2
response to nutrient levels	pattern specification process	2
response to nutrient levels	response to inorganic substance	5
response to nutrient levels	cellular response to abiotic stimulus	2
response to nutrient levels	cellular response to environmental stimulus	2
response to nutrient levels	response to reactive oxygen species	2
response to nutrient levels	negative regulation of myeloid cell differentiation	3
response to nutrient levels	positive regulation of stem cell differentiation	2
response to nutrient levels	negative regulation of blood pressure	2
response to nutrient levels	cell fate commitment	3
response to nutrient levels	regionalization	2
response to nutrient levels	regulation of blood pressure	2
response to nutrient levels	male sex differentiation	4
response to nutrient levels	columnar/cuboidal epithelial cell differentiation	3
response to nutrient levels	response to estrogen	3
response to nutrient levels	embryonic epithelial tube formation	2
response to nutrient levels	BMP signaling pathway	2
response to nutrient levels	kidney epithelium development	2
response to nutrient levels	regulation of BMP signaling pathway	2
response to nutrient levels	response to xenobiotic stimulus	6
response to nutrient levels	columnar/cuboidal epithelial cell development	2
response to nutrient levels	positive regulation of cysteine-type endopeptidase activity	2
response to nutrient levels	response to vitamin	5
response to nutrient levels	transmembrane receptor protein serine/threonine kinase signaling pathway	2
response to nutrient levels	muscle cell differentiation	5
response to nutrient levels	protein maturation	2
response to nutrient levels	biomineralization	3
response to nutrient levels	response to vitamin A	2
response to nutrient levels	response to BMP	2
response to nutrient levels	cellular response to BMP stimulus	2
response to nutrient levels	positive regulation of endopeptidase activity	2
response to nutrient levels	response to radiation	3
response to nutrient levels	anterior/posterior pattern specification	2
response to nutrient levels	negative regulation of immune system process	4
response to nutrient levels	cardiac muscle tissue growth	2
response to nutrient levels	cardiac muscle cell differentiation	3
response to nutrient levels	autophagosome maturation	3
response to nutrient levels	striated muscle cell differentiation	4
response to nutrient levels	epithelial tube morphogenesis	3
response to nutrient levels	glandular epithelial cell differentiation	2
response to nutrient levels	reproductive structure development	4
response to nutrient levels	tissue morphogenesis	3
response to nutrient levels	negative regulation of binding	2
response to nutrient levels	cellular response to estrogen stimulus	2
response to nutrient levels	reproductive system development	4
response to nutrient levels	epithelial tube formation	2
response to nutrient levels	response to oxidative stress	5
response to nutrient levels	bone resorption	2
response to nutrient levels	regulation of ossification	2
response to nutrient levels	embryonic morphogenesis	3
response to nutrient levels	morphogenesis of embryonic epithelium	2
response to nutrient levels	autophagosome organization	3
response to nutrient levels	negative regulation of osteoclast differentiation	2
response to nutrient levels	positive regulation of programmed cell death	5
response to nutrient levels	muscle tissue development	3
response to nutrient levels	skeletal system development	4
response to nutrient levels	gland development	3
response to nutrient levels	heart growth	2
response to nutrient levels	reactive oxygen species metabolic process	3
response to nutrient levels	muscle structure development	5
response to nutrient levels	glutathione metabolic process	2
response to nutrient levels	retinoic acid receptor signaling pathway	2
response to nutrient levels	positive regulation of peptidase activity	2
response to nutrient levels	regulation of fibroblast proliferation	2
response to nutrient levels	cellular response to reactive oxygen species	2
response to nutrient levels	biomineral tissue development	3
response to nutrient levels	cellular response to prostaglandin stimulus	2
response to nutrient levels	vacuole organization	4
response to nutrient levels	heart development	4
response to nutrient levels	positive regulation of catabolic process	3
response to nutrient levels	positive regulation of apoptotic process	5
response to nutrient levels	regulation of tissue remodeling	2
response to nutrient levels	aging	2
response to nutrient levels	small molecule biosynthetic process	3
response to nutrient levels	regulation of protein secretion	2
response to nutrient levels	cellular response to chemical stress	5
response to nutrient levels	regulation of protein transport	2
response to nutrient levels	steroid metabolic process	2
response to nutrient levels	neural tube development	2
response to nutrient levels	regulation of ion transmembrane transport	2
response to nutrient levels	regulation of bone remodeling	2
response to nutrient levels	positive regulation of cation transmembrane transport	2
response to nutrient levels	negative regulation of bone remodeling	2
response to nutrient levels	response to hyperoxia	2
response to nutrient levels	tube formation	2
response to nutrient levels	positive regulation of transmembrane transport	3
response to nutrient levels	regulation of leukocyte differentiation	3
response to nutrient levels	mitochondrial matrix	2
response to nutrient levels	lytic vacuole	3
response to nutrient levels	lysosome	3
response to nutrient levels	ligase activity	2
response to nutrient levels	ligase activity, forming carbon-sulfur bonds	2
deoxyribonucleoside monophosphate metabolic process	carbohydrate derivative catabolic process	3
deoxyribonucleoside monophosphate metabolic process	ribonucleoside metabolic process	2
deoxyribonucleoside monophosphate metabolic process	nucleoside monophosphate catabolic process	3
deoxyribonucleoside monophosphate metabolic process	purine-containing compound salvage	2
deoxyribonucleoside monophosphate metabolic process	purine ribonucleoside metabolic process	2
deoxyribonucleoside monophosphate metabolic process	2'-deoxyribonucleotide metabolic process	4
deoxyribonucleoside monophosphate metabolic process	deoxyribonucleotide metabolic process	4
deoxyribonucleoside monophosphate metabolic process	deoxyribose phosphate metabolic process	4
deoxyribonucleoside monophosphate metabolic process	purine nucleoside metabolic process	2
deoxyribonucleoside monophosphate metabolic process	glycosyl compound metabolic process	2
deoxyribonucleoside monophosphate metabolic process	pyrimidine nucleoside monophosphate metabolic process	2
deoxyribonucleoside monophosphate metabolic process	nucleoside metabolic process	2
deoxyribonucleoside monophosphate metabolic process	purine nucleotide catabolic process	2
deoxyribonucleoside monophosphate metabolic process	purine ribonucleotide catabolic process	2
deoxyribonucleoside monophosphate metabolic process	purine-containing compound catabolic process	2
deoxyribonucleoside monophosphate metabolic process	nucleotide catabolic process	3
deoxyribonucleoside monophosphate metabolic process	nucleoside monophosphate metabolic process	4
deoxyribonucleoside monophosphate metabolic process	ribonucleotide catabolic process	2
deoxyribonucleoside monophosphate metabolic process	cellular metabolic compound salvage	2
deoxyribonucleoside monophosphate metabolic process	nucleoside phosphate catabolic process	3
deoxyribonucleoside monophosphate metabolic process	ribonucleoside monophosphate catabolic process	2
deoxyribonucleoside monophosphate metabolic process	ribonucleoside monophosphate metabolic process	3
deoxyribonucleoside monophosphate metabolic process	ribonucleoside monophosphate biosynthetic process	2
deoxyribonucleoside monophosphate metabolic process	organophosphate catabolic process	3
deoxyribonucleoside monophosphate metabolic process	pyrimidine-containing compound metabolic process	2
deoxyribonucleoside monophosphate metabolic process	nucleotide salvage	2
deoxyribonucleoside monophosphate metabolic process	phosphoric ester hydrolase activity	2
deoxyribonucleoside monophosphate metabolic process	phosphatase activity	2
cellular response to starvation	cellular response to nutrient levels	11
cellular response to starvation	cellular response to extracellular stimulus	11
cellular response to starvation	protein processing	2
cellular response to starvation	male gonad development	2
cellular response to starvation	cellular response to external stimulus	11
cellular response to starvation	development of primary male sexual characteristics	2
cellular response to starvation	positive regulation of proteolysis	2
cellular response to starvation	response to oxygen levels	2
cellular response to starvation	epithelial cell differentiation	2
cellular response to starvation	cellular response to radiation	2
cellular response to starvation	response to nutrient	2
cellular response to starvation	cellular response to abiotic stimulus	2
cellular response to starvation	cellular response to environmental stimulus	2
cellular response to starvation	male sex differentiation	2
cellular response to starvation	positive regulation of cysteine-type endopeptidase activity	2
cellular response to starvation	protein maturation	2
cellular response to starvation	positive regulation of endopeptidase activity	2
cellular response to starvation	response to radiation	2
cellular response to starvation	negative regulation of immune system process	2
cellular response to starvation	autophagosome maturation	2
cellular response to starvation	reproductive structure development	2
cellular response to starvation	reproductive system development	2
cellular response to starvation	autophagosome organization	3
cellular response to starvation	positive regulation of programmed cell death	4
cellular response to starvation	positive regulation of peptidase activity	2
cellular response to starvation	cellular response to prostaglandin stimulus	2
cellular response to starvation	vacuole organization	4
cellular response to starvation	positive regulation of catabolic process	2
cellular response to starvation	positive regulation of apoptotic process	4
cellular response to starvation	regulation of protein secretion	2
cellular response to starvation	cellular response to chemical stress	2
cellular response to starvation	regulation of protein transport	2
cellular response to starvation	lytic vacuole	2
cellular response to starvation	lysosome	2
ERK1 and ERK2 cascade	regulation of ERK1 and ERK2 cascade	16
ERK1 and ERK2 cascade	cardiac conduction system development	3
ERK1 and ERK2 cascade	long-term synaptic depression	2
ERK1 and ERK2 cascade	digestive system development	2
ERK1 and ERK2 cascade	regulation of MAP kinase activity	6
ERK1 and ERK2 cascade	positive regulation of reactive oxygen species metabolic process	2
ERK1 and ERK2 cascade	urogenital system development	3
ERK1 and ERK2 cascade	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2
ERK1 and ERK2 cascade	regulation of JUN kinase activity	4
ERK1 and ERK2 cascade	kidney development	3
ERK1 and ERK2 cascade	digestive tract development	2
ERK1 and ERK2 cascade	regulation of reactive oxygen species metabolic process	2
ERK1 and ERK2 cascade	embryonic organ development	2
ERK1 and ERK2 cascade	renal system development	3
ERK1 and ERK2 cascade	protein processing	2
ERK1 and ERK2 cascade	digestive tract morphogenesis	2
ERK1 and ERK2 cascade	striated muscle tissue development	4
ERK1 and ERK2 cascade	response to hypoxia	2
ERK1 and ERK2 cascade	regulation of muscle cell apoptotic process	2
ERK1 and ERK2 cascade	positive regulation of calcium-mediated signaling	2
ERK1 and ERK2 cascade	regulation of calcium-mediated signaling	3
ERK1 and ERK2 cascade	positive regulation of epithelial cell migration	4
