	NodeIn	baitName	oeName	NodeOut	oeName_changed	edge
39	chr1:1206874-1212438	RP5-902P8.10;UBE2J2	TTLL10-AS1;TTLL10	chr1:1109733-1122642	TTLL10-AS1;TTLL10	chr1:1206874-1212438_chr1:1109733-1122642
40	chr1:1212439-1220554	SCNN1D	AL645608.1;RP11-54O7.3;SAMD11	chr1:850619-874081	AL645608.1;RP11-54O7.3;SAMD11	chr1:1212439-1220554_chr1:850619-874081
41	chr1:1212439-1220554	SCNN1D	KLHL17;NOC2L;PLEKHN1	chr1:889424-903640	KLHL17;NOC2L;PLEKHN1	chr1:1212439-1220554_chr1:889424-903640
42	chr1:1212439-1220554	SCNN1D	C1orf170;PLEKHN1	chr1:903641-927394	C1orf170;PLEKHN1	chr1:1212439-1220554_chr1:903641-927394
43	chr1:1212439-1220554	SCNN1D	.	chr1:1062660-1064244	chr1:1062660-1064244	chr1:1212439-1220554_chr1:1062660-1064244
44	chr1:1212439-1220554	SCNN1D	MIR200A;MIR200B;MIR429;RP11-465B22.8	chr1:1096739-1107115	MIR200A;MIR200B;MIR429;RP11-465B22.8	chr1:1212439-1220554_chr1:1096739-1107115
45	chr1:1212439-1220554	SCNN1D	TTLL10	chr1:1107116-1109732	TTLL10	chr1:1212439-1220554_chr1:1107116-1109732
46	chr1:1212439-1220554	SCNN1D	TTLL10-AS1;TTLL10	chr1:1109733-1122642	TTLL10-AS1;TTLL10	chr1:1212439-1220554_chr1:1109733-1122642
47	chr1:1212439-1220554	SCNN1D	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1239426-1278099	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1212439-1220554_chr1:1239426-1278099
48	chr1:1239426-1278099	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	RP11-54O7.2	chr1:848169-850618	RP11-54O7.2	chr1:1239426-1278099_chr1:848169-850618
49	chr1:1239426-1278099	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	DVL1;MXRA8	chr1:1283837-1305518	DVL1;MXRA8	chr1:1239426-1278099_chr1:1283837-1305518
50	chr1:1283837-1305518	DVL1;MXRA8	.	chr1:957200-974400	chr1:957200-974400	chr1:1283837-1305518_chr1:957200-974400
51	chr1:1283837-1305518	DVL1;MXRA8	.	chr1:974401-978381	chr1:974401-978381	chr1:1283837-1305518_chr1:974401-978381
52	chr1:1283837-1305518	DVL1;MXRA8	.	chr1:1048248-1049051	chr1:1048248-1049051	chr1:1283837-1305518_chr1:1048248-1049051
53	chr1:1283837-1305518	DVL1;MXRA8	.	chr1:1064245-1069045	chr1:1064245-1069045	chr1:1283837-1305518_chr1:1064245-1069045
54	chr1:1283837-1305518	DVL1;MXRA8	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1239426-1278099	ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3	chr1:1283837-1305518_chr1:1239426-1278099
55	chr1:1283837-1305518	DVL1;MXRA8	.	chr1:1426922-1428709	chr1:1426922-1428709	chr1:1283837-1305518_chr1:1426922-1428709
56	chr1:1283837-1305518	DVL1;MXRA8	.	chr1:1442647-1451038	chr1:1442647-1451038	chr1:1283837-1305518_chr1:1442647-1451038
57	chr1:1313316-1350443	CCNL2;MRPL20;RN7SL657P;RP4-758J18.13;RP4-758J18.2;RP5-890O3.3	RP4-758J18.10;VWA1	chr1:1364314-1373173	RP4-758J18.10;VWA1	chr1:1313316-1350443_chr1:1364314-1373173
58	chr1:1364314-1373173	RP4-758J18.10;VWA1	.	chr1:1305519-1307830	chr1:1305519-1307830	chr1:1364314-1373173_chr1:1305519-1307830
59	chr1:1364314-1373173	RP4-758J18.10;VWA1	AURKAIP1	chr1:1309969-1313315	AURKAIP1	chr1:1364314-1373173_chr1:1309969-1313315
60	chr1:1364314-1373173	RP4-758J18.10;VWA1	.	chr1:1426922-1428709	chr1:1426922-1428709	chr1:1364314-1373173_chr1:1426922-1428709
61	chr1:1364314-1373173	RP4-758J18.10;VWA1	.	chr1:1442647-1451038	chr1:1442647-1451038	chr1:1364314-1373173_chr1:1442647-1451038
62	chr1:1364314-1373173	RP4-758J18.10;VWA1	.	chr1:1482324-1484551	chr1:1482324-1484551	chr1:1364314-1373173_chr1:1482324-1484551
63	chr1:1364314-1373173	RP4-758J18.10;VWA1	.	chr1:1492823-1494304	chr1:1492823-1494304	chr1:1364314-1373173_chr1:1492823-1494304
64	chr1:1364314-1373173	RP4-758J18.10;VWA1	.	chr1:1518948-1520416	chr1:1518948-1520416	chr1:1364314-1373173_chr1:1518948-1520416
65	chr1:1364314-1373173	RP4-758J18.10;VWA1	.	chr1:1647157-1648710	chr1:1647157-1648710	chr1:1364314-1373173_chr1:1647157-1648710
66	chr1:1465274-1482323	SSU72;TMEM240	AURKAIP1	chr1:1309969-1313315	AURKAIP1	chr1:1465274-1482323_chr1:1309969-1313315
67	chr1:1465274-1482323	SSU72;TMEM240	CDK11A;RP1-283E3.4;RP1-283E3.8;SLC35E2	chr1:1648711-1672992	CDK11A;RP1-283E3.4;RP1-283E3.8;SLC35E2	chr1:1465274-1482323_chr1:1648711-1672992
68	chr1:1505407-1516638	AL645728.1;AL645728.3;SSU72	RP4-758J18.10;VWA1	chr1:1364314-1373173	RP4-758J18.10;VWA1	chr1:1505407-1516638_chr1:1364314-1373173
69	chr1:1842635-1852429	CALML6;TMEM52	.	chr1:1695714-1698925	chr1:1695714-1698925	chr1:1842635-1852429_chr1:1695714-1698925
70	chr1:1842635-1852429	CALML6;TMEM52	PRKCZ;RP11-547D24.3	chr1:1980724-1991491	PRKCZ;RP11-547D24.3	chr1:1842635-1852429_chr1:1980724-1991491
71	chr1:1842635-1852429	CALML6;TMEM52	.	chr1:2048007-2049069	chr1:2048007-2049069	chr1:1842635-1852429_chr1:2048007-2049069
72	chr1:1842635-1852429	CALML6;TMEM52	.	chr1:2049070-2065847	chr1:2049070-2065847	chr1:1842635-1852429_chr1:2049070-2065847
73	chr1:1842635-1852429	CALML6;TMEM52	.	chr1:2065848-2069230	chr1:2065848-2069230	chr1:1842635-1852429_chr1:2065848-2069230
74	chr1:1842635-1852429	CALML6;TMEM52	.	chr1:2087863-2088840	chr1:2087863-2088840	chr1:1842635-1852429_chr1:2087863-2088840
75	chr1:1842635-1852429	CALML6;TMEM52	.	chr1:2123846-2126597	chr1:2123846-2126597	chr1:1842635-1852429_chr1:2123846-2126597
76	chr1:1842635-1852429	CALML6;TMEM52	.	chr1:2126598-2130824	chr1:2126598-2130824	chr1:1842635-1852429_chr1:2126598-2130824
77	chr1:1980724-1991491	PRKCZ;RP11-547D24.3	.	chr1:1865360-1875186	chr1:1865360-1875186	chr1:1980724-1991491_chr1:1865360-1875186
78	chr1:2104999-2122560	AL590822.2;RP11-181G12.2	RP3-395M20.2;RP3-395M20.3	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	chr1:2104999-2122560_chr1:2420090-2426369
79	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2150201-2152193	chr1:2150201-2152193	chr1:2143648-2147289_chr1:2150201-2152193
80	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2152194-2152498	chr1:2152194-2152498	chr1:2143648-2147289_chr1:2152194-2152498
81	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2227416-2233646	chr1:2227416-2233646	chr1:2143648-2147289_chr1:2227416-2233646
82	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2233705-2235147	chr1:2233705-2235147	chr1:2143648-2147289_chr1:2233705-2235147
83	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2235148-2239528	chr1:2235148-2239528	chr1:2143648-2147289_chr1:2235148-2239528
84	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2239529-2240096	chr1:2239529-2240096	chr1:2143648-2147289_chr1:2239529-2240096
85	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2240097-2242543	chr1:2240097-2242543	chr1:2143648-2147289_chr1:2240097-2242543
86	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2242544-2251181	chr1:2242544-2251181	chr1:2143648-2147289_chr1:2242544-2251181
87	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2283074-2288244	chr1:2283074-2288244	chr1:2143648-2147289_chr1:2283074-2288244
88	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2288245-2292297	chr1:2288245-2292297	chr1:2143648-2147289_chr1:2288245-2292297
89	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2308195-2319571	chr1:2308195-2319571	chr1:2143648-2147289_chr1:2308195-2319571
90	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	MORN1;RER1	chr1:2319572-2324377	MORN1;RER1	chr1:2143648-2147289_chr1:2319572-2324377
91	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2324378-2327550	chr1:2324378-2327550	chr1:2143648-2147289_chr1:2324378-2327550
92	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2327551-2327802	chr1:2327551-2327802	chr1:2143648-2147289_chr1:2327551-2327802
93	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	.	chr1:2327925-2329775	chr1:2327925-2329775	chr1:2143648-2147289_chr1:2327925-2329775
94	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	PEX10	chr1:2335725-2351765	PEX10	chr1:2143648-2147289_chr1:2335725-2351765
95	chr1:2155766-2166195	SKI	.	chr1:2126598-2130824	chr1:2126598-2130824	chr1:2155766-2166195_chr1:2126598-2130824
96	chr1:2155766-2166195	SKI	.	chr1:2198637-2203698	chr1:2198637-2203698	chr1:2155766-2166195_chr1:2198637-2203698
97	chr1:2155766-2166195	SKI	.	chr1:2203699-2208040	chr1:2203699-2208040	chr1:2155766-2166195_chr1:2203699-2208040
98	chr1:2155766-2166195	SKI	.	chr1:2227416-2233646	chr1:2227416-2233646	chr1:2155766-2166195_chr1:2227416-2233646
99	chr1:2155766-2166195	SKI	.	chr1:2233705-2235147	chr1:2233705-2235147	chr1:2155766-2166195_chr1:2233705-2235147
100	chr1:2155766-2166195	SKI	.	chr1:2235148-2239528	chr1:2235148-2239528	chr1:2155766-2166195_chr1:2235148-2239528
101	chr1:2155766-2166195	SKI	.	chr1:2239529-2240096	chr1:2239529-2240096	chr1:2155766-2166195_chr1:2239529-2240096
102	chr1:2155766-2166195	SKI	.	chr1:2240097-2242543	chr1:2240097-2242543	chr1:2155766-2166195_chr1:2240097-2242543
103	chr1:2155766-2166195	SKI	.	chr1:2242544-2251181	chr1:2242544-2251181	chr1:2155766-2166195_chr1:2242544-2251181
104	chr1:2155766-2166195	SKI	.	chr1:2283074-2288244	chr1:2283074-2288244	chr1:2155766-2166195_chr1:2283074-2288244
105	chr1:2155766-2166195	SKI	.	chr1:2288245-2292297	chr1:2288245-2292297	chr1:2155766-2166195_chr1:2288245-2292297
106	chr1:2155766-2166195	SKI	.	chr1:2308195-2319571	chr1:2308195-2319571	chr1:2155766-2166195_chr1:2308195-2319571
107	chr1:2155766-2166195	SKI	MORN1;RER1	chr1:2319572-2324377	MORN1;RER1	chr1:2155766-2166195_chr1:2319572-2324377
108	chr1:2155766-2166195	SKI	.	chr1:2324378-2327550	chr1:2324378-2327550	chr1:2155766-2166195_chr1:2324378-2327550
109	chr1:2155766-2166195	SKI	.	chr1:2327551-2327802	chr1:2327551-2327802	chr1:2155766-2166195_chr1:2327551-2327802
110	chr1:2155766-2166195	SKI	.	chr1:2327925-2329775	chr1:2327925-2329775	chr1:2155766-2166195_chr1:2327925-2329775
111	chr1:2155766-2166195	SKI	.	chr1:2333188-2335724	chr1:2333188-2335724	chr1:2155766-2166195_chr1:2333188-2335724
112	chr1:2155766-2166195	SKI	FAM213B;MMEL1	chr1:2514865-2526252	FAM213B;MMEL1	chr1:2155766-2166195_chr1:2514865-2526252
113	chr1:2319572-2324377	MORN1;RER1	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	chr1:2143648-2147289	AL590822.1;C1orf86;RP11-181G12.4;RP11-181G12.5	chr1:2319572-2324377_chr1:2143648-2147289
114	chr1:2387105-2417285	PLCH2	RP3-395M20.2;RP3-395M20.3	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	chr1:2387105-2417285_chr1:2420090-2426369
115	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:2710655-2716376	chr1:2710655-2716376	chr1:2420090-2426369_chr1:2710655-2716376
116	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:3303599-3304674	chr1:3303599-3304674	chr1:2420090-2426369_chr1:3303599-3304674
117	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:3324476-3326133	chr1:3324476-3326133	chr1:2420090-2426369_chr1:3324476-3326133
118	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:3338276-3339939	chr1:3338276-3339939	chr1:2420090-2426369_chr1:3338276-3339939
119	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:3339940-3343969	chr1:3339940-3343969	chr1:2420090-2426369_chr1:3339940-3343969
120	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:3343970-3346908	chr1:3343970-3346908	chr1:2420090-2426369_chr1:3343970-3346908
121	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:3346909-3363739	chr1:3346909-3363739	chr1:2420090-2426369_chr1:3346909-3363739
122	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:3369035-3369191	chr1:3369035-3369191	chr1:2420090-2426369_chr1:3369035-3369191
123	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	.	chr1:3369192-3370480	chr1:3369192-3370480	chr1:2420090-2426369_chr1:3369192-3370480
124	chr1:2696923-2710654	TTC34	RP3-395M20.2;RP3-395M20.3	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	chr1:2696923-2710654_chr1:2420090-2426369
125	chr1:3370481-3383373	ARHGEF16	RP3-395M20.2;RP3-395M20.3	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	chr1:3370481-3383373_chr1:2420090-2426369
126	chr1:3470648-3481073	MIR551A	RP3-395M20.2;RP3-395M20.3	chr1:2420090-2426369	RP3-395M20.2;RP3-395M20.3	chr1:3470648-3481073_chr1:2420090-2426369
127	chr1:3470648-3481073	MIR551A	MEGF6	chr1:3522935-3531183	MEGF6	chr1:3470648-3481073_chr1:3522935-3531183
128	chr1:3581866-3590779	RP5-1092A11.5	.	chr1:6043907-6049647	chr1:6043907-6049647	chr1:3581866-3590779_chr1:6043907-6049647
129	chr1:3688547-3690323	SMIM1	RP5-1092A11.5	chr1:3581866-3590779	RP5-1092A11.5	chr1:3688547-3690323_chr1:3581866-3590779
130	chr1:6220817-6245036	CHD5	.	chr1:6103546-6116901	chr1:6103546-6116901	chr1:6220817-6245036_chr1:6103546-6116901
131	chr1:6220817-6245036	CHD5	.	chr1:6127718-6130640	chr1:6127718-6130640	chr1:6220817-6245036_chr1:6127718-6130640
132	chr1:6220817-6245036	CHD5	.	chr1:6130641-6134664	chr1:6130641-6134664	chr1:6220817-6245036_chr1:6130641-6134664
133	chr1:6220817-6245036	CHD5	.	chr1:6208773-6217888	chr1:6208773-6217888	chr1:6220817-6245036_chr1:6208773-6217888
134	chr1:6517223-6531281	ESPN;TNFRSF25	RNF207;RP1-120G22.11;RPL22	chr1:6258535-6274327	RNF207;RP1-120G22.11;RPL22	chr1:6517223-6531281_chr1:6258535-6274327
135	chr1:6517223-6531281	ESPN;TNFRSF25	KLHL21;PHF13	chr1:6669510-6675892	KLHL21;PHF13	chr1:6517223-6531281_chr1:6669510-6675892
136	chr1:6517223-6531281	ESPN;TNFRSF25	RNU1-8P	chr1:7279196-7281793	RNU1-8P	chr1:6517223-6531281_chr1:7279196-7281793
137	chr1:6635296-6647590	ZBTB48	KIAA2013	chr1:11980154-11990122	KIAA2013	chr1:6635296-6647590_chr1:11980154-11990122
138	chr1:9003477-9012662	CA6	SLC45A1	chr1:8375879-8381244	SLC45A1	chr1:9003477-9012662_chr1:8375879-8381244
139	chr1:9003477-9012662	CA6	GPR157	chr1:9186568-9194752	GPR157	chr1:9003477-9012662_chr1:9186568-9194752
140	chr1:9336978-9341933	Z98044.1	.	chr1:9483302-9488676	chr1:9483302-9488676	chr1:9336978-9341933_chr1:9483302-9488676
141	chr1:9336978-9341933	Z98044.1	.	chr1:9498857-9502487	chr1:9498857-9502487	chr1:9336978-9341933_chr1:9498857-9502487
142	chr1:9336978-9341933	Z98044.1	.	chr1:9502488-9512513	chr1:9502488-9512513	chr1:9336978-9341933_chr1:9502488-9512513
143	chr1:9336978-9341933	Z98044.1	.	chr1:9512514-9528023	chr1:9512514-9528023	chr1:9336978-9341933_chr1:9512514-9528023
144	chr1:9336978-9341933	Z98044.1	.	chr1:9528024-9530810	chr1:9528024-9530810	chr1:9336978-9341933_chr1:9528024-9530810
145	chr1:9336978-9341933	Z98044.1	.	chr1:9530811-9541282	chr1:9530811-9541282	chr1:9336978-9341933_chr1:9530811-9541282
146	chr1:9336978-9341933	Z98044.1	.	chr1:9541283-9543772	chr1:9541283-9543772	chr1:9336978-9341933_chr1:9541283-9543772
147	chr1:9336978-9341933	Z98044.1	.	chr1:9543773-9556068	chr1:9543773-9556068	chr1:9336978-9341933_chr1:9543773-9556068
148	chr1:9336978-9341933	Z98044.1	.	chr1:9556069-9575001	chr1:9556069-9575001	chr1:9336978-9341933_chr1:9556069-9575001
149	chr1:9336978-9341933	Z98044.1	.	chr1:9575002-9587134	chr1:9575002-9587134	chr1:9336978-9341933_chr1:9575002-9587134
150	chr1:9336978-9341933	Z98044.1	.	chr1:9587135-9593481	chr1:9587135-9593481	chr1:9336978-9341933_chr1:9587135-9593481
151	chr1:9336978-9341933	Z98044.1	.	chr1:9593482-9598276	chr1:9593482-9598276	chr1:9336978-9341933_chr1:9593482-9598276
152	chr1:9336978-9341933	Z98044.1	.	chr1:9598277-9598475	chr1:9598277-9598475	chr1:9336978-9341933_chr1:9598277-9598475
153	chr1:9336978-9341933	Z98044.1	SLC25A33	chr1:9598476-9613618	SLC25A33	chr1:9336978-9341933_chr1:9598476-9613618
154	chr1:9336978-9341933	Z98044.1	.	chr1:9613619-9613935	chr1:9613619-9613935	chr1:9336978-9341933_chr1:9613619-9613935
155	chr1:9336978-9341933	Z98044.1	.	chr1:9613936-9614150	chr1:9613936-9614150	chr1:9336978-9341933_chr1:9613936-9614150
156	chr1:9336978-9341933	Z98044.1	.	chr1:9614151-9617427	chr1:9614151-9617427	chr1:9336978-9341933_chr1:9614151-9617427
157	chr1:9336978-9341933	Z98044.1	.	chr1:9617428-9618686	chr1:9617428-9618686	chr1:9336978-9341933_chr1:9617428-9618686
158	chr1:9336978-9341933	Z98044.1	.	chr1:9618687-9618865	chr1:9618687-9618865	chr1:9336978-9341933_chr1:9618687-9618865
159	chr1:9336978-9341933	Z98044.1	.	chr1:9618866-9619750	chr1:9618866-9619750	chr1:9336978-9341933_chr1:9618866-9619750
160	chr1:9336978-9341933	Z98044.1	.	chr1:9619751-9621770	chr1:9619751-9621770	chr1:9336978-9341933_chr1:9619751-9621770
161	chr1:9336978-9341933	Z98044.1	.	chr1:9621771-9628974	chr1:9621771-9628974	chr1:9336978-9341933_chr1:9621771-9628974
162	chr1:9336978-9341933	Z98044.1	.	chr1:9628975-9630005	chr1:9628975-9630005	chr1:9336978-9341933_chr1:9628975-9630005
163	chr1:9336978-9341933	Z98044.1	.	chr1:9630006-9630192	chr1:9630006-9630192	chr1:9336978-9341933_chr1:9630006-9630192
