"K562_111_S31"	"K562_119_S32"	"K562_S30"	"MOLM13_108_S28"	"MOLM13_115_S29"	"MOLM13_S27"	"TUH162_S40"	"TUH167_S35"	"TUH215_S34"	"TUH219_S33"	"TUH90_S41"	"TUH93_S37"	"TUH96.METAML_S39"	"TUH96.VDM_S38"	"TUH99_S36"
"ENSG00000140254"	28	16	28	0	0	0	1	1	0	4	0	3	0	1	2
"ENSG00000140259"	1743	1595	1808	797	1080	225	135	126	153	632	166	104	316	247	95
"ENSG00000140262"	5303	7024	7725	8041	10218	510	5176	2649	2012	9552	3908	3497	4310	2744	4457
"ENSG00000140263"	7582.32	7287.92	6993.22	5714.68	7776.84	330.15	1984.3	744.28	276.43	3404.69	1327.18	1447.06	1441.61	1465.25	877.62
"ENSG00000140264"	11356.55	12496.4	14704.17	10515.82	13843.73	2048.82	6591.53	4205.57	5326.47	11029.03	5654.08	6434.52	5396	3402.35	6757.48
"ENSG00000140265"	2675	2855	2765	1580	1899	161	1444	590	418	1524	706	1156	1668	1012	835
"ENSG00000140274"	0	1	3	0	0	0	0	0	0	0	0	1	0	0	1
"ENSG00000140279"	49	20.79	3	0	0	0	5	0	0	3.53	1	2	0	1	2
"ENSG00000140280"	342	663	799	251	373	27	309	173	185	694	259	350	517	259	484
"ENSG00000140284"	2293	4080	2931	1092	1530	129	141	237	202	894	309	318	222	260	248
"ENSG00000140285"	3	0	0	0	0	0	0	0	0	1	0	0	2	3	0
"ENSG00000140287"	25	88	28	0	0	0	15	46	0	0	4	1377	13	40	177
"ENSG00000140297"	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"ENSG00000140299"	3090	3773	3761	6200	8037	597	5357	3880	1356	11825	4788	3506	5208	3167	4834
"ENSG00000140307"	4302	4899	5249	1252	2091	178	747	756	354	3087	995	605	976	544	901
"ENSG00000140319"	3908	4362	4608	3312	4721	815	2969	931	491	2864	2658	1773	1897	1304	1501
"ENSG00000140320"	6586	6468	6360	2858	4038	309	1592	1074	1048	3671	1115	1403	2142	994	1345
"ENSG00000140323"	189	142	112	70	52	9	110	25	0	73	55	87	98	100	30
"ENSG00000140326"	2058	2737	2611	820	1065	124	699	378	552	1059	469	611	698	515	462
"ENSG00000140332"	6783	5716	5835	3079	4349	1023	11014	3558	3866	2750	4317	6209	4744	3265	1360
"ENSG00000140350"	6204	8761	8385	8472	10370	1172	5502	2518	1780	7667	5448	4573	4723	3477	3312
"ENSG00000140365"	1734	2149	2169	1062	1588	402	454	212	268	674	347	567	405	408	371
"ENSG00000140367"	1604	1609	1785	2014	2843	285	1683	778	533	980	928	1076	1225	939	800
"ENSG00000140368"	0	0	0	470	739	1	295	492	743	369	640	524	333	244	440
"ENSG00000140374"	5969	6908	7017	3600	5070	499	1405	915	604	2752	1727	1029	1249	1048	977
"ENSG00000140379"	0	0	4	93	214	0	176	58	421	107	528	285	366	174	281
"ENSG00000140382"	2914	3647	3772	2819	3346	196	1086	860	322	2562	1122	1061	1889	1295	1444
"ENSG00000140386"	192	143	196	375	424	65	728	808	370	962	804	766	842	642	914
"ENSG00000140391"	4089	4153	4633	1830	2577	156	3427	1567	683	7209	3622	2003	3754	2464	1991
"ENSG00000140395"	1726	3077	3116	977	1296	134	540	290	72	890	676	478	509	450	392
"ENSG00000140396"	3694	3734	3834	3490	4608	209	2520	2338	1199	5624	2678	2679	4576	2574	4482
"ENSG00000140398"	40	34	80	9	6	5	9	5	17	1	7	50	3	9	26
"ENSG00000140400"	2090	1631	1822	1975	2164	193	4392	2251	2821	2215	2459	4268	2147	2777	2498
"ENSG00000140403"	13	2	3	0	0	26	99	12	48	157	302	277	5	17	244
"ENSG00000140406"	1765	3361	5465	1587	2452	200	624	300	1290	2505	389	618	676	344	1106
"ENSG00000140416"	872	465	450	54	90	107	117	306	100	178	57	181	82	168	126
"ENSG00000140443"	5608	1222	1486	3746	4539	200	3437	4696	214	1254	83	1317	19	24	602
"ENSG00000140450"	1872	1117	1600	393	582	0	1080	396	900	1281	766	337	689	532	362
"ENSG00000140451"	198	278	190	124	181	0	2	5	300	0	28	19	1	3	22
"ENSG00000140455"	4620	4539	3841	2724	3526	86	1958	1259	679	2369	1654	2001	1302	1119	1919
"ENSG00000140459"	97	0	19	0	0	0	0	0	0	0	0	2	0	0	2
"ENSG00000140463"	1760	1350	1541	181	281	9	363	32	23	97	209	294	213	155	74
"ENSG00000140464"	4769	3728	3927	2194	2293	499	3650	3303	1115	5279	2783	3136	3513	2292	2138
"ENSG00000140465"	97	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140470"	14	0	0	0	6	0	3	9	0	6	5	21	5	9	15
"ENSG00000140471"	1126	1465	1393	639	737	53	398	617	217	413	534	397	673	526	293
"ENSG00000140474"	1817	1607	1736	1714	2117	81	869	908	523	1398	898	1080	958	1277	1347
"ENSG00000140478"	0	0	0	0	0	0	6.26	0	0	1	0	0	2	1	3
"ENSG00000140479"	1578.25	1414.68	1635.46	0	0	6	4	4	30	44	54	17	2	4	342.12
"ENSG00000140481"	7	2	1	0	0	0	0	0	0	0	5	0	0	0	0
"ENSG00000140488"	12.03	0	0	2.85	9.58	0	39.76	122.33	24.38	25.97	36.17	127.64	123.65	182.25	35.43
"ENSG00000140497"	2788	2885	3099	3334	4254	178	3699	1410	1063	4572	4264	2197	4343	2468	2764
"ENSG00000140505"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140506"	0.37	0	0	0	0	0	1	5	0	0	0	1.31	0	2.16	0
"ENSG00000140511"	271	52	57	0	2	0	38	253	6	798	56	67	9	44	27
"ENSG00000140519"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140521"	5335	3807	3677	2380	3395	329	2348	1510	2515	5603	1891	2358	3206	2333	1473
"ENSG00000140522"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140525"	8353	10649	11908	4794	6364	268	839	956	943	3510	1682	777	458	1143	1041
"ENSG00000140526"	9385	8717	7956	4575	5676	286	19074	8973	1648	14688	15430	10639	28388	11780	3946
"ENSG00000140527"	0	0	0	0	0	0	8	2	0	3	7	23	19	9	2
"ENSG00000140534"	4985	5325	5666	3009	3824	249	26	405	1402	1663	228	132	30	369	218
"ENSG00000140538"	25	0	0	556	672	0	0	3	0	0	1	0	2	1	0
"ENSG00000140543"	667.96	458.52	473.52	181.34	189.55	95.45	264	305.37	11	164.46	194.25	244.6	328.53	311.2	423.95
"ENSG00000140545"	4460	4123	4413	0	0	18	790	472	759	14027	751	542	441	2310	158
"ENSG00000140548"	1252	900	972	1039	981	125	441	390	340	1149	627	585	952	645	691
"ENSG00000140553"	3130	3299	3101	2022	2998	248	1446	673	1007	1609	1474	1417	1857	851	1566
"ENSG00000140557"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140563"	195	2	3	0	1	0	489	4592	1226	9019	2041	3294	2307	1920	3402
"ENSG00000140564"	10415	11544	13436	3198	5240	314	6568	3537	2560	13742	6503	3980	6099	2545	2298
"ENSG00000140575"	8591	9964	12236	17483	21072	1189	10575	3623	6509	27243	6841	5704	4088	1743	10057
"ENSG00000140577"	2128	2547	2505	1309	1580	65	876	550	537	4203	1258	799	801	489	1218
"ENSG00000140598"	2309.67	2001.99	1898.98	1213.98	1785.97	38	740	468	270	1623.97	802	735.98	925	631.99	624.97
"ENSG00000140600"	378	18	27	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140612"	3329	4622	5055	2600	3408	278	1798	519	787	1853	1653	1456	1344	714	1217
"ENSG00000140623"	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
"ENSG00000140632"	5479	8423	8990	5582	7031	630	2964	1802	1211	4332	3369	2790	3653	2364	2393
"ENSG00000140650"	1056.46	2265.89	2310.4	2118.12	2642.24	150.48	489.41	592.23	139.67	958.94	608.83	778.45	430.36	701.87	654.87
"ENSG00000140675"	0	0	3	0	0	0	0	0	22	0	3	0	0	1	0
"ENSG00000140678"	31	7	16	320	740	0	3084	737	1664	658	4261	4360	2042	1380	810
"ENSG00000140682"	0	3	3	8	5	0	27	52	112	527	325	14	108	39	294
"ENSG00000140688"	2777	2793	3038	2395	2647	397	2088	1591	1026	3291	2064	2584	2105	1636	2113
"ENSG00000140691"	759	1210	955	1581	1990	320	1567	1295	912	1419	961	1909	1839	1018	568
"ENSG00000140694"	1763	3319	3476	2211	2531	225	1778	847	298	2643	1806	1312	1361	1093	946
"ENSG00000140718"	1653	1391	1472	2636	3563	120	11733	1152	440	3419	2080	8420	1934	1328	1342
"ENSG00000140740"	5102	11377	12434	6749	8396	643	3482	1500	539	5620	3410	2390	3409	1975	1703
"ENSG00000140743"	1156.91	1857	1645	744.34	1219	86	333.08	130.28	120	444.69	277.47	182	188.94	95	126.14
"ENSG00000140749"	0	0	0	28	60	24	5	15	27	40	141	139	6	8	192
"ENSG00000140750"	1415	2620	2597	3420	3531	341	1403	908	380	3266	1593	1876	2287	1611	1029
"ENSG00000140795"	1921	1212	1644	3	1	0	1	10	0	3	4	6	5	3	0
"ENSG00000140798"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140807"	149	10	1	18	110	0	256	47	0	1	91	435	74	95	5
"ENSG00000140829"	3767	4186	4029	2410	3025	261	1288	743	969	2856	1152	1069	1522	1023	1049
"ENSG00000140830"	2113	1830	1963	625	836	67	437	131	95	525	349	281	331	234	202
"ENSG00000140832"	9	7	5	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140835"	1	0	0	695	1013	33	0	0	0	0	0	0	0	0	2
"ENSG00000140836"	202	13	59	96	70	0	58	534	146	254	423	269	299	89	161
"ENSG00000140839"	118.29	42.9	63.97	0	1	0	1	5.97	0	1	0	11.74	0	6.8	6
"ENSG00000140848"	574	461	460	2468	3447	447	631	481	734	3288	1391	652	1397	797	1901
"ENSG00000140853"	26	8	3	1285	2017	113	864	1596	1094	2732	1598	3648	760	832	1467
"ENSG00000140854"	3240	3494	3666	1257	1770	111	1364	1209	656	2676	1420	1058	1141	820	527
"ENSG00000140859"	3927	4616	4816	897	1078	286	197	319	247	19	81	282	176	106	59
"ENSG00000140873"	3	0	0	1	7	0	28	0	0	0	1	0	2	2	0
"ENSG00000140876"	129	123	102	689	758	141	127	54	14	132	218	24	150	103	121
"ENSG00000140905"	3321.63	5704.08	5397.76	1482.89	2341.36	297.18	386.5	200.69	210.51	1053.5	404.64	284.1	249.03	346.7	215.26
"ENSG00000140931"	2226	1960	1959	3366	5058	308	4145	926	523	3800	2328	2251	2486	1467	2082
"ENSG00000140932"	3	0	0	1	1	0	4	1	0	0	7	19	15	5	6
"ENSG00000140937"	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140939"	183	77	113	25	37	0	24	8	20	8	4	22	23	13	13
"ENSG00000140941"	8616.96	6000	6700.97	1042	1566.91	116	4198	1098	1098	6221.94	3699	2274	2400.98	1612.98	1064.06
"ENSG00000140943"	4117	5007	5234	5323	6917	381	3905	2213	981	4390	2607	3420	2553	1965	2939
"ENSG00000140945"	2	0	0	0	0	0	2	0	0	0	0	0	3	3	0
"ENSG00000140948"	2747	2904	2564	1906	1993	117	529	365	195	1584	323	354	657	508	189
"ENSG00000140950"	1026	788	690	235	262	9	130	29	87	204	164	235	157	111	334
"ENSG00000140955"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000140961"	405	155	243	30	46	0	53	74	44	35.06	46	132.38	31	80	72
"ENSG00000140968"	2	0	1	12435	10262	1872	63	84	242	521	665	417	104	114	621
"ENSG00000140983"	5467	7361	7746	2430	3211	370	1332	1314	1224	1783	1067	2072	1268	1304	1168
"ENSG00000140986"	10	5	6	0	0	0	0	0	0	0	0	1	0	0	23
"ENSG00000140987"	1144	1010	1154	947	1234	95	398	208	21	331	332	395	364	313	202
"ENSG00000140988"	83318.58	167869.24	192480.41	173831.99	217521.28	20177.67	82348.53	29406.23	14070.19	137128.72	63235.42	46305.27	68690.4	41452.41	60109.93
"ENSG00000140990"	1520	2804	2901	1384	1953	329	445	161	210	954	397	256	442	293	299
"ENSG00000140992"	4920.73	5636.43	5455.85	4029.49	5121.84	220	2365.69	1624.76	1485.12	3661.31	1936.14	2014.59	3186.76	1683.97	1548.18
"ENSG00000140993"	449	388	437	0	0	0	88	220	29	410	82	59	91	53	104
"ENSG00000140995"	3296	2141	2268	654	982	49	371	412	399	589	419	457	299	258	542
"ENSG00000141002"	2824	4006.6	4103.98	4011	5179.29	216	3032.29	1635.16	1074.59	3791.14	2319	2736.05	2846.78	1709.64	1817.76
"ENSG00000141012"	514	542	577	581	735	44	961	327	364	715	672	624	588	431	407
"ENSG00000141013"	512	414	440	77	141	33	130	157	43	72	120	176	182	115	62
"ENSG00000141026"	1000	953	971	645	756	57	398	142	53	1017	512	392	501	376	561
"ENSG00000141027"	6884	7980	8051	10717	12392	817	8736	2894	2762	12726	7198	7583	9608	6443	6298
"ENSG00000141028"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141030"	4966	5320	5534	3738	5594	320	1688	457	435	2637	1753	928	1127	874	808
"ENSG00000141034"	1003	932	1101	518	603	39	598	237	94	1345	459	311	785	401	440
"ENSG00000141040"	18	1	0	0	0	0	1	26	6	14	0	29	2	0	38
"ENSG00000141052"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141068"	12673	10603.68	9289	1391.42	2238.83	73.08	1941.52	508.92	494.34	9445.27	1555.4	1290.82	1248.4	782.52	2253.65
"ENSG00000141076"	9301	10250	10888	3894	5409	279	972	496	158	2926	861	728	680	709	793
"ENSG00000141084"	2420	2482	2642	1213	1624	123	1454	948	258	1588	811	1098	1351	821	819
"ENSG00000141086"	121.75	109.67	193.37	10.6	10.43	0	43.56	38.7	13	27.22	44.67	105.64	37.19	18.92	40.67
"ENSG00000141096"	0	0	0	0	0	0	6	21	0	4769	4	12	9	7	0
"ENSG00000141098"	1167	1388	1589	446	664	66	698	304	264	556	399	498	559	513	410
"ENSG00000141101"	3818	5391	5577	3048	3963	392	1703	552	421	2504	1482	1094	1526	976	1003
"ENSG00000141127"	1363	1579	1471	493	730	57.68	634.98	179	266	936.97	700	505	609.03	328	518
"ENSG00000141161"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"ENSG00000141179"	1478	1769	2456	256	568	54	741	105	275	1005	711	579	1040	504	486
"ENSG00000141194"	0	2	0	1	0	0	4.51	0	0	14.93	0	5.54	1	1	0
"ENSG00000141198"	426	2134	2002	0	0	9	219	3	0	91	57	270	12	6	8
"ENSG00000141200"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141219"	1684	2017	2025	1490	1985	125	495	200	126	1269	446	538	1207	588	545
"ENSG00000141232"	1373	2399	3094	983	1690	224	3933	573	536	1964	1591	945	982	380	1290
"ENSG00000141252"	4310	3260	3369	2980	3722	200	2449	824	562	3274	1951	1897	2199	1912	1657
"ENSG00000141255"	92.14	103.73	21.36	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141258"	1433	1312	1177	887	1135	81	1677	277	613	1594	1475	2407	1865	1707	1447
"ENSG00000141279"	6304.28	8414.45	9109.68	3019.86	4576.34	259.59	4488.14	1333.51	1661.09	5049.82	3470.52	2845.62	4254.07	2892.36	2185.46
"ENSG00000141293"	5	1	1	0	0	0	19	11	17	20	18	27	16	18	10
"ENSG00000141294"	48	49	56	24	23	0	32	0	9	12	32	21	23	22	2
"ENSG00000141295"	541	465	585	256	310	39	777	168	264	666	497	638	659	454	419
"ENSG00000141298"	1744	1356	1193	5594	5891	240	3509	1123	1108	15274	3711	3106	4394	5752	3248
"ENSG00000141314"	3	11	2	4	0	0	1	4	14	6	14	7	2	0	4
"ENSG00000141316"	9	1	2	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141337"	82	80	54	561.33	587.02	41	14	5	8	17.59	13	26.89	6	33	51.16
"ENSG00000141338"	7	27	245	0	3	0	0	0	0	0	0	1	0	0	6
"ENSG00000141349"	2421	2547	2894	2622	3494	188	1017	308	320	1903	1342	944	1276	877	699
"ENSG00000141367"	32057	45431	57086	31070	39083	1856	12590	3386	3980	18892	11704	7188	14768	7337	5768
"ENSG00000141371"	0	0	0	2	6	0	4	0	0	11	4	3	3	3	0
"ENSG00000141376"	416	471	452	656	891	29	1572	156	130	900	1309	1203	1676	968	800
"ENSG00000141378"	2080	2571	2800	1059	1506	160	364	136	60	481	375	315	371	552	232
"ENSG00000141380"	5653	5817	5484	2723	4098	140	2225	655	572	2625	1494	1756	2281	1530	1075
"ENSG00000141384"	2723	2602	3072	1996	2509	278	651	446	181	1574	447	606	375	492	478
"ENSG00000141385"	4190	7478	7291	4025	5308	462	1868	548	942	3238	1950	1252	1472	1284	920
"ENSG00000141391"	277	257	179	78	91	38	68	109	215	100	98	45	30	52	27
"ENSG00000141401"	214	382	365	999	1427	187	1205	429	410	3471	1392	1346	1076	632	871
"ENSG00000141404"	332	80	152	0	1	0	5	1	0	7	0	1	2	0	0
"ENSG00000141424"	2766	2165	1916	3294	4244	287	2060	351	234	2705	1218	1276	2110	1061	773
"ENSG00000141425"	5730	3877	4176	3902	5100	332	2011	884	887	3261	1692	1537	1762	1727	1318
"ENSG00000141428"	1353.03	1505.12	1467.34	466.3	652.31	40	415.08	106.05	35	292.69	326.19	221.4	297.82	198.99	198.5
"ENSG00000141429"	3071	4193	5096	5719	7084	430	5056	1132	684	8864	3543	3174	4353	2030	2686
"ENSG00000141431"	0	0	1	1	7	0	0	0	0	0	0	0	0	0	1
"ENSG00000141433"	15	166	57	0	0	0	0	0	0	2	0	0	0	0	0
"ENSG00000141434"	1	1	0	0	1	0	2	1	0	2	0	0	1	2	1
"ENSG00000141437"	4.02	3	3	0	0	0	2.01	0	0	0	1.02	2	1	1	2
"ENSG00000141441"	35	14	11	99	54	30	2	0	22	0	2	2	2	13	1
"ENSG00000141446"	2571	2128	2250	1245	1586	74	1515	418	366	1041	1188	1198	1220	1115	839
"ENSG00000141447"	1	0	0	2074.3	1978	292	576	405	224	1649	755	775.29	695	703	782
"ENSG00000141448"	129	10	23	0	0	0	3	0	0	0	0	0	0	0	0
"ENSG00000141449"	313	0	0	0	0	0	3	1	0	0	1	1	2	3	0
"ENSG00000141452"	2212	1591	1933	618	892	54	1035	170	233	1041	509	645	583	318	879
"ENSG00000141456"	6235	7705	7346	4170	5277	864	966	558	1185	3698	1019	821	1417	1128	772
"ENSG00000141458"	5214	4636	5795	1437	2007	62	761	476	345	1568	639	653	1107	644	724
"ENSG00000141469"	10	0	0	7	3	0	80	38	0	26	16	114	31	41	127
"ENSG00000141480"	739	403	389	2352	3351	390	1847	1004	2525	2696	2455	1043	2041	1439	2076
"ENSG00000141485"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141497"	1	0	0	0	0	0	1	0	0	0	12	6	0	0	8
"ENSG00000141499"	1308	1083	1104	924	1377	50	472	53	350	807	367	377	386	236	263
"ENSG00000141503"	3707	3532	3590	781	734	219	550	486	973	1630	527	915	883	569	1339
"ENSG00000141504"	208	70	74	1	32	12	397	70	144	343	346	362	386	191	266
"ENSG00000141505"	10	26	41	3	1	0	5	9	14	19	13	20	6	4	23
"ENSG00000141506"	33	22	4	975	974	11	1232	168	413	616	1073	739	739	936	349
"ENSG00000141510"	351	163	232	13791	14214	573	3846	1039	629	6402	3222	2844	3517	2719	2617
"ENSG00000141519"	27	27	11	0	3	0	39	10	5	4	5	78	3	1	0
"ENSG00000141522"	12131	17948	17851	14813	22091	2077	10128	1780	20646	17775	9809	5755	7020	4649	4527
"ENSG00000141524"	14074.43	8621.67	11094.09	2499.14	3509.51	221.62	1529.75	1389.59	2574.43	2032.29	1818.43	2256.51	3022.85	1870.05	2211.73
"ENSG00000141526"	141	57	162	4630	8820	840	990	466	2854	2340	1376	1964	1585	1167	730
"ENSG00000141527"	6	0	1	0	0	0	1	0	0	3	0	0	0	0	2
"ENSG00000141540"	890	497	494	139	125	9	686	143	73	1115	1125	664	787	427	339
"ENSG00000141542"	173	114	185	0	0	14	67	65	0	88	57	94	240	131	51
"ENSG00000141543"	5802	7824	7365	4365	5404	581	1269	407	515	2904	1448	1001	1368	1104	844
"ENSG00000141551"	6117	7324	7881	3271	3627	382	4336	955	1479	4384	2257	3184	4649	3028	2858
"ENSG00000141552"	1867	1950	2312	1102	1529.3	193	428	107	697	821	382	445	299	270	376
"ENSG00000141556"	4786	5197	5002	1757	3612	209	1224	459	1045	2703	1261	969	1157	1119	939
"ENSG00000141560"	1485	1654	1577	558	661	39	464	113	353	1806	740	414	628	481	653
"ENSG00000141562"	12524	10218	9880	1144	1570	89	887	390	794	1554	625	935	1014	767	622
"ENSG00000141564"	6160	7161	6642	3995	5147	322	2223	911	1548	3875	1897	1708	2613	1832	1507
"ENSG00000141568"	8069	10361	11122	4979	6288	371	1303	773	923	4901	1277	1181	2386	1567	1384
"ENSG00000141569"	2606	4394	4304	3398	4482	1537	1360	395	879	1862	761	1505	924	958	903
"ENSG00000141570"	600	545	530	1158	1248	38	75	112	88	98	20	42	319	142	95
"ENSG00000141574"	17	6	87	2	2	0	24	21	290	794	536	107	12	3	117
"ENSG00000141576"	2064	2150	2611	1	0	0	13	35	11	35	26	14	8	10	11
"ENSG00000141577"	519	456	445	117	88	14	113	59	153	293	89	186	172	153	169
"ENSG00000141579"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141580"	2783	2994	3128	1835	2563	134	3260	440	458	2265	1402	1307	2111	1442	968
"ENSG00000141582"	2293	1744	2581	1848	2583	323	1169	324	779	858	1051	1052	1417	834	1153
"ENSG00000141622"	31	33	8	0	0	0	4	105	49	64	11	3	20	68	316
"ENSG00000141627"	1891	2042	2055	2841	3403	179	3773	696	721	4431	2728	1959	3150	1710	1804
"ENSG00000141639"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141642"	189.07	266.63	294.41	270.44	362.95	22	161.71	66.78	6	135.51	189.39	196.83	311.43	180.38	174.6
"ENSG00000141644"	3079	2912	3069	1877	2754	226	2311	620	1432	2815	2006	1664	2425	1576	1435
"ENSG00000141646"	3322.36	3535.73	3362.94	3665.79	3706.67	312	4777.66	1111.85	1270	7662.78	3365.46	2975.39	5397.03	3459.87	3033.55
"ENSG00000141655"	41	13	6	22	8	12	22	23	64	99	33	97	26	16	64
"ENSG00000141664"	886	1138	1032	2142	2144	165	1988	540	1446	1852	1427	1390	1467	1112	1234
"ENSG00000141665"	22	2	12	7	45	37	14	8	1	14	5	17	5	11	26
"ENSG00000141668"	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0
"ENSG00000141682"	833	997	988	837	1074	96	1981	506	640	2679	1583	1174	1111	467	3896
"ENSG00000141696"	42	57	74	81	113	9	38	57	21	424	67	92	94	79	95
"ENSG00000141698"	3229	3591	3889	0	0	19	286	45	115	1006	62	364	199	157	282
"ENSG00000141699"	4106	3967	3690	2439	3104	219	2258	427	727	4729	1987	2010	3451	1457	2277
"ENSG00000141736"	736	487	551	48	43	2	103	39	35	169	96	139	205	133	166
"ENSG00000141738"	137	288	478	0	0	0	1	0	0	0	2	1	0	0	0
"ENSG00000141741"	1857	2206	2756	825	1485	216	760	130	780	594	650	624	636	418	523
"ENSG00000141744"	1189	753	698	0	0	0	1	0	0	0	0	0	2	21	7
"ENSG00000141748"	0	0	0	1	0	0	1	4	0	9	3	15	1	0	3
"ENSG00000141750"	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141753"	10626	13539	20007	116	117	112	7	0	76	14	8	1	3	2	18
"ENSG00000141756"	21	10	12	0	0	0	4	0	0	53	1	12	0	1	4
"ENSG00000141759"	2610	2538	2532	2137	3029	234	977	397	692	2016	766	767	772	668	564
"ENSG00000141837"	13	9	22	487	417	12	54	25	36	37	28	43	60	16	56
"ENSG00000141854"	42	66	65	14	36	0	25	16	16	18	15	13	21	12	13
"ENSG00000141858"	4667	4442	5912	4000	5662	314	1544	1359	1257	6244	1269	589	1480	913	954
"ENSG00000141867"	9702	10280	10816	8274	9848	1020	5651	2234	3447	9355	4619	1743	5388	2986	1399
"ENSG00000141873"	7128.71	8688.48	8261.08	3110.25	3641.17	436	1737.73	1365.94	977.14	3112.04	2355.66	1968.54	2153.27	1402.64	1127.34
"ENSG00000141905"	5682	6901	6272	3527	4091	617	4643	2643	2894	6510	3285	2053	3878	2579	1127
"ENSG00000141933"	571	518	413	609	715	51	245	121	295	616	194	395	303	217	247
"ENSG00000141934"	200	130	187	0	0	0	3	2	0	0	0	2	1	0	3
"ENSG00000141946"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141956"	1025	1076	1119	691	857	89	423	470	341	639	243	648	450	527	586
"ENSG00000141959"	5862	8760	8871	9410	11008	863	4846	2601	3911	12111	3962	4642	4061	2971	5466
"ENSG00000141965"	6010	7010	6316	6007	8376	988	1600	1154	966	2277	915	1656	1850	1146	1333
"ENSG00000141968"	267	276	681	4733	6027	392	1215	1416	1180	2686	1708	1903	2132	1093	1941
"ENSG00000141971"	889.58	1124.46	1084.11	1020.28	1190.59	83	497.39	194.18	261	557.8	387.02	347	418.56	306.12	274.07
"ENSG00000141977"	0	0	0	31	24	1	3	0	0	0	2	6	0	1	1
"ENSG00000141979"	0	0	0	3.58	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000141985"	5518	5015	6104	2171	3195	270	1450	952	829	2280	1335	1144	1224	691	1042
"ENSG00000141994"	3235	4428	3829	2710	3880	451	989	671	708	1568	688	1288	821	816	897
"ENSG00000142002"	5650	6023	6206	4413	6524	446	2052	1036	1856	2863	1650	1665	1728	1217	1169
"ENSG00000142025"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000142039"	3041	2240	1704	3752	5367	814	2778	1493	907	3754	2044	1922	3355	1558	1268
"ENSG00000142046"	75.34	29	50	110.39	141.3	11	398.76	307	166	291.17	294	355.72	142.49	196	272
"ENSG00000142065"	184	67	49	0	155	300	362	450	123	268	258	322	575	539	368
"ENSG00000142082"	1284	982	996	317	469	0	343	140	105	475	375	352	529	377	282
"ENSG00000142089"	143.97	140.79	281.66	358.33	356.28	24	279.45	861.88	504	6588.76	1605.75	54.2	283.14	176.4	1251
"ENSG00000142102"	1890	958	1481	327	361	20	446	304	184	397	373	726	366	639	357
"ENSG00000142149"	11	4	0	0	3	103	0	3	0	0	0	2	0	0	0
"ENSG00000142156"	721	114	139	0	1	11	1172	104	27	21	12	21	0	1	333
"ENSG00000142163"	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
"ENSG00000142166"	3391	3908	3944	3424	4271	265	1703	1277	768	2925	1463	1076	1616	938	1398
"ENSG00000142168"	11610	15207	13600	3388	4815	659	1088	866	1004	3660	1709	1083	1269	788	1149
"ENSG00000142173"	736	216	99	0	0	0	108	10	0	8	8	4	8	3	768
"ENSG00000142178"	74	31.39	22.62	46.05	36.12	1.62	217.08	38.83	102.89	666.19	9.77	528.79	38.16	111.44	76.15
"ENSG00000142182"	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0
"ENSG00000142185"	140	110	67	4049	4722	256	153	430	1409	328	252	619	321	1208	2555
"ENSG00000142186"	5521	6233	6749	1267	1774	89	1398	800	826	2378	1072	1204	1697	889	1134
"ENSG00000142188"	1850	1985	1731	804	1191	66	924	702	718	1196	1054	947	982	686	642
"ENSG00000142192"	63	16	2	0	0	955	31	5989	2937	20802	18	33	7	16	5150
"ENSG00000142197"	455	805	1023	3217	5250	111	2647	665	854	1941	1735	1580	1968	1456	733
