Gene1	Gene2	Annotation	Direction	Score	weight	Scaled_weight
PSMD13	PSMD2	complex; predicted	-	1	9446.80044601867	0.94988774088733
RPL12	RPL35	catalyze; catalyzed by; complex; input	<->	1	9432.94674579254	0.949735445048514
RPL34	RPS5	catalyze; catalyzed by; complex; input	<->	1	9426.61861656798	0.949665804525563
NUP50	SRSF2	activate; input	->	1	9423.87330079197	0.949635578018127
PRKAA1	RRAGC	catalyze	->	1	9418.75052217711	0.949579151588827
HCFC1	HSPA8	predicted	-	0.64	9413.97151597643	0.949526484070522
PUF60	RBM8A	complex; input	-	1	9402.95089646069	0.949404928235172
PPP2CA	RPL14	complex; input	-	1	9400.11168279044	0.949373589040131
NCOR1	WDR5	catalyzed by; input	<-	1	9395.89192888839	0.949326993971156
PPP2CA	RPS4X	complex; input	-	1	9393.69358142387	0.949302711242497
RPL17	RPL23A	catalyze; catalyzed by; complex; input	<->	1	9391.94854244245	0.949283431668317
PSMC4	UBB	catalyze	->	1	9391.93490969724	0.949283281036651
KPNA1	NUP50	activated by; catalyzed by	<-	1	9382.73347164181	0.949181562099229
RBM8A	SNRPA1	complex; input	-	1	9369.13446591643	0.949031046661832
RPL18A	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	9367.01638742942	0.949007583851786
RPL14	RPS5	catalyze; catalyzed by; complex; input	<->	1	9366.18501882429	0.948998372996348
RPL12	RPL8	catalyze; catalyzed by; complex; input	<->	1	9365.28225285914	0.948988370193063
DDX5	RBM39	predicted	-	0.59	9361.91049936544	0.948951002052464
RPS4X	RPS5	catalyze; catalyzed by; complex; input	<->	1	9359.79008151957	0.948927495198714
RPL17	RPL28	catalyze; catalyzed by; complex; input	<->	1	9355.71295760602	0.948882281424511
DDX5	EFTUD2	complex; input	-	1	9350.56620894331	0.94882517776935
HSP90AB1	RNF40	predicted	-	0.73	9349.52020735745	0.948813568441446
PCBP1	PPIH	complex; input	-	1	9342.41430718804	0.948734667312029
HNRNPH1	MBNL1	predicted	-	0.64	9328.86909858996	0.948584100258817
HSP90AA1	PSMC4	predicted	-	0.66	9312.68222049296	0.948403881704123
HNRNPA2B1	POLR2C	complex; input	-	1	9302.47270832855	0.948290051706339
RBM8A	RPL29	complex; input	-	1	9295.67851886711	0.948214231275849
CDC40	PUF60	complex; input	-	1	9294.7312850839	0.948203656125177
PCBP1	PRPF3	complex; input	-	1	9291.86847729611	0.948171688483814
RPL7A	RPS13	catalyze; catalyzed by; complex; input	<->	1	9289.21760719079	0.948142078668193
CDC40	SNRPA1	complex; input	-	1	9261.30405161318	0.947829774551837
PSMC2	RPS5	predicted	-	0.66	9260.38515726348	0.947819477726715
PSMA5	PSMD2	complex; predicted	-	1	9254.06207668996	0.947748595666738
PPP2CA	RPS5	complex; input	-	1	9237.86055653395	0.947566754521966
RPL12	RPL31	catalyze; catalyzed by; complex; input	<->	1	9215.5737491964	0.947316092109691
RPL26	RPL7A	catalyze; catalyzed by; complex; input	<->	1	9207.96003930854	0.947230320855218
CTR9	RNF40	complex; input	-	1	9205.5014012164	0.947202608239483
EEF2	RPL17	input	-	1	9204.77622318152	0.947194432959187
RPL34	RPS13	catalyze; catalyzed by; complex; input	<->	1	9196.53868501269	0.947101521996646
CPSF2	SUPT5H	predicted	-	0.73	9196.20554194235	0.947097762734595
RPL17	RPS19	catalyze; catalyzed by; complex; input	<->	1	9189.93595594968	0.947026989893496
HNRNPA2B1	USP39	complex; input	-	1	9172.38222817391	0.946828581367497
DDX3X	EIF3B	predicted	-	0.64	9170.62177945645	0.94680866219618
RPL35	RPL7A	catalyze; catalyzed by; complex; input	<->	1	9169.03531642268	0.946790708366748
RPL14	RPS13	catalyze; catalyzed by; complex; input	<->	1	9137.58011862416	0.946434090467431
HNRNPU	SRSF2	complex; input	-	1	9136.20819054937	0.946418508542678
RPS13	RPS4X	catalyze; catalyzed by; complex; input	<->	1	9131.34126557373	0.946363212669797
CUL4A	YY1	activated by	<-	1	9124.96670749411	0.946290743131467
RPL26	RPL34	catalyze; catalyzed by; complex; input	<->	1	9116.09182736769	0.94618976418367
HSPA8	PUF60	complex; input	-	1	9112.06041291083	0.946143862020034
RPL7A	RPL8	catalyze; catalyzed by; complex; input	<->	1	9103.26391517409	0.946043633511296
IGBP1	PPP2CA	PPrel: activation; predicted	->	1	9103.2580323506	0.946043566449192
PCBP1	SNRPD2	complex; input	-	1	9088.79335913439	0.945878543101931
COPS4	PSMD2	predicted	-	0.66	9088.68383622946	0.945877292584661
PABPC1	RPL17	complex; input	-	1	9082.88467451808	0.945811057031706
HSPA8	SNRPA1	complex; input	-	1	9079.29013031962	0.945769980446694
RPL34	RPL35	catalyze; catalyzed by; complex; input	<->	1	9077.55545811027	0.9457501516952
RBM8A	RPS4Y1	complex; input	-	1	9076.59676425873	0.945739191398324
CUL4A	RAD23B	complex; input	-	1	9076.2306141545	0.945735005070518
PPP2CA	PTBP1	predicted	-	0.98	9073.71172188135	0.945706201077605
PTBP1	SRSF2	complex; input	-	1	9064.41412595328	0.945599812098101
RPL14	RPL26	catalyze; catalyzed by; complex; input	<->	1	9057.64900190731	0.945522332654456
RPL26	RPS4X	catalyze; catalyzed by; complex; input	<->	1	9051.46472331586	0.945451454856821
RPL18A	RPS8	catalyze; catalyzed by; complex; input	<->	1	9050.31955355988	0.945438324793113
RPL29	RPLP2	catalyze; catalyzed by; complex; input	<->	1	9049.15781435011	0.945425003052861
POLR2C	SUPT5H	activated by; complex; input	<-	1	9048.9444606082	0.945422556325526
PSMD2	UBB	catalyze	->	1	9031.77193505978	0.94522543345461
DCTN1	PPP1CA	predicted	-	0.64	9031.74894250035	0.945225169272588
RPL14	RPL35	catalyze; catalyzed by; complex; input	<->	1	9019.35968745638	0.945082720165986
RPL35	RPS4X	catalyze; catalyzed by; complex; input	<->	1	9013.20155160767	0.945011842368351
RPL34	RPL8	catalyze; catalyzed by; complex; input	<->	1	9012.44026095072	0.945003076839749
PPP2CA	RPS13	complex; input	-	1	9012.38773207608	0.945002471993049
DCP1A	RPL18A	input	-	1	9007.38585556411	0.944944861446581
RPL18A	RPL32	catalyze; catalyzed by; complex; input	<->	1	9007.04675096518	0.944940954554276
CDC40	PPIH	complex; input	-	1	9006.7423241091	0.944937447065925
HNRNPA2B1	HNRNPM	complex; input	-	1	9005.99581546918	0.944928845580629
EIF4G1	RPL17	complex; input	-	1	8998.44624602773	0.944841817202504
CUL4A	SUMO2	complex	-	1	8992.62191458475	0.944774626760895
RPS13	RPS5	catalyze; catalyzed by; complex; input; reaction	<->	1	8979.8604323549	0.944627255949266
CNOT1	CNOT10	complex	-	1	8966.00768701498	0.944467045878266
HSP90AA1	KPNB1	predicted	-	0.64	8965.59423350217	0.94446226039342
CDC40	PRPF3	complex; input	-	1	8958.01260067513	0.94437446823771
RPL31	RPL7A	catalyze; catalyzed by; complex; input	<->	1	8957.74389961111	0.944371355427924
HNRNPA2B1	NUDT21	complex; input	-	1	8954.72015331421	0.944336319923892
RPL14	RPL8	catalyze; catalyzed by; complex; input	<->	1	8954.66194068835	0.944335645310534
HNRNPU	PTBP1	complex; input	-	1	8950.6488609574	0.944289128034038
RPL8	RPS4X	catalyze; catalyzed by; complex; input	<->	1	8948.5479784315	0.9442647675129
DCTN1	DYNC1H1	complex; input	-	1	8948.5105094302	0.944264332993863
RPL18A	RPL3	catalyze; catalyzed by; complex; input	<->	1	8946.05993906269	0.944235910364579
PPP2CA	RPL26	complex; input	-	1	8933.5517376051	0.944090714180074
PSMC2	UBQLN1	predicted	-	0.56	8931.32491813793	0.944064843768528
MBNL1	SRSF1	predicted	-	0.98	8926.12832697681	0.944004446487374
CPSF2	PCBP1	complex; input	-	1	8923.94111235456	0.943979015112429
CUL4A	DCAF7	complex	-	1	8922.28150701747	0.943959714243305
RPL26	RPS5	catalyze; catalyzed by; complex; input	<->	1	8901.30897091746	0.943715498136291
PPP2CA	RPL35	complex; input	-	1	8895.78701835259	0.943651101691604
COPS6	CUL4A	catalyze; complex	->	1	8874.34902822351	0.943400714636331
RPL31	RPL34	catalyze; catalyzed by; complex; input	<->	1	8868.37210481961	0.943330798756377
RBM8A	SNRPD2	complex; input	-	1	8864.25363504532	0.943282594965822
RPL35	RPS5	catalyze; catalyzed by; complex; input	<->	1	8863.68055120938	0.943275885647821
RPL15	RPL29	catalyze; catalyzed by; complex; input	<->	1	8850.90985981246	0.943126261490203
CSNK2A1	SUPT6H	predicted	-	0.73	8837.8714204697	0.942973277450189
RPLP2	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	8835.88609161656	0.942949963175337
