	Gene1	Gene2	Annotation	Direction	Score
101	ACAD9	NDUFS5	complex; input	-	1
102	ACAD9	NDUFS6	complex; input	-	1
103	ACAD9	NDUFS7	complex; input	-	1
104	ACAD9	NDUFS8	complex; input	-	1
105	ACAD9	NDUFV1	complex; input	-	1
106	ACAD9	NDUFV2	complex; input	-	1
107	ACAD9	NDUFV3	complex; input	-	1
108	ACAD9	TIMMDC1	complex; input	-	1
109	ACAD9	TMEM126B	complex	-	1
110	ACAP1	ARHGAP4	predicted	-	0.98
111	ACAT1	ACAT2	predicted	-	0.98
112	ACAT1	ACO2	predicted	-	0.64
113	ACAT1	DLD	predicted	-	0.78
114	ACAT1	HADHA	predicted	-	0.97
115	ACAT1	PEX7	predicted	-	0.64
116	ACAT1	RPGRIP1L	predicted	-	0.54
117	ACAT1	XRCC5	predicted	-	0.56
118	ACAT1	XRCC6	predicted	-	0.56
119	ACD	SYNE1	complex; input	-	1
120	ACO1	APP	predicted	-	0.64
121	ACO1	C12ORF57	predicted	-	0.64
122	ACO1	GLRX3	inhibited by	|-	1
123	ACTB	ARID1B	complex	-	1
124	ACTB	BRK1	complex; input	-	1
125	ACTB	CASP6	PPrel: inhibited by	|-	1
126	ACTB	FSCN1	predicted	-	0.56
127	ACTB	H2AFX	predicted	-	0.73
128	ACTB	ITGB2	complex; input	-	1
129	ACTB	KDM3B	PPrel: binding/association	-	1
130	ACTB	METAP1	predicted	-	0.56
131	ACTB	MYO1F	PPrel: binding/association	-	1
132	ACTB	NCK1	complex; input	-	1
133	ACTB	POLR1D	input	-	1
134	ACTB	SMARCC1	PPrel: binding/association	-	1
135	ACTB	STX7	predicted	-	0.56
136	ACTBL2	ITGB2	complex; input	-	1
137	ACTG1	ARID1B	complex	-	1
138	ACTG1	BRK1	complex; input	-	1
139	ACTG1	CASP6	PPrel: inhibited by	|-	1
140	ACTG1	ITGB2	complex; input	-	1
141	ACTG1	KDM3B	PPrel: binding/association	-	1
142	ACTG1	METAP1	predicted	-	0.56
143	ACTG1	MYO1F	PPrel: binding/association	-	1
144	ACTG1	NCK1	complex; input	-	1
145	ACTG1	SMARCC1	PPrel: binding/association	-	1
146	ACTL6A	ARID1B	complex	-	1
147	ACTL6A	KDM3B	PPrel: binding/association	-	1
148	ACTL6A	SMARCC1	PPrel: binding/association	-	1
149	ACTL6A	WDR77	predicted	-	0.92
150	ACTL6B	ARID1B	complex	-	1
151	ACTL6B	KDM3B	PPrel: binding/association	-	1
152	ACTL6B	SMARCC1	PPrel: binding/association	-	1
153	ACTN1	ILK	complex; input	-	1
154	ACTN1	ITGB2	complex; input	-	1
155	ACTN1	PIP4K2B	PPrel: compound	-	1
156	ACTN1	SRC	activated by	<-	1
157	ACTN2	ITGB2	complex; input	-	1
158	ACTN2	SRC	catalyzed by	<-	1
159	ACTN3	ITGB2	complex; input	-	1
160	ACTN4	ITGB2	complex; input	-	1
161	ACTN4	PIP4K2B	PPrel: compound	-	1
162	ACTR10	CD59	complex; input	-	1
163	ACTR10	DCTN5	complex; input	-	1
164	ACTR10	HLA-DPB1	input	-	1
165	ACTR10	HLA-DRA	input	-	1
166	ACTR10	HLA-DRB5	input	-	1
167	ACTR1A	CD59	complex; input	-	1
168	ACTR1A	CKAP5	complex	-	1
169	ACTR1A	DCTN5	complex; input	-	1
170	ACTR1A	HLA-DPB1	input	-	1
171	ACTR1A	HLA-DRA	input	-	1
172	ACTR1A	HLA-DRB5	input	-	1
173	ACTR1A	SYNE1	predicted	-	0.56
174	ACTR1B	DCTN5	input	-	1
175	ACTR1B	HLA-DPB1	input	-	1
176	ACTR1B	HLA-DRA	input	-	1
177	ACTR1B	HLA-DRB5	input	-	1
178	ACTR2	BRK1	activated by; complex; input	<-	1
179	ACTR2	CD247	input	-	1
180	ACTR2	IGKV3-20	input	-	1
181	ACTR2	MBNL1	predicted	-	0.59
182	ACTR2	NCK1	activated by; complex; input	<-	1
183	ACTR2	VAMP8	complex; input	-	1
184	ACTR3	BRK1	activated by; complex; input	<-	1
185	ACTR3	CD247	input	-	1
186	ACTR3	IGKV3-20	input	-	1
187	ACTR3	MBNL1	predicted	-	0.59
188	ACTR3	NCK1	activated by; complex; input	<-	1
189	ACTR3	VAMP8	complex; input	-	1
190	ACTR5	H2AFX	predicted	-	0.64
191	ADA	ADORA1	predicted	-	0.64
192	ADA	ADORA2A	predicted	-	0.64
193	ADA	DPP4	predicted	-	0.98
194	ADA	LEF1	expression regulated by	<-	1
195	ADA	NFIC	expression regulated by	<-	1
196	ADA	SP1	expression regulated by	<-	1
197	ADA	UBB	predicted	-	0.73
198	ADA2	ITGB2	predicted	-	0.59
199	ADAM12	SRC	predicted	-	0.54
200	ADAM15	SRC	predicted	-	0.99
201	ADAM17	SRC	predicted	-	0.64
202	ADAM9	CEBPB	expression regulated by	<-	1
203	ADAR	STAT5B	predicted	-	0.54
204	ADCY1	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
205	ADCY10	GNG5	PPrel: activated by; PPrel: inhibited by	-	1
206	ADCY2	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; catalyzed by; inhibited by	-	1
207	ADCY3	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
208	ADCY4	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
209	ADCY5	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
210	ADCY6	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
211	ADCY7	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; catalyzed by; inhibited by	-	1
212	ADCY8	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
213	ADCY9	GNG5	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
214	ADCYAP1R1	GNG5	PPrel: activation	->	1
215	ADD1	DMTN	complex; input	-	1
216	ADD2	DMTN	complex; input	-	1
217	ADD3	DMTN	complex; input	-	1
218	ADH5	ALDH1A3	ECrel: compound	-	1
219	ADH5	ALDH3A1	ECrel: compound	-	1
220	ADH5	ALDH3B1	ECrel: compound	-	1
221	ADH5	ALDH4A1	predicted	-	0.64
222	ADH5	ESD	predicted	-	0.64
223	ADH5	PHGDH	predicted	-	0.64
224	ADH5	UGT1A1	ECrel: compound	-	1
225	ADH5	UGT1A10	ECrel: compound	-	1
226	ADH5	UGT1A3	ECrel: compound	-	1
227	ADH5	UGT1A4	ECrel: compound	-	1
228	ADH5	UGT1A5	ECrel: compound	-	1
229	ADH5	UGT1A6	ECrel: compound	-	1
230	ADH5	UGT1A7	ECrel: compound	-	1
231	ADH5	UGT1A8	ECrel: compound	-	1
232	ADH5	UGT1A9	ECrel: compound	-	1
233	ADH5	UGT2A1	ECrel: compound	-	1
234	ADH5	UGT2A3	ECrel: compound	-	1
235	ADH5	UGT2B10	ECrel: compound	-	1
236	ADH5	UGT2B11	ECrel: compound	-	1
237	ADH5	UGT2B15	ECrel: compound	-	1
238	ADH5	UGT2B17	ECrel: compound	-	1
239	ADH5	UGT2B28	ECrel: compound	-	1
240	ADH5	UGT2B4	ECrel: compound	-	1
241	ADH5	UGT2B7	ECrel: compound	-	1
242	ADIPOQ	CEBPB	predicted	-	0.54
243	ADIRF	CEBPB	reaction	-	1
244	ADM	CEBPB	expression regulated by	<-	1
245	ADORA1	GNG5	complex; input	-	1
246	ADORA2A	GNG5	complex; input	-	1
247	ADORA2B	GNG5	complex; input	-	1
248	ADRA1A	GNA15	PPrel: activation; complex; input	->	1
249	ADRA1A	GNG5	complex; input	-	1
250	ADRA1B	GNA15	PPrel: activation; complex; input	->	1
251	ADRA1B	GNG5	complex; input	-	1
252	ADRA1D	GNA15	PPrel: activation; complex; input	->	1
253	ADRA1D	GNG5	complex; input	-	1
254	ADRA2A	GNG5	complex; input	-	1
255	ADRA2B	GNG5	complex; input	-	1
256	ADRA2C	GNG5	complex; input	-	1
257	ADRB1	GNG5	complex; input	-	1
258	ADRB2	GNG5	complex; input	-	1
259	ADRB2	PRKAR1A	complex; reaction	-	1
260	ADRB2	SRC	predicted	-	0.64
261	ADRB3	GNG5	complex; input	-	1
262	ADSS2	PTMS	predicted	-	0.64
263	ADTRP	STAT3	expression regulated by	<-	1
264	AFAP1L2	SRC	predicted	-	0.64
265	AFDN	PTPN11	complex; input	-	1
266	AFDN	SRC	activate; activated by	<->	1
267	AFF4	NELFA	complex; input	-	1
268	AFP	CEBPB	expression regulated by	<-	1
269	AGER	ITGB2	complex; input	-	1
270	AGK	PEBP1	inhibited by	|-	1
271	AGL	CUL1	predicted	-	0.58
272	AGO1	AGO2	reaction	-	1
273	AGO1	AGO3	reaction	-	1
274	AGO1	AGO4	reaction	-	1
275	AGO1	CTCF	expression regulated by	<-	1
276	AGO1	DDX5	predicted	-	0.64
277	AGO1	DHX36	predicted	-	0.64
278	AGO1	DICER1	predicted	-	0.98
279	AGO1	H3-3A	complex; input	-	1
280	AGO1	H3C1	complex; input	-	1
281	AGO1	H4C1	complex; input	-	1
282	AGO1	HIST2H3A	complex; input	-	1
283	AGO1	MOV10	complex; reaction	-	1
284	AGO1	POLR2A	complex; input	-	1
285	AGO1	POLR2B	complex; input	-	1
286	AGO1	POLR2C	complex; input	-	1
287	AGO1	POLR2D	complex; input	-	1
288	AGO1	POLR2E	complex; input	-	1
289	AGO1	POLR2F	complex; input	-	1
290	AGO1	POLR2G	complex; input	-	1
291	AGO1	POLR2H	complex; input	-	1
292	AGO1	POLR2I	complex; input	-	1
293	AGO1	POLR2J	complex; input	-	1
294	AGO1	POLR2K	complex; input	-	1
295	AGO1	POLR2L	complex; input	-	1
296	AGO1	RELA	predicted	-	0.64
297	AGO1	TNRC6A	complex; input; reaction	-	1
298	AGO1	TNRC6B	complex; input; reaction	-	1
299	AGO1	TNRC6C	complex; input; reaction	-	1
300	AGO1	UPF1	predicted	-	0.64
301	AGO1	YBX1	predicted	-	0.64
302	AGO1	YY1	predicted	-	0.64
303	AGO2	DHX36	predicted	-	0.64
304	AGR2	STAT3	expression regulated by	<-	1
305	AGT	CEBPB	expression regulated by	<-	1
306	AGT	CTSZ	catalyzed by	<-	1
307	AGT	GNA15	complex; input	-	1
308	AGT	STAT3	predicted	-	0.64
309	AGTPBP1	STAT3	expression regulated by	<-	1
310	AGTR1	AGTRAP	predicted	-	0.99
311	AGTR1	GNA15	PPrel: activation; complex; input	->	1
312	AGTR2	AGTRAP	predicted	-	0.99
313	AGTRAP	TXN2	predicted	-	0.64
314	AGTRAP	USF1	expression regulated by	<-	1
315	AHCTF1	CKAP5	complex; input	-	1
316	AHI1	CKAP5	complex; input	-	1
317	AHNAK2	DYSF	predicted	-	0.64
318	AHR	STAT3	predicted	-	0.54
319	AHR	STAT5B	predicted	-	0.54
320	AHRR	STAT3	predicted	-	0.54
321	AHRR	STAT5B	predicted	-	0.54
322	AHSG	CEBPB	expression regulated by	<-	1
323	AIF1	HLA-DRA	predicted	-	0.59
324	AIFM1	H2AFX	PPrel: binding/association	-	1
325	AIM2	STAT3	expression regulated by	<-	1
326	AIMP1	CUL1	predicted	-	0.58
327	AIMP1	HSP90B1	predicted	-	0.99
328	AIMP1	TRAP1	predicted	-	0.73
329	AIMP2	RABEP1	predicted	-	0.64
330	AIPL1	HSP90B1	predicted	-	0.54
331	AIRE	NCK1	predicted	-	0.64
332	AIRE	SRC	predicted	-	0.64
333	AJUBA	CKAP5	complex; input	-	1
334	AKAP1	PRKAR1A	complex; input	-	1
335	AKAP10	PRKAR1A	complex; input	-	1
336	AKAP11	PRKAR1A	predicted	-	1
337	AKAP12	FHL1	predicted	-	0.99
338	AKAP17A	ZRANB2	predicted	-	0.64
339	AKAP3	PRKAR1A	predicted	-	0.77
340	AKAP4	PRKAR1A	predicted	-	0.77
341	AKAP5	PRKAR1A	complex	-	1
342	AKAP7	PRKAR1A	predicted	-	0.77
343	AKAP9	CKAP5	complex	-	1
344	AKAP9	PEBP1	inhibited by	|-	1
345	AKIRIN2	PPID	predicted	-	0.64
346	AKR1B1	SOD2	predicted	-	0.56
347	AKR1E2	SOD2	predicted	-	0.56
348	AKT1	HSP90B1	PPrel: activated by	<-	1
349	AKT1	ILK	PPrel: activated by, phosphorylation; PPrel: phosphorylated by; activated by; inhibited by	-	1
350	AKT1	PEBP1	reaction	-	1
351	AKT1	PIK3C3	catalyzed by	<-	1
352	AKT1	PPP1CB	PPrel: indirect effect	-	1
353	AKT1	PTPN11	activated by; catalyzed by	<-	1
354	AKT1	SLC9A1	predicted	-	0.64
355	AKT1	SMARCC1	predicted	-	0.64
356	AKT1	SRC	activated by	<-	1
357	AKT1	STAT3	catalyzed by	<-	1
358	AKT1	STAT5B	catalyzed by	<-	1
359	AKT2	HSP90B1	PPrel: activated by	<-	1
360	AKT2	ILK	PPrel: activated by, phosphorylation; PPrel: phosphorylated by	<-	1
361	AKT2	PEBP1	reaction	-	1
362	AKT2	PIK3C3	catalyzed by	<-	1
363	AKT2	PPP1CB	PPrel: indirect effect	-	1
364	AKT2	PTPN11	catalyzed by	<-	1
365	AKT2	STAT3	catalyzed by	<-	1
366	AKT2	STAT5B	catalyzed by	<-	1
367	AKT2	UBE2O	predicted	-	0.64
368	AKT3	HSP90B1	PPrel: activated by	<-	1
369	AKT3	ILK	PPrel: activated by, phosphorylation; PPrel: phosphorylated by	<-	1
370	AKT3	PEBP1	reaction	-	1
371	AKT3	PIK3C3	catalyzed by	<-	1
372	AKT3	PPP1CB	PPrel: indirect effect	-	1
373	AKT3	PTPN11	catalyzed by	<-	1
374	AKT3	STAT3	catalyzed by	<-	1
375	AKT3	STAT5B	catalyzed by	<-	1
376	ALB	KRT1	predicted	-	0.64
377	ALCAM	ARHGAP5	predicted	-	0.65
378	ALCAM	CD6	PPrel: binding/association	-	1
379	ALCAM	EGFR	predicted	-	0.64
380	ALCAM	ITGAV	predicted	-	0.65
381	ALCAM	L1CAM	complex; input	-	1
382	ALCAM	PCDH12	predicted	-	0.64
383	ALCAM	RASA1	predicted	-	0.65
384	ALCAM	SPARCL1	predicted	-	0.65
385	ALDH1A2	CEBPB	expression regulated by	<-	1
386	ALDH3A2	SGTA	catalyze; complex; input	->	1
387	ALDH5A1	SOD2	predicted	-	0.64
388	ALDOA	SOD2	predicted	-	0.56
389	ALDOC	GLO1	predicted	-	0.78
390	ALDOC	PPIB	predicted	-	0.58
391	ALDOC	SOD2	predicted	-	0.78
392	ALG2	ANXA11	predicted	-	0.64
393	ALMS1	CKAP5	complex	-	1
394	ALOX5AP	ITGB2	predicted	-	0.59
395	ALPK1	TAB1	complex; input	-	1
396	ALYREF	PPIE	complex; input	-	1
397	ALYREF	THOC3	complex; input	-	1
398	AMBP	IGKV3-20	complex	-	1
399	AMBP	STAT3	predicted	-	0.64
400	AMBRA1	PIK3C3	complex; input	-	1
401	AMER1	CUL1	complex; input	-	1
402	AMFR	ERLIN1	predicted	-	0.64
403	AMPH	VAMP8	complex; input	-	1
404	ANAPC1	CEBPB	reaction	-	1
405	ANAPC10	CEBPB	reaction	-	1
406	ANAPC11	CEBPB	reaction	-	1
407	ANAPC15	CEBPB	reaction	-	1
408	ANAPC16	CEBPB	reaction	-	1
409	ANAPC2	CEBPB	reaction	-	1
410	ANAPC4	CEBPB	reaction	-	1
411	ANAPC5	CEBPB	reaction	-	1
412	ANAPC7	CEBPB	reaction	-	1
413	ANG	CEBPB	expression regulated by	<-	1
414	ANGPT1	NCK1	activate	->	1
415	ANGPT1	PTPN11	complex; input	-	1
416	ANGPT2	STAT5B	activate	->	1
417	ANK1	CD59	complex; input	-	1
418	ANK1	DCTN5	complex; input	-	1
419	ANK2	CD59	complex; input	-	1
420	ANK2	DCTN5	complex; input	-	1
421	ANK3	CD59	complex; input	-	1
422	ANK3	DCTN5	complex; input	-	1
423	ANXA1	DYSF	complex; input	-	1
424	ANXA1	GNA15	complex; input	-	1
425	ANXA1	S100A11	predicted	-	0.64
426	ANXA1	SRC	predicted	-	0.64
427	ANXA11	ANXA7	predicted	-	0.92
428	ANXA11	PDCD6	predicted	-	0.64
429	ANXA2	DYSF	complex; input	-	1
430	ANXA2	SRC	predicted	-	0.64
431	ANXA2P2	DYSF	predicted	-	0.54
432	ANXA6	DYSF	complex; input	-	1
433	ANXA7	PRKAR1A	predicted	-	0.59
434	AOC3	CEBPB	expression regulated by	<-	1
435	AOX1	STAT3	GErel: expression by	<-	1
436	AOX1	STAT5B	GErel: expression by	<-	1
437	AP1B1	HLA-DPB1	complex; input	-	1
438	AP1B1	HLA-DRA	complex; input	-	1
439	AP1B1	HLA-DRB5	complex; input	-	1
440	AP1G1	HLA-DPB1	complex; input	-	1
441	AP1G1	HLA-DRA	complex; input	-	1
442	AP1G1	HLA-DRB5	complex; input	-	1
443	AP1G2	RABEP1	predicted	-	0.64
444	AP1M1	HLA-DPB1	complex; input	-	1
445	AP1M1	HLA-DRA	complex; input	-	1
446	AP1M1	HLA-DRB5	complex; input	-	1
447	AP1M2	HLA-DPB1	complex; input	-	1
448	AP1M2	HLA-DRA	complex; input	-	1
449	AP1M2	HLA-DRB5	complex; input	-	1
450	AP1S1	HLA-DPB1	complex; input	-	1
451	AP1S1	HLA-DRA	complex; input	-	1
452	AP1S1	HLA-DRB5	complex; input	-	1
453	AP1S1	SORL1	predicted	-	0.54
454	AP1S2	HLA-DPB1	complex; input	-	1
455	AP1S2	HLA-DRA	complex; input	-	1
456	AP1S2	HLA-DRB5	complex; input	-	1
457	AP1S3	HLA-DPB1	complex; input	-	1
458	AP1S3	HLA-DRA	complex; input	-	1
459	AP1S3	HLA-DRB5	complex; input	-	1
460	AP1S3	SORL1	predicted	-	0.54
461	AP2A1	HLA-DPB1	complex; input	-	1
462	AP2A1	HLA-DRA	complex; input	-	1
463	AP2A1	HLA-DRB5	complex; input	-	1
464	AP2A1	VAMP8	complex; input	-	1
465	AP2A2	HLA-DPB1	complex; input	-	1
466	AP2A2	HLA-DRA	complex; input	-	1
467	AP2A2	HLA-DRB5	complex; input	-	1
468	AP2A2	VAMP8	complex; input	-	1
469	AP2B1	HLA-DPB1	complex; input	-	1
470	AP2B1	HLA-DRA	complex; input	-	1
471	AP2B1	HLA-DRB5	complex; input	-	1
472	AP2B1	VAMP8	complex; input	-	1
473	AP2M1	HLA-DPB1	complex; input	-	1
474	AP2M1	HLA-DRA	complex; input	-	1
475	AP2M1	HLA-DRB5	complex; input	-	1
476	AP2M1	VAMP8	complex; input	-	1
477	AP2S1	HLA-DPB1	complex; input	-	1
478	AP2S1	HLA-DRA	complex; input	-	1
479	AP2S1	HLA-DRB5	complex; input	-	1
480	AP2S1	VAMP8	complex; input	-	1
481	AP4S1	SORL1	predicted	-	0.54
482	APAF1	APIP	complex; inhibited by; input	|-	1
483	APAF1	CASP6	activate	->	1
484	APAF1	CYCS	PPrel: activated by; PPrel: binding/association; activated by; complex; input	<-	1
485	APBB1	H2AFX	complex; input	-	1
486	APBB1	NCSTN	catalyzed by	<-	1
487	APBB1IP	SRC	catalyzed by; complex; input	<-	1
488	APBB1IP	STAT3	expression regulated by	<-	1
489	APBB2	NCSTN	catalyzed by	<-	1
490	APBB3	NCSTN	catalyzed by	<-	1
491	APC	CEBPB	predicted	-	0.54
492	APC	CUL1	activated by; complex; input	<-	1
493	APC	MAPRE2	predicted	-	0.65
494	APC VARIANT PROTEIN	MAPRE2	predicted	-	0.65
495	APC2	MAPRE2	predicted	-	0.65
496	APEX1	HMGA1	predicted	-	0.64
497	APEX1	LGALS1	predicted	-	0.64
498	APEX1	PRDX6	predicted	-	0.98
499	APEX1	STAT3	predicted	-	0.64
500	APEX1	WDR77	predicted	-	0.64
501	APH1A	NCSTN	complex; input; predicted	-	1
502	APH1B	NCSTN	complex; input; predicted	-	1
503	APIP	AVEN	reaction	-	1
504	APIP	CARD8	reaction	-	1
505	APIP	CASP9	complex; inhibite; input	-|	1
506	APIP	CYCS	complex; inhibite; input	-|	1
507	APIP	TRAF1	predicted	-	0.64
508	APLNR	GNG5	PPrel: binding/association	-	1
509	APLNR	PIK3C3	GErel: expression, indirect effect	->	1
510	APLP1	SNCA	predicted	-	0.64
511	APOA1	KRT1	predicted	-	0.64
512	APOB	APOBR	complex; input	-	1
513	APOB	ITGB2	complex; input	-	1
514	APOBEC3G	HMGA1	complex; inhibite; input	-|	1
515	APOBEC3G	PSIP1	complex; inhibite; input	-|	1
516	APOBR	APOC1	complex; input	-	1
517	APOBR	APOC4	complex; input	-	1
518	APOBR	PPARA	expression regulated by	<-	1
519	APOE	SORL1	predicted	-	0.98
520	APP	CASP6	activated by	<-	1
521	APP	DMTN	predicted	-	0.64
522	APP	GNA15	complex; input	-	1
523	APP	HMGA1	predicted	-	0.64
524	APP	LIMA1	predicted	-	0.64
525	APP	NCSTN	catalyzed by	<-	1
526	APP	PCIF1	predicted	-	0.64
527	APP	PHGDH	predicted	-	0.64
528	APP	PRDX2	predicted	-	0.64
529	APP	RAB27A	predicted	-	0.64
530	APP	SGTA	complex; input	-	1
531	APP	SNCA	predicted	-	0.64
532	APP	SOD2	predicted	-	0.64
533	APP	SORL1	complex; input	-	1
534	APP	STAT3	expression regulated by	<-	1
535	APP	STAT5B	predicted	-	0.64
536	APP	ZAP70	predicted	-	0.64
537	APPL2	STAT3	predicted	-	0.54
538	AQR	PPIE	complex; input	-	1
539	AR	CEBPB	predicted	-	0.64
540	AR	DCTN5	activated by	<-	1
541	AR	HSP90B1	PPrel: activation; complex	->	1
542	AR	PPID	predicted	-	0.64
543	AR	PTPN11	predicted	-	0.64
544	AR	RCOR1	predicted	-	0.64
545	AR	RNF20	predicted	-	0.64
546	AR	SMARCC1	reaction	-	1
547	AR	SRC	activate; complex; input	->	1
548	AR	WDR77	predicted	-	0.64
549	ARCN1	CD59	complex; input	-	1
550	ARCN1	DCTN5	complex; input	-	1
551	AREG	PTPN11	complex; input	-	1
552	AREG	SRC	catalyze; catalyzed by	<->	1
553	ARF1	BRK1	PPrel: activation	->	1
554	ARF1	HLA-DPB1	complex; input	-	1
555	ARF1	HLA-DRA	complex; input	-	1
556	ARF1	HLA-DRB5	complex; input	-	1
557	ARF4	CD59	complex; input	-	1
558	ARF4	LGALS1	predicted	-	0.64
559	ARF6	GNA15	activated by	<-	1
560	ARF6	NCK1	activated by	<-	1
561	ARF6	SRC	activated by	<-	1
562	ARFGAP1	CD59	complex; input	-	1
563	ARFGAP2	CD59	complex; input	-	1
564	ARFGAP3	CD59	complex; input	-	1
565	ARFGEF2	PRKAR1A	predicted	-	0.64
566	ARG1	CEBPB	predicted	-	0.54
567	ARG1	STAT3	predicted	-	0.54
568	ARHGAP1	CDC42	activate; catalyze	->	1
569	ARHGAP1	NDEL1	predicted	-	0.54
570	ARHGAP1	RAC1	activate; catalyze	->	1
571	ARHGAP1	RAC2	catalyze	->	1
572	ARHGAP1	RAC3	catalyze	->	1
