	Gene1	Gene2	Annotation	Direction	Score	edge
5158	ADAM17	PKN1	catalyzed by	<-	1	ADAM17_PKN1
5359	ADCK2	PDK2	predicted	-	0.64	ADCK2_PDK2
5387	ADCY1	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY1_GNAI2
5391	ADCY1	GNAS	PCrel: activated by; PPrel: activated by; PPrel: activated, indirect effect; activated by; complex; inhibite; input	<-|	1	ADCY1_GNAS
5427	ADCY10	GNAI2	PPrel: inhibited by	|-	1	ADCY10_GNAI2
5429	ADCY10	GNAS	PPrel: activated by	<-	1	ADCY10_GNAS
5475	ADCY2	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY2_GNAI2
5479	ADCY2	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibite; input	<-|	1	ADCY2_GNAS
5532	ADCY3	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY3_GNAI2
5536	ADCY3	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1	ADCY3_GNAS
5593	ADCY4	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY4_GNAI2
5597	ADCY4	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibite; input	<-|	1	ADCY4_GNAS
5648	ADCY5	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY5_GNAI2
5652	ADCY5	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input; predicted	<-|	1	ADCY5_GNAS
5685	ADCY5	RIC8A	predicted	-	0.54	ADCY5_RIC8A
5708	ADCY6	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY6_GNAI2
5712	ADCY6	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1	ADCY6_GNAS
5762	ADCY7	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY7_GNAI2
5766	ADCY7	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1	ADCY7_GNAS
5817	ADCY8	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY8_GNAI2
5821	ADCY8	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1	ADCY8_GNAS
5869	ADCY9	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1	ADCY9_GNAI2
5873	ADCY9	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1	ADCY9_GNAS
5917	ADCYAP1	GNAS	complex	-	1	ADCYAP1_GNAS
5938	ADCYAP1R1	GNAQ	PPrel: activation	->	1	ADCYAP1R1_GNAQ
5939	ADCYAP1R1	GNAS	PPrel: activation; complex	->	1	ADCYAP1R1_GNAS
5993	ADGRF1	GNAS	predicted	-	0.54	ADGRF1_GNAS
6200	ADIPOR1	GNAI2	predicted	-	0.64	ADIPOR1_GNAI2
6246	ADIRF	USF2	expression regulated by	<-	1	ADIRF_USF2
6254	ADM	GNAS	complex	-	1	ADM_GNAS
6267	ADM2	GNAS	complex	-	1	ADM2_GNAS
6299	ADORA1	GNAI2	PPrel: activation; complex; input	->	1	ADORA1_GNAI2
6352	ADORA2A	GNAI2	complex; input	-	1	ADORA2A_GNAI2
6356	ADORA2A	GNAQ	PPrel: activation	->	1	ADORA2A_GNAQ
6357	ADORA2A	GNAS	PPrel: activation; complex	->	1	ADORA2A_GNAS
6401	ADORA2B	GNAI2	complex; input	-	1	ADORA2B_GNAI2
6405	ADORA2B	GNAQ	PPrel: activation	->	1	ADORA2B_GNAQ
6406	ADORA2B	GNAS	PPrel: activation; complex	->	1	ADORA2B_GNAS
6433	ADORA3	GNAI2	PPrel: activation; complex; input	->	1	ADORA3_GNAI2
6461	ADRA1A	GNAI2	complex; input	-	1	ADRA1A_GNAI2
6463	ADRA1A	GNAQ	PPrel: activation; complex; input	->	1	ADRA1A_GNAQ
6512	ADRA1B	GNAI2	complex; input	-	1	ADRA1B_GNAI2
6514	ADRA1B	GNAQ	PPrel: activation; complex; input	->	1	ADRA1B_GNAQ
6515	ADRA1B	GNAS	complex	-	1	ADRA1B_GNAS
6550	ADRA1D	GNAI2	complex; input	-	1	ADRA1D_GNAI2
6552	ADRA1D	GNAQ	PPrel: activation; complex; input	->	1	ADRA1D_GNAQ
6582	ADRA2A	GNAI2	complex; input	-	1	ADRA2A_GNAI2
6584	ADRA2A	GNAQ	PPrel: activation	->	1	ADRA2A_GNAQ
6620	ADRA2B	GNAI2	complex; input	-	1	ADRA2B_GNAI2
6622	ADRA2B	GNAQ	PPrel: activation	->	1	ADRA2B_GNAQ
6656	ADRA2C	GNAI2	complex; input	-	1	ADRA2C_GNAI2
6659	ADRA2C	GNAQ	PPrel: activation	->	1	ADRA2C_GNAQ
6700	ADRB1	GNAI2	PPrel: activation	->	1	ADRB1_GNAI2
6703	ADRB1	GNAS	PPrel: activation; complex	->	1	ADRB1_GNAS
6735	ADRB2	ARPC2	complex; input	-	1	ADRB2_ARPC2
6777	ADRB2	GNAI2	PPrel: activation	->	1	ADRB2_GNAI2
6780	ADRB2	GNAS	PPrel: activation; complex; predicted; reaction	->	1	ADRB2_GNAS
6845	ADRB3	GNAI2	PPrel: activation	->	1	ADRB3_GNAI2
6848	ADRB3	GNAS	PPrel: activation; complex; predicted	->	1	ADRB3_GNAS
6998	AFDN	HCK	activated by	<-	1	AFDN_HCK
7098	AFF4	RTF1	complex; input	-	1	AFF4_RTF1
7110	AFG1L	YME1L1	predicted	-	0.64	AFG1L_YME1L1
7154	AGER	CYBB	PPrel: activation	->	1	AGER_CYBB
7160	AGER	ITGAM	complex; input	-	1	AGER_ITGAM
7192	AGER	S100A12	complex; input	-	1	AGER_S100A12
7193	AGER	S100A9	predicted	-	0.64	AGER_S100A9
7205	AGFG1	ARPC2	complex; input	-	1	AGFG1_ARPC2
7296	AGO2	AGO3	reaction	-	1	AGO2_AGO3
7297	AGO2	AGO4	reaction	-	1	AGO2_AGO4
7298	AGO2	CNOT1	predicted	-	0.64	AGO2_CNOT1
7299	AGO2	CNOT2	predicted	-	0.64	AGO2_CNOT2
7300	AGO2	CNOT6L	predicted	-	0.64	AGO2_CNOT6L
7301	AGO2	CNOT7	predicted	-	0.64	AGO2_CNOT7
7302	AGO2	CTCF	expression regulated by	<-	1	AGO2_CTCF
7303	AGO2	DDX17	predicted	-	0.56	AGO2_DDX17
7305	AGO2	DHX9	predicted	-	0.64	AGO2_DHX9
7306	AGO2	DICER1	complex	-	1	AGO2_DICER1
7307	AGO2	EGFR	predicted	-	0.64	AGO2_EGFR
7308	AGO2	EIF4EBP1	predicted	-	0.64	AGO2_EIF4EBP1
7309	AGO2	EIF4G1	predicted	-	0.64	AGO2_EIF4G1
7310	AGO2	FOXA1	expression regulated by	<-	1	AGO2_FOXA1
7311	AGO2	GIGYF2	predicted	-	0.64	AGO2_GIGYF2
7312	AGO2	H3-3A	complex; input	-	1	AGO2_H3-3A
7313	AGO2	H3C1	complex; input	-	1	AGO2_H3C1
7314	AGO2	H4C1	complex; input	-	1	AGO2_H4C1
7315	AGO2	HDAC1	predicted	-	0.64	AGO2_HDAC1
7316	AGO2	HIST2H3A	complex; input	-	1	AGO2_HIST2H3A
7317	AGO2	IPO8	complex; input	-	1	AGO2_IPO8
7318	AGO2	MOV10	complex; input; reaction	-	1	AGO2_MOV10
7319	AGO2	MTA2	predicted	-	0.64	AGO2_MTA2
7320	AGO2	MTDH	predicted	-	0.64	AGO2_MTDH
7321	AGO2	NDC1	catalyzed by	<-	1	AGO2_NDC1
7322	AGO2	NUP107	catalyzed by	<-	1	AGO2_NUP107
7323	AGO2	NUP133	catalyzed by	<-	1	AGO2_NUP133
7324	AGO2	NUP153	catalyzed by	<-	1	AGO2_NUP153
7325	AGO2	NUP155	catalyzed by	<-	1	AGO2_NUP155
7326	AGO2	NUP160	catalyzed by	<-	1	AGO2_NUP160
7327	AGO2	NUP188	catalyzed by	<-	1	AGO2_NUP188
7328	AGO2	NUP205	catalyzed by	<-	1	AGO2_NUP205
7329	AGO2	NUP210	catalyzed by	<-	1	AGO2_NUP210
7330	AGO2	NUP214	catalyzed by	<-	1	AGO2_NUP214
7331	AGO2	NUP35	catalyzed by	<-	1	AGO2_NUP35
7332	AGO2	NUP37	catalyzed by	<-	1	AGO2_NUP37
7333	AGO2	NUP42	catalyzed by	<-	1	AGO2_NUP42
7334	AGO2	NUP43	catalyzed by	<-	1	AGO2_NUP43
7335	AGO2	NUP50	catalyzed by	<-	1	AGO2_NUP50
7336	AGO2	NUP54	catalyzed by	<-	1	AGO2_NUP54
7337	AGO2	NUP58	catalyzed by	<-	1	AGO2_NUP58
7338	AGO2	NUP62	catalyzed by	<-	1	AGO2_NUP62
7339	AGO2	NUP85	catalyzed by	<-	1	AGO2_NUP85
7340	AGO2	NUP88	catalyzed by	<-	1	AGO2_NUP88
7341	AGO2	NUP93	catalyzed by	<-	1	AGO2_NUP93
7342	AGO2	NUP98	catalyzed by	<-	1	AGO2_NUP98
7343	AGO2	PABPC1	predicted	-	0.64	AGO2_PABPC1
7344	AGO2	POLR2A	complex; input	-	1	AGO2_POLR2A
7345	AGO2	POLR2B	complex; input	-	1	AGO2_POLR2B
7346	AGO2	POLR2C	complex; input	-	1	AGO2_POLR2C
7347	AGO2	POLR2D	complex; input	-	1	AGO2_POLR2D
7348	AGO2	POLR2E	complex; input	-	1	AGO2_POLR2E
7349	AGO2	POLR2F	complex; input	-	1	AGO2_POLR2F
7350	AGO2	POLR2G	complex; input	-	1	AGO2_POLR2G
7351	AGO2	POLR2H	complex; input	-	1	AGO2_POLR2H
7352	AGO2	POLR2I	complex; input	-	1	AGO2_POLR2I
7353	AGO2	POLR2J	complex; input	-	1	AGO2_POLR2J
7354	AGO2	POLR2K	complex; input	-	1	AGO2_POLR2K
7355	AGO2	POLR2L	complex; input	-	1	AGO2_POLR2L
7356	AGO2	POM121	catalyzed by	<-	1	AGO2_POM121
7357	AGO2	POM121C	catalyzed by	<-	1	AGO2_POM121C
7358	AGO2	PRKRA	complex	-	1	AGO2_PRKRA
7359	AGO2	RAE1	catalyzed by	<-	1	AGO2_RAE1
7360	AGO2	RAN	input	-	1	AGO2_RAN
7361	AGO2	RANBP2	catalyzed by	<-	1	AGO2_RANBP2
7362	AGO2	RB1	predicted	-	0.64	AGO2_RB1
7363	AGO2	RBM4	predicted	-	0.64	AGO2_RBM4
7364	AGO2	RC3H1	predicted	-	0.77	AGO2_RC3H1
7365	AGO2	RPL10A	predicted	-	0.56	AGO2_RPL10A
7366	AGO2	SEC13	catalyzed by	<-	1	AGO2_SEC13
7367	AGO2	SEH1L	catalyzed by	<-	1	AGO2_SEH1L
7368	AGO2	TARBP2	complex	-	1	AGO2_TARBP2
7369	AGO2	TBK1	predicted	-	0.64	AGO2_TBK1
7370	AGO2	TCF4	expression regulated by	<-	1	AGO2_TCF4
7371	AGO2	TERT	predicted	-	0.64	AGO2_TERT
7372	AGO2	TNF	predicted	-	0.64	AGO2_TNF
7373	AGO2	TNRC6A	complex; input; reaction	-	1	AGO2_TNRC6A
7374	AGO2	TNRC6B	complex; input; reaction	-	1	AGO2_TNRC6B
7375	AGO2	TNRC6C	complex; input; reaction	-	1	AGO2_TNRC6C
7376	AGO2	TOP2A	predicted	-	0.64	AGO2_TOP2A
7377	AGO2	TPR	catalyzed by	<-	1	AGO2_TPR
7378	AGO2	TRIM71	predicted	-	0.99	AGO2_TRIM71
7379	AGO2	TSN	catalyzed by	<-	1	AGO2_TSN
7380	AGO2	TSNAX	catalyzed by	<-	1	AGO2_TSNAX
7381	AGO2	YBX1	predicted	-	0.64	AGO2_YBX1
7382	AGO2	ZFP36	predicted	-	0.64	AGO2_ZFP36
7392	AGO4	HSPA5	predicted	-	0.64	AGO4_HSPA5
7438	AGRN	CDC42	activate	->	1	AGRN_CDC42
7514	AGT	ATP6AP2	activated by; catalyzed by	<-	1	AGT_ATP6AP2
7520	AGT	CANX	predicted	-	0.64	AGT_CANX
7524	AGT	CTSG	catalyzed by	<-	1	AGT_CTSG
7545	AGT	GNAI2	complex; input	-	1	AGT_GNAI2
7547	AGT	GNAQ	complex; input	-	1	AGT_GNAQ
7566	AGT	HSPA5	predicted	-	0.64	AGT_HSPA5
7612	AGTR1	GNAQ	PPrel: activation; complex; input	->	1	AGTR1_GNAQ
7613	AGTR1	GNAS	PPrel: activation	->	1	AGTR1_GNAS
7638	AGTR2	GNAI2	complex; input	-	1	AGTR2_GNAI2
7640	AGTR2	GNAQ	PPrel: activation	->	1	AGTR2_GNAQ
7641	AGTR2	GNAS	complex	-	1	AGTR2_GNAS
7677	AHCTF1	CDC42	complex; input; reaction	-	1	AHCTF1_CDC42
7682	AHCTF1	CENPC	complex; input	-	1	AHCTF1_CENPC
8071	AIF1	PLS3	predicted	-	0.54	AIF1_PLS3
8074	AIF1L	PLS3	predicted	-	0.54	AIF1L_PLS3
8113	AIFM1	SLC25A5	predicted	-	0.58	AIFM1_SLC25A5
8127	AIM2	RALB	predicted	-	0.54	AIM2_RALB
8189	AIRE	DDX17	predicted	-	0.64	AIRE_DDX17
8198	AIRE	S100A9	predicted	-	0.64	AIRE_S100A9
8208	AJUBA	ASH2L	catalyzed by; input	<-	1	AJUBA_ASH2L
8391	AKAP13	CDC42	catalyze	->	1	AKAP13_CDC42
8851	AKT1	GNAI2	activated by	<-	1	AKT1_GNAI2
8858	AKT1	GPX1	predicted	-	0.65	AKT1_GPX1
8876	AKT1	HSPA5	predicted	-	0.64	AKT1_HSPA5
8879	AKT1	HTT	catalyze	->	1	AKT1_HTT
8989	AKT1	PDK1	predicted	-	0.64	AKT1_PDK1
8990	AKT1	PDK2	predicted	-	0.64	AKT1_PDK2
9015	AKT1	PKN1	predicted	-	1	AKT1_PKN1
9112	AKT1	RUNX2	catalyze	->	1	AKT1_RUNX2
9161	AKT1	TBK1	predicted	-	1	AKT1_TBK1
9168	AKT1	TLR2	predicted	-	0.64	AKT1_TLR2
9268	AKT2	C2CD5	catalyze	->	1	AKT2_C2CD5
9327	AKT2	HTT	catalyze	->	1	AKT2_HTT
9367	AKT2	PDK1	predicted	-	0.64	AKT2_PDK1
9542	AKT3	HTT	catalyze	->	1	AKT3_HTT
9684	AKTIP	VPS41	predicted	-	0.64	AKTIP_VPS41
9765	ALDH3A2	STX5	catalyze; catalyzed by; input	<->	1	ALDH3A2_STX5
9848	ALDOC	TAGLN2	predicted	-	0.64	ALDOC_TAGLN2
9849	ALG1	ALG11	predicted	-	0.96	ALG1_ALG11
9850	ALG1	ALG2	predicted	-	0.96	ALG1_ALG2
9854	ALG2	ANXA7	predicted	-	0.64	ALG2_ANXA7
9855	ALG2	PEF1	predicted	-	0.64	ALG2_PEF1
10006	ALOX5	ALOX5AP	complex	-	1	ALOX5_ALOX5AP
10007	ALOX5	APEX1	predicted	-	0.64	ALOX5_APEX1
10008	ALOX5	EGR1	expression regulated by	<-	1	ALOX5_EGR1
10009	ALOX5	FGR	predicted	-	0.58	ALOX5_FGR
10010	ALOX5	HSD17B1	predicted	-	0.64	ALOX5_HSD17B1
10011	ALOX5	LTC4S	complex	-	1	ALOX5_LTC4S
10012	ALOX5	MAPKAPK2	catalyzed by	<-	1	ALOX5_MAPKAPK2
10013	ALOX5	SP1	expression regulated by	<-	1	ALOX5_SP1
10014	ALOX5AP	CEBPA	expression regulated by	<-	1	ALOX5AP_CEBPA
10015	ALOX5AP	CEBPD	expression regulated by	<-	1	ALOX5AP_CEBPD
10016	ALOX5AP	CEBPE	expression regulated by	<-	1	ALOX5AP_CEBPE
10017	ALOX5AP	CORO1A	predicted	-	0.59	ALOX5AP_CORO1A
10018	ALOX5AP	DOCK2	predicted	-	0.59	ALOX5AP_DOCK2
10019	ALOX5AP	GMFG	predicted	-	0.65	ALOX5AP_GMFG
10021	ALOX5AP	LAPTM5	predicted	-	0.59	ALOX5AP_LAPTM5
10022	ALOX5AP	LCP2	predicted	-	0.59	ALOX5AP_LCP2
10023	ALOX5AP	LTC4S	complex	-	1	ALOX5AP_LTC4S
10024	ALOX5AP	MEF2A	expression regulated by	<-	1	ALOX5AP_MEF2A
10025	ALOX5AP	MEF2C	expression regulated by	<-	1	ALOX5AP_MEF2C
10026	ALOX5AP	RAC2	predicted	-	0.59	ALOX5AP_RAC2
10027	ALOX5AP	SRGN	predicted	-	0.59	ALOX5AP_SRGN
10061	ALS2CL	RAB22A	predicted	-	0.98	ALS2CL_RAB22A
10068	ALX1	KAT5	predicted	-	0.64	ALX1_KAT5
10110	ALYREF	CHTOP	complex; input	-	1	ALYREF_CHTOP
10111	ALYREF	CLP1	catalyzed by; complex; input	<-	1	ALYREF_CLP1
10116	ALYREF	CPSF7	catalyzed by; complex; input	<-	1	ALYREF_CPSF7
10145	ALYREF	GLE1	activated by	<-	1	ALYREF_GLE1
10152	ALYREF	HNRNPA3	complex; input	-	1	ALYREF_HNRNPA3
10177	ALYREF	NDC1	activated by; catalyzed by; complex; input	<-	1	ALYREF_NDC1
10237	ALYREF	PRPF4	complex; input	-	1	ALYREF_PRPF4
10252	ALYREF	SARNP	complex; input	-	1	ALYREF_SARNP
10269	ALYREF	SMNDC1	complex; input	-	1	ALYREF_SMNDC1
10272	ALYREF	SNRNP40	complex; input	-	1	ALYREF_SNRNP40
10287	ALYREF	SNW1	complex; input	-	1	ALYREF_SNW1
10296	ALYREF	SRSF4	complex; input	-	1	ALYREF_SRSF4
10298	ALYREF	SRSF6	complex; input	-	1	ALYREF_SRSF6
10302	ALYREF	SYF2	complex; input	-	1	ALYREF_SYF2
