	Gene1	Gene2	Annotation	Direction	Score
153	ACTC1	MMP8	catalyzed by	<-	1
154	ACTC1	MMP9	catalyzed by	<-	1
155	ACTC1	RHOG	activated by	<-	1
156	ACTC1	WAS	predicted	-	0.98
157	ACTG1	ACTL6A	complex	-	1
158	ACTG1	ARPC2	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
159	ACTG1	BRD7	complex	-	1
160	ACTG1	BRK1	complex; input	-	1
161	ACTG1	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1
162	ACTG1	CLTB	complex; input	-	1
163	ACTG1	DYNLL1	predicted	-	0.74
164	ACTG1	EIF4A1	predicted	-	0.59
165	ACTG1	HTT	catalyzed by; complex; input	<-	1
166	ACTG1	IQGAP1	PPrel: activated by; PPrel: binding/association	<-	1
167	ACTG1	ITGAM	complex; input	-	1
168	ACTG1	ITGB1	PPrel: binding/association; complex; input	-	1
169	ACTG1	ITGB2	complex; input	-	1
170	ACTG1	MMP8	catalyzed by	<-	1
171	ACTG1	MMP9	catalyzed by	<-	1
172	ACTG1	RHOG	activated by	<-	1
173	ACTG1	TMSB4X	PPrel: binding/association	-	1
174	ACTG1	WAS	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
175	ACTG2	CDC42	activated by	<-	1
176	ACTG2	CLTB	complex; input	-	1
177	ACTG2	HTT	catalyzed by; complex; input	<-	1
178	ACTG2	MMP8	catalyzed by	<-	1
179	ACTG2	MMP9	catalyzed by	<-	1
180	ACTG2	RHOG	activated by	<-	1
181	ACTL6A	ACTR5	complex	-	1
182	ACTL6A	ACTR8	complex	-	1
183	ACTL6A	ARID1A	complex	-	1
184	ACTL6A	ARID1B	complex	-	1
185	ACTL6A	ARID2	complex	-	1
186	ACTL6A	BAZ1B	complex	-	1
187	ACTL6A	BRD7	complex	-	1
188	ACTL6A	BRD8	complex	-	1
189	ACTL6A	CAND1	predicted	-	0.58
190	ACTL6A	CCT4	predicted	-	0.58
191	ACTL6A	CCT6A	predicted	-	0.58
192	ACTL6A	CDK9	predicted	-	0.64
193	ACTL6A	CETN2	activate	->	1
194	ACTL6A	CHAF1A	complex; predicted	-	1
195	ACTL6A	COPS2	activate	->	1
196	ACTL6A	COPS3	activate	->	1
197	ACTL6A	COPS4	activate	->	1
198	ACTL6A	COPS5	activate	->	1
199	ACTL6A	COPS6	activate	->	1
200	ACTL6A	COPS7A	activate	->	1
201	ACTL6A	COPS7B	activate	->	1
202	ACTL6A	COPS8	activate	->	1
203	ACTL6A	CREBBP	reaction	-	1
204	ACTL6A	CUL4A	activate	->	1
205	ACTL6A	CUL4B	activate	->	1
206	ACTL6A	DDB1	activate	->	1
207	ACTL6A	DDB2	activate	->	1
208	ACTL6A	DMAP1	complex	-	1
209	ACTL6A	DPF1	complex	-	1
210	ACTL6A	DPF3	complex	-	1
211	ACTL6A	EED	predicted	-	0.92
212	ACTL6A	EP300	reaction	-	1
213	ACTL6A	EP400	complex	-	1
214	ACTL6A	EPC1	complex	-	1
215	ACTL6A	FBXO6	predicted	-	0.64
216	ACTL6A	FEN1	predicted	-	0.98
217	ACTL6A	FOS	expression regulated by	<-	1
218	ACTL6A	FOXN1	predicted	-	0.64
219	ACTL6A	FOXR1	predicted	-	0.64
220	ACTL6A	GMFB	predicted	-	0.92
221	ACTL6A	GPS1	activate	->	1
222	ACTL6A	H2AZ1	predicted	-	0.58
223	ACTL6A	H4C1	catalyze	->	1
224	ACTL6A	HDAC2	predicted	-	0.98
225	ACTL6A	HINT1	predicted	-	0.64
226	ACTL6A	ING3	complex	-	1
227	ACTL6A	INO80	complex	-	1
228	ACTL6A	INO80B	complex	-	1
229	ACTL6A	INO80C	complex	-	1
230	ACTL6A	INO80D	complex	-	1
231	ACTL6A	INO80E	complex	-	1
232	ACTL6A	KAT2A	predicted	-	0.64
233	ACTL6A	KAT5	complex; input	-	1
234	ACTL6A	KDM3A	PPrel: binding/association	-	1
235	ACTL6A	KDM3B	PPrel: binding/association	-	1
236	ACTL6A	MAX	complex; inhibited by; input	|-	1
237	ACTL6A	MCRS1	complex	-	1
238	ACTL6A	MEAF6	complex	-	1
239	ACTL6A	MED1	reaction	-	1
240	ACTL6A	MORF4L1	complex	-	1
241	ACTL6A	MORF4L2	complex	-	1
242	ACTL6A	MRGBP	complex	-	1
243	ACTL6A	MTDH	predicted	-	0.64
244	ACTL6A	MYC	complex; inhibited by; input	|-	1
245	ACTL6A	NFRKB	complex	-	1
246	ACTL6A	NTRK1	predicted	-	0.64
247	ACTL6A	PBRM1	complex	-	1
248	ACTL6A	PDCL	predicted	-	0.64
249	ACTL6A	PHF10	complex	-	1
250	ACTL6A	PPARG	PPrel: binding/association	-	1
251	ACTL6A	RAD23B	activate	->	1
252	ACTL6A	RBBP4	predicted	-	0.92
253	ACTL6A	RBX1	activate	->	1
254	ACTL6A	RPL11	activate; inhibited by	|->	1
255	ACTL6A	RUVBL1	complex; input	-	1
256	ACTL6A	RUVBL2	complex; input	-	1
257	ACTL6A	RXRA	complex	-	1
258	ACTL6A	SMARCA2	PPrel: binding/association	-	1
259	ACTL6A	SMARCA4	PPrel: binding/association	-	1
260	ACTL6A	SMARCB1	PPrel: binding/association	-	1
261	ACTL6A	SMARCC1	PPrel: binding/association	-	1
262	ACTL6A	SMARCC2	PPrel: binding/association; complex	-	1
263	ACTL6A	SMARCD1	complex	-	1
264	ACTL6A	SMARCD2	complex	-	1
265	ACTL6A	SMARCD3	complex	-	1
266	ACTL6A	SMARCE1	complex	-	1
267	ACTL6A	SNW1	reaction	-	1
268	ACTL6A	SP1	expression regulated by	<-	1
269	ACTL6A	SUPT16H	complex	-	1
270	ACTL6A	TBL1XR1	predicted	-	0.98
271	ACTL6A	TFCP2L1	predicted	-	0.54
272	ACTL6A	TFPT	complex	-	1
273	ACTL6A	TOP2B	complex	-	1
274	ACTL6A	TRRAP	complex; input	-	1
275	ACTL6A	UCHL5	complex; input	-	1
276	ACTL6A	VPS72	complex	-	1
277	ACTL6A	WDR77	predicted	-	0.92
278	ACTL6A	XPC	activate	->	1
279	ACTL6A	YEATS4	complex	-	1
280	ACTL6A	YY1	complex	-	1
281	ACTL6B	BRD7	complex	-	1
282	ACTN1	ITGAM	complex; input	-	1
283	ACTN1	ITGB1	PPrel: binding/association; complex; input	-	1
284	ACTN1	ITGB2	complex; input	-	1
285	ACTN1	NOLC1	input	-	1
286	ACTN2	ITGAM	complex; input	-	1
287	ACTN2	ITGB1	complex; input	-	1
288	ACTN2	ITGB2	complex; input	-	1
289	ACTN3	ITGAM	complex; input	-	1
290	ACTN3	ITGB1	complex; input	-	1
291	ACTN3	ITGB2	complex; input	-	1
292	ACTN3	NOLC1	input	-	1
293	ACTN4	ITGAM	complex; input	-	1
294	ACTN4	ITGB1	PPrel: binding/association; complex; input	-	1
295	ACTN4	ITGB2	complex; input	-	1
296	ACTR10	ACTR1A	complex; input	-	1
297	ACTR10	ACTR1B	input	-	1
298	ACTR10	ANK1	complex; input	-	1
299	ACTR10	ANK2	complex; input	-	1
300	ACTR10	ANK3	complex; input	-	1
301	ACTR10	AR	activate	->	1
302	ACTR10	ARCN1	complex; input	-	1
303	ACTR10	BET1	complex; input	-	1
304	ACTR10	BICD1	complex; input	-	1
305	ACTR10	CAPZA1	complex; input	-	1
306	ACTR10	CAPZA2	complex; input	-	1
307	ACTR10	CAPZA3	complex; input	-	1
308	ACTR10	CAPZB	complex; input	-	1
309	ACTR10	CD55	complex; input	-	1
310	ACTR10	CD59	complex; input	-	1
311	ACTR10	CENPE	complex; input	-	1
312	ACTR10	COG1	input	-	1
313	ACTR10	COG2	input	-	1
314	ACTR10	COG3	input	-	1
315	ACTR10	COG4	input	-	1
316	ACTR10	COG5	input	-	1
317	ACTR10	COG6	input	-	1
318	ACTR10	COG7	input	-	1
319	ACTR10	COG8	input	-	1
320	ACTR10	COPA	complex; input	-	1
321	ACTR10	COPB1	complex; input	-	1
322	ACTR10	COPB2	complex; input	-	1
323	ACTR10	COPE	complex; input	-	1
324	ACTR10	COPG1	complex; input	-	1
325	ACTR10	COPG2	complex; input	-	1
326	ACTR10	COPZ1	complex; input	-	1
327	ACTR10	COPZ2	complex; input	-	1
328	ACTR10	DCTN1	complex; input	-	1
329	ACTR10	DCTN2	complex; input; predicted	-	1
330	ACTR10	DCTN3	complex; input	-	1
331	ACTR10	DCTN4	complex; input	-	1
332	ACTR10	DCTN5	complex; input	-	1
333	ACTR10	DCTN6	complex; input	-	1
334	ACTR10	DYNC1H1	complex; input	-	1
335	ACTR10	DYNC1I1	complex; input	-	1
336	ACTR10	DYNC1I2	complex; input	-	1
337	ACTR10	DYNC1LI1	complex; input	-	1
338	ACTR10	DYNC1LI2	complex; input	-	1
339	ACTR10	DYNLL1	complex; input	-	1
340	ACTR10	DYNLL2	complex; input	-	1
341	ACTR10	FKBP4	activate	->	1
342	ACTR10	FOLR1	complex; input	-	1
343	ACTR10	GALNT1	complex; input	-	1
344	ACTR10	GALNT2	complex; input	-	1
345	ACTR10	GOLGA2	input	-	1
346	ACTR10	GOLGB1	input	-	1
347	ACTR10	GORASP1	input	-	1
348	ACTR10	HLA-DPA1	input	-	1
349	ACTR10	HLA-DPB1	input	-	1
350	ACTR10	HLA-DQA1	input	-	1
351	ACTR10	HLA-DQA2	input	-	1
352	ACTR10	HLA-DQB1	input	-	1
353	ACTR10	HLA-DQB2	input	-	1
354	ACTR10	HLA-DRA	input	-	1
355	ACTR10	HLA-DRB1	input	-	1
356	ACTR10	HLA-DRB3	input	-	1
357	ACTR10	HLA-DRB4	input	-	1
358	ACTR10	HLA-DRB5	input	-	1
359	ACTR10	HSP90AA1	activate	->	1
360	ACTR10	HSP90AB1	activate	->	1
361	ACTR10	INS	complex; input	-	1
362	ACTR10	KDELR1	complex; input	-	1
363	ACTR10	KIF11	complex; input	-	1
364	ACTR10	KIF15	complex; input	-	1
365	ACTR10	KIF18A	complex; input	-	1
366	ACTR10	KIF22	complex; input	-	1
367	ACTR10	KIF23	complex; input	-	1
368	ACTR10	KIF26A	complex; input	-	1
369	ACTR10	KIF2A	complex; input	-	1
370	ACTR10	KIF2B	complex; input	-	1
371	ACTR10	KIF2C	complex; input	-	1
372	ACTR10	KIF3A	complex; input	-	1
373	ACTR10	KIF3B	complex; input	-	1
374	ACTR10	KIF3C	complex; input	-	1
375	ACTR10	KIF4A	complex; input	-	1
376	ACTR10	KIF4B	complex; input	-	1
377	ACTR10	KIF5A	complex; input	-	1
378	ACTR10	KIFAP3	complex; input	-	1
379	ACTR10	KLC1	complex; input	-	1
380	ACTR10	KLC2	complex; input	-	1
381	ACTR10	NR3C1	activate	->	1
382	ACTR10	NR3C2	activate	->	1
383	ACTR10	OSBPL1A	input	-	1
384	ACTR10	PAFAH1B1	complex	-	1
385	ACTR10	PGR	activate	->	1
386	ACTR10	PTGES3	activate	->	1
387	ACTR10	RAB18	activated by	<-	1
388	ACTR10	RAB1B	complex; input	-	1
389	ACTR10	RAB3GAP1	activated by	<-	1
390	ACTR10	RAB3GAP2	activated by	<-	1
391	ACTR10	RAB6A	complex; input	-	1
392	ACTR10	RAB7A	input	-	1
393	ACTR10	RACGAP1	complex; input	-	1
394	ACTR10	RILP	input	-	1
395	ACTR10	SPTA1	complex; input	-	1
396	ACTR10	SPTAN1	complex; input	-	1
397	ACTR10	SPTB	complex; input	-	1
398	ACTR10	SPTBN1	complex; input	-	1
399	ACTR10	SPTBN2	complex; input	-	1
400	ACTR10	SPTBN4	complex; input	-	1
401	ACTR10	SPTBN5	complex; input	-	1
402	ACTR10	TMED10	complex; input	-	1
403	ACTR10	TMED2	complex; input	-	1
404	ACTR10	TMED3	complex; input	-	1
405	ACTR10	TMED7	complex; input	-	1
406	ACTR10	TMED9	complex; input	-	1
407	ACTR10	TMEM115	input	-	1
408	ACTR10	USO1	complex; input	-	1
409	ACTR10	YKT6	complex; input	-	1
410	ACTR1A	DYNLL1	complex; input	-	1
411	ACTR1A	NME7	complex; input	-	1
412	ACTR1A	RAB1B	complex; input	-	1
413	ACTR1A	TUBA4A	complex	-	1
414	ACTR1A	YKT6	complex; input	-	1
415	ACTR1B	DYNLL1	input	-	1
416	ACTR2	ARPC2	complex	-	1
417	ACTR2	BRK1	activated by; complex; input	<-	1
418	ACTR2	CD247	input	-	1
419	ACTR2	CDC42	activated by; complex; input	<-	1
420	ACTR2	CLTB	complex; input	-	1
421	ACTR2	EFHD2	predicted	-	0.78
422	ACTR2	HTT	catalyzed by; complex; input	<-	1
423	ACTR2	MMP8	catalyzed by	<-	1
424	ACTR2	MMP9	catalyzed by	<-	1
425	ACTR2	RHOG	activated by	<-	1
426	ACTR2	WAS	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
427	ACTR3	ARPC2	complex	-	1
428	ACTR3	BRK1	activated by; complex; input	<-	1
429	ACTR3	CD247	input	-	1
430	ACTR3	CDC42	complex; input	-	1
431	ACTR3	CLTB	complex; input	-	1
432	ACTR3	WAS	PPrel: activated by; PPrel: binding/association; complex; input	<-	1
433	ACTR3B	ARPC2	predicted	-	0.98
434	ACTR3B	WAS	PPrel: activated by; PPrel: binding/association; complex	<-	1
435	ACTR3C	WAS	PPrel: activated by; PPrel: binding/association; complex	<-	1
436	ACVR1	NCF2	PPrel: activation, indirect effect	->	1
437	ACVR1B	CSNK2B	predicted	-	0.92
438	ACVR2A	NCF2	PPrel: activation, indirect effect	->	1
439	ACVR2B	NCF2	PPrel: activation, indirect effect	->	1
440	ACVRL1	CSNK2B	complex	-	1
441	ADA2	ITGB2	predicted	-	0.59
442	ADAM12	ITGB1	complex; input	-	1
443	ADAM15	ITGB1	complex; input	-	1
444	ADAM15	SH3GLB1	predicted	-	0.64
445	ADAM17	ITGB1	predicted	-	0.64
446	ADAM17	PKN1	catalyzed by	<-	1
447	ADAM2	ITGB1	complex; input	-	1
448	ADAM21	MIPEP	predicted	-	0.65
449	ADAM28	ITGB1	input	-	1
450	ADAM8	ITGB1	complex; input	-	1
451	ADAM9	ITGB1	predicted	-	0.98
452	ADAP1	ARF6	activate; inhibit	-	1
453	ADCK2	PDK2	predicted	-	0.64
454	ADCY1	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
455	ADCY1	GNAS	PCrel: activated by; PPrel: activated by; PPrel: activated, indirect effect; activated by; complex; inhibite; input	<-|	1
456	ADCY1	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
457	ADCY10	GNAI2	PPrel: inhibited by	|-	1
458	ADCY10	GNAS	PPrel: activated by	<-	1
459	ADCY10	GNG2	PPrel: activated by; PPrel: inhibited by	-	1
460	ADCY2	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
461	ADCY2	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibite; input	<-|	1
462	ADCY2	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; catalyzed by; inhibited by	-	1
463	ADCY3	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
464	ADCY3	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
465	ADCY3	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
466	ADCY4	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
467	ADCY4	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibite; input	<-|	1
468	ADCY4	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
469	ADCY5	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
470	ADCY5	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input; predicted	<-|	1
471	ADCY5	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
472	ADCY6	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
473	ADCY6	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
474	ADCY6	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
475	ADCY7	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
476	ADCY7	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
477	ADCY7	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; catalyzed by; inhibited by	-	1
478	ADCY8	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
479	ADCY8	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
480	ADCY8	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
481	ADCY9	GNAI2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; activated by; complex; inhibited by; input; reaction	-	1
482	ADCY9	GNAS	PCrel: activated by; PPrel: activated by; activated by; complex; inhibit; input	<-|	1
483	ADCY9	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
484	ADCYAP1	GNAS	complex	-	1
485	ADCYAP1	GNG2	complex	-	1
486	ADCYAP1R1	GNAQ	PPrel: activation	->	1
487	ADCYAP1R1	GNAS	PPrel: activation; complex	->	1
488	ADCYAP1R1	GNG2	PPrel: activation; complex	->	1
489	ADGRF1	GNAS	predicted	-	0.54
490	ADIPOR1	CSNK2B	predicted	-	0.64
491	ADIPOR1	GNAI2	predicted	-	0.64
492	ADM	GNAS	complex	-	1
493	ADM	GNG2	complex	-	1
494	ADM2	GNAS	complex	-	1
495	ADM2	GNG2	complex	-	1
496	ADNP2	NFYC	predicted	-	0.64
497	ADORA1	CLTB	catalyzed by	<-	1
498	ADORA1	GNAI2	PPrel: activation; complex; input	->	1
499	ADORA1	GNG2	complex; input	-	1
500	ADORA2A	CLTB	catalyzed by	<-	1
501	ADORA2A	GNAI2	complex; input	-	1
502	ADORA2A	GNAQ	PPrel: activation	->	1
503	ADORA2A	GNAS	PPrel: activation; complex	->	1
504	ADORA2A	GNG2	complex; input	-	1
505	ADORA2B	CLTB	catalyzed by	<-	1
506	ADORA2B	GNAI2	complex; input	-	1
507	ADORA2B	GNAQ	PPrel: activation	->	1
508	ADORA2B	GNAS	PPrel: activation; complex	->	1
509	ADORA2B	GNG2	complex; input	-	1
510	ADORA3	GNAI2	PPrel: activation; complex; input	->	1
511	ADORA3	GNG2	complex; input	-	1
512	ADRA1A	CLTB	catalyzed by	<-	1
513	ADRA1A	GNAI2	complex; input	-	1
514	ADRA1A	GNAQ	PPrel: activation; complex; input	->	1
515	ADRA1A	GNG2	complex; input	-	1
516	ADRA1B	CLTB	catalyzed by	<-	1
517	ADRA1B	GNAI2	complex; input	-	1
518	ADRA1B	GNAQ	PPrel: activation; complex; input	->	1
519	ADRA1B	GNAS	complex	-	1
520	ADRA1B	GNG2	complex; input	-	1
521	ADRA1D	CLTB	catalyzed by	<-	1
522	ADRA1D	GNAI2	complex; input	-	1
523	ADRA1D	GNAQ	PPrel: activation; complex; input	->	1
524	ADRA1D	GNG2	complex; input	-	1
525	ADRA2A	CLTB	catalyzed by	<-	1
526	ADRA2A	GNAI2	complex; input	-	1
527	ADRA2A	GNAQ	PPrel: activation	->	1
528	ADRA2A	GNG2	complex; input	-	1
529	ADRA2B	CLTB	catalyzed by	<-	1
530	ADRA2B	GNAI2	complex; input	-	1
531	ADRA2B	GNAQ	PPrel: activation	->	1
532	ADRA2B	GNG2	complex; input	-	1
533	ADRA2C	CLTB	catalyzed by	<-	1
534	ADRA2C	GNAI2	complex; input	-	1
535	ADRA2C	GNAQ	PPrel: activation	->	1
536	ADRA2C	GNG2	complex; input	-	1
537	ADRB1	CLTB	catalyzed by	<-	1
538	ADRB1	GNAI2	PPrel: activation	->	1
539	ADRB1	GNAS	PPrel: activation; complex	->	1
540	ADRB1	GNG2	complex; input	-	1
541	ADRB2	ARF6	activate	->	1
542	ADRB2	ARPC2	complex; input	-	1
