	Gene1	Gene2	Annotation	Direction	Score	edge
30	AGT	CEBPB	expression regulated by	<-	1	AGT_CEBPB
31	AGTR1	AGTRAP	predicted	-	0.99	AGTR1_AGTRAP
32	AGTR2	AGTRAP	predicted	-	0.99	AGTR2_AGTRAP
33	AGTRAP	TXN2	predicted	-	0.64	AGTRAP_TXN2
34	AGTRAP	USF1	expression regulated by	<-	1	AGTRAP_USF1
35	AHSG	CEBPB	expression regulated by	<-	1	AHSG_CEBPB
36	AIMP1	HSP90B1	predicted	-	0.99	AIMP1_HSP90B1
37	AIPL1	HSP90B1	predicted	-	0.54	AIPL1_HSP90B1
38	AKT1	HSP90B1	PPrel: activated by	<-	1	AKT1_HSP90B1
39	AKT1	PIK3C3	catalyzed by	<-	1	AKT1_PIK3C3
40	AKT2	HSP90B1	PPrel: activated by	<-	1	AKT2_HSP90B1
41	AKT2	PIK3C3	catalyzed by	<-	1	AKT2_PIK3C3
42	AKT3	HSP90B1	PPrel: activated by	<-	1	AKT3_HSP90B1
43	AKT3	PIK3C3	catalyzed by	<-	1	AKT3_PIK3C3
44	ALDH1A2	CEBPB	expression regulated by	<-	1	ALDH1A2_CEBPB
45	ALDH5A1	SOD2	predicted	-	0.64	ALDH5A1_SOD2
46	ALG2	ANXA11	predicted	-	0.64	ALG2_ANXA11
47	ALOX5AP	ITGB2	predicted	-	0.59	ALOX5AP_ITGB2
48	AMBRA1	PIK3C3	complex; input	-	1	AMBRA1_PIK3C3
49	AMPH	VAMP8	complex; input	-	1	AMPH_VAMP8
50	ANAPC1	CEBPB	reaction	-	1	ANAPC1_CEBPB
51	ANAPC10	CEBPB	reaction	-	1	ANAPC10_CEBPB
52	ANAPC11	CEBPB	reaction	-	1	ANAPC11_CEBPB
53	ANAPC15	CEBPB	reaction	-	1	ANAPC15_CEBPB
54	ANAPC16	CEBPB	reaction	-	1	ANAPC16_CEBPB
55	ANAPC2	CEBPB	reaction	-	1	ANAPC2_CEBPB
56	ANAPC4	CEBPB	reaction	-	1	ANAPC4_CEBPB
57	ANAPC5	CEBPB	reaction	-	1	ANAPC5_CEBPB
58	ANAPC7	CEBPB	reaction	-	1	ANAPC7_CEBPB
59	ANG	CEBPB	expression regulated by	<-	1	ANG_CEBPB
60	ANXA1	S100A11	predicted	-	0.64	ANXA1_S100A11
61	ANXA11	ANXA7	predicted	-	0.92	ANXA11_ANXA7
62	ANXA11	PDCD6	predicted	-	0.64	ANXA11_PDCD6
63	ANXA6	DYSF	complex; input	-	1	ANXA6_DYSF
64	ANXA7	PRKAR1A	predicted	-	0.59	ANXA7_PRKAR1A
65	AOC3	CEBPB	expression regulated by	<-	1	AOC3_CEBPB
66	AP1S1	SORL1	predicted	-	0.54	AP1S1_SORL1
67	AP1S3	SORL1	predicted	-	0.54	AP1S3_SORL1
68	AP2A1	VAMP8	complex; input	-	1	AP2A1_VAMP8
69	AP2A2	VAMP8	complex; input	-	1	AP2A2_VAMP8
70	AP2B1	VAMP8	complex; input	-	1	AP2B1_VAMP8
71	AP2M1	VAMP8	complex; input	-	1	AP2M1_VAMP8
72	AP2S1	VAMP8	complex; input	-	1	AP2S1_VAMP8
73	AP4S1	SORL1	predicted	-	0.54	AP4S1_SORL1
74	APC	CEBPB	predicted	-	0.54	APC_CEBPB
75	APLNR	PIK3C3	GErel: expression, indirect effect	->	1	APLNR_PIK3C3
76	APOE	SORL1	predicted	-	0.98	APOE_SORL1
77	APP	RAB27A	predicted	-	0.64	APP_RAB27A
78	APP	SORL1	complex; input	-	1	APP_SORL1
79	AR	CEBPB	predicted	-	0.64	AR_CEBPB
80	AR	HSP90B1	PPrel: activation; complex	->	1	AR_HSP90B1
81	AR	RCOR1	predicted	-	0.64	AR_RCOR1
82	ARCN1	CD59	complex; input	-	1	ARCN1_CD59
83	ARCN1	DCTN5	complex; input	-	1	ARCN1_DCTN5
84	ARG1	CEBPB	predicted	-	0.54	ARG1_CEBPB
85	ARHGAP1	CDC42	activate; catalyze	->	1	ARHGAP1_CDC42
86	ARHGAP4	CDC42	catalyze	->	1	ARHGAP4_CDC42
87	ARID1B	DPF1	complex	-	1	ARID1B_DPF1
88	ARID1B	DPF3	complex	-	1	ARID1B_DPF3
89	ARID1B	E2F1	predicted	-	0.54	ARID1B_E2F1
90	ARID1B	KAT5	predicted	-	0.54	ARID1B_KAT5
91	ARID1B	KDM3A	PPrel: binding/association	-	1	ARID1B_KDM3A
92	ARID1B	KDM3B	PPrel: binding/association	-	1	ARID1B_KDM3B
93	ARID1B	PHF10	complex	-	1	ARID1B_PHF10
94	ARID1B	PPARG	PPrel: binding/association	-	1	ARID1B_PPARG
95	ARID1B	SMARCA2	PPrel: binding/association	-	1	ARID1B_SMARCA2
96	ARID1B	SMARCA4	PPrel: binding/association	-	1	ARID1B_SMARCA4
97	ARID1B	SMARCB1	PPrel: binding/association	-	1	ARID1B_SMARCB1
98	ARID1B	SMARCC1	PPrel: binding/association	-	1	ARID1B_SMARCC1
99	ARID1B	SMARCC2	PPrel: binding/association	-	1	ARID1B_SMARCC2
100	ARID1B	SMARCD1	complex	-	1	ARID1B_SMARCD1
101	ARID1B	SMARCD2	complex	-	1	ARID1B_SMARCD2
102	ARID1B	SMARCD3	complex	-	1	ARID1B_SMARCD3
103	ARID1B	SMARCE1	complex	-	1	ARID1B_SMARCE1
104	ARID1B	STAT1	predicted	-	0.54	ARID1B_STAT1
105	ARID1B	STAT2	predicted	-	0.54	ARID1B_STAT2
106	ARID1B	STAT3	predicted	-	0.54	ARID1B_STAT3
107	ARID1B	STAT5A	predicted	-	0.54	ARID1B_STAT5A
108	ARID1B	STAT5B	predicted	-	0.54	ARID1B_STAT5B
109	ARID1B	STAT6	predicted	-	0.54	ARID1B_STAT6
110	ARL1	ATP6V0D1	predicted	-	0.66	ARL1_ATP6V0D1
111	ARL4A	CEBPB	expression regulated by	<-	1	ARL4A_CEBPB
112	ARL8A	GNAI2	predicted	-	0.64	ARL8A_GNAI2
113	ARMC8	UBE2H	predicted	-	0.64	ARMC8_UBE2H
114	ARNT	CEBPB	expression regulated by	<-	1	ARNT_CEBPB
115	ARNTL	RCOR1	predicted	-	0.64	ARNTL_RCOR1
116	ARPC1A	VAMP8	complex; input	-	1	ARPC1A_VAMP8
117	ARPC2	BRK1	PPrel: activated by; activated by; complex; input	<-	1	ARPC2_BRK1
118	ARPC2	CD247	input	-	1	ARPC2_CD247
119	ARPC2	IGKV3-20	input	-	1	ARPC2_IGKV3-20
120	ARPC2	NCK1	activated by; complex; input	<-	1	ARPC2_NCK1
121	ARPC2	VAMP8	complex; input	-	1	ARPC2_VAMP8
122	ARPC3	VAMP8	complex; input	-	1	ARPC3_VAMP8
123	ARPC4	VAMP8	complex; input	-	1	ARPC4_VAMP8
124	ARPC5	VAMP8	complex; input	-	1	ARPC5_VAMP8
125	ASH2L	CEBPB	expression regulated by	<-	1	ASH2L_CEBPB
126	ATF2	CEBPB	predicted	-	0.64	ATF2_CEBPB
127	ATF3	CEBPB	complex; expression regulated by; input	<-	1	ATF3_CEBPB
128	ATF4	CEBPB	complex; input	-	1	ATF4_CEBPB
129	ATF5	CEBPB	predicted	-	0.98	ATF5_CEBPB
130	ATG101	PIK3C3	catalyze	->	1	ATG101_PIK3C3
131	ATG13	PIK3C3	catalyze	->	1	ATG13_PIK3C3
132	ATG14	PIK3C3	complex	-	1	ATG14_PIK3C3
133	ATG9A	PIK3C3	activate	->	1	ATG9A_PIK3C3
134	ATP1A2	ATP6V0D1	predicted	-	0.64	ATP1A2_ATP6V0D1
135	ATP5B	HSP90B1	predicted	-	0.66	ATP5B_HSP90B1
136	ATP5F1A	HSP90B1	predicted	-	0.66	ATP5F1A_HSP90B1
137	ATP5F1B	ATP6V0D1	predicted	-	0.64	ATP5F1B_ATP6V0D1
138	ATP5F1B	HSP90B1	predicted	-	0.66	ATP5F1B_HSP90B1
139	ATP5F1C	HSP90B1	predicted	-	0.66	ATP5F1C_HSP90B1
140	ATP5PO	ATP6V0D1	predicted	-	0.64	ATP5PO_ATP6V0D1
141	ATP6AP1	ATP6V0D1	complex; input	-	1	ATP6AP1_ATP6V0D1
142	ATP6AP2	PRKAR1A	predicted	-	0.59	ATP6AP2_PRKAR1A
143	ATP6V0A1	ATP6V0D1	complex; predicted	-	1	ATP6V0A1_ATP6V0D1
144	ATP6V0A2	ATP6V0D1	complex; predicted	-	1	ATP6V0A2_ATP6V0D1
145	ATP6V0A4	ATP6V0D1	complex; predicted	-	1	ATP6V0A4_ATP6V0D1
146	ATP6V0B	ATP6V0D1	complex	-	1	ATP6V0B_ATP6V0D1
147	ATP6V0C	ATP6V0D1	complex	-	1	ATP6V0C_ATP6V0D1
148	ATP6V0D1	ATP6V0D2	complex	-	1	ATP6V0D1_ATP6V0D2
149	ATP6V0D1	ATP6V0E1	complex	-	1	ATP6V0D1_ATP6V0E1
150	ATP6V0D1	ATP6V0E2	complex	-	1	ATP6V0D1_ATP6V0E2
151	ATP6V0D1	ATP6V1A	complex	-	1	ATP6V0D1_ATP6V1A
152	ATP6V0D1	ATP6V1B1	complex	-	1	ATP6V0D1_ATP6V1B1
153	ATP6V0D1	ATP6V1B2	complex	-	1	ATP6V0D1_ATP6V1B2
154	ATP6V0D1	ATP6V1C1	complex	-	1	ATP6V0D1_ATP6V1C1
155	ATP6V0D1	ATP6V1C2	complex	-	1	ATP6V0D1_ATP6V1C2
156	ATP6V0D1	ATP6V1D	complex	-	1	ATP6V0D1_ATP6V1D
157	ATP6V0D1	ATP6V1E1	complex	-	1	ATP6V0D1_ATP6V1E1
158	ATP6V0D1	ATP6V1E2	complex	-	1	ATP6V0D1_ATP6V1E2
159	ATP6V0D1	ATP6V1F	complex; predicted	-	1	ATP6V0D1_ATP6V1F
160	ATP6V0D1	ATP6V1G1	complex	-	1	ATP6V0D1_ATP6V1G1
161	ATP6V0D1	ATP6V1G2	complex	-	1	ATP6V0D1_ATP6V1G2
162	ATP6V0D1	ATP6V1G3	complex	-	1	ATP6V0D1_ATP6V1G3
163	ATP6V0D1	ATP6V1H	complex	-	1	ATP6V0D1_ATP6V1H
164	ATP6V0D1	ATXN1	predicted	-	0.64	ATP6V0D1_ATXN1
165	ATP6V0D1	BAK1	predicted	-	0.54	ATP6V0D1_BAK1
166	ATP6V0D1	BCL2L2	predicted	-	0.54	ATP6V0D1_BCL2L2
167	ATP6V0D1	BCR	predicted	-	0.65	ATP6V0D1_BCR
168	ATP6V0D1	BMT2	activated by	<-	1	ATP6V0D1_BMT2
169	ATP6V0D1	BOK	predicted	-	0.54	ATP6V0D1_BOK
170	ATP6V0D1	C12ORF66	activated by; inhibited by	-	1	ATP6V0D1_C12ORF66
171	ATP6V0D1	CASTOR1	activated by	<-	1	ATP6V0D1_CASTOR1
172	ATP6V0D1	CASTOR2	activated by	<-	1	ATP6V0D1_CASTOR2
173	ATP6V0D1	CHMP4B	predicted	-	0.64	ATP6V0D1_CHMP4B
174	ATP6V0D1	DEPDC5	activated by; inhibited by	-	1	ATP6V0D1_DEPDC5
175	ATP6V0D1	DKFZP686N0561	predicted	-	0.99	ATP6V0D1_DKFZP686N0561
176	ATP6V0D1	DKFZP781J1951	predicted	-	0.99	ATP6V0D1_DKFZP781J1951
177	ATP6V0D1	EGFR	PPrel: inhibition	-|	1	ATP6V0D1_EGFR
178	ATP6V0D1	FLCN	activated by	<-	1	ATP6V0D1_FLCN
179	ATP6V0D1	FNIP1	activated by	<-	1	ATP6V0D1_FNIP1
180	ATP6V0D1	FNIP2	activated by	<-	1	ATP6V0D1_FNIP2
181	ATP6V0D1	ITFG2	activated by; inhibited by	-	1	ATP6V0D1_ITFG2
182	ATP6V0D1	KIAA2013	predicted	-	0.78	ATP6V0D1_KIAA2013
183	ATP6V0D1	KPTN	activated by; inhibited by	-	1	ATP6V0D1_KPTN
184	ATP6V0D1	LAMTOR1	complex	-	1	ATP6V0D1_LAMTOR1
185	ATP6V0D1	LAMTOR2	complex	-	1	ATP6V0D1_LAMTOR2
186	ATP6V0D1	LAMTOR3	complex	-	1	ATP6V0D1_LAMTOR3
187	ATP6V0D1	LAMTOR4	complex	-	1	ATP6V0D1_LAMTOR4
188	ATP6V0D1	LAMTOR5	complex	-	1	ATP6V0D1_LAMTOR5
189	ATP6V0D1	MIOS	activated by; inhibited by	-	1	ATP6V0D1_MIOS
190	ATP6V0D1	MLST8	complex; input	-	1	ATP6V0D1_MLST8
191	ATP6V0D1	MTOR	complex; input	-	1	ATP6V0D1_MTOR
192	ATP6V0D1	NDUFA2	predicted	-	0.84	ATP6V0D1_NDUFA2
193	ATP6V0D1	NDUFS4	predicted	-	0.64	ATP6V0D1_NDUFS4
194	ATP6V0D1	NPRL2	activated by; inhibited by	-	1	ATP6V0D1_NPRL2
195	ATP6V0D1	NPRL3	activated by; inhibited by	-	1	ATP6V0D1_NPRL3
196	ATP6V0D1	RAB7A	PPrel: activated, indirect effect	<-	1	ATP6V0D1_RAB7A
197	ATP6V0D1	RHEB	complex; input	-	1	ATP6V0D1_RHEB
198	ATP6V0D1	RPL5	predicted	-	0.78	ATP6V0D1_RPL5
199	ATP6V0D1	RPTOR	complex; input	-	1	ATP6V0D1_RPTOR
200	ATP6V0D1	RRAGA	complex	-	1	ATP6V0D1_RRAGA
201	ATP6V0D1	RRAGB	complex	-	1	ATP6V0D1_RRAGB
202	ATP6V0D1	RRAGC	complex	-	1	ATP6V0D1_RRAGC
203	ATP6V0D1	RRAGD	complex	-	1	ATP6V0D1_RRAGD
204	ATP6V0D1	SEC13	activated by; inhibited by	-	1	ATP6V0D1_SEC13
205	ATP6V0D1	SEH1L	activated by; inhibited by	-	1	ATP6V0D1_SEH1L
206	ATP6V0D1	SESN1	activated by	<-	1	ATP6V0D1_SESN1
207	ATP6V0D1	SESN2	activated by	<-	1	ATP6V0D1_SESN2
208	ATP6V0D1	SH3BP4	inhibited by	|-	1	ATP6V0D1_SH3BP4
209	ATP6V0D1	SLC38A9	complex; input	-	1	ATP6V0D1_SLC38A9
210	ATP6V0D1	SZT2	activated by; inhibited by	-	1	ATP6V0D1_SZT2
211	ATP6V0D1	TCIRG1	complex; predicted	-	1	ATP6V0D1_TCIRG1
212	ATP6V0D1	TMEM199	predicted	-	0.99	ATP6V0D1_TMEM199
213	ATP6V0D1	WDR24	activated by; inhibited by	-	1	ATP6V0D1_WDR24
214	ATP6V0D1	WDR59	activated by; inhibited by	-	1	ATP6V0D1_WDR59
215	ATP6V1A	HSP90B1	predicted	-	0.66	ATP6V1A_HSP90B1
216	AURKA	CEBPB	expression regulated by	<-	1	AURKA_CEBPB
217	AZU1	CEBPB	predicted	-	0.54	AZU1_CEBPB
218	AZU1	SNCA	predicted	-	0.54	AZU1_SNCA
219	AZU1	STAT3	predicted	-	0.54	AZU1_STAT3
220	AZU1	STAT5B	predicted	-	0.54	AZU1_STAT5B
221	B2M	VAMP8	input	-	1	B2M_VAMP8
222	BAIAP3	RAB27A	predicted	-	0.54	BAIAP3_RAB27A
223	BAK1	CEBPB	predicted	-	0.54	BAK1_CEBPB
224	BATF	CEBPB	expression regulated by	<-	1	BATF_CEBPB
225	BATF3	CEBPB	predicted	-	0.98	BATF3_CEBPB
226	BAX	CEBPB	predicted	-	0.54	BAX_CEBPB
227	BCL2	CEBPB	expression regulated by	<-	1	BCL2_CEBPB
228	BCL2	HSP90B1	predicted	-	0.54	BCL2_HSP90B1
229	BCL2A1	CEBPB	expression regulated by	<-	1	BCL2A1_CEBPB
230	BCL2A1	HSP90B1	predicted	-	0.54	BCL2A1_HSP90B1
231	BCL2L1	CEBPB	predicted	-	0.54	BCL2L1_CEBPB
232	BCL2L1	HSP90B1	predicted	-	0.54	BCL2L1_HSP90B1
233	BCL2L10	HSP90B1	predicted	-	0.54	BCL2L10_HSP90B1
234	BCL2L2	HSP90B1	predicted	-	0.54	BCL2L2_HSP90B1
235	BCL3	RCOR1	predicted	-	0.64	BCL3_RCOR1
236	BCL6	CEBPB	activated by; inhibite	<-|	1	BCL6_CEBPB
237	BCLAF1	HNRNPDL	predicted	-	0.59	BCLAF1_HNRNPDL
238	BDP1	POLR3C	complex; input	-	1	BDP1_POLR3C
239	BECN1	PIK3C3	PPrel: activation; PPrel: binding/association; complex; predicted	->	1	BECN1_PIK3C3
240	BECN2	PIK3C3	PPrel: activation; PPrel: binding/association; complex; predicted	->	1	BECN2_PIK3C3
241	BHLHE40	CEBPB	expression regulated by	<-	1	BHLHE40_CEBPB
242	BHLHE41	CEBPB	predicted	-	0.99	BHLHE41_CEBPB
243	BIN1	VAMP8	complex; input	-	1	BIN1_VAMP8
244	BIRC2	HSP90B1	predicted	-	0.64	BIRC2_HSP90B1
245	BIRC3	DCAF7	predicted	-	0.64	BIRC3_DCAF7
246	BOK	CEBPB	predicted	-	0.54	BOK_CEBPB
247	BRCA1	CEBPB	expression regulated by	<-	1	BRCA1_CEBPB
248	BRD7	PRKAR1A	predicted	-	0.64	BRD7_PRKAR1A
249	BRD7	SMARCC1	PPrel: binding/association	-	1	BRD7_SMARCC1
250	BRF1	POLR3C	complex; input	-	1	BRF1_POLR3C
251	BRF2	POLR3C	complex; input	-	1	BRF2_POLR3C
252	BRK1	WASF2	complex	-	1	BRK1_WASF2
253	BSCL2	CEBPB	expression regulated by	<-	1	BSCL2_CEBPB
254	BST1	CCKAR	PPrel: activated, indirect effect	<-	1	BST1_CCKAR
255	BST1	GPLD1	catalyzed by	<-	1	BST1_GPLD1
256	BST1	PRKG1	PPrel: activated by	<-	1	BST1_PRKG1
257	BST1	PRKG2	PPrel: activated by	<-	1	BST1_PRKG2
258	C3	ITGB2	PPrel: activation; PPrel: binding/association; complex; input	->	1	C3_ITGB2
259	CA2	SLC9A1	predicted	-	0.64	CA2_SLC9A1
260	CALM3	HSP90B1	complex	-	1	CALM3_HSP90B1
261	CALM3	PIK3C3	predicted	-	0.64	CALM3_PIK3C3
262	CALML3	HSP90B1	complex	-	1	CALML3_HSP90B1
263	CALML4	HSP90B1	complex	-	1	CALML4_HSP90B1
264	CALML5	HSP90B1	complex	-	1	CALML5_HSP90B1
265	CALML6	HSP90B1	complex	-	1	CALML6_HSP90B1
266	CALR	HSP90B1	predicted	-	1	CALR_HSP90B1
267	CALR3	HSP90B1	predicted	-	0.56	CALR3_HSP90B1
268	CAMK2A	PIK3C3	PPrel: activation	->	1	CAMK2A_PIK3C3
269	CAMK2B	PIK3C3	PPrel: activation	->	1	CAMK2B_PIK3C3
270	CAMK2D	PIK3C3	PPrel: activation	->	1	CAMK2D_PIK3C3
271	CAMK2G	PIK3C3	PPrel: activation	->	1	CAMK2G_PIK3C3
272	CAND1	DCAF7	complex; input	-	1	CAND1_DCAF7
273	CANX	HLA-DPB1	complex; input	-	1	CANX_HLA-DPB1
274	CANX	HLA-DRA	complex; input	-	1	CANX_HLA-DRA
275	CANX	HLA-DRB5	complex; input	-	1	CANX_HLA-DRB5
276	CANX	HSP90B1	predicted	-	1	CANX_HSP90B1
277	CANX	RCN1	predicted	-	0.78	CANX_RCN1
278	CANX	SEC61A1	predicted	-	0.78	CANX_SEC61A1
279	CANX	TRAP1	predicted	-	0.56	CANX_TRAP1
280	CAPZB	HSP90B1	predicted	-	0.66	CAPZB_HSP90B1
281	CARD16	CEBPB	predicted	-	0.54	CARD16_CEBPB
282	CARD17	CEBPB	predicted	-	0.54	CARD17_CEBPB
283	CARM1	CEBPB	predicted	-	0.64	CARM1_CEBPB
284	CASP1	CEBPB	predicted	-	0.54	CASP1_CEBPB
285	CASP3	STK24	catalyze	->	1	CASP3_STK24
286	CASP6	EIF4A1	activate	->	1	CASP6_EIF4A1
287	CASP7	STK24	catalyze	->	1	CASP7_STK24
288	CASP8	CEBPB	predicted	-	0.99	CASP8_CEBPB
289	CAV1	HSP90B1	complex	-	1	CAV1_HSP90B1
290	CAV2	HSP90B1	complex	-	1	CAV2_HSP90B1
291	CAV3	HSP90B1	complex	-	1	CAV3_HSP90B1
292	CBFA2T2	CEBPB	predicted	-	0.54	CBFA2T2_CEBPB
293	CBX4	CEBPB	expression regulated by	<-	1	CBX4_CEBPB
294	CCDC22	CUL1	catalyze; catalyzed by; complex; input	<->	1	CCDC22_CUL1
295	CCDC22	DCAF7	complex; input	-	1	CCDC22_DCAF7
296	CCL1	CEBPB	predicted	-	0.54	CCL1_CEBPB
297	CCL11	CEBPB	predicted	-	0.54	CCL11_CEBPB
298	CCL13	CEBPB	predicted	-	0.54	CCL13_CEBPB
299	CCL14	CEBPB	predicted	-	0.54	CCL14_CEBPB
300	CCL15	CEBPB	predicted	-	0.54	CCL15_CEBPB
301	CCL15-CCL14	CEBPB	predicted	-	0.54	CCL15-CCL14_CEBPB
302	CCL16	CEBPB	predicted	-	0.54	CCL16_CEBPB
303	CCL17	CEBPB	predicted	-	0.54	CCL17_CEBPB
304	CCL18	CEBPB	predicted	-	0.54	CCL18_CEBPB
305	CCL19	CEBPB	predicted	-	0.54	CCL19_CEBPB
306	CCL2	CEBPB	predicted	-	0.54	CCL2_CEBPB
307	CCL20	CEBPB	expression regulated by	<-	1	CCL20_CEBPB
308	CCL21	CEBPB	predicted	-	0.54	CCL21_CEBPB
309	CCL22	CEBPB	expression regulated by	<-	1	CCL22_CEBPB
310	CCL23	CEBPB	predicted	-	0.54	CCL23_CEBPB
311	CCL24	CEBPB	predicted	-	0.54	CCL24_CEBPB
312	CCL25	CEBPB	predicted	-	0.54	CCL25_CEBPB
313	CCL26	CEBPB	predicted	-	0.54	CCL26_CEBPB
314	CCL3	CEBPB	expression regulated by	<-	1	CCL3_CEBPB
315	CCL3L1	CEBPB	expression regulated by	<-	1	CCL3L1_CEBPB
316	CCL4	CEBPB	expression regulated by	<-	1	CCL4_CEBPB
317	CCL4L1	CEBPB	expression regulated by	<-	1	CCL4L1_CEBPB
318	CCL5	CEBPB	expression regulated by	<-	1	CCL5_CEBPB
319	CCL7	CEBPB	predicted	-	0.54	CCL7_CEBPB
320	CCL8	CEBPB	predicted	-	0.54	CCL8_CEBPB
321	CCNC	CEBPB	reaction	-	1	CCNC_CEBPB
322	CCND3	CEBPB	expression regulated by	<-	1	CCND3_CEBPB
323	CCR5	CEBPB	predicted	-	0.64	CCR5_CEBPB
324	CCR7	CEBPB	expression regulated by	<-	1	CCR7_CEBPB
325	CCT2	DCAF7	complex; input	-	1	CCT2_DCAF7
326	CCT2	HSP90B1	predicted	-	0.99	CCT2_HSP90B1
327	CCT3	DCAF7	complex; input	-	1	CCT3_DCAF7
328	CCT3	HSP90B1	predicted	-	1	CCT3_HSP90B1
329	CCT4	DCAF7	complex; input	-	1	CCT4_DCAF7
330	CCT5	DCAF7	complex; input	-	1	CCT5_DCAF7
331	CCT6A	DCAF7	complex; input	-	1	CCT6A_DCAF7
332	CCT6B	HSP90B1	predicted	-	0.56	CCT6B_HSP90B1
333	CCT7	DCAF7	complex; input	-	1	CCT7_DCAF7
334	CCT8	DCAF7	complex; input	-	1	CCT8_DCAF7
335	CCT8	HSP90B1	predicted	-	0.66	CCT8_HSP90B1
336	CD14	CEBPB	expression regulated by	<-	1	CD14_CEBPB
337	CD151	CD63	predicted	-	0.92	CD151_CD63
338	CD247	CRK	complex; input	-	1	CD247_CRK
339	CD247	GNAI2	inhibited by	|-	1	CD247_GNAI2
340	CD247	HCK	catalyzed by	<-	1	CD247_HCK
341	CD28	PIK3C3	catalyze	->	1	CD28_PIK3C3
342	CD44	CEBPB	predicted	-	0.64	CD44_CEBPB
343	CD5	PIK3C3	predicted	-	0.64	CD5_PIK3C3
344	CD59	COG4	complex; input	-	1	CD59_COG4
345	CD59	RAB1B	complex; input	-	1	CD59_RAB1B
346	CD59	STX5	complex; input	-	1	CD59_STX5
347	CD7	CEBPB	expression regulated by	<-	1	CD7_CEBPB
348	CD84	PIK3C3	predicted	-	0.54	CD84_PIK3C3
349	CD86	PIK3C3	catalyze	->	1	CD86_PIK3C3
350	CDC16	CEBPB	reaction	-	1	CDC16_CEBPB
351	CDC23	CEBPB	reaction	-	1	CDC23_CEBPB
352	CDC26	CEBPB	reaction	-	1	CDC26_CEBPB
353	CDC27	CEBPB	reaction	-	1	CDC27_CEBPB
354	CDC37	HSP90B1	complex; predicted	-	1	CDC37_HSP90B1
355	CDC37L1	HSP90B1	predicted	-	1	CDC37L1_HSP90B1
356	CDC42	CKAP5	complex; input; reaction	-	1	CDC42_CKAP5
357	CDC42	NCK1	activated by; catalyzed by; complex; input	<-	1	CDC42_NCK1
358	CDC42	SRC	PPrel: activated by; PPrel: indirect effect; catalyzed by; complex; input; reaction	<-	1	CDC42_SRC
359	CDC5L	HSP90B1	predicted	-	0.73	CDC5L_HSP90B1
360	CDC73	HSP90B1	predicted	-	0.99	CDC73_HSP90B1
361	CDIPT	PIK3C3	ECrel: compound	-	1	CDIPT_PIK3C3
362	CDK12	NELFA	complex; input	-	1	CDK12_NELFA
363	CDK19	CEBPB	reaction	-	1	CDK19_CEBPB
364	CDK8	CEBPB	reaction	-	1	CDK8_CEBPB
365	CEBPA	CEBPB	activated by; inhibite; reaction	<-|	1	CEBPA_CEBPB
366	CEBPB	CEBPD	reaction	-	1	CEBPB_CEBPD
367	CEBPB	CEBPE	predicted	-	0.98	CEBPB_CEBPE
368	CEBPB	CEBPG	predicted	-	1	CEBPB_CEBPG
369	CEBPB	CEBPZ	predicted	-	0.54	CEBPB_CEBPZ
370	CEBPB	CELA1	predicted	-	0.54	CEBPB_CELA1
371	CEBPB	CELF1	expression regulates	->	1	CEBPB_CELF1
372	CEBPB	CHL1	expression regulates	->	1	CEBPB_CHL1
373	CEBPB	CIITA	PPrel: inhibition	-|	1	CEBPB_CIITA
