nodeLabel	Cluster_R_filtered_25k	Cluster_NR_filtered_25k	distance
LECT2	0	0.273003692855271	0.1982
ZC3H18	0	0.273109665942317	0.1982
CLEC11A	0	0.272662793425812	0.1979
CCDC102B	0	0.27252059400457	0.1978
TOX	0	0.272210751725032	0.1976
VAV2	0	0.272227814943888	0.1976
MBD3L1	0	0.271869635985913	0.1974
MCOLN3	0	0.271729028791031	0.1973
ZNF384	0	0.27174798890006	0.1973
DLG5	0	0.271594395154765	0.1972
PPP4C	0.178916054936227	0.454081039524761	0.1971
HIBCH	0	0.271382375944663	0.197
MAR01605	0	0.27132717077993	0.197
FBP1	0	0.271270101263335	0.1969
PLP2	0	0.271282376352993	0.1969
ZNF512	0	0.271141144100977	0.1968
CDK8	0	0.270880390205099	0.1967
LSM11	0	0.270842218046632	0.1966
PLD1	0	0.270635774754594	0.1965
OSBPL1A	0	0.270449391515123	0.1964
CYP21A2	0	0.270417272555595	0.1963
MAN2B1	0	0.270373405242754	0.1963
MAN2B2	0	0.270167467302389	0.1962
NAAA	0	0.270108657494429	0.1961
S100A7A	0	0.27010494231406	0.1961
SCOC	0	0.270072120361433	0.1961
GABARAPL1	0	0.269678863699822	0.1958
GAS1	0	0.26965774120696	0.1958
RHOB	0	0.269681969664723	0.1958
ZC3H4	0	0.269570730732088	0.1958
AIM2	0	0.269445086239696	0.1957
CEP63	0	0.26946188720702	0.1957
ZNF235	0	0.269318699572054	0.1956
ZNF823	0	0.269334893761708	0.1956
ACOT1	0	0.269234582515271	0.1955
FZD2	0	0.269232712640531	0.1955
LONRF3	0	0.269147917253618	0.1955
MIER2	0	0.269203414489791	0.1955
UPRT	0	0.269091148838336	0.1954
GPR52	0	0.268873831754699	0.1953
ECT2	0	0.268816945735192	0.1952
CDC42BPB	0	0.268703726149328	0.1951
ASB18	0	0.268384188185529	0.1949
LARS2	0	0.268353446854856	0.1949
GPR88	0	0.268122344926019	0.1947
NGFR	0	0.268082112097983	0.1947
TMEM175	0	0.268090285380183	0.1947
ARHGAP15	0	0.267853685034301	0.1945
FCRL2	0.0304683129240569	0.298720748757721	0.1944
ANGPT2	0	0.267457567337839	0.1943
TESK1	0	0.267504936718355	0.1943
OR5M9	0	0.267340650391815	0.1942
ALDH5A1	0	0.267146403465105	0.1941
ZNF227	0	0.267221098854326	0.1941
ASB12	0	0.267084336279779	0.194
CRHR2	0	0.266924601281941	0.1939
PPT1	0.197321807679164	0.468172485477081	0.1939
FAR1	0	0.266730378050826	0.1938
HBG2	0	0.266579754321638	0.1937
BLOC1S2	0.321514539385281	0.594419533642186	0.1935
CEACAM1	0	0.266309218793091	0.1935
TFF3	0	0.266380566494578	0.1935
OR11L1	0	0.266170235299069	0.1934
FAM151B	0	0.266123662345515	0.1933
TLE6	0	0.266118557464523	0.1933
USP20	0.0440302544961408	0.310522952758703	0.193
TRIB2	0.131113711645465	0.398980160880902	0.1927
CAV2	0	0.26490762631099	0.1925
ZMYND15	0.129894625939958	0.397310218686258	0.1924
ADAM9	0.128249966133058	0.39546377864921	0.1923
APP	0.0324069710562167	0.296594907153485	0.1915
MAR11759	0	0.263101230705984	0.1912
MAR12461	0	0.263101230705984	0.1912
MAR12523	0	0.26303527904901	0.1912
MAR12556	0	0.263101230705984	0.1912
MAR12760	0	0.263103841976965	0.1912
MAR12782	0	0.263101230705984	0.1912
MAR12786	0	0.263101230705984	0.1912
MAR12838	0	0.263101230705984	0.1912
MAR12841	0	0.26308360328036	0.1912
MAR12852	0	0.263101230705984	0.1912
RABEP2	0.0553876973323389	0.319598485421721	0.1912
MAR09886	0	0.262825452037288	0.191
ZNF623	0.033070831265953	0.296277667097036	0.1908
GPSM2	0.0319533568709858	0.294795135975109	0.1906
MAR09881	0	0.262267567777183	0.1906
OR10A7	0.0341737629794822	0.296997341787039	0.1905
MAR04336	0	0.261148013537901	0.1899
ARFRP1	0.0334841668010513	0.295254802488008	0.1898
CAPN2	0.184518889199834	0.448670381999375	0.1893
FGF11	0	0.260061674116512	0.1891
HTR2A	0	0.259789528223747	0.1889
PPP1R2	0.13438294458522	0.396724657943426	0.1888
MAR03214	0	0.259295296108192	0.1886
ZNF33B	0.0341511863751437	0.294070081448109	0.1885
MAR04147	0	0.258847759105964	0.1882
MAR04152	0	0.258847759105964	0.1882
MAR08662	0	0.258847759105964	0.1882
MAR08663	0	0.258847759105964	0.1882
MAR08667	0	0.258847759105964	0.1882
MAR08668	0	0.258847759105964	0.1882
MAR12514	0	0.258774258976253	0.1882
MAR07910	0	0.258341197228467	0.1879
VCPIP1	0.0601027355475106	0.319415110285823	0.1877
KIAA2013	0.057755920797215	0.316700240328674	0.1875
ERAS	0.125602895578085	0.384738087094542	0.1867
NACC1	0.0684378804256808	0.326145570565228	0.1865
MAR09888	0	0.256017416801938	0.1863
MAR07632	0	0.255805131958017	0.1861
OR2T2	0.0335050837089992	0.289918342454215	0.1861
MRPL54	0	0.255362929705286	0.1858
NPY6R	0.0352382897530904	0.291267336959938	0.1858
PDE6C	0.0398096302005238	0.295600041046046	0.1855
ZC3H13	0.0596296534338815	0.315290177371902	0.1852
C1D	0.231556869346636	0.490551272240347	0.1851
MAR01611	0	0.25289984307028	0.1841
TUT1	0	0.252940731664999	0.1841
STX12	0.03762342059057	0.291118418830324	0.184
PRKAB2	0.142080326137413	0.397209918836534	0.1836
C3AR1	0.137371411688974	0.392238475187464	0.1835
TAF11	0.126213291387758	0.38085258151168	0.1835
OR1J4	0	0.251540540507324	0.1831
BLOC1S1	0	0.251390147854945	0.183
NCOA5	0.134074759688784	0.388123475653726	0.183
OR2T34	0	0.251337363045302	0.183
MAR03817	0	0.25107169327974	0.1828
SYDE1	0.0439525694949005	0.295643451815069	0.1826
ZNF35	0	0.250440379699941	0.1824
MAR02147	0	0.250256367729366	0.1822
KIFAP3	0.231463189533286	0.485946362880428	0.1819
WDR46	0	0.249847176129018	0.1819
ATF6B	0	0.249694847531603	0.1818
MAR06311	0	0.249642827994822	0.1818
STK24	0	0.249541620380503	0.1817
TLE2	0	0.249357079019913	0.1816
MAR04956	0	0.249206360557526	0.1815
MAR09617	0	0.249191859356504	0.1815
MAR00758	0	0.248924026975968	0.1813
MAR08219	0	0.248890600664612	0.1813
MAR00781	0	0.248816451351593	0.1812
CCKBR	0.124707342032231	0.375581411550855	0.1809
OR2T27	0	0.248358277818589	0.1809
PLSCR3	0.0465701759089563	0.295912791118037	0.1809
FGFR4	0	0.247951222992827	0.1806
TIGD7	0	0.247847249193514	0.1805
COMMD4	0	0.247514277299288	0.1803
MAR01715	0	0.247498120816473	0.1803
MAR03797	0	0.247384235168502	0.1802
MID2	0	0.247334241516883	0.1802
PSMB5	0	0.247279815213883	0.1801
SREBF2	0	0.247231989871545	0.1801
TRIM37	0	0.247054517374525	0.18
FGG	0	0.24647922963475	0.1796
HAUS3	0	0.246314825218384	0.1795
COMMD5	0	0.246272580333189	0.1794
FAM98B	0.0530892584537382	0.300335799507271	0.1794
MAR03387	0	0.246060411146264	0.1793
MAR03493	0	0.246060411146264	0.1793
RIT2	0	0.246042591274543	0.1793
ZNF557	0	0.245920014721702	0.1792
SHMT1	0	0.245504640706528	0.1789
VIPR1	0.125812955419464	0.37384075124922	0.1789
OR5W2	0.0310386019684125	0.276908138488804	0.1787
TAAR2	0	0.244867890401716	0.1785
ZSCAN1	0	0.244914330093771	0.1785
SENP3	0	0.244793702930223	0.1784
TBC1D22A	0	0.244720223883891	0.1784
DNAJC21	0	0.244681968657669	0.1783
PNPLA7	0	0.244651956826394	0.1783
SLC4A2	0	0.244705223151076	0.1783
ABCB8	0	0.244207737795778	0.178
OR10Q1	0	0.244133179586196	0.1779
GALR1	0	0.243946223068128	0.1778
ASCL2	0	0.243819425025467	0.1777
BRWD3	0	0.243753714021815	0.1777
PLB1	0	0.243782419389174	0.1777
TCEA3	0	0.24371971277702	0.1777
ARIH1	0.0355769486274732	0.279778444145309	0.1775
HSH2D	0	0.243498113231977	0.1775
PPIG	0.0584767981375696	0.303108488132464	0.1775
MAR04287	0	0.243346637581749	0.1774
FNBP4	0	0.243278416988407	0.1773
C9orf50	0	0.243114544077803	0.1772
MAR02885	0	0.243051520439719	0.1772
PLEK	0	0.242860748235894	0.1771
RBL2	0	0.242954268545118	0.1771
TNFRSF21	0	0.242965668945413	0.1771
FGF19	0	0.242719201752055	0.177
GPR132	0	0.242844014063239	0.177
ANKRD12	0	0.242634658344488	0.1769
FOXI1	0	0.242488293593991	0.1768
GABRQ	0.18863988694736	0.435007262583162	0.1768
KIF5A	0	0.242499734165547	0.1768
NRG1	0	0.242518799589394	0.1768
SCARB1	0	0.242569881398334	0.1768
C17orf50	0	0.242284485923847	0.1767
RGS20	0	0.242401312945327	0.1767
SH3BGRL3	0	0.242350929611197	0.1767
SLC16A4	0	0.242311983905583	0.1767
MAR09602	0	0.242178259560495	0.1766
MAR09603	0	0.242276846582472	0.1766
MAR09604	0	0.242276846582472	0.1766
OR51I2	0	0.242148439731873	0.1766
ANO7	0	0.242058174732498	0.1765
HIGD2A	0	0.242130850531862	0.1765
ZNF534	0	0.241954829959797	0.1764
ATP6V0B	0	0.241780875670521	0.1763
EIF4EBP1	0.23698268648473	0.483495918496678	0.1763
MAR04285	0	0.241723351545189	0.1763
TAS1R1	0	0.241720282890073	0.1763
PROKR1	0	0.241672709643416	0.1762
RBM12	0	0.24145303740978	0.1761
TRAFD1	0.0329064209259661	0.27512032957335	0.1761
C1QTNF7	0	0.241417671479939	0.176
MED27	0	0.241319212216732	0.176
SLC46A3	0	0.241319212216732	0.176
CRYZ	0	0.241185251691144	0.1759
DES	0	0.241251478997361	0.1759
FEZF1	0.132560146549684	0.376484297318923	0.1759
NAV3	0	0.241142879653293	0.1759
ATG5	0	0.24113440361908	0.1758
GPR149	0	0.24109047366235	0.1758
SERPINB9	0.0329064209259661	0.274703526985968	0.1758
CHRNA4	0	0.240990227997204	0.1757
ARHGAP9	0	0.240716093157206	0.1756
LRRFIP2	0	0.240762465662871	0.1756
MAR00289	0	0.24075396525199	0.1756
FURIN	0	0.240682076332875	0.1755
MAR08357	0	0.240617884442186	0.1755
WDR13	0	0.240704497493883	0.1755
FGFR1	0	0.240553661430155	0.1754
MAR00267	0	0.240516506196159	0.1754
MAR00737	0	0.240516506196159	0.1754
TBC1D19	0	0.240525021857799	0.1754
ARMCX6	0	0.240411951193187	0.1753
TNFAIP8	0	0.240400328874959	0.1753
MAR01451	0	0.24018629602182	0.1752
MAR01467	0	0.24018629602182	0.1752
MDN1	0	0.240175430061767	0.1752
ADAM22	0	0.240041861189269	0.1751
GNA14	0	0.240032537402939	0.1751
KATNAL1	0	0.240116427864172	0.1751
RORB	0	0.240141274097905	0.1751
ARHGAP28	0	0.239921378413225	0.175
SAMD1	0	0.239989017720825	0.175
ADRB3	0	0.239847479930945	0.1749
OR8J3	0	0.239789109889901	0.1749
RASGRF2	0	0.239792223608124	0.1749
ZNF544	0	0.239832695286225	0.1749
CRIP1	0	0.239592018350301	0.1748
RSRC2	0.132718361792466	0.375047198883615	0.1748
ZNF396	0	0.239580323867766	0.1748
LMAN1L	0	0.239461761504863	0.1747
LPAR3	0	0.239507795023707	0.1747
MAR00441	0	0.239470345238623	0.1747
RAP1GAP2	0.05469291987101	0.295353095278688	0.1747
DUSP4	0	0.239355589366959	0.1746
MAR03273	0	0.239404001925424	0.1746
RALB	0.0522749271372005	0.2927207620209	0.1746
BAMBI	0.131986742141048	0.373913737258102	0.1745
C5orf24	0	0.239158633435088	0.1745
DRGX	0	0.239259492697908	0.1745
RNASE7	0	0.239204772394847	0.1745
APLF	0	0.239089003568424	0.1744
GPR137	0	0.239141424963017	0.1744
OSCAR	0	0.239025600737604	0.1744
