accession	gene_name	IDHwt_1.raw	IDHwt_2.raw	IDHwt_3.raw	IDHwt_4.raw	mIDH1_1.raw	mIDH1_2.raw	mIDH1_3.raw	mIDH1_4.raw	mIDH2_1.raw	mIDH2_2.raw	mIDH2_3.raw	mIDH2_4.raw	IDH2_vs_IDH1_ratio	IDH2_vs_IDH1_t.test	IDH2_vs_IDH1_logFC	IDH2_vs_IDH1_p.value
Q9UQ35	SRRM2	31588764	54441224	80311384	58047300	36605500	49373568	66408440	34197188	21418188	28926136	34632060	31816836	0.706485583211951	0.0943065846500862	-0.501267974159483	1.02545798300645
O43707	ACTN4	8293087	7009323	6938384.5	4742941.5	6869747.5	4953889.5	4751156.5	5414842	3794619.5	4883883	4724559.5	5114986.5	0.926674829992463	0.181879876389905	-0.109864908630895	0.740215349624178
Q13813	SPTAN1	32377634	34705096	35038096	34906964	19247856	19485640	17686124	20781648	23570496	24479254	21351362	26426140	1.24052189866879	0.0131592061164221	0.310947203043332	1.88077031054403
P46940	IQGAP1	93856624	84942600	76341360	76436496	114745936	110578680	85679568	105968704	108515672	99482200	96960416	95513648	0.9071576500781	0.589695640618937	-0.140574804087424	0.229372082773555
Q02880	TOP2B	29053032	68406712	64297060	73542984	105772088	99262664	126085768	50646344	50376392	63490224	84221592	52728396	0.566824008449065	0.133520641213493	-0.819027228415386	0.87445159068761
P11388	TOP2A	26807510	71789128	67795752	69893152	77806720	74565128	149841568	43288572	49089536	65029004	97876096	50865384	0.760602365339823	0.454471249398486	-0.394785669383588	0.342493585758912
A0A3B3IUD7	PDCD11	31945746	54236600	62529980	59289968	54664084	47827092	70650240	30292838	31038248	33301140	50508292	31285818	0.630170913445271	0.19858201554354	-0.66618492891129	0.702060085668778
H7C144	ACTN4	23383.25	30678.97	49763.07	45901.79	28643.31	53056.38	52326.1	59457.47	67033.59	39468.14	57829.88	64536.61	1.16116540434425	0.373511018946033	0.215573494193558	0.427696581541033
P49792	RANBP2	22341000	20561496	22503394	21458880	24181100	22593406	24516516	22086052	22839250	23658330	21236890	23900532	0.994079552652037	0.62467586211984	-0.00856678472542063	0.204345275150008
Q01082	SPTBN1	31456582	41288988	44801176	41530612	24564834	23167928	28556192	24047854	23424828	29251560	24742586	30521214	1.11070068785334	0.402199189617747	0.151470090959729	0.395558808788742
A0A804HIG4	LRPPRC	169055792	152272480	136709104	145209456	85835712	88375208	90808304	89777000	100066520	89950600	83677160	83399384	0.974603469410831	0.895063732311326	-0.0371127366164282	0.048146039984995
A0A2R8Y521	CHD4	23383.25	165197.75	183563.05	187369.92	28643.31	117095.19	52326.1	59457.47	38979.94	58703.39	57829.88	64536.61	1.04249014412404	0.660312700982091	0.0600337442545126	0.180250349079576
A0A2R8YFK9	CHD4	23383.25	81582.47	192442.36	170306.53	28643.31	53056.38	52326.1	59457.47	38979.94	116569.58	57829.88	64536.61	1.16116540434425	0.304796550946224	0.215573494193558	0.515989951746799
P09874	PARP1	120977560	234632720	252737792	218106096	209801280	236615808	266457248	150281856	100614096	106348168	170561344	134652608	0.539855624881456	0.0297543540266527	-0.889354460049706	1.52644947392231
P13639	EEF2	746404352	499891520	523277440	463764800	358771424	370187360	338128256	325796512	514237760	369555072	492018432	324909312	1.23629487676045	0.193755142555079	0.306022890897162	0.712746761835047
Q9UQE7	SMC3	45737656	69154384	67256840	68899272	63680056	61811608	64956604	46852468	41636340	43935072	56958264	48046620	0.732970534202176	0.0756558664080314	-0.448172892455765	1.12115739084163
P26038	MSN	456271744	192026048	137798992	119158072	160321344	210886336	152402560	169265888	610393024	182687920	924205504	123277208	2.40628539882273	0.226186666244183	1.26680776431271	0.645533000415227
Q9NU22	MDN1	23702752	26391950	25344538	26844330	24732448	25707838	30378684	26282660	21666236	22777804	22840062	24067516	0.877426986754387	0.0432813568995242	-0.188649015316197	1.3636991322652
F8VPD4	CAD	65837752	66323564	72788584	67851064	88199088	88355256	77095128	85485776	85314456	71014176	74387968	78101048	0.877963758546053	0.111520113254665	-0.187766706886425	0.952646798196468
Q14683	SMC1A	44590252	65273304	67825192	73032704	70055184	66412444	68486216	52085000	47972004	49298760	61176668	53450336	0.761676179733735	0.0727505617850069	-0.392750316572635	1.13816364867626
Q7Z6Z7	HUWE1	38501140	34124896	31699042	34005100	37585804	38710936	36255024	39225336	32493906	31196726	28696590	29449962	0.794879152110562	0.000590017479009002	-0.331192555123511	3.22913512238376
P08238	HSP90AB1	808798400	594102912	511763904	545102208	418402240	476655232	487362976	510933792	1110079360	553799104	924840064	510870048	1.5338290871784	0.128733440148925	0.617137733937703	0.890308624923598
P12814	ACTN1	30379686	23108560	20253238	21030830	35437524	34621368	23830432	35370568	49389244	43618164	46692720	43110080	1.29030412874992	0.0107290080853515	0.367711153498207	1.96944042742557
P20700	LMNB1	159565856	208856032	193593376	239271328	211739008	204847696	163487872	169197280	243422208	200306992	276489760	179180112	1.18629905083928	0.196922626866445	0.246467740725465	0.705704379551767
P04264	KRT1	139011184	642732672	236924640	202021744	154788960	3196138752	165673744	244238864	1274538368	127349576	6376227328	246405568	3.71041023456395	0.552263966099154	1.89157870454198	0.25785329252651
P26358	DNMT1	17682122	26898678	32768738	29583544	23955918	29730436	30338352	24472838	17558612	21552400	24993474	23538886	0.831892294919307	0.0670809273600066	-0.265531340131866	1.17340094212216
A6NHR9	SMCHD1	16592825	31648112	37829344	32386556	33913580	31885084	38894644	24229676	21706820	23541250	29331492	25486820	0.745122575741052	0.09618562047131	-0.424450320497068	1.01688984913414
A0A7P0TAW3	VCP	96923144	86800664	72249360	77927728	78373792	79352288	68619592	83016352	104038968	88294272	94380472	88266432	1.15817716385267	0.0153167407579418	0.211855956143985	1.81483363819095
P49454	CENPF	1828227.12	20894100	26881870	12356215	17647722	20512908	23206626	7332635	8598517	10001601	12712160	8821041	0.493247674370156	0.129509228505325	-1.01961584613326	0.887699283736093
Q08211	DHX9	159462576	193688320	186096192	192089488	132662624	140676768	172368016	98473016	142861872	117740952	167403760	103216736	0.953403832843822	0.881065682453378	-0.068840669591312	0.0549917142170546
P14625	HSP90B1	215366448	174925856	151901488	158675984	101883688	98648568	94849584	110140272	112154848	112999184	108472944	117266464	1.12278212239332	0.0309913273136432	0.167077997694959	1.50875982315902
Q9NR30	DDX21	157181328	238718640	260705872	193997488	128903712	145765536	210052400	79646584	114531768	106322184	186847552	91191464	0.804072365611166	0.651075923510027	-0.314602746704291	0.186368364367542
P08670	VIM	128974112	159081296	203780912	122846960	673282816	645633984	516088736	454761280	553058048	367272736	651226624	371157344	0.795555924050448	0.362156692205445	-0.329964745708273	0.441103485166998
P53396	ACLY	78669904	75981736	64440676	66836816	83068360	85431400	84012000	84018688	85191744	80977520	83481416	83784080	0.995446117556812	0.4774129925954	-0.00658486838148617	0.321105766025312
P34932	HSPA4	67363800	62823172	59138336	66367868	60080676	61462720	68117088	67750288	64641140	72447360	60022636	72461264	1.06094968395132	0.448212308782443	0.0853562373693617	0.348516221065365
P07900	HSP90AA1	277655328	144942912	132952416	145945360	115005640	140998800	126584328	147576896	286300512	145248464	270401376	146984208	1.55983520754717	0.127427771400439	0.641393620233284	0.894735912255016
Q9P2E9	RRBP1	24301074	33034480	40578952	32224296	32804114	38829832	35727632	31709054	29689344	34191700	36398648	37259524	1.03003866266591	0.874792548166431	0.0426984902138726	0.0580949251131194
A0A6Q8PFJ0	LMNA	606289	576169.69	587508.88	751448.19	711640.5	746329.69	952548.19	531424.88	705101	582036.06	673583.94	634882.5	0.897457608512558	0.398170289635003	-0.156084300166812	0.399931148951895
P31948	STIP1	90880880	79369920	73453576	81038024	77287480	87413672	96360696	95600704	96724672	98493568	92101992	101266112	1.06668254301509	0.173408600270785	0.0931308774152465	0.760929367312389
Q86UP2	KTN1	17907556	21379236	22553156	22557050	25876924	25551974	23413294	30121074	21593338	24547800	21600218	27472518	0.897316874260071	0.266062732075642	-0.156310553225914	0.575015953661305
O75533	SF3B1	55481604	58907816	55667708	60554104	52574972	56358664	63194328	46555308	49323828	50908424	56698392	45773744	0.920122155841746	0.379967152371308	-0.12010268814363	0.420253945910782
Q16531	DDB1	58370324	57145904	53955460	49677180	77838592	75221416	77628600	68921512	55245448	56071844	58655840	50072076	0.728277921802769	0.000389159913831896	-0.457438985271935	3.40987190144123
P29144	TPP2	88198792	63646652	56726520	60940096	55119256	55133780	42851208	56502484	41638152	35858344	34745724	34114312	0.640382075283623	0.0088752752228968	-0.64299516845315	2.05181817056221
P35908	KRT2	51633588	251193168	72631056	61075216	87881520	1144238976	44234276	94683856	178882480	44226884	440058944	155181024	1.82982946339179	0.650615233056907	0.871709198354415	0.18667577266328
E7EUU4	EIF4G1	14620.46	1001859.06	1471272.75	1965984	1667581.38	1755100.12	2541493.25	2298677	177323.47	1794542	1713144.75	2588789.5	0.86528850653733	0.414075184413649	-0.208746855139999	0.382920796049548
A0A1B0GVI3	KRT10	113887904	452699168	159434368	134005264	119327632	4107884800	86303408	140835856	551066944	75362384	2026608000	215186288	2.94527582594526	0.734674033472003	1.5584027491965	0.133905309712057
E7EX73	EIF4G1	181468.61	30678.97	100323.69	329864.69	158911.55	53056.38	284767.56	198198.22	71897.96	90266.59	57829.88	64536.61	0.382052190843168	0.121340025276151	-1.38815836152828	0.915995918924756
P26640	VARS1	112379744	108189872	106046712	104373360	107558912	112593232	100728928	107150472	122416392	111011480	117028400	110135064	1.06208622907697	0.0747221257889977	0.0869009009928993	1.12655078124666
P38646	HSPA9	262971840	203377312	170669136	164887632	139984896	144882624	155779536	144115584	203571920	150159200	172117616	138773376	1.11515160675322	0.257864197776234	0.157239860318245	0.588608951726248
P53621	COPA	81605472	79351352	88189400	82032888	55191840	53903440	53608760	51365012	52605952	50009312	49805772	50938884	0.93894642654508	0.0410521466804664	-0.0908852504935794	1.38666412801823
Q9Y5B9	SUPT16H	18647476	54774912	47836972	50272012	81230840	92065792	102678560	43071184	68000016	58083300	123066208	52968000	0.727557798122701	0.845248449455125	-0.458866232773248	0.0730156172421115
A0A087WUT6	EIF5B	28929744	48427332	58071408	44945560	33462446	41483124	43480616	33156642	24238904	32463458	31079374	38428212	0.84785307523847	0.160479265676963	-0.238113813577373	0.794581071569248
P06737	PYGL	108904096	87681264	86699952	91586336	52016004	42452956	34756224	53631856	105194512	96154816	97287592	106569904	2.1433717911153	0.000127628738324593	1.09988212284462	3.89405152396505
P13647	KRT5	6759465.5	30335436	15570213	12136310	15864284	169606528	12856424	18418588	44282036	9039150	281787840	17199468	1.79335920281125	0.67296397962026	0.842664483305153	0.172008180754934
P52272	HNRNPM	104278688	89424056	89110352	96698248	88504576	100944208	93189384	77247104	108384464	71963880	109006648	72356752	0.994756325416651	0.970513870707412	-0.00758492718778134	0.0129982532394089
Q7KZF4	SND1	140349856	121810720	111195264	110230904	95035200	94025960	92492016	89111592	107645032	94772088	99452312	91340576	1.04131732589678	0.212025924210826	0.0584097753962204	0.673611035045854
P10809	HSPD1	458197760	262274096	248011488	287617152	260534160	259403840	244578512	285189536	633390144	263989024	549338624	305650112	1.64440517138582	0.147330803428629	0.717565814062009	0.831706442834957
A0A8V8TNX9	PKM	10503856	5399545	9693787	10561890	16665789	11892551	10441639	16357486	28135140	14416168	22155742	13294463	1.29457918940071	0.210206383682128	0.372483217583642	0.677354099174452
Q92608	DOCK2	26227820	24871222	27474402	24421088	33757280	31153966	22593228	29648642	29400002	27733514	27486256	29821844	0.939655680558965	0.798859007547179	-0.0897958901726149	0.0975298635488896
F5H2F4	MTHFD1	105771832	101238872	90217080	88761960	110775304	113363048	88398832	114122640	106799224	97382872	98553912	99071792	0.881713023391909	0.396679746896517	-0.181618925611165	0.401559972542291
Q15393	SF3B3	78913224	77504872	60823352	67272216	64341620	67477760	76933192	60650096	74562088	64245716	78913224	58817324	1.05301514845541	0.768875281897853	0.0745261908216519	0.114144100739895
P12956	XRCC6	147191488	136389104	122899520	127720728	133735456	130992136	120751264	120749304	144793984	116107016	153886704	115301456	1.03637672328252	0.601150615717861	0.0515485184866946	0.221016703737402
E7EPN9	PRRC2C	24358904	22653054	23781056	23928698	20478548	21025866	23317322	21338738	15977206	21654020	16896748	20730964	0.888187506721413	0.14698608171372	-0.171063816441855	0.832723787164115
P11142	HSPA8	36061352	11965077	10334244	17633098	9776669	20313022	8669382	17797560	134230544	19013686	161215888	20054010	5.59524453068117	0.16004631343589	2.48420118312161	0.795754325099291
P11021	HSPA5	203244432	152428976	117132120	115504368	137986032	143894736	128616792	143004640	244902080	168173296	240152688	169980512	1.45959720684251	0.0483123967816682	0.545570295225006	1.31594141659685
O95347	SMC2	37629516	41656972	41584004	41035020	30661624	30857592	27676534	31766706	31573862	29300768	31220584	29191462	0.983779637243752	0.943204737492055	-0.0235929011307448	0.0253940265500641
P25205	MCM3	93842584	103363568	102151936	107725704	57065584	60673332	65039248	61706148	71775472	68419536	67775792	70174312	1.13249253878183	0.00762115062931989	0.17950154537269	2.11797945461321
Q14315	FLNC	317407.72	1179981	1599279	276490.25	28643.31	53056.38	25416392	59457.47	20834.11	58703.39	43253.2	64536.61	0.906169240497948	0.390988239934692	-0.142147574830845	0.407836305029397
Q03252	LMNB2	43338852	57387980	58478208	65661660	64862916	65630584	54653656	55110828	55197144	59551444	69085344	57450348	0.975228313288281	0.954134952774585	-0.0361880833184526	0.0203901943731789
Q8WYP5	AHCTF1	12199590	21209462	21635378	21592408	14910061	16923836	20947582	12491159	8661164	12785834	13469906	14781998	0.824773039882613	0.134897430879948	-0.277930920114599	0.869996321382853
O60610	DIAPH1	28842452	28360866	29506506	29551994	33771948	35936152	36490248	34633684	39606908	40845976	40508756	38127096	1.13526782179287	0.00188180245190182	0.183032684822479	2.72542596993748
P18206	VCL	47672752	44619916	41618760	43332372	24343348	21607320	30842182	22467036	26958572	25754708	25348208	26768660	1.12204522825534	0.556168081727299	0.166130830371466	0.254793938750291
Q00839	HNRNPU	37630848	45086104	36504680	32939334	33146738	46029596	42274936	27324296	35010784	21368986	36266140	26834872	0.819998452964595	0.234944599312472	-0.286306906988852	0.629034533683163
A0A8Q3WMA7	SFPQ	65428132	153003376	182268528	144088848	93200656	120556904	154300816	79181472	64266460	87288064	130312248	85060952	0.806282669019987	0.389588153498683	-0.310642383056945	0.409394257513065
S4R3H4	ACIN1	651573.25	761915.44	631570.81	924462.31	899133.19	974404.94	1206794.5	701244.5	960816.94	853803.88	1049020.75	768740.12	0.968552916507763	0.770848091176684	-0.0460972228292778	0.113031198685571
A0A804F6T5	PKM	1185247.25	1568149.25	1673611.12	1332760	1708159	1163338.62	1335382.75	1657214.25	1281335.12	1789886.38	1205088.62	1641016.62	0.976526989768419	0.946915422500982	-0.0342681762571667	0.0236888099951209
Q5T4S7	UBR4	18761664	17722466	17763470	19144874	14569022	14321213	18120598	16736395	15146796	16775568	13932096	15693973	0.985157584708103	0.632845094314492	-0.0215735799702563	0.198702582111231
P02538	KRT6A	38532.29	4486808.5	1212801.12	55118.41	31051.55	3202950.25	805264.38	1762923.12	5585268	80638.5	71059976	68953.26	2.20618880046726	0.381393213788725	1.141556258673	0.418627038716153
P50990	CCT8	201965648	167140432	153075904	161493184	159117888	163315152	168086832	171078704	185336592	168966000	167541152	164979936	1.0154047599184	0.291292247745388	0.0220549281253858	0.535671073237764
P22102	GART	67426800	55643244	51552560	52673812	54000136	60115540	66958976	58736224	67746456	50051688	62364176	51049484	0.954244650504304	0.690550097815815	-0.0675689011725386	0.160804808880097
Q9NTJ3	SMC4	32407638	38368664	39290328	37048784	25864746	26562586	26336670	27255160	22491124	24669350	23301866	25749412	0.906841033832309	0.0352307878152836	-0.14107842153363	1.45307764520919
A0A8J9C4H3	GOLGB1	4808866	8734793	15111981	8360949.5	9210375	9714634	7339068	6046787	257174.06	4790841	2729325.5	6623938	0.454406018377779	0.0388431176410407	-1.13794615215243	1.41068591985666
P13796	LCP1	366994208	283335264	245726416	264304848	243693664	239664704	165000560	247457504	152016208	135548352	120923400	133565792	0.556759046323162	0.0160215322891878	-0.844875000510067	1.7952959506166
P35527	KRT9	21545626	161870912	78898832	68157288	83496112	121780008	59442404	97650088	342272416	58615032	3126139904	60503744	2.22348666436282	0.358971808972008	1.15282375197284	0.444939656403937
Q12906	ILF3	74764824	93921400	87707304	85950720	114655552	125594424	136919024	85007344	95487600	96504512	115467696	88094288	0.799134781183079	0.248462855480353	-0.323489247872023	0.604738527919281
P41252	IARS1	59521908	56992300	60034652	56368816	74657440	68597992	65310800	71560592	61925620	60630572	60024148	62314616	0.874410888740143	0.0181716974491684	-0.193616728377093	1.7406045026108
P22314	UBA1	112601632	86729952	78816488	81053880	121113256	116611944	94139160	121572928	126527472	109957216	114075936	106427360	0.942403884821634	0.91407212551007	-0.0855826085613541	0.0390195345996637
E7EQT4	ACIN1	575729.25	795957.25	692288.69	886848.5	843403.94	949419.69	1401266.12	696403.81	684135.06	697682.75	853934.88	722216.69	0.791990587495771	0.223779118293779	-0.336444810357562	0.650180441636509
Q9NTI5	PDS5B	15266865	23030770	21193820	19987526	19682662	20775412	18879636	17877876	9988939	10839669	12976913	10569857	0.555193209699277	0.0000969995947253016	-0.848938171771416	4.01323008025884
Q9H583	HEATR1	22883488	36799904	32608952	48315596	32115892	28612964	50784284	21673514	24633352	27732534	37493868	22978214	0.862290012510692	0.504200265372589	-0.213754924826733	0.29739693008
H0YFY6	NUMA1	443336.56	643233.62	761764.19	595034.31	1893963.88	1710277.88	1205870.25	1172106.88	918356.94	1588133.5	1039489.44	1491994.75	0.868091769398559	0.372773581885679	-0.204080531183105	0.42855487327034
Q9BQG0	MYBBP1A	28971840	33860220	36633748	31283216	31681564	34213392	41521752	28693406	33104476	31026774	39260376	30848694	0.973234582628752	0.894798382219841	-0.0391405094028776	0.0482748097716877
P78371	CCT2	144423552	105999808	93152624	94312280	92423984	101589440	90253928	96736784	134681152	87203488	127034488	88766248	1.14083241615936	0.341236522666879	0.19008688090559	0.46694449232332
P17844	DDX5	69548120	89197424	117870408	84466816	79532752	93378448	90529944	57593248	101001864	73955536	95366640	65443544	0.995645605900544	0.764457479714302	-0.00629577989622007	0.116646665698359
A0A6I8PIV1	LARS1	64774644	54751708	56740328	54202376	54577632	50488836	49093672	51020732	51305420	46309492	45620032	46051812	0.909877815655762	0.0671088861254849	-0.136255271095413	1.17321996955161
Q29RF7	PDS5A	17194726	21436222	19943188	21303768	19708176	20581582	15393265	21735388	17931036	16918208	18437514	21681972	0.90267481874674	0.735699206004037	-0.147721732732485	0.133299712665196
H7BXY3	DHX30	18263596	22712478	33178552	22897956	28955618	29345644	35516772	21102156	27010568	27539858	34455744	26107412	0.935664583041101	0.989558585318111	-0.0959366495956394	0.00455848894904965
Q13200	PSMD2	40810456	37001400	32299302	34656744	36626644	35279000	41227824	37934832	41141744	39066436	40357596	40644976	1.08638638001211	0.138899389640108	0.119537297791606	0.857299662660624
A0A8I5KZ38	MYH10	65003.38	30678.97	49763.07	45901.79	8287.51	53056.38	7811221	92110.71	123839.05	58703.39	111640.71	74025.98	1.27898609801987	0.399832909950255	0.355000582885081	0.398121462290007
Q5UIP0	RIF1	9995464	15703480	15164443	14201291	11481267	13772064	22776032	10761748	8654501	10173739	10276071	11474640	0.80978663765188	0.198487948882168	-0.304386257692229	0.702265856119274
P13667	PDIA4	57865376	53701872	45859888	49633956	27680178	26601444	30655716	30271828	35191952	35232108	32233866	34827060	1.20822412946327	0.00482380634566559	0.272888104060377	2.31661013550658
Q14697	GANAB	43246352	24559804	22637808	24599990	33815424	34715040	25326324	29293336	32231322	23972700	26877052	20295440	0.80574791835555	0.188877901311091	-0.311599538790881	0.723818851501525
A0A7I2V428	NCL	790831616	143741392	99560688	103367672	90106424	125900304	102014904	88686024	1651788800	89962608	2322105856	71969896	9.06589302776421	0.198660102709844	3.18044913836657	0.701889344328363
O75691	UTP20	20886432	25703828	25711502	25050488	13956041	12996543	23882352	10769363	10843821	12593180	15144376	9952245	0.869564157559067	0.355598870342419	-0.201635619537641	0.449039627355461
A0A2R8Y4P4	SMARCA4	5225383	6330568.5	5570824.5	6200635.5	6875245.5	6820620.5	7783025	5430320	5835322.5	4922998	6612659	5656971.5	0.839106778644008	0.160149595375772	-0.25307368563086	0.7954741542608
Q92614	MYO18A	11857189	12615520	13505522	13395739	33420290	29604700	22323102	25252428	22019544	24555240	21272118	24481592	0.847677187912572	0.156752258922359	-0.238413132061098	0.804786191929802
Q15029	EFTUD2	56190156	79316224	80380224	86595880	78227648	71087648	82917160	55656952	62601120	58320856	78390800	56102936	0.809843192488464	0.338958923126529	-0.30428550456853	0.469852928759689
A0A5F9ZI21	ARHGEF2	54666824	50498024	49761724	51447968	43243032	44231200	38575560	40267072	39160240	42815292	37105168	42827544	0.981624115807591	0.588580815731621	-0.0267574023977031	0.230193897448225
P16885	PLCG2	21145358	20452548	21643142	18993718	22754824	20472118	15105754	20389430	16842944	17605204	15654900	17767092	0.843045593867369	0.193230673688844	-0.246317437305294	0.713923931976327
P02533	KRT14	696821.69	6586769.5	8119101	3245855.5	1077173.25	44074388	1507544.25	3037606.5	24100614	1108924.62	165305808	3186078	6.00347348215018	0.433994299560758	2.58579745497336	0.362515974832111
A0A6Q8PGB0	POLR2A	20621302	28051734	28843138	33175994	26735554	25992012	32145398	21404114	21910330	25495024	28378550	22083508	0.902346450052331	0.46717660630367	-0.148246641663389	0.330518912487258
Q9BSJ8	ESYT1	65569784	52281620	40708660	41350996	26820316	26416046	23393284	23552388	42259628	30705078	38859056	29517054	1.39216157944834	0.0402031811801787	0.477326665454244	1.39573958088727
A5YKK6	CNOT1	29039446	25731912	26327060	26230098	24692844	23557370	23549504	24445116	24560622	23463460	22006728	22787486	0.963511473134954	0.228067845000917	-0.0536262491900794	0.641935941041004
P11387	TOP1	38004976	67740016	81307784	60157984	83861496	87530928	90539904	55524752	32071976	41649040	63680980	56260564	0.571259812510733	0.0286213362099838	-0.807781053379255	1.54331009471753
A0A6Q8PGN5	AARS1	92740672	80403240	70788800	76269688	31498060	33098660	37269744	39174152	48942244	44913896	46987968	44436504	1.30601035089555	0.00339910510634856	0.385166331131285	2.46863540605494
Q92598	HSPH1	58825276	65576780	58104796	76751416	39383944	48926912	47963400	58365428	36628860	37556088	33789784	47110812	0.765659088805494	0.0909711070629128	-0.385225922538408	1.04109652015799
Q86VP6	CAND1	77175144	64527532	62901120	68547040	37445956	36285292	33628120	41555588	51767476	47332760	44853212	46947748	1.27870489863402	0.00320856170744042	0.354683355384468	2.49368960388934
P08779	KRT16	142972.56	11852901	12683629	3313973.25	656934.06	4286992	1071573.62	3525436	33112118	535486.75	338223168	764509.19	7.36927480913124	0.349317264518509	2.88152265449718	0.456779949432975
Q13576	IQGAP2	9735846	10368415	10543488	10846018	23489202	17558290	15517160	22667802	20445334	21129562	17475500	24764206	1.03353057513019	0.657793008252189	0.0475810689145259	0.181910746988406
Q14676	MDC1	9937855	20401812	21270820	20843460	13436428	14713146	23068074	10585341	7223980.5	10073510	11720937	11592020	0.769657473324463	0.141475232716982	-0.377711560092998	0.849319583007632
P78347	GTF2I	44201736	41616608	40333892	43593484	44655524	42335164	36665944	40821376	44109340	37995832	39084356	36913884	0.926928753889953	0.516868498467076	-0.109469640998541	0.286619935928299
Q92900	UPF1	39355776	37288088	37475856	36977040	24561958	24456590	25175946	25413626	25611278	22873432	24253172	23983598	0.969819114211166	0.301630329963375	-0.0442124067275579	0.520524990808045
Q9NYF8	BCLAF1	36409364	38932848	46187344	45372612	42176184	41485748	53036008	31555520	29394386	34467300	36116352	29404166	0.763447179297748	0.110074996842675	-0.389399750309646	0.958311318325479
A0A024R4E5	HDLBP	32979816	39233760	39044452	38036448	30666734	33244800	25616988	31519110	31013596	31367708	30084592	32689002	1.00314315907653	0.586674080612826	0.00452750839447094	0.231603098583533
