nodeLabel	mIDH1_filtered_25k	mIDH2_filtered_25k	distance
OR4M1	0.186020858671006	0.476985597944261	0.2084
CLCN5	0	0.288240365822108	0.2083
TPRKB	0	0.288137136703771	0.2083
ZNF404	0	0.28810410737352	0.2083
ID3	0.130422618858982	0.420285587197569	0.2082
SHOC2	0.0480598171636687	0.336724300913763	0.2082
BRWD3	0	0.28790943420038	0.2081
APBB2	0	0.287661875874525	0.2079
FRYL	0.135913317125545	0.425477134801262	0.2079
OR6K2	0.129411199413589	0.418705893310906	0.2078
FOSL1	0	0.287211829612867	0.2076
ARHGEF15	0	0.286941278171257	0.2074
EPRS	0.139461028819384	0.428268700162499	0.2074
ZNF83	0	0.286541310226332	0.2072
PLSCR3	0	0.286460109845683	0.2071
ASGR2	0	0.286005957769198	0.2068
BEND5	0.0372310717361906	0.323534369493295	0.2066
MED27	0	0.285401558686902	0.2064
ENG	0	0.285360346458508	0.2063
SP2	0	0.285286453506207	0.2063
ZNF169	0.134718621671162	0.421826219801421	0.2062
ZNF880	0	0.285230738832063	0.2062
BAIAP2L2	0	0.284961478566764	0.206
GTF2IP1	0	0.284902941344087	0.206
OR2H1	0	0.284420233362194	0.2057
GLIPR2	0	0.284375479095378	0.2056
TECR	0.0406211699372065	0.325587779080143	0.2056
EIF4EBP1	0.0369277868818282	0.321649910999333	0.2055
RASGRF2	0	0.284256240386225	0.2055
CLIP2	0	0.283950910807291	0.2053
KLK6	0.0375919834473993	0.32208479778342	0.2053
PRKAA2	0	0.283722941589069	0.2052
ZNF676	0.0414166694980513	0.324885650608424	0.2046
ZNF48	0.0460285985596714	0.329485343338939	0.2045
DPH1	0.04328809096743	0.326494393106731	0.2044
PAK1IP1	0.0858842816902809	0.369456744460746	0.2042
MAR01525	0	0.281182428229476	0.2034
BRS3	0.0436529075882511	0.325382913742711	0.2033
LARP7	0.0509120224578615	0.331637425516722	0.2026
COX7A2L	0.0582541447970745	0.338340365813838	0.202
PSMA3	0.397909908851473	0.682525820325534	0.2018
PSTPIP1	0.146406178032302	0.427207009100789	0.2017
CALR	0.193648237767776	0.47492789767608	0.2015
NCOR2	0.186121811923378	0.467182269719921	0.2014
THAP7	0.0686528120752733	0.346076461842579	0.2001
APOOL	0	0.275442642322069	0.1994
NUP35	0.258868908928105	0.53708559895107	0.1987
PSMB7	0.191817596055724	0.468980722090594	0.1987
ATP6V1G1	0.141717998696512	0.417898098204768	0.1985
ANP32B	0	0.273889810769439	0.1983
BAZ1A	0.036840197894374	0.311003031714075	0.1981
PSME3	0.28463897131887	0.562316091539588	0.1981
YTHDC1	0	0.273174025001175	0.1978
NFATC2	0.13865522346834	0.413644146345335	0.1977
PMPCB	0	0.272812617843638	0.1975
SEC23B	0.044165949431966	0.317644765648124	0.1975
TUT1	0	0.272659530979532	0.1974
BRK1	0	0.272397105966611	0.1972
P2RY4	0.186209676595884	0.461198289306282	0.1972
PSMA2	0.285033295820916	0.561452013338894	0.1972
TRAF7	0	0.272396515662029	0.1972
HDAC7	0.134032353180171	0.408225359048428	0.1971
COPZ1	0	0.271884915051414	0.1969
SURF4	0	0.271839277871884	0.1968
RXFP2	0.187261704243758	0.461492751364368	0.1966
BAIAP2L1	0.0392034275364412	0.309727277126221	0.1955
ANKRD12	0	0.26940498833683	0.1951
TGFB3	0.0359825837231282	0.305734704807404	0.195
SNRPB	0.386360493136933	0.660944212206892	0.1949
SDE2	0.0492353646472562	0.318859357954413	0.1948
ZMYM2	0.187376770703234	0.45885634453172	0.1947
RIT2	0	0.268698498113124	0.1946
KIAA1328	0	0.268510192480674	0.1945
ZNF215	0.0414430615199484	0.310608939007932	0.1945
C18orf32	0	0.268360572249526	0.1944
MAR01604	0	0.268417764146535	0.1944
UBE2J2	0	0.26840620607186	0.1944
ZNF479	0.134344470170203	0.404594127628434	0.1944
BBX	0.191407344207539	0.462381948808651	0.1943
SNRPF	0.364167662116488	0.637636032150504	0.1943
LARS2	0.0395427152765828	0.30779936273757	0.1939
DCAF15	0	0.267556059325974	0.1938
MAR11759	0	0.267514419074348	0.1938
MAR12461	0	0.267514419074348	0.1938
MAR12523	0	0.267514419074348	0.1938
MAR12556	0	0.267514419074348	0.1938
MAR12760	0	0.267515643974356	0.1938
MAR12782	0	0.267514419074348	0.1938
MAR12786	0	0.267514419074348	0.1938
MAR12838	0	0.267514419074348	0.1938
MAR12841	0	0.267513806620099	0.1938
MAR12852	0	0.267514419074348	0.1938
UQCRQ	0.143146715719248	0.412058747054686	0.1933
TAX1BP1	0	0.26664680241135	0.1932
ABCG1	0.0854484692219814	0.353233884595685	0.1931
YTHDF1	0	0.266133519411495	0.1928
CABP2	0	0.265931615239481	0.1927
OR7G3	0.04054213544272	0.306906484812897	0.1926
PNPLA2	0	0.265767263776432	0.1926
SENP7	0	0.265836750390823	0.1926
SS18	0	0.265278589133589	0.1922
PCDH11X	0	0.265062276528175	0.1921
TRDMT1	0	0.265137121975944	0.1921
BMP10	0	0.264929321688512	0.192
NF2	0	0.264894344274729	0.192
PRAME	0	0.264933068721199	0.192
MSGN1	0	0.264776852550762	0.1919
ZNF740	0.133198059704383	0.399938254472935	0.1919
OR4D5	0	0.264716816586105	0.1918
ZNF557	0	0.264711812361446	0.1918
CLCF1	0	0.264487053096746	0.1917
RAB42	0	0.264549698437254	0.1917
S100A7A	0	0.264375471085853	0.1916
PPP1R13L	0.258794136839812	0.526649162532887	0.1915
CHCHD3	0	0.264133177927797	0.1914
GPSM2	0	0.264146999290546	0.1914
HRH4	0	0.263939527375711	0.1913
KRIT1	0.136150311148716	0.402099162420662	0.1913
COX6C	0.139143863655899	0.40496985916574	0.1912
IL7R	0.134426425746037	0.400105492032438	0.1912
MAR12514	0	0.263850781172179	0.1912
PPM1G	0.0451016285994109	0.30934857663645	0.1911
MAR01444	0	0.263420054085706	0.1909
OR2T2	0	0.263440897414267	0.1909
SLC25A32	0	0.263429528732264	0.1909
TRMT2A	0	0.263449107522691	0.1909
EVI2A	0.0649824797357193	0.329101434980528	0.1908
FNIP1	0	0.263110175975896	0.1907
ACBD5	0	0.262920730581636	0.1906
ZNF586	0	0.263016437514485	0.1906
ATP6V0A2	0.0437952664039046	0.306899204638279	0.1903
ZNF786	0	0.262365409606018	0.1902
WWP1	0	0.262234182105458	0.1901
OR1J4	0.0475204041395511	0.310368905570824	0.19
FCRL5	0	0.261789208602276	0.1898
RAP1GAP2	0.05082207625123	0.313380131961228	0.1898
ST6GALNAC4	0	0.261823736307895	0.1898
NBR1	0	0.261560074959521	0.1896
PTN	0	0.261076186737454	0.1893
WDSUB1	0	0.261124398046737	0.1893
TAAR9	0	0.260735637369743	0.189
CNN3	0	0.260574392265138	0.1889
MAR04336	0	0.260566647564442	0.1889
DDX39B	0.135324462697033	0.397709199492753	0.1888
LECT2	0.0444771060461284	0.305414368247284	0.1887
MAR09903	0	0.260253253249338	0.1887
ARL4D	0	0.259909283096992	0.1885
FOXO4	0.0462972746320982	0.306715247593029	0.1884
MAR08109	0	0.259630732961883	0.1883
AFAP1L2	0	0.259526044253664	0.1882
MAR07910	0	0.25949872055254	0.1882
FAM136A	0	0.259393927489998	0.1881
CSRNP3	0	0.259248642354459	0.188
RGS22	0	0.259310554595277	0.188
MAR08107	0	0.258654773251595	0.1876
MAR08110	0	0.258654773251595	0.1876
MAR07912	0	0.258545378687086	0.1875
ZC3H12D	0	0.258534893029945	0.1875
MAR08892	0	0.258089799293809	0.1872
TPM4	0.230817469237347	0.49226243228628	0.1872
ZBED3	0.129892871960431	0.388980425160233	0.1866
TP53RK	0	0.257073232039341	0.1865
DENND4A	0	0.256831809062619	0.1863
HCFC2	0.0347364880006366	0.291632212515137	0.186
NAA16	0.187043126781047	0.44540780416663	0.1855
HOXD1	0.142604729727931	0.399841466866768	0.1852
GPR68	0.189091995492324	0.44667231267808	0.1849
KCNA3	0.0381839710331728	0.293048088485383	0.1845
MAR04995	0	0.254205647921956	0.1845
ZNF839	0.0353645314269727	0.289957220962706	0.1844
SRCAP	0.225967465103246	0.482615211819296	0.1839
MAR09888	0	0.252918955649742	0.1835
AP3S1	0.0648734972675092	0.318375773760526	0.1833
MAF1	0.136636887337343	0.390610651300247	0.1829
PDAP1	0.0574407613876762	0.309404847951394	0.1823
FOXK1	0.0370911544128644	0.288164916910343	0.1819
CARD14	0.038389278352942	0.289267219892407	0.1817
BCAR3	0.127555880912675	0.379529053604017	0.1816
LZTS1	0.0391880443074953	0.289240189635708	0.1811
MAR02147	0	0.249273480501541	0.181
LAMTOR2	0.190907923614732	0.442807253359695	0.1809
BMPR2	0.191628246014759	0.442590985654507	0.1803
NSUN2	0.0471709832240753	0.296050746211427	0.1802
LDHA	0.141717089762579	0.39138559465227	0.1799
LIMD1	0.259869565894591	0.511266799104174	0.1799
RAB3GAP1	0.0474592063210971	0.295637755678604	0.1797
UBA1	0.140009191856866	0.38931022865555	0.1796
LGALS9	0.0413719198431082	0.2891174445329	0.1795
CHMP3	0.0504655917659417	0.298138427915685	0.1794
MAR04956	0	0.246832785845261	0.1793
GLA	0	0.246754733209867	0.1792
TCF7L1	0.131604361695087	0.380179344181642	0.1792
TMED5	0	0.246784813980333	0.1792
MAR04147	0	0.246557606929733	0.1791
MAR04152	0	0.246557606929733	0.1791
MAR08662	0	0.246557606929733	0.1791
MAR08663	0	0.246557606929733	0.1791
MAR08667	0	0.246557606929733	0.1791
MAR08668	0	0.246557606929733	0.1791
MAR01715	0	0.246392512255097	0.179
MAR03214	0	0.246076824829838	0.1787
PARP15	0	0.245809449172691	0.1786
ZBTB43	0.0418906062040294	0.287948811678759	0.1783
DMRTA2	0.0463096858471238	0.292225185883682	0.1782
TFCP2L1	0.0395087600948041	0.285379080878033	0.1782
ARGFX	0.186160870051009	0.433663584624176	0.1779
BGN	0.0423283392226128	0.287613466511635	0.1778
GAK	0	0.244765790223227	0.1778
HDHD2	0	0.244552572987671	0.1777
VPS28	0	0.244565681549719	0.1777
FXN	0	0.244235387883359	0.1775
TPRA1	0	0.244299615334734	0.1775
ZNF862	0.22606073608792	0.473627848246706	0.1775
GOT2	0	0.244128760007584	0.1774
FOXR1	0.132734382218892	0.37858575479877	0.1773
AGK	0	0.243843510828981	0.1772
CHRNG	0.0392426958016853	0.283675782638952	0.1772
FOLR3	0.0421056499526846	0.286610264947568	0.1772
MAR04287	0	0.243707252420943	0.1771
MAR09886	0	0.24377613170328	0.1771
P4HB	0	0.243765142728192	0.1771
SAP30L	0.134803538612516	0.379983647956339	0.1768
NSA2	0	0.243093086653435	0.1766
PSMG2	0	0.243000273738377	0.1766
INPP5D	0.190478051975835	0.436110161069508	0.1765
MAR04285	0	0.242636498918958	0.1763
RABEP2	0.0494446284050369	0.292796287853113	0.1763
INTS6	0.2604363247145	0.506594131113304	0.1762
MAR06311	0	0.242290985792565	0.1761
ZNF7	0.190933043864803	0.4359581469818	0.1761
MAR08349	0	0.242204281280425	0.176
SERPINA1	0	0.242157570733724	0.176
MRPS27	0.228909955204399	0.473775226480055	0.1756
UPK1A	0	0.241584585251928	0.1756
OR8G5	0.0449935668919574	0.287066582547163	0.1755
WFS1	0	0.241364692748891	0.1754
MAR04646	0	0.241074921683463	0.1752
MAR01611	0	0.240932043643849	0.1751
MAR03797	0	0.240744047971021	0.175
ZNF655	0.132678132821295	0.374547990393353	0.1745
MAR01451	0	0.239723784980181	0.1743
MAR01467	0	0.239723784980181	0.1743
MAR06318	0	0.239782686025315	0.1743
QKI	0.045442465538151	0.285665120779128	0.1742
DNAJC21	0	0.239305439414692	0.174
MAR08357	0	0.239334228772577	0.174
MAR00441	0	0.238777791232014	0.1736
MAR03817	0	0.238695608099267	0.1736
MAR05627	0	0.238186154837661	0.1732
ZNF672	0	0.238173928321089	0.1732
ASCL2	0	0.23809825166243	0.1731
MCTP2	0	0.238003403747961	0.1731
MAP1LC3B2	0	0.237913082183721	0.173
MAR09616	0	0.237809672650982	0.1729
PABPN1L	0	0.237598006210718	0.1728
OR11G2	0	0.237403681271627	0.1727
PPM1F	0	0.237511248061317	0.1727
MZT2B	0.138900541484301	0.378271152100228	0.1726
PRKG1	0	0.237268330487593	0.1726
CTSD	0.0645717115968989	0.302426794525898	0.1723
HOMER3	0	0.236942460812185	0.1723
PHLPP2	0	0.236734811772741	0.1722
ERICH1	0	0.236590269050357	0.1721
SCFD1	0.258888380475723	0.498992584919146	0.172
LRCH1	0	0.23638361630239	0.1719
ATF7IP	0.134206857010856	0.37231546277379	0.1718
SERPINB7	0	0.236233261772556	0.1718
CRTAM	0	0.235896282829441	0.1716
SERPINB9	0	0.235919603886645	0.1716
SPIN2A	0	0.235760939726137	0.1715
USO1	0.33879753891781	0.579309136782411	0.1715
SNRNP200	0.467229919154255	0.709437833207691	0.1714
CNOT11	0.142355598721326	0.379787662387018	0.1713
NUFIP2	0	0.23552804413057	0.1713
OR2A14	0	0.235436799567319	0.1713
PLRG1	0.405188019780162	0.646386332886436	0.1713
MDM1	0	0.23535485991006	0.1712
IL3	0	0.235204896275947	0.1711
SBK2	0	0.235225995166453	0.1711
SECISBP2L	0	0.23517832252457	0.1711
ASB2	0	0.235063368780718	0.171
ZC3H6	0.0403235746323357	0.275791780585029	0.1709
ZFP2	0.0541649572497736	0.289807188372465	0.1709
GTF2IRD2B	0	0.234741437474741	0.1708
KLHDC8B	0	0.234527952427015	0.1706
OR4D1	0	0.23452952342546	0.1706
CA10	0	0.234341657156727	0.1705
ITGB1BP1	0	0.234382554495501	0.1705
PDC	0	0.234016389039738	0.1703
GPR150	0	0.233729839072736	0.1701
ZNF491	0	0.233699806257916	0.1701
GSTCD	0	0.233662650992722	0.17
KHDRBS3	0	0.233592264604062	0.17
OR2A7	0	0.233406233069893	0.1698
ZNF365	0	0.233284974189397	0.1698
FRAT1	0.19197033619288	0.427700145584087	0.1696
DOK1	0	0.232882360878437	0.1695
NSUN7	0	0.232903037489865	0.1695
SERPINB3	0	0.232980148706006	0.1695
ANXA9	0	0.232808375817701	0.1694
LRIG1	0	0.232611677142702	0.1693
RCBTB2	0	0.232626818177104	0.1693
LONRF3	0	0.232502451090685	0.1692
PLD1	0	0.232323668396483	0.1691
MAR06602	0	0.231996606948632	0.1689
RTN2	0	0.232072646750337	0.1689
ZNF841	0.0385169824309276	0.270999004131596	0.1688
OR1L6	0	0.231791482277899	0.1687
ZNF268	0	0.231794689793248	0.1687
DPH5	0	0.231543466838602	0.1685
VSX1	0	0.23146471119574	0.1685
CREB3L3	0	0.231298206030556	0.1684
APLF	0	0.230996839261827	0.1682
IMMT	0.137498133943824	0.370496052433102	0.1682
MRPL44	0.0391657845729997	0.270834847866586	0.1682
PDE4C	0	0.231062166687256	0.1682
BAG3	0	0.23067376177923	0.1679
HOXB2	0	0.23062442319034	0.1679
LY75	0	0.230591250865064	0.1679
FLCN	0	0.230477916899214	0.1678
POU5F1B	0	0.230343409510231	0.1677
SLC37A4	0	0.230409869978063	0.1677
ADRA2A	0	0.229991912199743	0.1674
PLCB4	0	0.229608506205482	0.1672
HSH2D	0	0.229287743295999	0.167
CAMK2N1	0	0.229268946847659	0.1669
HOXB6	0	0.229217447270388	0.1669
STT3A	0.0430450650356518	0.272747283155356	0.1668
PSMB10	0.230709623228022	0.462767613144985	0.1666
ARHGEF6	0	0.228449944353207	0.1664
EDN1	0.0398850476055304	0.26893926081485	0.1664
NDUFB4	0.232245336418104	0.463984153092345	0.1664
EPHX2	0.0399739099559626	0.268795583553197	0.1662
MAR04658	0	0.228233486972306	0.1662
IRX2	0	0.227992746857349	0.166
CHRNB3	0	0.227798682497395	0.1659
OR4X1	0	0.227534795020552	0.1657
MAR02885	0	0.227402239573236	0.1656
AGAP6	0.138532394671652	0.367529152472061	0.1654
UBE2J1	0.0472779079887796	0.274924733794061	0.1653
PTPN2	0.140951841143306	0.369312475642719	0.1649
ZC3H12B	0.0388987049730399	0.265543045284672	0.1647
KAT7	0	0.225423919104767	0.1642
ACAA2	0.0495009823739005	0.275064236377152	0.1638
MAR04222	0	0.224423151537791	0.1635
TBC1D10C	0.0428777069964303	0.267841066085305	0.1635
ENTPD1	0.131171989229512	0.357275226742798	0.1634
TBX3	0.132310549112902	0.357965446079965	0.1631
WDR18	0.0470186134390318	0.271164148999454	0.1629
NGF	0.0373967216970363	0.261137251434964	0.1627
