A	B	nOverlap
small molecule biosynthetic process	fatty acid biosynthetic process	5
small molecule biosynthetic process	sterol metabolic process	3
small molecule biosynthetic process	microtubule-based movement	3
small molecule biosynthetic process	glutamate metabolic process	2
small molecule biosynthetic process	oxoacid metabolic process	13
small molecule biosynthetic process	regulation of calcium-mediated signaling	2
small molecule biosynthetic process	cellular amino acid biosynthetic process	3
small molecule biosynthetic process	polyol biosynthetic process	3
small molecule biosynthetic process	organic acid metabolic process	13
small molecule biosynthetic process	ear morphogenesis	2
small molecule biosynthetic process	regulation of lipid metabolic process	6
small molecule biosynthetic process	muscle structure development	3
small molecule biosynthetic process	cholesterol biosynthetic process	3
small molecule biosynthetic process	secondary alcohol biosynthetic process	3
small molecule biosynthetic process	positive regulation of ion transmembrane transport	2
small molecule biosynthetic process	regulation of fatty acid metabolic process	3
small molecule biosynthetic process	regulation of ion transmembrane transport	2
small molecule biosynthetic process	positive regulation of angiogenesis	2
small molecule biosynthetic process	positive regulation of vasculature development	2
small molecule biosynthetic process	glutamine family amino acid metabolic process	3
small molecule biosynthetic process	cellular response to osmotic stress	3
small molecule biosynthetic process	carbohydrate derivative transport	2
small molecule biosynthetic process	metal ion transport	2
small molecule biosynthetic process	cellular response to growth factor stimulus	3
small molecule biosynthetic process	skeletal system development	5
small molecule biosynthetic process	excretion	2
small molecule biosynthetic process	positive regulation of fibroblast proliferation	2
small molecule biosynthetic process	peptide secretion	2
small molecule biosynthetic process	ear development	2
small molecule biosynthetic process	connective tissue development	3
small molecule biosynthetic process	acylglycerol metabolic process	2
small molecule biosynthetic process	smooth muscle contraction	3
small molecule biosynthetic process	fatty acid metabolic process	7
small molecule biosynthetic process	regulation of lipid biosynthetic process	5
small molecule biosynthetic process	gland development	3
small molecule biosynthetic process	neutral lipid metabolic process	2
small molecule biosynthetic process	amide transport	3
small molecule biosynthetic process	positive regulation of protein phosphorylation	4
small molecule biosynthetic process	cellular response to tumor necrosis factor	3
small molecule biosynthetic process	epithelial tube morphogenesis	3
small molecule biosynthetic process	carboxylic acid catabolic process	3
small molecule biosynthetic process	renal system process	3
small molecule biosynthetic process	negative regulation of lipid biosynthetic process	3
small molecule biosynthetic process	positive regulation of oxidoreductase activity	2
small molecule biosynthetic process	C21-steroid hormone metabolic process	2
small molecule biosynthetic process	steroid hormone biosynthetic process	2
small molecule biosynthetic process	calcium ion transmembrane transport	2
small molecule biosynthetic process	vesicle organization	3
small molecule biosynthetic process	positive regulation of ion transmembrane transporter activity	2
small molecule biosynthetic process	negative regulation of transport	4
small molecule biosynthetic process	regulation of cation transmembrane transport	2
small molecule biosynthetic process	response to growth factor	3
small molecule biosynthetic process	positive regulation of cytokine-mediated signaling pathway	2
small molecule biosynthetic process	organic acid catabolic process	3
small molecule biosynthetic process	transport vesicle	2
small molecule biosynthetic process	presynapse	2
small molecule biosynthetic process	mitochondrial matrix	3
small molecule biosynthetic process	early endosome	2
small molecule biosynthetic process	early endosome membrane	2
small molecule biosynthetic process	carbon-carbon lyase activity	2
small molecule biosynthetic process	transferase activity, transferring nitrogenous groups	2
small molecule biosynthetic process	lipid binding	4
small molecule biosynthetic process	carboxy-lyase activity	2
small molecule biosynthetic process	pyridoxal phosphate binding	2
small molecule biosynthetic process	vitamin B6 binding	2
middle ear morphogenesis	nerve development	2
middle ear morphogenesis	organic acid biosynthetic process	2
middle ear morphogenesis	carboxylic acid biosynthetic process	2
middle ear morphogenesis	regulation of animal organ morphogenesis	3
middle ear morphogenesis	pharyngeal system development	2
middle ear morphogenesis	cranial skeletal system development	3
middle ear morphogenesis	tissue morphogenesis	3
middle ear morphogenesis	muscle tissue development	2
middle ear morphogenesis	morphogenesis of a branching epithelium	2
middle ear morphogenesis	embryonic organ development	4
middle ear morphogenesis	embryonic morphogenesis	4
middle ear morphogenesis	thyroid gland development	2
middle ear morphogenesis	lipid biosynthetic process	2
middle ear morphogenesis	mesoderm development	2
middle ear morphogenesis	morphogenesis of a branching structure	2
middle ear morphogenesis	artery morphogenesis	2
middle ear morphogenesis	epithelial cell differentiation	2
middle ear morphogenesis	pattern specification process	3
middle ear morphogenesis	regionalization	3
middle ear morphogenesis	chordate embryonic development	3
middle ear morphogenesis	embryonic organ morphogenesis	4
middle ear morphogenesis	embryo development ending in birth or egg hatching	3
middle ear morphogenesis	carboxylic acid metabolic process	2
middle ear morphogenesis	outflow tract morphogenesis	2
middle ear morphogenesis	regulation of MAPK cascade	2
middle ear morphogenesis	branching morphogenesis of an epithelial tube	2
middle ear morphogenesis	fatty acid biosynthetic process	2
middle ear morphogenesis	oxoacid metabolic process	2
middle ear morphogenesis	embryonic cranial skeleton morphogenesis	2
middle ear morphogenesis	organic acid metabolic process	2
middle ear morphogenesis	ear morphogenesis	4
middle ear morphogenesis	regulation of striated muscle cell differentiation	2
middle ear morphogenesis	anterior/posterior pattern specification	2
middle ear morphogenesis	muscle structure development	2
middle ear morphogenesis	cellular response to growth factor stimulus	2
middle ear morphogenesis	skeletal system development	4
middle ear morphogenesis	ear development	4
middle ear morphogenesis	cell fate specification	2
middle ear morphogenesis	connective tissue development	2
middle ear morphogenesis	fatty acid metabolic process	2
middle ear morphogenesis	gland development	2
middle ear morphogenesis	positive regulation of protein phosphorylation	2
middle ear morphogenesis	epithelial tube morphogenesis	2
middle ear morphogenesis	negative regulation of transport	2
middle ear morphogenesis	response to growth factor	2
positive regulation of heart contraction	positive regulation of blood circulation	4
positive regulation of heart contraction	positive regulation of heart rate	3
positive regulation of heart contraction	positive regulation of smooth muscle contraction	2
positive regulation of heart contraction	regulation of muscle contraction	3
positive regulation of heart contraction	regulation of heart rate	3
positive regulation of heart contraction	cardiac muscle tissue development	2
positive regulation of heart contraction	regulation of membrane potential	2
positive regulation of heart contraction	cellular component morphogenesis	2
positive regulation of heart contraction	pharyngeal system development	2
positive regulation of heart contraction	tissue morphogenesis	2
positive regulation of heart contraction	muscle tissue development	2
positive regulation of heart contraction	striated muscle tissue development	2
positive regulation of heart contraction	positive regulation of muscle contraction	2
positive regulation of heart contraction	heart contraction	4
positive regulation of heart contraction	regulation of muscle system process	3
positive regulation of heart contraction	regulation of heart contraction	4
positive regulation of heart contraction	body fluid secretion	2
positive regulation of heart contraction	embryonic organ development	3
positive regulation of heart contraction	embryonic morphogenesis	2
positive regulation of heart contraction	thyroid gland development	2
positive regulation of heart contraction	regulation of blood circulation	4
positive regulation of heart contraction	heart process	4
positive regulation of heart contraction	pattern specification process	2
positive regulation of heart contraction	behavior	2
positive regulation of heart contraction	regionalization	2
positive regulation of heart contraction	chordate embryonic development	3
positive regulation of heart contraction	muscle contraction	3
positive regulation of heart contraction	embryonic organ morphogenesis	2
positive regulation of heart contraction	cell surface receptor signaling pathway involved in cell-cell signaling	2
positive regulation of heart contraction	embryo development ending in birth or egg hatching	3
positive regulation of heart contraction	outflow tract morphogenesis	2
positive regulation of heart contraction	Wnt signaling pathway	2
positive regulation of heart contraction	cell-cell signaling by wnt	2
positive regulation of heart contraction	regulation of smooth muscle contraction	2
positive regulation of heart contraction	regulation of striated muscle cell differentiation	2
positive regulation of heart contraction	muscle structure development	2
positive regulation of heart contraction	metal ion transport	2
positive regulation of heart contraction	smooth muscle contraction	2
positive regulation of heart contraction	gland development	3
positive regulation of heart contraction	regulation of developmental growth	3
positive regulation of heart contraction	epithelial tube morphogenesis	2
positive regulation of heart contraction	negative regulation of transport	2
positive regulation of blood circulation	positive regulation of heart rate	3
positive regulation of blood circulation	positive regulation of smooth muscle contraction	2
positive regulation of blood circulation	regulation of muscle contraction	3
positive regulation of blood circulation	regulation of heart rate	3
positive regulation of blood circulation	cardiac muscle tissue development	2
positive regulation of blood circulation	regulation of membrane potential	2
positive regulation of blood circulation	cellular component morphogenesis	2
positive regulation of blood circulation	pharyngeal system development	2
positive regulation of blood circulation	tissue morphogenesis	2
positive regulation of blood circulation	muscle tissue development	2
positive regulation of blood circulation	striated muscle tissue development	2
positive regulation of blood circulation	positive regulation of muscle contraction	2
positive regulation of blood circulation	heart contraction	4
positive regulation of blood circulation	regulation of muscle system process	3
positive regulation of blood circulation	regulation of heart contraction	4
positive regulation of blood circulation	body fluid secretion	2
positive regulation of blood circulation	embryonic organ development	3
positive regulation of blood circulation	embryonic morphogenesis	2
positive regulation of blood circulation	thyroid gland development	2
positive regulation of blood circulation	regulation of blood circulation	4
positive regulation of blood circulation	heart process	4
positive regulation of blood circulation	pattern specification process	2
positive regulation of blood circulation	behavior	2
positive regulation of blood circulation	regionalization	2
positive regulation of blood circulation	chordate embryonic development	3
positive regulation of blood circulation	muscle contraction	3
positive regulation of blood circulation	embryonic organ morphogenesis	2
positive regulation of blood circulation	cell surface receptor signaling pathway involved in cell-cell signaling	2
positive regulation of blood circulation	embryo development ending in birth or egg hatching	3
positive regulation of blood circulation	outflow tract morphogenesis	2
positive regulation of blood circulation	Wnt signaling pathway	2
positive regulation of blood circulation	cell-cell signaling by wnt	2
positive regulation of blood circulation	regulation of smooth muscle contraction	2
positive regulation of blood circulation	regulation of striated muscle cell differentiation	2
positive regulation of blood circulation	muscle structure development	2
positive regulation of blood circulation	metal ion transport	2
positive regulation of blood circulation	smooth muscle contraction	2
positive regulation of blood circulation	gland development	3
positive regulation of blood circulation	regulation of developmental growth	3
positive regulation of blood circulation	epithelial tube morphogenesis	2
positive regulation of blood circulation	negative regulation of transport	2
branching involved in blood vessel morphogenesis	membrane depolarization	2
branching involved in blood vessel morphogenesis	cell part morphogenesis	2
branching involved in blood vessel morphogenesis	cardiac muscle tissue development	4
branching involved in blood vessel morphogenesis	regulation of animal organ morphogenesis	2
branching involved in blood vessel morphogenesis	plasma membrane bounded cell projection morphogenesis	2
branching involved in blood vessel morphogenesis	regulation of membrane potential	2
branching involved in blood vessel morphogenesis	cell morphogenesis involved in neuron differentiation	2
branching involved in blood vessel morphogenesis	cellular component morphogenesis	2
branching involved in blood vessel morphogenesis	cell projection morphogenesis	2
branching involved in blood vessel morphogenesis	tissue morphogenesis	4
branching involved in blood vessel morphogenesis	muscle tissue development	4
branching involved in blood vessel morphogenesis	striated muscle tissue development	4
branching involved in blood vessel morphogenesis	neuron projection morphogenesis	2
branching involved in blood vessel morphogenesis	BMP signaling pathway	2
branching involved in blood vessel morphogenesis	cation transmembrane transport	2
branching involved in blood vessel morphogenesis	morphogenesis of a branching epithelium	4
branching involved in blood vessel morphogenesis	embryonic organ development	2
branching involved in blood vessel morphogenesis	embryonic morphogenesis	3
branching involved in blood vessel morphogenesis	response to BMP	2
branching involved in blood vessel morphogenesis	cellular response to BMP stimulus	2
branching involved in blood vessel morphogenesis	inorganic cation transmembrane transport	2
branching involved in blood vessel morphogenesis	regulation of blood circulation	2
branching involved in blood vessel morphogenesis	axonogenesis	2
branching involved in blood vessel morphogenesis	axon development	2
branching involved in blood vessel morphogenesis	morphogenesis of a branching structure	4
branching involved in blood vessel morphogenesis	inorganic ion transmembrane transport	2
branching involved in blood vessel morphogenesis	artery morphogenesis	2
branching involved in blood vessel morphogenesis	pattern specification process	2
branching involved in blood vessel morphogenesis	cell migration involved in heart development	2
branching involved in blood vessel morphogenesis	chordate embryonic development	2
branching involved in blood vessel morphogenesis	regulation of transmembrane transport	3
branching involved in blood vessel morphogenesis	embryonic organ morphogenesis	2
branching involved in blood vessel morphogenesis	cell surface receptor signaling pathway involved in cell-cell signaling	2
branching involved in blood vessel morphogenesis	response to mechanical stimulus	2
branching involved in blood vessel morphogenesis	cell morphogenesis involved in differentiation	2
branching involved in blood vessel morphogenesis	embryo development ending in birth or egg hatching	2
branching involved in blood vessel morphogenesis	positive regulation of cation transmembrane transport	2
branching involved in blood vessel morphogenesis	developmental cell growth	2
branching involved in blood vessel morphogenesis	carboxylic acid metabolic process	2
branching involved in blood vessel morphogenesis	outflow tract morphogenesis	2
branching involved in blood vessel morphogenesis	Wnt signaling pathway	2
branching involved in blood vessel morphogenesis	cell-cell signaling by wnt	2
branching involved in blood vessel morphogenesis	positive regulation of cytoskeleton organization	2
branching involved in blood vessel morphogenesis	regulation of MAPK cascade	2
branching involved in blood vessel morphogenesis	regulation of cell size	2
branching involved in blood vessel morphogenesis	branching morphogenesis of an epithelial tube	4
branching involved in blood vessel morphogenesis	oxoacid metabolic process	2
branching involved in blood vessel morphogenesis	regulation of morphogenesis of a branching structure	2
branching involved in blood vessel morphogenesis	organic acid metabolic process	2
branching involved in blood vessel morphogenesis	muscle structure development	3
branching involved in blood vessel morphogenesis	positive regulation of ion transmembrane transport	2
branching involved in blood vessel morphogenesis	regulation of ion transmembrane transport	2
branching involved in blood vessel morphogenesis	positive regulation of angiogenesis	3
branching involved in blood vessel morphogenesis	positive regulation of vasculature development	3
branching involved in blood vessel morphogenesis	metal ion transport	2
branching involved in blood vessel morphogenesis	cellular response to growth factor stimulus	3
branching involved in blood vessel morphogenesis	skeletal system development	2
branching involved in blood vessel morphogenesis	positive regulation of fibroblast proliferation	2
branching involved in blood vessel morphogenesis	peptide secretion	2
branching involved in blood vessel morphogenesis	regulation of BMP signaling pathway	2
branching involved in blood vessel morphogenesis	gland development	2
branching involved in blood vessel morphogenesis	axon extension	2
branching involved in blood vessel morphogenesis	amide transport	2
branching involved in blood vessel morphogenesis	positive regulation of protein phosphorylation	3
branching involved in blood vessel morphogenesis	regulation of developmental growth	2
branching involved in blood vessel morphogenesis	epithelial tube morphogenesis	4
branching involved in blood vessel morphogenesis	positive regulation of supramolecular fiber organization	2
branching involved in blood vessel morphogenesis	positive regulation of oxidoreductase activity	2
branching involved in blood vessel morphogenesis	negative regulation of cellular senescence	2
branching involved in blood vessel morphogenesis	calcium ion transmembrane transport	2
branching involved in blood vessel morphogenesis	negative regulation of transport	2
branching involved in blood vessel morphogenesis	regulation of cation transmembrane transport	2
branching involved in blood vessel morphogenesis	response to growth factor	3
mitochondrial translation	mitochondrial gene expression	9
mitochondrial translation	organellar ribosome	8
mitochondrial translation	mitochondrial ribosome	8
mitochondrial translation	organellar small ribosomal subunit	4
mitochondrial translation	mitochondrial small ribosomal subunit	4
mitochondrial translation	mitochondrial protein-containing complex	8
mitochondrial translation	ribosome	8
mitochondrial translation	ribosomal subunit	8
mitochondrial translation	mitochondrial envelope	8
mitochondrial translation	mitochondrial membrane	8
mitochondrial translation	mitochondrial inner membrane	8
mitochondrial translation	mitochondrial matrix	9
mitochondrial translation	small ribosomal subunit	4
mitochondrial translation	organelle inner membrane	8
mitochondrial translation	organellar large ribosomal subunit	4
mitochondrial translation	mitochondrial large ribosomal subunit	4
mitochondrial translation	structural constituent of ribosome	5
positive regulation of heart rate	positive regulation of smooth muscle contraction	2
positive regulation of heart rate	regulation of muscle contraction	2
positive regulation of heart rate	regulation of heart rate	3
positive regulation of heart rate	regulation of membrane potential	2
positive regulation of heart rate	positive regulation of muscle contraction	2
positive regulation of heart rate	heart contraction	3
positive regulation of heart rate	regulation of muscle system process	2
positive regulation of heart rate	regulation of heart contraction	3
positive regulation of heart rate	body fluid secretion	2
positive regulation of heart rate	embryonic organ development	2
positive regulation of heart rate	regulation of blood circulation	3
positive regulation of heart rate	heart process	3
positive regulation of heart rate	behavior	2
positive regulation of heart rate	chordate embryonic development	2
positive regulation of heart rate	muscle contraction	2
positive regulation of heart rate	embryo development ending in birth or egg hatching	2
positive regulation of heart rate	regulation of smooth muscle contraction	2
positive regulation of heart rate	smooth muscle contraction	2
positive regulation of heart rate	gland development	2
positive regulation of heart rate	regulation of developmental growth	2
positive regulation of heart rate	negative regulation of transport	2
nerve development	cell part morphogenesis	3
nerve development	regulation of animal organ morphogenesis	2
nerve development	plasma membrane bounded cell projection morphogenesis	3
nerve development	regulation of membrane potential	2
nerve development	cell morphogenesis involved in neuron differentiation	2
nerve development	cellular component morphogenesis	3
nerve development	cell projection morphogenesis	3
nerve development	pharyngeal system development	2
nerve development	cranial skeletal system development	2
nerve development	tissue morphogenesis	2
nerve development	muscle tissue development	2
nerve development	neuron projection morphogenesis	3
nerve development	regulation of muscle system process	2
nerve development	body fluid secretion	2
nerve development	embryonic organ development	3
nerve development	embryonic morphogenesis	3
nerve development	thyroid gland development	2
nerve development	axonogenesis	2
nerve development	axon development	2
nerve development	inorganic ion transmembrane transport	2
nerve development	artery morphogenesis	2
nerve development	pattern specification process	3
nerve development	behavior	5
nerve development	regionalization	3
nerve development	chordate embryonic development	2
nerve development	muscle contraction	2
nerve development	embryonic organ morphogenesis	3
nerve development	muscle organ development	2
nerve development	cell surface receptor signaling pathway involved in cell-cell signaling	2
nerve development	innervation	2
nerve development	response to mechanical stimulus	2
nerve development	cell morphogenesis involved in differentiation	2
nerve development	embryo development ending in birth or egg hatching	2
nerve development	developmental cell growth	2
nerve development	cochlea development	3
nerve development	outflow tract morphogenesis	2
nerve development	positive regulation of cytoskeleton organization	2
nerve development	phasic smooth muscle contraction	2
nerve development	regulation of MAPK cascade	3
nerve development	regulation of cell size	2
nerve development	learning or memory	4
nerve development	ear morphogenesis	3
nerve development	regulation of striated muscle cell differentiation	2
nerve development	anterior/posterior pattern specification	2
nerve development	muscle structure development	3
nerve development	cochlea morphogenesis	2
nerve development	regulation of neuron differentiation	3
nerve development	cellular response to growth factor stimulus	4
nerve development	skeletal system development	3
nerve development	ear development	4
nerve development	smooth muscle contraction	2
nerve development	gland development	2
nerve development	positive regulation of protein phosphorylation	4
nerve development	regulation of developmental growth	2
nerve development	negative regulation of transport	2
nerve development	memory	2
nerve development	positive regulation of neuron differentiation	2
nerve development	response to growth factor	4
nerve development	transport vesicle	3
nerve development	presynapse	3
nerve development	synaptic vesicle	2
nerve development	axon	2
nerve development	dendrite	3
nerve development	exocytic vesicle	2
nerve development	dendritic tree	3
nerve development	neuronal cell body	2
nerve development	cell body	2
nerve development	growth factor activity	2
nerve development	death receptor binding	2
nerve development	cytokine receptor binding	2
anterior/posterior axis specification	regulation of animal organ morphogenesis	2
anterior/posterior axis specification	cranial skeletal system development	2
anterior/posterior axis specification	tissue morphogenesis	3
anterior/posterior axis specification	morphogenesis of a branching epithelium	2
anterior/posterior axis specification	embryonic organ development	3
anterior/posterior axis specification	embryonic morphogenesis	5
anterior/posterior axis specification	axis specification	5
anterior/posterior axis specification	tripartite regional subdivision	2
anterior/posterior axis specification	anterior/posterior axis specification, embryo	2
anterior/posterior axis specification	mesoderm development	3
anterior/posterior axis specification	morphogenesis of a branching structure	2
anterior/posterior axis specification	mesoderm formation	2
anterior/posterior axis specification	epithelial cell differentiation	2
anterior/posterior axis specification	pattern specification process	5
anterior/posterior axis specification	mesoderm morphogenesis	2
anterior/posterior axis specification	blastoderm segmentation	2
anterior/posterior axis specification	regionalization	5
anterior/posterior axis specification	embryonic organ morphogenesis	3
anterior/posterior axis specification	cell surface receptor signaling pathway involved in cell-cell signaling	2
anterior/posterior axis specification	gastrulation	4
anterior/posterior axis specification	Wnt signaling pathway	2
anterior/posterior axis specification	cell-cell signaling by wnt	2
anterior/posterior axis specification	formation of primary germ layer	2
anterior/posterior axis specification	ear morphogenesis	2
anterior/posterior axis specification	anterior/posterior pattern specification	5
anterior/posterior axis specification	muscle structure development	2
anterior/posterior axis specification	skeletal system development	2
anterior/posterior axis specification	ear development	2
anterior/posterior axis specification	gland development	2
anterior/posterior axis specification	gastrulation with mouth forming second	2
positive regulation of dendrite development	cell part morphogenesis	2
positive regulation of dendrite development	plasma membrane bounded cell projection morphogenesis	2
positive regulation of dendrite development	cell morphogenesis involved in neuron differentiation	2
positive regulation of dendrite development	cellular component morphogenesis	2
positive regulation of dendrite development	cell projection morphogenesis	2
positive regulation of dendrite development	neuron projection morphogenesis	2
positive regulation of dendrite development	negative regulation of catalytic activity	2
positive regulation of dendrite development	negative regulation of long-term synaptic potentiation	2
positive regulation of dendrite development	axon development	2
positive regulation of dendrite development	behavior	3
positive regulation of dendrite development	dendrite development	3
positive regulation of dendrite development	regulation of long-term synaptic potentiation	2
positive regulation of dendrite development	cell morphogenesis involved in differentiation	2
positive regulation of dendrite development	regulation of MAPK cascade	2
positive regulation of dendrite development	peptidyl-tyrosine autophosphorylation	2
positive regulation of dendrite development	learning or memory	2
positive regulation of dendrite development	gland development	2
positive regulation of dendrite development	positive regulation of protein phosphorylation	2
positive regulation of dendrite development	positive regulation of cell development	2
positive regulation of dendrite development	regulation of neuron projection development	3
muscle tissue morphogenesis	ventricular cardiac muscle tissue morphogenesis	4
muscle tissue morphogenesis	regulation of muscle contraction	2
muscle tissue morphogenesis	muscle organ morphogenesis	5
muscle tissue morphogenesis	cardiac muscle tissue development	4
muscle tissue morphogenesis	outflow tract septum morphogenesis	3
muscle tissue morphogenesis	cardiac muscle tissue morphogenesis	4
muscle tissue morphogenesis	pharyngeal system development	2
muscle tissue morphogenesis	ventricular cardiac muscle tissue development	4
muscle tissue morphogenesis	tissue morphogenesis	5
muscle tissue morphogenesis	muscle tissue development	5
muscle tissue morphogenesis	striated muscle tissue development	4
muscle tissue morphogenesis	negative regulation of catalytic activity	2
muscle tissue morphogenesis	BMP signaling pathway	2
muscle tissue morphogenesis	heart contraction	2
muscle tissue morphogenesis	regulation of muscle system process	2
muscle tissue morphogenesis	regulation of heart contraction	2
muscle tissue morphogenesis	embryonic organ development	3
muscle tissue morphogenesis	embryonic morphogenesis	3
muscle tissue morphogenesis	regulation of cardiac muscle contraction	2
muscle tissue morphogenesis	response to BMP	2
muscle tissue morphogenesis	cellular response to BMP stimulus	2
muscle tissue morphogenesis	thyroid gland development	2
muscle tissue morphogenesis	regulation of blood circulation	2
muscle tissue morphogenesis	cardiac ventricle morphogenesis	4
muscle tissue morphogenesis	heart process	2
muscle tissue morphogenesis	heart trabecula morphogenesis	3
muscle tissue morphogenesis	regulation of striated muscle contraction	2
muscle tissue morphogenesis	artery morphogenesis	3
muscle tissue morphogenesis	epithelial cell differentiation	2
muscle tissue morphogenesis	pattern specification process	3
muscle tissue morphogenesis	ventricular trabecula myocardium morphogenesis	2
muscle tissue morphogenesis	heart trabecula formation	2
muscle tissue morphogenesis	venous blood vessel development	2
muscle tissue morphogenesis	regionalization	2
muscle tissue morphogenesis	chordate embryonic development	2
muscle tissue morphogenesis	muscle contraction	2
muscle tissue morphogenesis	cardiac septum morphogenesis	4
muscle tissue morphogenesis	embryonic organ morphogenesis	3
muscle tissue morphogenesis	muscle organ development	5
muscle tissue morphogenesis	cardiac septum development	4
muscle tissue morphogenesis	atrial cardiac muscle tissue development	2
muscle tissue morphogenesis	embryo development ending in birth or egg hatching	2
muscle tissue morphogenesis	outflow tract morphogenesis	3
muscle tissue morphogenesis	muscle cell fate commitment	2
muscle tissue morphogenesis	cardiac chamber morphogenesis	5
muscle tissue morphogenesis	cardiac ventricle development	4
muscle tissue morphogenesis	regulation of pathway-restricted SMAD protein phosphorylation	2
muscle tissue morphogenesis	cardiac chamber development	5
muscle tissue morphogenesis	regulation of striated muscle cell differentiation	2
muscle tissue morphogenesis	muscle structure development	5
muscle tissue morphogenesis	trabecula morphogenesis	3
muscle tissue morphogenesis	activin receptor signaling pathway	2
muscle tissue morphogenesis	metal ion transport	2
muscle tissue morphogenesis	cellular response to growth factor stimulus	4
muscle tissue morphogenesis	skeletal system development	3
muscle tissue morphogenesis	regulation of metal ion transport	2
muscle tissue morphogenesis	pathway-restricted SMAD protein phosphorylation	2
