A	B	nOverlap
negative regulation of leukocyte differentiation	regulation of osteoclast differentiation	4
negative regulation of leukocyte differentiation	negative regulation of tissue remodeling	2
negative regulation of leukocyte differentiation	negative regulation of cell-cell adhesion	6
negative regulation of leukocyte differentiation	lateral plasma membrane	2
negative regulation of leukocyte differentiation	cell projection membrane	2
negative regulation of leukocyte differentiation	protein phosphatase binding	3
negative regulation of leukocyte differentiation	phosphatase binding	3
negative regulation of leukocyte differentiation	ubiquitin protein ligase binding	3
negative regulation of hemopoiesis	tissue homeostasis	4
negative regulation of hemopoiesis	negative regulation of myeloid leukocyte differentiation	6
negative regulation of hemopoiesis	anatomical structure homeostasis	4
negative regulation of hemopoiesis	transmembrane receptor protein tyrosine kinase signaling pathway	5
negative regulation of hemopoiesis	cell junction assembly	2
negative regulation of hemopoiesis	tissue remodeling	5
negative regulation of hemopoiesis	negative regulation of platelet activation	2
negative regulation of hemopoiesis	regulation of T-helper 1 type immune response	2
negative regulation of hemopoiesis	negative regulation of myeloid cell differentiation	6
negative regulation of hemopoiesis	negative regulation of cell differentiation	10
negative regulation of hemopoiesis	cell-cell junction organization	2
negative regulation of hemopoiesis	negative regulation of osteoclast differentiation	4
negative regulation of hemopoiesis	negative regulation of cell development	2
negative regulation of hemopoiesis	stress-activated MAPK cascade	2
negative regulation of hemopoiesis	negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3
negative regulation of hemopoiesis	bone remodeling	4
negative regulation of hemopoiesis	tumor necrosis factor-mediated signaling pathway	2
negative regulation of hemopoiesis	regulation of DNA-binding transcription factor activity	3
negative regulation of hemopoiesis	cell junction organization	2
negative regulation of hemopoiesis	bone resorption	4
negative regulation of hemopoiesis	stress-activated protein kinase signaling cascade	2
negative regulation of hemopoiesis	negative regulation of adaptive immune response	3
negative regulation of hemopoiesis	negative regulation of wound healing	2
negative regulation of hemopoiesis	negative regulation of immune system process	10
negative regulation of hemopoiesis	regulation of tissue remodeling	3
negative regulation of hemopoiesis	cellular response to peptide	3
negative regulation of hemopoiesis	negative regulation of leukocyte mediated immunity	2
negative regulation of hemopoiesis	response to tumor necrosis factor	2
negative regulation of hemopoiesis	tissue morphogenesis	2
negative regulation of hemopoiesis	T-helper 1 type immune response	2
negative regulation of hemopoiesis	regulation of response to biotic stimulus	4
negative regulation of hemopoiesis	cell-cell junction assembly	2
negative regulation of hemopoiesis	regulation of platelet activation	2
negative regulation of hemopoiesis	cytokine-mediated signaling pathway	7
negative regulation of hemopoiesis	cellular response to tumor necrosis factor	2
negative regulation of hemopoiesis	negative regulation of T cell differentiation	4
negative regulation of hemopoiesis	regulation of cytokine-mediated signaling pathway	2
negative regulation of hemopoiesis	negative regulation of response to wounding	2
negative regulation of hemopoiesis	response to insulin	2
negative regulation of hemopoiesis	JNK cascade	2
negative regulation of hemopoiesis	regulated exocytosis	2
negative regulation of hemopoiesis	response to peptide	3
negative regulation of hemopoiesis	cell growth	2
negative regulation of hemopoiesis	I-kappaB kinase/NF-kappaB signaling	2
negative regulation of hemopoiesis	regulation of innate immune response	3
negative regulation of hemopoiesis	negative regulation of DNA-binding transcription factor activity	2
negative regulation of hemopoiesis	negative regulation of bone resorption	2
negative regulation of hemopoiesis	negative regulation of alpha-beta T cell differentiation	3
negative regulation of hemopoiesis	vasculogenesis	2
negative regulation of hemopoiesis	morphogenesis of an epithelium	2
negative regulation of hemopoiesis	wound healing	2
negative regulation of hemopoiesis	regulation of response to cytokine stimulus	2
negative regulation of hemopoiesis	regulation of cell development	3
negative regulation of hemopoiesis	regulation of adaptive immune response	4
negative regulation of hemopoiesis	myeloid leukocyte differentiation	7
negative regulation of hemopoiesis	platelet activation	2
negative regulation of hemopoiesis	regulation of endothelial cell differentiation	2
negative regulation of hemopoiesis	negative regulation of lymphocyte differentiation	4
negative regulation of hemopoiesis	regulation of coagulation	2
negative regulation of hemopoiesis	regulation of wound healing	2
negative regulation of hemopoiesis	multicellular organismal homeostasis	5
negative regulation of hemopoiesis	negative regulation of response to biotic stimulus	2
negative regulation of hemopoiesis	negative regulation of blood coagulation	2
negative regulation of hemopoiesis	positive regulation of CD4-positive, alpha-beta T cell differentiation	2
negative regulation of hemopoiesis	regulation of granulocyte differentiation	2
negative regulation of hemopoiesis	CD8-positive, alpha-beta T cell differentiation	2
negative regulation of hemopoiesis	negative regulation of bone remodeling	2
negative regulation of hemopoiesis	endothelial cell differentiation	2
negative regulation of hemopoiesis	regulation of CD4-positive, alpha-beta T cell differentiation	3
negative regulation of hemopoiesis	regulation of response to wounding	2
negative regulation of hemopoiesis	response to wounding	2
negative regulation of hemopoiesis	negative regulation of cell activation	6
negative regulation of hemopoiesis	regulation of leukocyte differentiation	10
negative regulation of hemopoiesis	negative regulation of hemostasis	2
negative regulation of hemopoiesis	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	3
negative regulation of hemopoiesis	coagulation	2
negative regulation of hemopoiesis	regulation of transcription regulatory region DNA binding	2
negative regulation of hemopoiesis	negative regulation of coagulation	2
negative regulation of hemopoiesis	calcium ion transport	3
negative regulation of hemopoiesis	hemostasis	2
negative regulation of hemopoiesis	regulation of osteoclast differentiation	4
negative regulation of hemopoiesis	negative regulation of tissue remodeling	2
negative regulation of hemopoiesis	negative regulation of cell-cell adhesion	6
negative regulation of hemopoiesis	lateral plasma membrane	2
negative regulation of hemopoiesis	cell projection membrane	2
negative regulation of hemopoiesis	protein phosphatase binding	3
negative regulation of hemopoiesis	phosphatase binding	3
negative regulation of hemopoiesis	ubiquitin protein ligase binding	3
peptidyl-arginine methylation	peptidyl-arginine modification	4
peptidyl-arginine methylation	organic acid biosynthetic process	2
peptidyl-arginine methylation	carboxylic acid biosynthetic process	2
peptidyl-arginine methylation	regulation of cellular ketone metabolic process	2
peptidyl-arginine methylation	cellular ketone metabolic process	2
peptidyl-arginine methylation	monocarboxylic acid biosynthetic process	2
peptidyl-arginine methylation	regulation of DNA-binding transcription factor activity	2
peptidyl-arginine methylation	cell junction organization	2
peptidyl-arginine methylation	carboxylic acid metabolic process	2
peptidyl-arginine methylation	small molecule biosynthetic process	2
peptidyl-arginine methylation	negative regulation of DNA-binding transcription factor activity	2
peptidyl-arginine methylation	oxoacid metabolic process	2
peptidyl-arginine methylation	organic acid metabolic process	2
peptidyl-arginine methylation	regulation of lipid biosynthetic process	2
peptidyl-arginine methylation	regulation of lipid metabolic process	2
peptidyl-arginine methylation	monocarboxylic acid metabolic process	2
peptidyl-arginine methylation	negative regulation of NF-kappaB transcription factor activity	2
peptidyl-arginine methylation	regulation of hormone levels	2
peptidyl-arginine methylation	S-adenosylmethionine-dependent methyltransferase activity	3
peptidyl-arginine methylation	transferase activity, transferring one-carbon groups	3
peptidyl-arginine methylation	N-methyltransferase activity	3
negative regulation of tumor necrosis factor-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway	4
negative regulation of tumor necrosis factor-mediated signaling pathway	tumor necrosis factor-mediated signaling pathway	4
negative regulation of tumor necrosis factor-mediated signaling pathway	regulation of DNA-binding transcription factor activity	4
negative regulation of tumor necrosis factor-mediated signaling pathway	response to tumor necrosis factor	4
negative regulation of tumor necrosis factor-mediated signaling pathway	cytokine-mediated signaling pathway	4
negative regulation of tumor necrosis factor-mediated signaling pathway	cellular response to tumor necrosis factor	4
negative regulation of tumor necrosis factor-mediated signaling pathway	regulation of cytokine-mediated signaling pathway	4
negative regulation of tumor necrosis factor-mediated signaling pathway	regulation of I-kappaB kinase/NF-kappaB signaling	2
negative regulation of tumor necrosis factor-mediated signaling pathway	I-kappaB kinase/NF-kappaB signaling	3
negative regulation of tumor necrosis factor-mediated signaling pathway	negative regulation of DNA-binding transcription factor activity	3
negative regulation of tumor necrosis factor-mediated signaling pathway	regulation of response to cytokine stimulus	4
negative regulation of tumor necrosis factor-mediated signaling pathway	negative regulation of interleukin-1 production	2
negative regulation of tumor necrosis factor-mediated signaling pathway	negative regulation of cytokine-mediated signaling pathway	4
negative regulation of tumor necrosis factor-mediated signaling pathway	negative regulation of NF-kappaB transcription factor activity	3
negative regulation of tumor necrosis factor-mediated signaling pathway	negative regulation of response to cytokine stimulus	4
negative regulation of tumor necrosis factor-mediated signaling pathway	ubiquitin protein ligase binding	2
positive regulation of morphogenesis of an epithelium	tissue homeostasis	4
positive regulation of morphogenesis of an epithelium	anatomical structure homeostasis	4
positive regulation of morphogenesis of an epithelium	transmembrane receptor protein tyrosine kinase signaling pathway	3
positive regulation of morphogenesis of an epithelium	cell junction assembly	3
positive regulation of morphogenesis of an epithelium	regulation of morphogenesis of an epithelium	5
positive regulation of morphogenesis of an epithelium	tissue remodeling	2
positive regulation of morphogenesis of an epithelium	maintenance of blood-brain barrier	2
positive regulation of morphogenesis of an epithelium	hair follicle development	2
positive regulation of morphogenesis of an epithelium	molting cycle process	2
positive regulation of morphogenesis of an epithelium	hair cycle process	2
positive regulation of morphogenesis of an epithelium	regulation of morphogenesis of a branching structure	4
positive regulation of morphogenesis of an epithelium	skin epidermis development	2
positive regulation of morphogenesis of an epithelium	positive regulation of branching involved in ureteric bud morphogenesis	3
positive regulation of morphogenesis of an epithelium	negative regulation of cell differentiation	3
positive regulation of morphogenesis of an epithelium	cell-cell junction organization	3
positive regulation of morphogenesis of an epithelium	negative regulation of cell development	2
positive regulation of morphogenesis of an epithelium	regulation of branching involved in ureteric bud morphogenesis	3
positive regulation of morphogenesis of an epithelium	regulation of cell proliferation involved in heart morphogenesis	2
positive regulation of morphogenesis of an epithelium	cell proliferation involved in heart morphogenesis	2
positive regulation of morphogenesis of an epithelium	bone remodeling	2
positive regulation of morphogenesis of an epithelium	molting cycle	2
positive regulation of morphogenesis of an epithelium	hair cycle	2
positive regulation of morphogenesis of an epithelium	branching involved in ureteric bud morphogenesis	4
positive regulation of morphogenesis of an epithelium	regulation of DNA-binding transcription factor activity	2
positive regulation of morphogenesis of an epithelium	cell junction organization	3
positive regulation of morphogenesis of an epithelium	positive regulation of I-kappaB kinase/NF-kappaB signaling	2
positive regulation of morphogenesis of an epithelium	ureteric bud morphogenesis	4
positive regulation of morphogenesis of an epithelium	mesonephric tubule morphogenesis	4
positive regulation of morphogenesis of an epithelium	cellular response to growth factor stimulus	3
positive regulation of morphogenesis of an epithelium	negative regulation of immune system process	2
positive regulation of morphogenesis of an epithelium	ureteric bud development	4
positive regulation of morphogenesis of an epithelium	mesonephric epithelium development	4
positive regulation of morphogenesis of an epithelium	mesonephric tubule development	4
positive regulation of morphogenesis of an epithelium	tissue morphogenesis	5
positive regulation of morphogenesis of an epithelium	skin development	2
positive regulation of morphogenesis of an epithelium	response to growth factor	3
positive regulation of morphogenesis of an epithelium	mesonephros development	4
positive regulation of morphogenesis of an epithelium	heart morphogenesis	3
positive regulation of morphogenesis of an epithelium	nephron tubule morphogenesis	4
positive regulation of morphogenesis of an epithelium	cell-cell junction assembly	2
positive regulation of morphogenesis of an epithelium	appendage development	2
positive regulation of morphogenesis of an epithelium	limb development	2
positive regulation of morphogenesis of an epithelium	embryonic organ morphogenesis	2
positive regulation of morphogenesis of an epithelium	renal tubule morphogenesis	4
positive regulation of morphogenesis of an epithelium	nephron epithelium morphogenesis	4
positive regulation of morphogenesis of an epithelium	regulation of I-kappaB kinase/NF-kappaB signaling	2
positive regulation of morphogenesis of an epithelium	mesoderm development	2
positive regulation of morphogenesis of an epithelium	epithelial cell proliferation involved in prostate gland development	2
positive regulation of morphogenesis of an epithelium	regulation of animal organ morphogenesis	4
positive regulation of morphogenesis of an epithelium	outflow tract morphogenesis	2
positive regulation of morphogenesis of an epithelium	nephron morphogenesis	4
positive regulation of morphogenesis of an epithelium	heart development	4
positive regulation of morphogenesis of an epithelium	cell growth	4
positive regulation of morphogenesis of an epithelium	I-kappaB kinase/NF-kappaB signaling	2
positive regulation of morphogenesis of an epithelium	neuron migration	2
positive regulation of morphogenesis of an epithelium	regulation of kidney development	3
positive regulation of morphogenesis of an epithelium	vasculogenesis	2
positive regulation of morphogenesis of an epithelium	morphogenesis of an epithelium	5
positive regulation of morphogenesis of an epithelium	regulation of cell development	2
positive regulation of morphogenesis of an epithelium	myeloid leukocyte differentiation	2
positive regulation of morphogenesis of an epithelium	regulation of epithelial cell migration	2
positive regulation of morphogenesis of an epithelium	plasma membrane bounded cell projection morphogenesis	2
positive regulation of morphogenesis of an epithelium	negative regulation of cellular component organization	2
positive regulation of morphogenesis of an epithelium	respiratory system development	3
positive regulation of morphogenesis of an epithelium	cell projection morphogenesis	2
positive regulation of morphogenesis of an epithelium	regulation of endothelial cell differentiation	2
positive regulation of morphogenesis of an epithelium	smooth muscle cell differentiation	3
positive regulation of morphogenesis of an epithelium	cell surface receptor signaling pathway involved in cell-cell signaling	2
positive regulation of morphogenesis of an epithelium	multicellular organismal homeostasis	4
positive regulation of morphogenesis of an epithelium	appendage morphogenesis	2
positive regulation of morphogenesis of an epithelium	limb morphogenesis	2
positive regulation of morphogenesis of an epithelium	trachea development	2
positive regulation of morphogenesis of an epithelium	trophoblast cell migration	2
positive regulation of morphogenesis of an epithelium	renal vesicle morphogenesis	2
positive regulation of morphogenesis of an epithelium	nephron tubule formation	2
positive regulation of morphogenesis of an epithelium	renal vesicle development	2
positive regulation of morphogenesis of an epithelium	regulation of trophoblast cell migration	2
positive regulation of morphogenesis of an epithelium	endothelial cell differentiation	2
positive regulation of morphogenesis of an epithelium	nephron epithelium development	4
positive regulation of morphogenesis of an epithelium	embryo development ending in birth or egg hatching	3
positive regulation of morphogenesis of an epithelium	kidney epithelium development	4
positive regulation of morphogenesis of an epithelium	regulation of canonical Wnt signaling pathway	2
positive regulation of morphogenesis of an epithelium	kidney morphogenesis	4
positive regulation of morphogenesis of an epithelium	epithelial tube morphogenesis	4
positive regulation of morphogenesis of an epithelium	positive regulation of MAP kinase activity	2
positive regulation of morphogenesis of an epithelium	cell part morphogenesis	2
positive regulation of morphogenesis of an epithelium	chordate embryonic development	3
positive regulation of morphogenesis of an epithelium	gastrulation	2
positive regulation of morphogenesis of an epithelium	spermatogenesis	2
positive regulation of morphogenesis of an epithelium	membrane raft	2
positive regulation of morphogenesis of an epithelium	membrane microdomain	2
peptidyl-arginine modification	organic acid biosynthetic process	2
peptidyl-arginine modification	carboxylic acid biosynthetic process	2
peptidyl-arginine modification	regulation of cellular ketone metabolic process	2
peptidyl-arginine modification	cellular ketone metabolic process	2
peptidyl-arginine modification	monocarboxylic acid biosynthetic process	2
peptidyl-arginine modification	regulation of DNA-binding transcription factor activity	2
peptidyl-arginine modification	cell junction organization	2
peptidyl-arginine modification	carboxylic acid metabolic process	2
peptidyl-arginine modification	small molecule biosynthetic process	2
peptidyl-arginine modification	negative regulation of DNA-binding transcription factor activity	2
peptidyl-arginine modification	oxoacid metabolic process	2
peptidyl-arginine modification	organic acid metabolic process	2
peptidyl-arginine modification	regulation of lipid biosynthetic process	2
peptidyl-arginine modification	regulation of lipid metabolic process	2
peptidyl-arginine modification	monocarboxylic acid metabolic process	2
peptidyl-arginine modification	negative regulation of NF-kappaB transcription factor activity	2
peptidyl-arginine modification	regulation of hormone levels	2
peptidyl-arginine modification	S-adenosylmethionine-dependent methyltransferase activity	3
peptidyl-arginine modification	transferase activity, transferring one-carbon groups	3
peptidyl-arginine modification	N-methyltransferase activity	3
response to immobilization stress	response to isoquinoline alkaloid	2
response to immobilization stress	response to morphine	2
response to immobilization stress	regulation of system process	2
response to immobilization stress	small molecule biosynthetic process	2
response to immobilization stress	response to peptide	2
response to immobilization stress	cell growth	2
response to immobilization stress	regulation of cation channel activity	2
response to immobilization stress	regulation of lipid metabolic process	2
response to immobilization stress	regulation of epithelial cell migration	2
response to immobilization stress	negative regulation of neuron death	2
response to immobilization stress	cell projection membrane	2
response to immobilization stress	cell cortex	2
response to immobilization stress	neuronal cell body	3
response to immobilization stress	side of membrane	2
response to immobilization stress	phosphotransferase activity, alcohol group as acceptor	2
response to immobilization stress	protein kinase activity	2
response to immobilization stress	ubiquitin protein ligase binding	2
tissue homeostasis	negative regulation of myeloid leukocyte differentiation	4
tissue homeostasis	anatomical structure homeostasis	13
tissue homeostasis	transmembrane receptor protein tyrosine kinase signaling pathway	5
tissue homeostasis	cell junction assembly	5
tissue homeostasis	regulation of morphogenesis of an epithelium	4
tissue homeostasis	tissue remodeling	6
tissue homeostasis	maintenance of blood-brain barrier	4
tissue homeostasis	hair follicle development	3
tissue homeostasis	molting cycle process	3
tissue homeostasis	hair cycle process	3
tissue homeostasis	negative regulation of vascular permeability	2
tissue homeostasis	regulation of morphogenesis of a branching structure	3
tissue homeostasis	negative regulation of myeloid cell differentiation	5
tissue homeostasis	skin epidermis development	3
tissue homeostasis	positive regulation of branching involved in ureteric bud morphogenesis	2
tissue homeostasis	negative regulation of cell differentiation	9
tissue homeostasis	cell-cell junction organization	5
tissue homeostasis	negative regulation of osteoclast differentiation	4
tissue homeostasis	telencephalon development	2
tissue homeostasis	negative regulation of cell development	5
tissue homeostasis	regulation of branching involved in ureteric bud morphogenesis	2
tissue homeostasis	regulation of cell proliferation involved in heart morphogenesis	2
tissue homeostasis	stress-activated MAPK cascade	3
tissue homeostasis	pallium development	2
tissue homeostasis	cell proliferation involved in heart morphogenesis	2
tissue homeostasis	bone remodeling	6
tissue homeostasis	tumor necrosis factor-mediated signaling pathway	3
tissue homeostasis	molting cycle	3
tissue homeostasis	hair cycle	3
tissue homeostasis	branching involved in ureteric bud morphogenesis	3
tissue homeostasis	regulation of DNA-binding transcription factor activity	4
tissue homeostasis	cell junction organization	6
tissue homeostasis	bone resorption	5
tissue homeostasis	epithelial structure maintenance	3
tissue homeostasis	positive regulation of I-kappaB kinase/NF-kappaB signaling	2
tissue homeostasis	stress-activated protein kinase signaling cascade	3
tissue homeostasis	ureteric bud morphogenesis	3
tissue homeostasis	negative regulation of wound healing	2
tissue homeostasis	mesonephric tubule morphogenesis	3
tissue homeostasis	cellular response to growth factor stimulus	4
tissue homeostasis	regulation of neuron projection development	3
tissue homeostasis	nitric oxide mediated signal transduction	2
tissue homeostasis	negative regulation of immune system process	5
tissue homeostasis	regulation of tissue remodeling	2
tissue homeostasis	ureteric bud development	3
tissue homeostasis	response to oxidative stress	2
tissue homeostasis	mesonephric epithelium development	3
tissue homeostasis	mesonephric tubule development	3
tissue homeostasis	response to tumor necrosis factor	4
tissue homeostasis	tissue morphogenesis	4
tissue homeostasis	limbic system development	2
tissue homeostasis	negative regulation of ossification	2
tissue homeostasis	skin development	4
tissue homeostasis	response to growth factor	4
tissue homeostasis	positive regulation of neuron projection development	2
tissue homeostasis	mesonephros development	3
tissue homeostasis	heart morphogenesis	3
tissue homeostasis	nephron tubule morphogenesis	3
tissue homeostasis	cell-cell junction assembly	3
tissue homeostasis	hindbrain development	2
tissue homeostasis	positive regulation of DNA metabolic process	2
tissue homeostasis	appendage development	2
tissue homeostasis	limb development	2
tissue homeostasis	embryonic organ morphogenesis	3
tissue homeostasis	cytokine-mediated signaling pathway	3
tissue homeostasis	cellular response to tumor necrosis factor	3
tissue homeostasis	ERBB signaling pathway	2
tissue homeostasis	regulation of system process	4
tissue homeostasis	renal tubule morphogenesis	3
tissue homeostasis	nephron epithelium morphogenesis	3
tissue homeostasis	negative regulation of response to wounding	2
tissue homeostasis	regulation of I-kappaB kinase/NF-kappaB signaling	2
tissue homeostasis	mesoderm development	2
tissue homeostasis	epithelial cell proliferation involved in prostate gland development	2
tissue homeostasis	regulation of animal organ morphogenesis	3
tissue homeostasis	JNK cascade	2
tissue homeostasis	outflow tract morphogenesis	2
tissue homeostasis	nephron morphogenesis	3
tissue homeostasis	response to fatty acid	2
tissue homeostasis	response to peptide	2
tissue homeostasis	vascular endothelial growth factor receptor signaling pathway	2
tissue homeostasis	heart development	4
tissue homeostasis	cell growth	5
tissue homeostasis	I-kappaB kinase/NF-kappaB signaling	3
tissue homeostasis	regulation of axonogenesis	2
tissue homeostasis	maintenance of gastrointestinal epithelium	2
tissue homeostasis	negative regulation of bone mineralization	2
tissue homeostasis	negative regulation of bone resorption	2
tissue homeostasis	chemical homeostasis within a tissue	2
tissue homeostasis	neuron migration	2
tissue homeostasis	regulation of cell shape	2
tissue homeostasis	regulation of kidney development	2
tissue homeostasis	vasculogenesis	2
tissue homeostasis	morphogenesis of an epithelium	4
tissue homeostasis	wound healing	4
tissue homeostasis	epidermal growth factor receptor signaling pathway	2
tissue homeostasis	regulation of cell development	5
tissue homeostasis	regulation of cation channel activity	2
tissue homeostasis	myeloid leukocyte differentiation	6
tissue homeostasis	regulation of lipid metabolic process	2
tissue homeostasis	regulation of epithelial cell migration	3
tissue homeostasis	plasma membrane bounded cell projection morphogenesis	3
tissue homeostasis	negative regulation of cellular component organization	3
tissue homeostasis	respiratory system development	4
tissue homeostasis	cell projection morphogenesis	3
tissue homeostasis	regulation of endothelial cell differentiation	2
tissue homeostasis	smooth muscle cell differentiation	3
tissue homeostasis	regulation of wound healing	2
tissue homeostasis	cell surface receptor signaling pathway involved in cell-cell signaling	3
tissue homeostasis	multicellular organismal homeostasis	13
tissue homeostasis	appendage morphogenesis	2
tissue homeostasis	limb morphogenesis	2
tissue homeostasis	regulation of JUN kinase activity	2
tissue homeostasis	negative regulation of bone remodeling	2
tissue homeostasis	trachea development	2
tissue homeostasis	trophoblast cell migration	2
tissue homeostasis	renal vesicle morphogenesis	2
tissue homeostasis	nephron tubule formation	2
tissue homeostasis	renal vesicle development	2
tissue homeostasis	regulation of trophoblast cell migration	2
tissue homeostasis	activation of protein kinase activity	2
tissue homeostasis	endothelial cell differentiation	2
tissue homeostasis	nephron epithelium development	3
tissue homeostasis	anterior/posterior pattern specification	2
tissue homeostasis	regulation of response to wounding	2
tissue homeostasis	response to wounding	4
tissue homeostasis	regulation of leukocyte differentiation	4
tissue homeostasis	embryo development ending in birth or egg hatching	3
tissue homeostasis	kidney epithelium development	3
tissue homeostasis	regulation of canonical Wnt signaling pathway	2
tissue homeostasis	regulation of transcription regulatory region DNA binding	3
tissue homeostasis	kidney morphogenesis	3
tissue homeostasis	epithelial tube morphogenesis	3
tissue homeostasis	positive regulation of MAP kinase activity	2
tissue homeostasis	regulation of hormone levels	3
tissue homeostasis	cell part morphogenesis	3
tissue homeostasis	calcium ion transport	3
tissue homeostasis	establishment of cell polarity	2
tissue homeostasis	negative regulation of neuron death	2
tissue homeostasis	chordate embryonic development	3
tissue homeostasis	regulation of osteoclast differentiation	4
tissue homeostasis	cellular chemical homeostasis	4
tissue homeostasis	negative regulation of tissue remodeling	2
tissue homeostasis	regulation of membrane potential	2
tissue homeostasis	gastrulation	3
tissue homeostasis	negative regulation of cell-cell adhesion	3
tissue homeostasis	spermatogenesis	2
