Gene1	Gene2	Annotation	Direction	Score	weight	Scaled_weight
RPL29	RPL8	catalyze; catalyzed by; complex; input	<->	1	38986.0627404185	0.958212959013883
RPL35	RPL8	catalyze; catalyzed by; complex; input	<->	1	38597.0244915273	0.957303869786364
RPL27A	RPL36AL	predicted	-	0.98	38524.4894605056	0.957133359725425
RPL17	RPL8	catalyze; catalyzed by; complex; input	<->	1	38347.6902152393	0.956716404324295
RPL34	RPL36AL	predicted	-	0.65	38232.4517006009	0.956443594855625
RPL15	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	38171.872765962	0.956299853608314
MAD1L1	NUP43	complex; input	-	1	37953.9894624872	0.955780969297415
RPL18A	RPL23A	catalyze; catalyzed by; complex; input	<->	1	37880.922528475	0.955606294817686
RPS13	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	37837.6246412626	0.955502627441525
RPL15	RPL29	catalyze; catalyzed by; complex; input	<->	1	37658.452620836	0.955072374105045
CWC15	EFTUD2	complex; input	-	1	37511.8426117536	0.954718787713246
RPL29	RPS13	catalyze; catalyzed by; complex; input	<->	1	37328.7002074616	0.954275147938257
RPL15	RPL35	catalyze; catalyzed by; complex; input	<->	1	37282.6624683112	0.954163284877526
RPL15	RPL17	catalyze; catalyzed by; complex; input	<->	1	37041.8188854939	0.953575819415456
RPL18A	RPL28	catalyze; catalyzed by; complex; input	<->	1	36975.8908978258	0.953414341952121
RPL35	RPS13	catalyze; catalyzed by; complex; input	<->	1	36956.2006232181	0.953366058710738
EFTUD2	SRSF6	complex; input	-	1	36902.9376044753	0.953235321491586
RPL17	RPS13	catalyze; catalyzed by; complex; input	<->	1	36717.4659627583	0.952778593248669
EFTUD2	SRSF2	complex; input	-	1	35533.2949233235	0.949807005705
RPL18A	RPL8	catalyze; catalyzed by; complex; input	<->	1	35470.6078942328	0.949646949245185
RPL23A	RPL27A	catalyze; catalyzed by; complex; input	<->	1	35002.0255650604	0.948441498601259
RPL23A	RPL34	catalyze; catalyzed by; complex; input	<->	1	34736.6901049078	0.94775173373146
RPL15	RPL18A	catalyze; catalyzed by; complex; input	<->	1	34262.7111568353	0.946506364336347
RPL27A	RPL28	catalyze; catalyzed by; complex; input	<->	1	34165.7750685378	0.946249545735694
RPL18A	RPS13	catalyze; catalyzed by; complex; input	<->	1	33962.6932085018	0.945709138169559
RPL28	RPL34	catalyze; catalyzed by; complex; input	<->	1	33906.7788675199	0.945559780865894
RPL23A	RPL24	catalyze; catalyzed by; complex; input	<->	1	33868.8993291861	0.945458457763851
DDX46	EFTUD2	complex; input	-	1	33091.9559980384	0.943354846593332
RPL24	RPL28	catalyze; catalyzed by; complex; input	<->	1	33059.7209052671	0.943266504898286
CLP1	EFTUD2	complex; input	-	1	33048.4948734771	0.943235719238698
RPL23A	RPS4X	catalyze; catalyzed by; complex; input	<->	1	32909.1063442721	0.942852594269981
RPL27A	RPL8	catalyze; catalyzed by; complex; input	<->	1	32774.8914612337	0.942482153028758
EFTUD2	PRPF3	complex	-	1	32660.2307586291	0.942164478969742
EFTUD2	HNRNPM	complex; input	-	1	32533.9385103199	0.94181328576085
RPL34	RPL8	catalyze; catalyzed by; complex; input	<->	1	32526.4389569307	0.941792388158959
EFTUD2	HSPA8	complex; input	-	1	32450.9661238524	0.941581813497345
RPL28	RPS4X	catalyze; catalyzed by; complex; input	<->	1	32122.8588035588	0.940660641404415
EFTUD2	PRCC	complex; input	-	1	31957.8392895123	0.940193781414284
RPL24	RPL8	catalyze; catalyzed by; complex; input	<->	1	31713.8645979847	0.93949911219135
RPL15	RPL27A	catalyze; catalyzed by; complex; input	<->	1	31658.7931811414	0.93934156811992
DDX5	EFTUD2	complex; input	-	1	31598.8502829629	0.939169776298378
RPL15	RPL34	catalyze; catalyzed by; complex; input	<->	1	31418.8013429268	0.938651803250121
EFTUD2	SNW1	complex; input; predicted	-	1	31406.9415304463	0.938617580270249
RPL27A	RPS13	catalyze; catalyzed by; complex; input	<->	1	31381.5761759417	0.938544341953132
RPL36AL	RPS27	predicted	-	0.64	31349.5505359749	0.938451788549667
CSNK2A1	SUPT5H	predicted	-	0.73	31233.30505725	0.938115045360154
RPL34	RPS13	catalyze; catalyzed by; complex; input	<->	1	31143.6858018695	0.937854577083333
EFTUD2	SYF2	complex; input	-	1	31050.3620097243	0.937582544135666
KPNB1	NUP43	activated by; catalyzed by; complex; input	<-	1	30970.0441890153	0.937347767335335
EFTUD2	HNRNPA2B1	complex; input	-	1	30874.7025117765	0.937068282696113
EFTUD2	RBM8A	complex; input	-	1	30845.8466754718	0.936983524531754
RPL8	RPS4X	catalyze; catalyzed by; complex; input	<->	1	30815.1420127064	0.936893248697479
RPL15	RPL24	catalyze; catalyzed by; complex; input	<->	1	30633.8979480644	0.936358527282512
CRNKL1	EFTUD2	complex; input; predicted	-	1	30514.7172243975	0.93600518340633
RPL24	RPS13	catalyze; catalyzed by; complex; input	<->	1	30365.6553338192	0.935561301115724
RPL29	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	30277.4037676723	0.935297474106723
RPL11	RPL23A	catalyze; catalyzed by; complex; input	<->	1	30205.456116256	0.935081817813872
CSTF2	EFTUD2	complex; input	-	1	30178.4336668047	0.935000687849874
EFTUD2	HNRNPL	complex; input	-	1	30138.132892744	0.934879557082818
RPL35	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	29975.2684066029	0.934388384879204
EFTUD2	HNRNPF	complex; input	-	1	29844.9741722133	0.933993513785902
RPL17	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	29781.6301157461	0.933800919417134
RPL15	RPS4X	catalyze; catalyzed by; complex; input	<->	1	29765.7799715884	0.933752663788642
RPL29	RPL35	catalyze; catalyzed by; complex; input	<->	1	29572.0944059489	0.933160905375936
RPS13	RPS4X	catalyze; catalyzed by; complex; input	<->	1	29505.1389441827	0.932955437621854
RPL11	RPL28	catalyze; catalyzed by; complex; input	<->	1	29483.8028042795	0.932889864948306
RPL17	RPL29	catalyze; catalyzed by; complex; input	<->	1	29381.0605930018	0.932573439913866
CSNK2A1	PRKACB	predicted	-	0.64	29257.1863876473	0.932190458078467
CD2BP2	EFTUD2	complex; input	-	1	29164.3041424223	0.931902228819802
RPL17	RPL35	catalyze; catalyzed by; complex; input	<->	1	29087.8697560667	0.931664350686347
RPL23A	RPL26	catalyze; catalyzed by; complex; input	<->	1	29031.2676168872	0.931487791040332
RPL23A	RPS27	catalyze; catalyzed by; complex; input	<->	1	28483.122935043	0.929759927425501
RPL26	RPL28	catalyze; catalyzed by; complex; input	<->	1	28337.6674161166	0.929295838174767
HNRNPU	SRRT	complex; input	-	1	28289.3760511889	0.929141233249407
RPL11	RPL8	catalyze; catalyzed by; complex; input	<->	1	28283.5215895494	0.929122472241371
RPL21	RPL23A	catalyze; catalyzed by; complex; input	<->	1	28149.9682913474	0.928693433858221
EFTUD2	YBX1	complex; input	-	1	27952.0101715647	0.928053736477573
CDC5L	EFTUD2	complex; input	-	1	27911.4733653813	0.92792218394367
RPL23A	RPL4	catalyze; catalyzed by; complex; input	<->	1	27833.2977105867	0.927667943110618
RPL28	RPS27	catalyze; catalyzed by; complex; input	<->	1	27802.6187267174	0.927567974559936
RPL12	RPL23A	catalyze; catalyzed by; complex; input	<->	1	27728.9162515833	0.927327360901385
RPL36AL	RPS7	predicted	-	1	27690.3991306482	0.927201360955799
RPL23A	RPL31	catalyze; catalyzed by; complex; input	<->	1	27657.7451856017	0.927094403695447
RPL18A	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	27547.2269218161	0.926731464338025
RPL21	RPL28	catalyze; catalyzed by; complex; input	<->	1	27477.4236434104	0.926501480992656
EFTUD2	PUF60	complex; input	-	1	27417.5483286172	0.926303741670443
RPL11	RPL15	catalyze; catalyzed by; complex; input	<->	1	27320.3699697069	0.925981887332533
COPS2	CSNK2A1	predicted	-	0.64	27267.923812226	0.925807709887748
RPL26	RPL8	catalyze; catalyzed by; complex; input	<->	1	27184.0452020956	0.925528445467831
RPL18A	RPL29	catalyze; catalyzed by; complex; input	<->	1	27176.7106170298	0.925503984834757
RPL28	RPL4	catalyze; catalyzed by; complex; input	<->	1	27168.3187942358	0.925475990245052
EFTUD2	PCBP1	complex; input	-	1	27124.8733256245	0.925330920506207
RPL11	RPS13	catalyze; catalyzed by; complex; input	<->	1	27081.1419264705	0.925184661165745
RPL12	RPL28	catalyze; catalyzed by; complex; input	<->	1	27066.4311636755	0.92513540803582
EFTUD2	SNRPA1	complex; input	-	1	27062.2366416617	0.925121359444874
RPL28	RPL31	catalyze; catalyzed by; complex; input	<->	1	26996.960480409	0.924902450829881
RPL18A	RPL35	catalyze; catalyzed by; complex; input	<->	1	26905.5167809282	0.924594895607238
RPL23A	RPL32	catalyze; catalyzed by; complex; input	<->	1	26871.2154646474	0.924479259340259
CSNK2A1	SUPT4H1	predicted	-	0.73	26776.972506131	0.924160786847567
RPL17	RPL18A	catalyze; catalyzed by; complex; input	<->	1	26731.7088865865	0.924007430145168
RPL8	RPS27	catalyze; catalyzed by; complex; input	<->	1	26670.7782650407	0.923800581853
CDC40	HNRNPU	complex; input	-	1	26636.3716139615	0.923683568714689
NUP43	PHAX	activate	->	1	26605.032118722	0.923576855014933
EFTUD2	SNRPD2	complex; input	-	1	26538.8909098786	0.923351225261467
CDC40	NUP43	activated by; input	<-	1	26488.2622610658	0.923178133744612
RPL21	RPL8	catalyze; catalyzed by; complex; input	<->	1	26358.8218250731	0.92273408828572
RPL15	RPL26	catalyze; catalyzed by; complex; input	<->	1	26258.334551554	0.922387860558993
RPL3	RPL36AL	predicted	-	0.98	26243.918079218	0.922338080122151
RPL28	RPL32	catalyze; catalyzed by; complex; input	<->	1	26229.2221253559	0.922287306474693
RPL4	RPL8	catalyze; catalyzed by; complex; input	<->	1	26062.3005882062	0.921708597538116
CSNK2A1	SRSF2	predicted	-	0.97	26031.0785918399	0.921599941011564
RPL26	RPS13	catalyze; catalyzed by; complex; input	<->	1	26028.4061135284	0.921590634392205
RPL12	RPL8	catalyze; catalyzed by; complex; input	<->	1	25964.5607878898	0.921368015328884
RPL31	RPL8	catalyze; catalyzed by; complex; input	<->	1	25897.9182457777	0.921135058122946
EIF2S3	RPL23A	catalyzed by	<-	1	25793.8860030416	0.920770199610294
RPL15	RPS27	catalyze; catalyzed by; complex; input	<->	1	25762.5461268643	0.920659996944162
CSNK2A1	DEK	predicted	-	0.99	25622.5486838327	0.920166071222642
EFTUD2	POLR2C	complex; input	-	1	25585.0626622164	0.920033358506467
RPS13	RPS27	catalyze; catalyzed by; complex; input; reaction	<->	1	25536.9590097956	0.919862770777374
RPL15	RPL21	catalyze; catalyzed by; complex; input	<->	1	25461.2128813785	0.919593503376882
RPL27A	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	25453.6763258375	0.919566668121598
EFTUD2	EIF4A3	complex; input	-	1	25349.4373109659	0.919194689308404
RPL34	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	25260.722837819	0.918876903251799
RPL21	RPS13	catalyze; catalyzed by; complex; input	<->	1	25238.2643582512	0.918796277210094
PSMC4	RAD23B	predicted	-	1	25208.0134546057	0.918687562852472
EFTUD2	U2SURP	complex; input	-	1	25189.3747197445	0.918620514818558
EIF2S3	RPL28	catalyzed by	<-	1	25177.6316683546	0.918578246744728
RPL15	RPL4	catalyze; catalyzed by; complex; input	<->	1	25174.7892170046	0.918568012629278
RPL32	RPL8	catalyze; catalyzed by; complex; input	<->	1	25161.4344046526	0.918519913767757
RPL23A	RPS7	catalyze; catalyzed by; complex; input	<->	1	25158.5438730161	0.918509499831634
RPL27A	RPL29	catalyze; catalyzed by; complex; input	<->	1	25111.3187403628	0.91833918861833
MAD1L1	RPS27	complex; input	-	1	25104.2071542595	0.91831351387639
RPL12	RPL15	catalyze; catalyzed by; complex; input	<->	1	25080.3777945459	0.918227430420046
RPL15	RPL31	catalyze; catalyzed by; complex; input	<->	1	25016.0046612194	0.917994473214108
EFTUD2	SART1	complex	-	1	24976.9116849928	0.917852708554737
RPL4	RPS13	catalyze; catalyzed by; complex; input	<->	1	24954.3487335869	0.917770786462491
RPL29	RPL34	catalyze; catalyzed by; complex; input	<->	1	24920.9605195042	0.91764942374853
RPL12	RPS13	catalyze; catalyzed by; complex; input	<->	1	24860.7640151545	0.917430204253258
RPL27A	RPL35	catalyze; catalyzed by; complex; input	<->	1	24860.735255307	0.917430099390811
RPL23A	RPL7A	catalyze; catalyzed by; complex; input	<->	1	24847.6134774663	0.917382242885525
RPL31	RPS13	catalyze; catalyzed by; complex; input	<->	1	24796.9545586282	0.91719724704732
EFTUD2	GPKOW	complex; input	-	1	24704.3875083053	0.916858233085325
RPL17	RPL27A	catalyze; catalyzed by; complex; input	<->	1	24700.1365170744	0.916842633928741
RPL34	RPL35	catalyze; catalyzed by; complex; input	<->	1	24672.2766012088	0.916740334521011
RPL24	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	24629.6603445153	0.91658362728419
CPSF2	EFTUD2	complex; input	-	1	24620.2237916246	0.916548890804977
RPL28	RPS7	catalyze; catalyzed by; complex; input	<->	1	24557.4688076177	0.916317546966068
EFTUD2	USP39	complex	-	1	24542.3266446035	0.916261637431727
RPL17	RPL34	catalyze; catalyzed by; complex; input	<->	1	24512.8952936656	0.916152869058942
RPL15	RPL32	catalyze; catalyzed by; complex; input	<->	1	24304.6006391799	0.91537932885892
RPL24	RPL29	catalyze; catalyzed by; complex; input	<->	1	24298.3859565381	0.915356147780921
RPL28	RPL7A	catalyze; catalyzed by; complex; input	<->	1	24253.9670020841	0.91519029001996
EFTUD2	HNRNPUL1	complex; input	-	1	24216.0761851563	0.915048567692009
EIF2S3	RPL8	catalyzed by	<-	1	24152.6540383139	0.914810854037793
EFTUD2	SUGP1	complex; input	-	1	24149.8158687724	0.914800201658448
RPL32	RPS13	catalyze; catalyzed by; complex; input	<->	1	24091.779873612	0.914582102692132
RPL24	RPL35	catalyze; catalyzed by; complex; input	<->	1	24055.9146511807	0.914447058553403
EFTUD2	PRPF4	complex	-	1	24053.2519632701	0.914437024646665
CPSF6	PTBP1	predicted	-	0.92	24008.360575121	0.914267691316155
HNRNPU	SYNCRIP	predicted	-	0.98	24007.7773783173	0.914265489375874
RPS4X	RPS4Y1	catalyze; catalyzed by; input	<->	1	23931.6933102247	0.913977763790319
BCAS2	EFTUD2	complex; input	-	1	23906.4438000786	0.913882076035402
RPL17	RPL24	catalyze; catalyzed by; complex; input	<->	1	23900.5150018809	0.913859593091333
EFTUD2	SF3B2	complex; input	-	1	23853.9138251201	0.913682679583681
RPL23A	RPL3	catalyze; catalyzed by; complex; input	<->	1	23844.3209605116	0.913646218997986
EFTUD2	NCBP1	complex; input	-	1	23793.9661143604	0.913454589251579
HNRNPU	SRSF4	complex; input	-	1	23747.0658960226	0.91327574127656
NUP43	SRSF4	activate; input	->	1	23615.0222898586	0.912770306306483
RPL29	RPS4X	catalyze; catalyzed by; complex; input	<->	1	23609.8067334832	0.912750284287051
RPL8	RPS7	catalyze; catalyzed by; complex; input	<->	1	23557.7379151419	0.912550154259133
EFTUD2	SRSF1	complex; input	-	1	23531.3759981474	0.912448661714287
PHAX	SRRT	complex; input	-	1	23423.5898386707	0.912032502170526
RPL35	RPS4X	catalyze; catalyzed by; complex; input	<->	1	23374.2066953513	0.911841195059532
EIF2S3	RPL15	catalyzed by	<-	1	23330.1727292999	0.911670269128955
CDC40	SRRT	complex; input	-	1	23320.7833756281	0.911633780900205
RPL28	RPL3	catalyze; catalyzed by; complex; input	<->	1	23274.6446369111	0.91145426613242
RPL7A	RPL8	catalyze; catalyzed by; complex; input	<->	1	23266.5916228451	0.911422897313024
NPLOC4	RFC3	complex; input	-	1	23262.0140959188	0.911405061681258
RPL17	RPS4X	catalyze; catalyzed by; complex; input	<->	1	23223.2108352567	0.911253729597462
EFTUD2	NUDT21	complex; input	-	1	23214.527011481	0.911219828201775
RPL23A	RPS5	catalyze; catalyzed by; complex; input	<->	1	23211.8939484355	0.911209546294562
EIF2S3	RPS13	catalyzed by; complex; input	<-	1	23125.8844426996	0.910873042962167
DHX9	EFTUD2	complex; input	-	1	22964.4509587494	0.910238058418858
HNRNPU	PTBP1	complex; input	-	1	22889.8296387765	0.909943031901238
RPL18A	RPL27A	catalyze; catalyzed by; complex; input	<->	1	22846.9785901993	0.909773178849632
RPL15	RPS7	catalyze; catalyzed by; complex; input	<->	1	22755.51555535	0.909409569350295
RPL18A	RPL34	catalyze; catalyzed by; complex; input	<->	1	22673.7853683939	0.909083413979832
RPL28	RPS5	catalyze; catalyzed by; complex; input	<->	1	22657.3272476162	0.909017593428997
CSNK2A1	DCAF7	predicted	-	0.58	22611.3890482452	0.90883362065151
EFTUD2	POLR2D	complex; input	-	1	22574.0541656541	0.908683826806341
RPS13	RPS7	catalyze; catalyzed by; complex; input; reaction	<->	1	22556.2591958944	0.908612343183507
RPL36AL	RPL6	predicted	-	0.98	22502.0310417538	0.908394156646022
RPL15	RPL7A	catalyze; catalyzed by; complex; input	<->	1	22474.2838001149	0.908282312404186
CUL4A	RFC3	complex; input	-	1	22453.0931875908	0.90819680374319
CSNK2A1	SUPT6H	predicted	-	0.73	22424.2391891092	0.908080241832464
EFTUD2	HNRNPA3	complex; input	-	1	22423.6593437437	0.90807789788583
RPL3	RPL8	catalyze; catalyzed by; complex; input	<->	1	22327.1373250949	0.907686873425485
RPL7A	RPS13	catalyze; catalyzed by; complex; input	<->	1	22277.4900179443	0.907485086237398
RPL13A	RPL23A	catalyze; catalyzed by; complex; input	<->	1	22177.9771678209	0.907079267272665
RPL10	RPL23A	catalyze; catalyzed by; complex; input	<->	1	22163.8772094537	0.907021619621006
EFTUD2	SF3B1	complex; input	-	1	22159.5620139926	0.907003969623473
CCAR1	EFTUD2	complex; input	-	1	22144.0314598119	0.906940418147065
CUL4A	RAD23B	complex; input	-	1	22127.2772600616	0.906871809480912
RPL18A	RPL24	catalyze; catalyzed by; complex; input	<->	1	22107.3496563568	0.906790138012224
RPL23A	RPLP2	catalyze; catalyzed by; complex; input	<->	1	22076.7731206147	0.906664679613996
RPL23A	RPS14	catalyze; catalyzed by; complex; input	<->	1	22014.2280189564	0.906407509047898
RPL11	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	21965.5831582769	0.906206987334211
EFTUD2	SRRM1	complex; input	-	1	21791.1328840585	0.905484206107494
EFTUD2	PRPF4B	predicted	-	0.64	21786.1175071548	0.905463340963771
RPL10A	RPL36AL	predicted	-	0.98	21735.3566317817	0.9052518930865
RPL8	RPS5	catalyze; catalyzed by; complex; input	<->	1	21734.9508346469	0.905250200722061
DHX38	EFTUD2	complex; input	-	1	21701.2613657376	0.905109589516242
RPL11	RPL29	catalyze; catalyzed by; complex; input	<->	1	21670.1411986423	0.904979507830942
CPSF7	EFTUD2	complex; input	-	1	21668.517652005	0.904972716311817
RPL13A	RPL28	catalyze; catalyzed by; complex; input	<->	1	21648.1122780309	0.9048873144071
RPL10	RPL28	catalyze; catalyzed by; complex; input	<->	1	21634.349188659	0.904829666755441
EFTUD2	PPIH	complex	-	1	21615.0869441512	0.90474892390125
RBM8A	RPL23A	complex; input	-	1	21607.3190538009	0.904716342348356
RPL15	RPL3	catalyze; catalyzed by; complex; input	<->	1	21566.8211666906	0.904546288516647
RPL28	RPLP2	catalyze; catalyzed by; complex; input	<->	1	21549.3261461699	0.90447272674843
RPL28	RPS14	catalyze; catalyzed by; complex; input	<->	1	21488.2753400979	0.904215556182333
RPL18A	RPS4X	catalyze; catalyzed by; complex; input	<->	1	21480.8610625298	0.904184274518353
RPL11	RPL35	catalyze; catalyzed by; complex; input	<->	1	21453.8969002303	0.904070418603423
EIF3H	RPS13	complex; input	-	1	21421.1462418606	0.903931936651561
EFTUD2	PRPF19	complex; input	-	1	21387.3183692558	0.903788677375494
RPL3	RPS13	catalyze; catalyzed by; complex; input	<->	1	21377.9734888496	0.903749062349859
RPL11	RPL17	catalyze; catalyzed by; complex; input	<->	1	21315.3061169343	0.903482953141353
EIF3B	RPS13	complex; input	-	1	21248.3401001601	0.903197724175165
RPL23A	RPS8	catalyze; catalyzed by; complex; input	<->	1	21187.9626767908	0.902939786396158
EIF3D	RPS13	complex; input	-	1	21181.6623158386	0.902912828348223
NUP43	RPS27	complex; input	-	1	21134.9478912264	0.902712695702713
RPL26	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	21111.7064604013	0.902612960560671
RFC3	USP7	complex; input	-	1	21108.8970482036	0.902600897190507
MAD1L1	MIS12	complex; input	-	1	21105.5708328243	0.902586612636815
RBM8A	RPL28	complex; input	-	1	21091.0880358652	0.902524389482791
RPL15	RPS5	catalyze; catalyzed by; complex; input	<->	1	20994.8006720405	0.902109615813223
RPL27A	RPL34	catalyze; catalyzed by; complex; input	<->	1	20950.6094928034	0.901918617763406
RPL23A	RPS27L	predicted	-	0.64	20942.4801463969	0.901883438165488
RPL26	RPL29	catalyze; catalyzed by; complex; input	<->	1	20827.749331517	0.901385481057402
RPS13	RPS5	catalyze; catalyzed by; complex; input; reaction	<->	1	20810.9618335299	0.901312389646435
SRRT	SRSF4	complex; input	-	1	20791.1267943729	0.901225953462076
RPL13A	RPL8	catalyze; catalyzed by; complex; input	<->	1	20766.8208559517	0.901119921700164
RPL10	RPL8	catalyze; catalyzed by; complex; input	<->	1	20753.6180598954	0.901062274048505
EFTUD2	PPIL1	complex; input	-	1	20746.5791217394	0.901031524791922
HNRNPH1	HNRNPU	complex; input	-	1	20725.2929136753	0.900938473516947
RPS27	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	20713.0924634639	0.90088509694584
RPL28	RPS8	catalyze; catalyzed by; complex; input	<->	1	20681.7507069768	0.900747833530592
RPL8	RPLP2	catalyze; catalyzed by; complex; input	<->	1	20672.056292785	0.900705334041495
EFTUD2	SF3B3	complex; input	-	1	20641.6332194848	0.900571832337828
RPL26	RPL35	catalyze; catalyzed by; complex; input	<->	1	20619.9111822217	0.900476391829884
RPL8	RPS14	catalyze; catalyzed by; complex; input	<->	1	20613.4908559227	0.900448163475397
CSNK2A1	PPP2CA	inhibite	-|	1	20605.2775584068	0.900412039114177
RPL17	RPL26	catalyze; catalyzed by; complex; input	<->	1	20486.7078926036	0.899888926367814
RPL21	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	20470.8204711955	0.89981860337856
RPL23A	RPL6	catalyze; catalyzed by; complex; input	<->	1	20444.5711499096	0.899702295521857
RPL29	RPS27	catalyze; catalyzed by; complex; input	<->	1	20434.4967811456	0.899657617442572
RPL24	RPL27A	catalyze; catalyzed by; complex; input	<->	1	20427.2221001446	0.899625341795797
EFTUD2	POLR2G	complex; input	-	1	20403.0628196584	0.899518071553137
EFTUD2	ISY1	complex; input	-	1	20397.6134666574	0.899493858184749
RPL23A	RPS6	catalyze; catalyzed by; complex; input	<->	1	20355.9070259441	0.899308327488044
RPL24	RPL34	catalyze; catalyzed by; complex; input	<->	1	20272.3720225254	0.898935576925997
RPL4	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	20240.5357852531	0.898793112630956
RBM8A	RPL8	complex; input	-	1	20232.4729876058	0.898756996775855
RPL35	RPS27	catalyze; catalyzed by; complex; input	<->	1	20230.5828620191	0.898748528215053
CSNK2A1	SSRP1	complex; input	-	1	20201.2543707976	0.898617022705462
RPL21	RPL29	catalyze; catalyzed by; complex; input	<->	1	20195.483400845	0.898591123875291
RPL12	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	20164.6289818896	0.898452530421724
RPL31	RPS4Y1	catalyze; catalyzed by; complex; input	<->	1	20112.8729692584	0.898219573215786
RPL17	RPS27	catalyze; catalyzed by; complex; input	<->	1	20099.8946081125	0.898161062752983
RPL13A	RPL15	catalyze; catalyzed by; complex; input	<->	1	20059.6388636718	0.897979336791326
RPL23A	RPS17	catalyze; catalyzed by; complex; input	<->	1	20051.7228135748	0.897943558568778
RPL10	RPL15	catalyze; catalyzed by; complex; input	<->	1	20046.8856684323	0.897921689139667
PTBP1	SRRT	complex; input	-	1	20040.5958531957	0.897893244086754
RPL36AL	RPS23	predicted	-	0.65	20025.4743920657	0.897824822261276
RPL21	RPL35	catalyze; catalyzed by; complex; input	<->	1	19993.9545737334	0.897682034647773
RPL29	RPL4	catalyze; catalyzed by; complex; input	<->	1	19968.2960949448	0.897565633127688
RPL15	RPLP2	catalyze; catalyzed by; complex; input	<->	1	19968.1013612595	0.897564749132657
RPL28	RPL6	catalyze; catalyzed by; complex; input	<->	1	19956.1199103228	0.897510342656291
RPL15	RPS14	catalyze; catalyzed by; complex; input	<->	1	19911.5302798455	0.897307578566559
RPL12	RPL29	catalyze; catalyzed by; complex; input	<->	1	19893.4102549026	0.897225050918456
RPL13A	RPS13	catalyze; catalyzed by; complex; input	<->	1	19883.9886745013	0.897182110624538
RPL10	RPS13	catalyze; catalyzed by; complex; input	<->	1	19871.3471513199	0.897124462972879
RPL28	RPS6	catalyze; catalyzed by; complex; input	<->	1	19869.5741042687	0.897116374622479
RPL17	RPL21	catalyze; catalyzed by; complex; input	<->	1	19864.7949232305	0.897094569185703
RPL27A	RPS4X	catalyze; catalyzed by; complex; input	<->	1	19848.345760455	0.897019478301926
