source	target	Annotation	Direction	Score
CEACAM8	ITGB1	activate	->	1
CENPC	CLASP1	complex; input	-	1
CENPC	DYNLL1	complex; input	-	1
CENPC	MIS12	complex; input	-	1
CENPC	NUP43	complex; input	-	1
CENPC	NUP85	complex; input	-	1
CENPC	RBBP4	complex; input	-	1
CENPC	RCC2	complex; input	-	1
CENPC	RPS27	complex; input	-	1
CHCHD1	DAP3	complex	-	1
CHCHD1	ERAL1	complex	-	1
CHCHD1	MRPL1	catalyze; complex; input	->	1
CHCHD1	MRPL13	catalyze; complex; input	->	1
CHCHD1	MRPL14	catalyze; complex; input	->	1
CHCHD1	MRPL16	catalyze; complex; input	->	1
CHCHD1	MRPL17	catalyze; complex; input	->	1
CHCHD1	MRPL18	catalyze; complex; input	->	1
CHCHD1	MRPL19	catalyze; complex; input	->	1
CHCHD1	MRPL2	catalyze; complex; input	->	1
CHCHD1	MRPL23	catalyze; complex; input	->	1
CHCHD1	MRPL27	catalyze; complex; input	->	1
CHCHD1	MRPL30	catalyze; complex; input	->	1
CHCHD1	MRPL33	catalyze; complex; input	->	1
CHCHD1	MRPL34	catalyze; complex; input	->	1
CHCHD1	MRPL37	catalyze; complex; input	->	1
CHCHD1	MRPL38	catalyze; complex; input	->	1
CHCHD1	MRPL39	catalyze; complex; input	->	1
CHCHD1	MRPL40	catalyze; complex; input	->	1
CHCHD1	MRPL42	catalyze; complex; input	->	1
CHCHD1	MRPL43	catalyze; complex; input	->	1
CHCHD1	MRPL45	catalyze; complex; input	->	1
CHCHD1	MRPL46	catalyze; complex; input	->	1
CHCHD1	MRPL53	catalyze; complex; input	->	1
CHCHD1	MRPL55	catalyze; complex; input	->	1
CHCHD1	MRPL57	catalyze; complex; input	->	1
CHCHD1	MRPS10	complex	-	1
CHCHD1	MRPS14	complex	-	1
CHCHD1	MRPS16	complex	-	1
CHCHD1	MRPS18B	complex	-	1
CHCHD1	MRPS2	complex	-	1
CHCHD1	MRPS22	complex	-	1
CHCHD1	MRPS23	complex	-	1
CHCHD1	MRPS24	complex	-	1
CHCHD1	MRPS26	complex	-	1
CHCHD1	MRPS27	complex	-	1
CHCHD1	MRPS28	complex	-	1
CHCHD1	MRPS31	complex	-	1
CHCHD1	MRPS34	complex	-	1
CHCHD1	MRPS35	complex	-	1
CHCHD1	MRPS5	complex	-	1
CHCHD1	MRPS6	complex	-	1
CHCHD1	MRPS7	complex	-	1
CHCHD1	MRPS9	complex	-	1
CHCHD1	MTIF2	complex; input	-	1
CHCHD1	PTCD3	complex	-	1
CHCHD1	TUFM	complex; input	-	1
CHD1	KDM1A	predicted	-	0.64
CHMP1B	IST1	predicted	-	1
CHTF8	RFC4	predicted	-	0.64
CHTOP	CLP1	catalyzed by; complex; input	<-	1
CHTOP	CSTF1	complex; input	-	1
CHTOP	CSTF2	complex; input	-	1
CHTOP	CSTF3	complex; input	-	1
CHTOP	DDX39A	complex; input	-	1
CHTOP	DDX39B	complex; input	-	1
CHTOP	FIP1L1	complex; input	-	1
CHTOP	NDC1	activated by; input	<-	1
CHTOP	NUDT21	catalyzed by; complex; input	<-	1
CHTOP	NUP188	activated by; input	<-	1
CHTOP	NUP214	activated by; input	<-	1
CHTOP	NUP43	activated by; input	<-	1
CHTOP	NUP85	activated by; input	<-	1
CHTOP	NXF1	catalyze; complex; input	->	1
CHTOP	PRMT1	predicted	-	0.99
CHTOP	RAE1	activated by; input	<-	1
CHTOP	SARNP	complex; input	-	1
CHTOP	SRSF1	complex; input	-	1
CHTOP	SRSF11	complex; input	-	1
CHTOP	SRSF3	complex; input	-	1
CHTOP	SRSF4	complex; input	-	1
CHTOP	SRSF6	complex; input	-	1
CHTOP	SUZ12	predicted	-	0.64
CHTOP	THOC6	complex; input	-	1
CHTOP	UPF3B	complex; input	-	1
CLASP1	DYNLL1	complex; input	-	1
CLASP1	HAUS5	complex	-	1
CLASP1	HSP90AA1	complex	-	1
CLASP1	HTT	predicted	-	0.64
CLASP1	MIS12	complex; input	-	1
CLASP1	NME7	complex; input	-	1
CLASP1	NUP43	complex; input	-	1
CLASP1	NUP85	complex; input	-	1
CLASP1	RCC2	complex; input	-	1
CLASP1	RPS27	complex; input	-	1
CLASP1	TUBA4A	complex	-	1
CLP1	CSTF1	catalyze; complex; input	->	1
CLP1	CSTF2	catalyze; complex; input	->	1
CLP1	CSTF3	catalyze; complex; input	->	1
CLP1	DDX39A	catalyze; complex; input	->	1
CLP1	DDX39B	catalyze; complex; input	->	1
CLP1	FIP1L1	catalyze; complex; input	->	1
CLP1	FUS	complex; input	-	1
CLP1	GPKOW	complex; input	-	1
CLP1	GTF2F2	complex; input	-	1
CLP1	HNRNPD	complex; input	-	1
CLP1	HNRNPH1	complex; input	-	1
CLP1	HNRNPL	complex; input	-	1
CLP1	HNRNPM	complex; input	-	1
CLP1	HNRNPU	complex; input	-	1
CLP1	NUDT21	catalyze; catalyzed by; complex; input	<->	1
CLP1	POLR2G	complex; input	-	1
CLP1	PPWD1	complex; input	-	1
CLP1	PQBP1	complex; input	-	1
CLP1	PRCC	complex; input	-	1
CLP1	PRPF4	input	-	1
CLP1	SARNP	catalyze; complex; input	->	1
CLP1	SART1	input	-	1
CLP1	SMNDC1	complex; input	-	1
CLP1	SNRNP40	complex; input	-	1
CLP1	SNRPE	complex; input	-	1
CLP1	SNW1	complex; input	-	1
CLP1	SRSF1	catalyze; complex; input	->	1
CLP1	SRSF11	catalyze; complex; input	->	1
CLP1	SRSF3	catalyze; complex; input	->	1
CLP1	SRSF4	catalyze; complex; input	->	1
CLP1	SRSF6	catalyze; complex; input	->	1
CLP1	SUGP1	complex; input	-	1
CLP1	SYF2	complex; input	-	1
CLP1	THOC6	catalyze; complex; input	->	1
CLP1	U2SURP	complex; input	-	1
CLP1	UPF3B	catalyze; complex; input	->	1
CLPP	CLPX	predicted	-	0.99
CLPP	TRAP1	predicted	-	0.58
CLPP	TUFM	predicted	-	0.59
CLTB	HTT	complex; input	-	1
CLTB	NCF2	reaction	-	1
CLUH	HSP90AA1	predicted	-	0.66
CLUH	TRAP1	predicted	-	0.66
CNOT3	CNOT6L	complex	-	1
CNOT3	EIF4A1	catalyze	->	1
CNOT6L	EIF4A1	catalyze	->	1
COG1	DYNLL1	input	-	1
COG1	RAB1B	complex; input	-	1
COG1	STX5	complex; input	-	1
COG1	YKT6	complex; input	-	1
COL2A1	ITGAM	complex; input	-	1
COL2A1	ITGB1	PPrel: activation; complex; input	->	1
COL2A1	ITGB2	complex; input	-	1
CORO1A	ITGB2	predicted	-	0.98
CORO1A	MMP9	predicted	-	0.65
CORO1A	NCF1	predicted	-	0.64
CORO1C	RCC2	predicted	-	0.64
COX20	COX4I1	activate	->	1
COX20	COX7C	activate	->	1
COX4I1	COX7C	complex	-	1
COX4I1	UQCRC2	predicted	-	0.58
CPSF6	NUDT21	PCrel: binding/association; predicted	-	1
CPSF6	SFPQ	predicted	-	0.92
CPSF6	SRSF1	predicted	-	0.92
CPSF6	TCERG1	predicted	-	0.58
CRCP	GTF3C2	complex; input	-	1
CRCP	GTF3C3	complex; input	-	1
CRCP	GTF3C5	complex; input	-	1
CRCP	POLR1C	complex	-	1
CRK	HSP90AA1	complex; input	-	1
CRK	ITGAM	PPrel: activated by	<-	1
CRK	ITGB1	PPrel: activated by	<-	1
CRK	ITGB2	PPrel: activated by	<-	1
CRK	PRKCB	activated by	<-	1
CSNK2A1	CSNK2B	complex; predicted	-	1
CSNK2A1	DCAF7	predicted	-	0.58
CSNK2A1	DDX17	predicted	-	0.73
CSNK2A1	DDX41	predicted	-	0.64
CSNK2A1	DDX54	predicted	-	0.73
CSNK2A1	DEK	predicted	-	0.99
CSNK2A1	H2AFX	predicted	-	0.73
CSNK2A1	HSP90AA1	predicted	-	0.73
CSNK2A1	LEO1	predicted	-	0.99
CSNK2A1	MCM2	predicted	-	0.64
CSNK2A1	NOP2	predicted	-	0.97
CSNK2A1	PAF1	predicted	-	0.64
CSNK2A1	PRKDC	predicted	-	0.98
CSNK2A1	RBBP4	predicted	-	0.98
CSNK2A1	RNF2	complex	-	1
CSNK2A1	SFPQ	predicted	-	1
CSNK2A1	SSRP1	complex; input	-	1
CSNK2A1	SUPT16H	complex; input	-	1
CSNK2A1	SUPT5H	predicted	-	0.73
CSNK2A1	SUPT6H	predicted	-	0.73
CSNK2B	DEK	predicted	-	0.98
CSNK2B	RNF2	complex	-	1
CSNK2B	SMAD9	activate	->	1
CSNK2B	SSRP1	complex; input	-	1
CSNK2B	SUPT16H	complex; input	-	1
CSNK2B	SUPT5H	predicted	-	0.99
CSNK2B	WDR12	predicted	-	0.78
CSTF1	CSTF2	complex	-	1
CSTF1	CSTF3	complex	-	1
CSTF1	DDX39A	complex; input	-	1
CSTF1	DDX39B	complex; input	-	1
CSTF1	FIP1L1	complex; input	-	1
CSTF1	FUS	complex; input	-	1
CSTF1	GPKOW	complex; input	-	1
CSTF1	GTF2F2	complex; input	-	1
CSTF1	HNRNPD	complex; input	-	1
CSTF1	HNRNPH1	complex; input	-	1
CSTF1	HNRNPL	complex; input	-	1
CSTF1	HNRNPM	complex; input	-	1
CSTF1	HNRNPU	complex; input	-	1
CSTF1	NUDT21	catalyzed by; complex; input	<-	1
CSTF1	POLR2G	complex; input	-	1
CSTF1	PPWD1	complex; input	-	1
CSTF1	PQBP1	complex; input	-	1
CSTF1	PRCC	complex; input	-	1
CSTF1	PRPF4	input	-	1
CSTF1	SARNP	complex; input	-	1
CSTF1	SART1	input	-	1
CSTF1	SMNDC1	complex; input	-	1
CSTF1	SNRNP40	complex; input	-	1
CSTF1	SNRPE	complex; input	-	1
CSTF1	SNW1	complex; input	-	1
CSTF1	SRSF1	complex; input	-	1
CSTF1	SRSF11	complex; input	-	1
CSTF1	SRSF3	complex; input	-	1
CSTF1	SRSF4	complex; input	-	1
CSTF1	SRSF6	complex; input	-	1
CSTF1	SUGP1	complex; input	-	1
CSTF1	SYF2	complex; input	-	1
CSTF1	THOC6	complex; input	-	1
CSTF1	U2SURP	complex; input	-	1
CSTF1	UPF3B	complex; input	-	1
CSTF2	CSTF3	complex	-	1
CSTF2	DDX39A	complex; input	-	1
CSTF2	DDX39B	complex; input	-	1
CSTF2	FIP1L1	complex; input	-	1
CSTF2	FUS	complex; input	-	1
CSTF2	GPKOW	complex; input	-	1
CSTF2	GTF2F2	complex; input	-	1
CSTF2	HNRNPD	complex; input	-	1
CSTF2	HNRNPH1	complex; input	-	1
CSTF2	HNRNPL	complex; input	-	1
CSTF2	HNRNPM	complex; input	-	1
CSTF2	HNRNPU	complex; input	-	1
CSTF2	NUDT21	catalyzed by; complex; input	<-	1
CSTF2	POLR2G	complex; input	-	1
CSTF2	PPWD1	complex; input	-	1
CSTF2	PQBP1	complex; input	-	1
CSTF2	PRCC	complex; input	-	1
CSTF2	PRPF4	input	-	1
CSTF2	SARNP	complex; input	-	1
CSTF2	SART1	input	-	1
CSTF2	SMNDC1	complex; input	-	1
CSTF2	SNRNP40	complex; input	-	1
CSTF2	SNRPE	complex; input	-	1
CSTF2	SNW1	complex; input	-	1
CSTF2	SRSF1	complex; input	-	1
CSTF2	SRSF11	complex; input	-	1
CSTF2	SRSF3	complex; input	-	1
CSTF2	SRSF4	complex; input	-	1
CSTF2	SRSF6	complex; input	-	1
CSTF2	SUGP1	complex; input	-	1
CSTF2	SYF2	complex; input	-	1
CSTF2	THOC6	complex; input	-	1
CSTF2	U2SURP	complex; input	-	1
CSTF2	UPF3B	complex; input	-	1
CSTF3	DDX39A	complex; input	-	1
CSTF3	DDX39B	complex; input	-	1
CSTF3	FIP1L1	complex; input	-	1
CSTF3	FUS	complex; input	-	1
CSTF3	GPKOW	complex; input	-	1
CSTF3	GTF2F2	complex; input	-	1
CSTF3	HNRNPD	complex; input	-	1
CSTF3	HNRNPH1	complex; input	-	1
CSTF3	HNRNPL	complex; input	-	1
CSTF3	HNRNPM	complex; input	-	1
CSTF3	HNRNPU	complex; input	-	1
CSTF3	NUDT21	catalyzed by; complex; input	<-	1
CSTF3	POLR2G	complex; input	-	1
CSTF3	PPWD1	complex; input	-	1
CSTF3	PQBP1	complex; input	-	1
CSTF3	PRCC	complex; input	-	1
CSTF3	PRPF4	input	-	1
CSTF3	SARNP	complex; input	-	1
CSTF3	SART1	input	-	1
CSTF3	SMNDC1	complex; input	-	1
CSTF3	SNRNP40	complex; input	-	1
CSTF3	SNRPE	complex; input	-	1
CSTF3	SNW1	complex; input	-	1
CSTF3	SRSF1	complex; input	-	1
CSTF3	SRSF11	complex; input	-	1
CSTF3	SRSF3	complex; input	-	1
CSTF3	SRSF4	complex; input	-	1
CSTF3	SRSF6	complex; input	-	1
CSTF3	SUGP1	complex; input	-	1
CSTF3	SYF2	complex; input	-	1
CSTF3	THOC6	complex; input	-	1
CSTF3	U2SURP	complex; input	-	1
CSTF3	UPF3B	complex; input	-	1
CTSG	ELANE	predicted	-	0.92
CTSG	PRTN3	predicted	-	0.92
CTSG	SERPINB10	PPrel: inhibited by	|-	1
CTSZ	STX5	input	-	1
CUL4A	DCAF13	complex	-	1
CUL4A	DCAF16	complex	-	1
CUL4A	DCAF7	complex	-	1
CUL4A	PARP1	complex; input	-	1
CUL4A	POLD2	complex; input	-	1
CUL4A	POLR2G	complex; input	-	1
CUL4A	RFC2	complex; input	-	1
CUL4A	RFC4	complex; input	-	1
CUL4A	RPA1	complex; input	-	1
CUL4A	RPA3	complex; input	-	1
CYBB	EVI2B	predicted	-	0.59
CYBB	IQGAP1	predicted	-	0.64
CYBB	MMP9	ECrel: activation	->	1
CYBB	NCF1	PPrel: dissociation; complex; input; reaction	-	1
CYBB	NCF2	PPrel: dissociation; complex; input; reaction	-	1
CYBB	PRKCB	PPrel: activated, indirect effect	<-	1
CYBB	S100A8	complex; input; reaction	-	1
CYBB	S100A9	complex; input; reaction	-	1
DAP3	ERAL1	complex	-	1
DAP3	MRPL1	catalyze; complex; input	->	1
DAP3	MRPL13	catalyze; complex; input	->	1
DAP3	MRPL14	catalyze; complex; input	->	1
DAP3	MRPL16	catalyze; complex; input	->	1
DAP3	MRPL17	catalyze; complex; input	->	1
DAP3	MRPL18	catalyze; complex; input	->	1
DAP3	MRPL19	catalyze; complex; input	->	1
DAP3	MRPL2	catalyze; complex; input	->	1
DAP3	MRPL23	catalyze; complex; input	->	1
DAP3	MRPL27	catalyze; complex; input	->	1
