source	target	Annotation	Direction	Score
ACTC1	MMP8	catalyzed by	<-	1
ACTC1	MMP9	catalyzed by	<-	1
ACTG1	BRD7	complex	-	1
ACTG1	CDC42	PPrel: activated by; PPrel: activated, indirect effect; PPrel: binding/association; activated by; complex; input	<-	1
ACTG1	IQGAP1	PPrel: activated by; PPrel: binding/association	<-	1
ACTG1	ITGAM	complex; input	-	1
ACTG1	ITGB2	complex; input	-	1
ACTG1	MMP8	catalyzed by	<-	1
ACTG1	MMP9	catalyzed by	<-	1
ACTG1	TMSB4X	PPrel: binding/association	-	1
ACTG2	CDC42	activated by	<-	1
ACTG2	MMP8	catalyzed by	<-	1
ACTG2	MMP9	catalyzed by	<-	1
ACTL6A	BRD7	complex	-	1
ACTL6B	BRD7	complex	-	1
ACTN1	ITGAM	complex; input	-	1
ACTN1	ITGB2	complex; input	-	1
ACTN1	NOLC1	input	-	1
ACTN2	ITGAM	complex; input	-	1
ACTN2	ITGB2	complex; input	-	1
ACTN3	ITGAM	complex; input	-	1
ACTN3	ITGB2	complex; input	-	1
ACTN3	NOLC1	input	-	1
ACTN4	ITGAM	complex; input	-	1
ACTN4	ITGB2	complex; input	-	1
ACTR10	ACTR1A	complex; input	-	1
ACTR10	ACTR1B	input	-	1
ACTR10	ANK1	complex; input	-	1
ACTR10	ANK2	complex; input	-	1
ACTR10	ANK3	complex; input	-	1
ACTR10	AR	activate	->	1
ACTR10	ARCN1	complex; input	-	1
ACTR10	BET1	complex; input	-	1
ACTR10	BICD1	complex; input	-	1
ACTR10	CAPZA1	complex; input	-	1
ACTR10	CAPZA2	complex; input	-	1
ACTR10	CAPZA3	complex; input	-	1
ACTR10	CAPZB	complex; input	-	1
ACTR10	CD55	complex; input	-	1
ACTR10	CD59	complex; input	-	1
ACTR10	CENPE	complex; input	-	1
ACTR10	COG1	input	-	1
ACTR10	COG2	input	-	1
ACTR10	COG3	input	-	1
ACTR10	COG4	input	-	1
ACTR10	COG5	input	-	1
ACTR10	COG6	input	-	1
ACTR10	COG7	input	-	1
ACTR10	COG8	input	-	1
ACTR10	COPA	complex; input	-	1
ACTR10	COPB1	complex; input	-	1
ACTR10	COPB2	complex; input	-	1
ACTR10	COPE	complex; input	-	1
ACTR10	COPG1	complex; input	-	1
ACTR10	COPG2	complex; input	-	1
ACTR10	COPZ1	complex; input	-	1
ACTR10	COPZ2	complex; input	-	1
ACTR10	DCTN1	complex; input	-	1
ACTR10	DCTN2	complex; input; predicted	-	1
ACTR10	DCTN3	complex; input	-	1
ACTR10	DCTN4	complex; input	-	1
ACTR10	DCTN5	complex; input	-	1
ACTR10	DCTN6	complex; input	-	1
ACTR10	DYNC1H1	complex; input	-	1
ACTR10	DYNC1I1	complex; input	-	1
ACTR10	DYNC1I2	complex; input	-	1
ACTR10	DYNC1LI1	complex; input	-	1
ACTR10	DYNC1LI2	complex; input	-	1
ACTR10	DYNLL1	complex; input	-	1
ACTR10	DYNLL2	complex; input	-	1
ACTR10	FKBP4	activate	->	1
ACTR10	FOLR1	complex; input	-	1
ACTR10	GALNT1	complex; input	-	1
ACTR10	GALNT2	complex; input	-	1
ACTR10	GOLGA2	input	-	1
ACTR10	GOLGB1	input	-	1
ACTR10	GORASP1	input	-	1
ACTR10	HLA-DPA1	input	-	1
ACTR10	HLA-DPB1	input	-	1
ACTR10	HLA-DQA1	input	-	1
ACTR10	HLA-DQA2	input	-	1
ACTR10	HLA-DQB1	input	-	1
ACTR10	HLA-DQB2	input	-	1
ACTR10	HLA-DRA	input	-	1
ACTR10	HLA-DRB1	input	-	1
ACTR10	HLA-DRB3	input	-	1
ACTR10	HLA-DRB4	input	-	1
ACTR10	HLA-DRB5	input	-	1
ACTR10	HSP90AA1	activate	->	1
ACTR10	HSP90AB1	activate	->	1
ACTR10	INS	complex; input	-	1
ACTR10	KDELR1	complex; input	-	1
ACTR10	KIF11	complex; input	-	1
ACTR10	KIF15	complex; input	-	1
ACTR10	KIF18A	complex; input	-	1
ACTR10	KIF22	complex; input	-	1
ACTR10	KIF23	complex; input	-	1
ACTR10	KIF26A	complex; input	-	1
ACTR10	KIF2A	complex; input	-	1
ACTR10	KIF2B	complex; input	-	1
ACTR10	KIF2C	complex; input	-	1
ACTR10	KIF3A	complex; input	-	1
ACTR10	KIF3B	complex; input	-	1
ACTR10	KIF3C	complex; input	-	1
ACTR10	KIF4A	complex; input	-	1
ACTR10	KIF4B	complex; input	-	1
ACTR10	KIF5A	complex; input	-	1
ACTR10	KIFAP3	complex; input	-	1
ACTR10	KLC1	complex; input	-	1
ACTR10	KLC2	complex; input	-	1
ACTR10	NR3C1	activate	->	1
ACTR10	NR3C2	activate	->	1
ACTR10	OSBPL1A	input	-	1
ACTR10	PAFAH1B1	complex	-	1
ACTR10	PGR	activate	->	1
ACTR10	PTGES3	activate	->	1
ACTR10	RAB18	activated by	<-	1
ACTR10	RAB1B	complex; input	-	1
ACTR10	RAB3GAP1	activated by	<-	1
ACTR10	RAB3GAP2	activated by	<-	1
ACTR10	RAB6A	complex; input	-	1
ACTR10	RAB7A	input	-	1
ACTR10	RACGAP1	complex; input	-	1
ACTR10	RILP	input	-	1
ACTR10	SPTA1	complex; input	-	1
ACTR10	SPTAN1	complex; input	-	1
ACTR10	SPTB	complex; input	-	1
ACTR10	SPTBN1	complex; input	-	1
ACTR10	SPTBN2	complex; input	-	1
ACTR10	SPTBN4	complex; input	-	1
ACTR10	SPTBN5	complex; input	-	1
ACTR10	TMED10	complex; input	-	1
ACTR10	TMED2	complex; input	-	1
ACTR10	TMED3	complex; input	-	1
ACTR10	TMED7	complex; input	-	1
ACTR10	TMED9	complex; input	-	1
ACTR10	TMEM115	input	-	1
ACTR10	USO1	complex; input	-	1
ACTR10	YKT6	complex; input	-	1
ACTR1A	NME7	complex; input	-	1
ACTR2	CDC42	activated by; complex; input	<-	1
ACTR2	EFHD2	predicted	-	0.78
ACTR2	MMP8	catalyzed by	<-	1
ACTR2	MMP9	catalyzed by	<-	1
ACTR3	CDC42	complex; input	-	1
ACVR1	NCF2	PPrel: activation, indirect effect	->	1
ACVR1B	CSNK2B	predicted	-	0.92
ACVR2A	NCF2	PPrel: activation, indirect effect	->	1
ACVR2B	NCF2	PPrel: activation, indirect effect	->	1
ACVRL1	CSNK2B	complex	-	1
ADA2	ITGB2	predicted	-	0.59
ADAM21	MIPEP	predicted	-	0.65
ADAP1	ARF6	activate; inhibit	-	1
ADCY1	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
ADCY10	GNG2	PPrel: activated by; PPrel: inhibited by	-	1
ADCY2	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; catalyzed by; inhibited by	-	1
ADCY3	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
ADCY4	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
ADCY5	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
ADCY6	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
ADCY7	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by; catalyzed by; inhibited by	-	1
ADCY8	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
ADCY9	GNG2	PCrel: inhibited by; PPrel; PPrel: activated by; PPrel: inhibited by	-	1
ADCYAP1	GNG2	complex	-	1
ADCYAP1R1	GNAQ	PPrel: activation	->	1
ADCYAP1R1	GNG2	PPrel: activation; complex	->	1
ADIPOR1	CSNK2B	predicted	-	0.64
ADM	GNG2	complex	-	1
ADM2	GNG2	complex	-	1
ADORA1	GNG2	complex; input	-	1
ADORA2A	GNAQ	PPrel: activation	->	1
ADORA2A	GNG2	complex; input	-	1
ADORA2B	GNAQ	PPrel: activation	->	1
ADORA2B	GNG2	complex; input	-	1
ADORA3	GNG2	complex; input	-	1
ADRA1A	GNAQ	PPrel: activation; complex; input	->	1
ADRA1A	GNG2	complex; input	-	1
ADRA1B	GNAQ	PPrel: activation; complex; input	->	1
ADRA1B	GNG2	complex; input	-	1
ADRA1D	GNAQ	PPrel: activation; complex; input	->	1
ADRA1D	GNG2	complex; input	-	1
ADRA2A	GNAQ	PPrel: activation	->	1
ADRA2A	GNG2	complex; input	-	1
ADRA2B	GNAQ	PPrel: activation	->	1
ADRA2B	GNG2	complex; input	-	1
ADRA2C	GNAQ	PPrel: activation	->	1
ADRA2C	GNG2	complex; input	-	1
ADRB1	GNG2	complex; input	-	1
ADRB2	ARF6	activate	->	1
ADRB2	GNG2	complex; input	-	1
ADRB3	GNG2	complex; input	-	1
AFG3L2	PMPCA	catalyzed by	<-	1
AGER	CYBB	PPrel: activation	->	1
AGER	ITGAM	complex; input	-	1
AGER	ITGB2	complex; input	-	1
AGER	S100A12	complex; input	-	1
AGER	S100A9	predicted	-	0.64
AGK	MAP2K1	complex; input	-	1
AGO2	NDC1	catalyzed by	<-	1
AGPAT5	TP53	predicted	-	0.56
AGRN	CDC42	activate	->	1
AGT	CTSG	catalyzed by	<-	1
AGT	GNAQ	complex; input	-	1
AGT	GNG2	complex; input	-	1
AGTR1	ARF6	activate	->	1
AGTR1	GNAQ	PPrel: activation; complex; input	->	1
AGTR1	GNG2	complex; input	-	1
AGTR2	GNAQ	PPrel: activation	->	1
AGTR2	GNG2	complex; input	-	1
AHCTF1	CDC42	complex; input; reaction	-	1
AIF1	PLS3	predicted	-	0.54
AIF1L	PLS3	predicted	-	0.54
AIM2	RALB	predicted	-	0.54
AIMP1	GBP1	predicted	-	0.64
AIMP1	IQGAP1	predicted	-	0.64
AIMP1	TRAP1	predicted	-	0.73
AIRE	S100A9	predicted	-	0.64
AKAP13	CDC42	catalyze	->	1
AKAP5	IQGAP1	complex	-	1
AKAP9	MAP2K1	complex; input	-	1
AKAP9	NME7	complex; input	-	1
AKAP9	PSTPIP1	predicted	-	0.64
AKT1	IQGAP1	predicted	-	0.64
AKT1	PEA15	predicted	-	0.98
AKT1	RUNX2	catalyze	->	1
ALB	KRT1	predicted	-	0.64
ALDH3A2	STX5	catalyze; catalyzed by; input	<->	1
ALG9	MPDU1	activated by	<-	1
ALMS1	NME7	complex; input	-	1
ALOX5	ALOX5AP	complex	-	1
ALOX5	APEX1	predicted	-	0.64
ALOX5	EGR1	expression regulated by	<-	1
ALOX5	FGR	predicted	-	0.58
ALOX5	HSD17B1	predicted	-	0.64
ALOX5	LTC4S	complex	-	1
ALOX5	MAPKAPK2	catalyzed by	<-	1
ALOX5	SP1	expression regulated by	<-	1
ALOX5AP	CEBPA	expression regulated by	<-	1
ALOX5AP	CEBPD	expression regulated by	<-	1
ALOX5AP	CEBPE	expression regulated by	<-	1
ALOX5AP	CORO1A	predicted	-	0.59
ALOX5AP	DOCK2	predicted	-	0.59
ALOX5AP	GMFG	predicted	-	0.65
ALOX5AP	ITGB2	predicted	-	0.59
ALOX5AP	LAPTM5	predicted	-	0.59
ALOX5AP	LCP2	predicted	-	0.59
ALOX5AP	LTC4S	complex	-	1
ALOX5AP	MEF2A	expression regulated by	<-	1
ALOX5AP	MEF2C	expression regulated by	<-	1
ALOX5AP	RAC2	predicted	-	0.59
ALOX5AP	SRGN	predicted	-	0.59
ALYREF	CHTOP	complex; input	-	1
ALYREF	CLP1	catalyzed by; complex; input	<-	1
ALYREF	GLE1	activated by	<-	1
ALYREF	NDC1	activated by; catalyzed by; complex; input	<-	1
ALYREF	PQBP1	complex; input	-	1
ALYREF	SARNP	complex; input	-	1
ALYREF	SMNDC1	complex; input	-	1
ALYREF	SNRNP40	complex; input	-	1
ANAPC1	ANAPC2	PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC10	ANAPC2	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC11	ANAPC2	PPrel: activation, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC13	ANAPC2	PPrel: activation, indirect effect; complex	->	1
ANAPC15	ANAPC2	catalyze; catalyzed by; complex; input	<->	1
ANAPC16	ANAPC2	catalyze; catalyzed by; complex; input	<->	1
ANAPC2	ANAPC4	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	ANAPC5	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	ANAPC7	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	AURKA	complex; input	-	1
ANAPC2	AURKB	complex; input	-	1
ANAPC2	BUB1B	PPrel: inhibited by; catalyze; catalyzed by; complex; input	->	1
ANAPC2	BUB3	PPrel: inhibited by; catalyze; catalyzed by; complex; input	->	1
ANAPC2	CCNB1	PPrel: inhibition, ubiquitination; catalyze; catalyzed by; complex; input	<-	1
ANAPC2	CCNB2	PPrel: inhibition, ubiquitination	-|	1
ANAPC2	CCNB3	PPrel: inhibition, ubiquitination	-|	1
ANAPC2	CCNE1	PPrel: inhibited by, phosphorylated by	|-	1
ANAPC2	CCNE2	PPrel: inhibited by, phosphorylated by	|-	1
ANAPC2	CDC14A	PPrel: activated by, dephosphorylation	<-	1
ANAPC2	CDC14B	PPrel: activated by, dephosphorylation	<-	1
ANAPC2	CDC16	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	CDC20	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	CDC20B	predicted	-	0.7
ANAPC2	CDC23	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	CDC26	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	CDC27	PPrel: activated, indirect effect; catalyze; catalyzed by; complex; input	<->	1
ANAPC2	CDC6	catalyze	->	1
ANAPC2	CDK1	PPrel: inhibition, ubiquitination; catalyze; catalyzed by; complex; input	<-	1
ANAPC2	CDK2	PPrel: inhibited by, phosphorylated by; catalyze; catalyzed by; complex; inhibited by; input	->	1
ANAPC2	CDKN1A	inhibited by	|-	1
ANAPC2	CDKN1B	inhibited by	|-	1
ANAPC2	CEBPB	reaction	-	1
ANAPC2	DKFZP762H177	PPrel: activation, indirect effect	->	1
ANAPC2	EHMT1	activate; complex; inhibited by; input	|->	1
ANAPC2	EHMT2	activate; complex; inhibited by; input	|->	1
ANAPC2	FBXO5	predicted	-	0.64
ANAPC2	FZR1	PPrel: activation, indirect effect; PPrel: indirect effect; complex; input; predicted	->	1
ANAPC2	IST1	predicted	-	0.64
ANAPC2	MAD1L1	PPrel: inhibited by, phosphorylated by	|-	1
ANAPC2	MAD2L1	PPrel: inhibited by; PPrel: inhibited by, phosphorylated by; catalyze; catalyzed by; complex; input	->	1
ANAPC2	MAD2L2	PPrel: inhibited by; PPrel: inhibited by, phosphorylated by	|-	1
ANAPC2	NEK2	complex; input	-	1
ANAPC2	NFKB1	reaction	-	1
ANAPC2	NR3C1	expression regulated by	<-	1
ANAPC2	PLK1	catalyzed by; complex; input	<-	1
ANAPC2	PPP3CA	PPrel: activated by, dephosphorylation	<-	1
ANAPC2	PPP3CB	PPrel: activated by, dephosphorylation	<-	1
ANAPC2	PPP3CC	PPrel: activated by, dephosphorylation	<-	1
ANAPC2	PPP3R1	PPrel: activated by, dephosphorylation	<-	1
ANAPC2	PPP3R2	PPrel: activated by, dephosphorylation	<-	1
ANAPC2	PSMA1	catalyzed by	<-	1
ANAPC2	PSMA2	catalyzed by	<-	1
ANAPC2	PSMA3	catalyzed by	<-	1
ANAPC2	PSMA4	catalyzed by	<-	1
ANAPC2	PSMA5	catalyzed by	<-	1
ANAPC2	PSMA6	catalyzed by	<-	1
ANAPC2	PSMA7	catalyzed by	<-	1
ANAPC2	PSMA8	catalyzed by	<-	1
ANAPC2	PSMB1	catalyzed by	<-	1
ANAPC2	PSMB10	catalyzed by	<-	1
ANAPC2	PSMB11	catalyzed by	<-	1
ANAPC2	PSMB2	catalyzed by	<-	1
ANAPC2	PSMB3	catalyzed by	<-	1
ANAPC2	PSMB4	catalyzed by	<-	1
ANAPC2	PSMB5	catalyzed by	<-	1
ANAPC2	PSMB6	catalyzed by	<-	1
ANAPC2	PSMB7	catalyzed by	<-	1
ANAPC2	PSMB8	catalyzed by	<-	1
ANAPC2	PSMB9	catalyzed by	<-	1
ANAPC2	PSMC1	catalyzed by	<-	1
ANAPC2	PSMC2	catalyzed by	<-	1
ANAPC2	PSMC3	catalyzed by	<-	1
ANAPC2	PSMC4	catalyzed by	<-	1
ANAPC2	PSMC5	catalyzed by	<-	1
ANAPC2	PSMC6	catalyzed by	<-	1
ANAPC2	PSMD1	catalyzed by	<-	1
ANAPC2	PSMD10	catalyzed by	<-	1
ANAPC2	PSMD11	catalyzed by	<-	1
ANAPC2	PSMD12	catalyzed by	<-	1
ANAPC2	PSMD13	catalyzed by	<-	1
ANAPC2	PSMD14	catalyzed by	<-	1
ANAPC2	PSMD2	catalyzed by	<-	1
ANAPC2	PSMD3	catalyzed by	<-	1
ANAPC2	PSMD4	catalyzed by	<-	1
ANAPC2	PSMD5	catalyzed by	<-	1
ANAPC2	PSMD6	catalyzed by	<-	1
ANAPC2	PSMD7	catalyzed by	<-	1
ANAPC2	PSMD8	catalyzed by	<-	1
ANAPC2	PSMD9	catalyzed by	<-	1
ANAPC2	PSME1	catalyzed by	<-	1
ANAPC2	PSME2	catalyzed by	<-	1
ANAPC2	PSME3	catalyzed by	<-	1
ANAPC2	PSME4	catalyzed by	<-	1
ANAPC2	PSMF1	catalyzed by	<-	1
ANAPC2	PTTG1	PPrel: inhibition, ubiquitination; catalyze; complex; input	-	1
ANAPC2	PTTG2	PPrel: inhibition, ubiquitination	-|	1
ANAPC2	RAD21	expression regulated by	<-	1
ANAPC2	RB1	predicted	-	0.64
ANAPC2	RELA	reaction	-	1
ANAPC2	RPS27A	catalyze; complex; input	->	1
ANAPC2	SEM1	catalyzed by	<-	1
ANAPC2	SKP2	complex	-	1
ANAPC2	SRF	expression regulated by	<-	1
ANAPC2	UBA52	catalyze; complex; input	->	1
ANAPC2	UBB	catalyze; complex; input	->	1
ANAPC2	UBC	catalyze; complex; input	->	1
ANAPC2	UBE2C	catalyze; catalyzed by; complex; input	<->	1
ANAPC2	UBE2D1	catalyze; catalyzed by; complex; input	<->	1
ANAPC2	UBE2E1	catalyze; catalyzed by; complex; input	<->	1
ANAPC2	UBE2S	predicted	-	0.64
ANAPC2	VENTX	activate; inhibited by	|->	1
ANGPT1	CRK	activate	->	1
ANGPT2	CSNK2B	predicted	-	0.64
ANK1	STX5	complex; input	-	1
ANK2	STX5	complex; input	-	1
ANK3	STX5	complex; input	-	1
ANO10	CLCA1	activated by	<-	1
ANO10	CLCA2	activated by	<-	1
ANO10	CLCA3P	activated by	<-	1
ANO10	CLCA4	activated by	<-	1
ANP32A	GZMA	activated by	<-	1
ANXA1	ANXA5	predicted	-	1
ANXA1	GNAQ	complex; input	-	1
ANXA1	GNG2	complex; input	-	1
ANXA1	IQGAP1	predicted	-	0.65
ANXA1	S100A11	predicted	-	0.64
ANXA2	ANXA5	predicted	-	0.92
ANXA2	IQGAP1	predicted	-	0.58
ANXA2	S100A6	predicted	-	0.98
ANXA3	ATF2	predicted	-	0.64
ANXA3	EP300	expression regulated by	<-	1
ANXA3	GATA2	expression regulated by	<-	1
ANXA3	ISG15	predicted	-	0.64
ANXA5	BAG3	predicted	-	0.64
ANXA5	EED	predicted	-	0.77
ANXA5	FBN1	predicted	-	0.64
ANXA5	GPI	predicted	-	0.64
ANXA5	IQGAP1	predicted	-	0.64
ANXA5	KCNMA1	predicted	-	0.54
ANXA5	NTRK1	predicted	-	0.64
ANXA5	PA2G4	predicted	-	0.64
ANXA5	PDCD6	predicted	-	0.64
ANXA5	TERF1	predicted	-	0.64
ANXA7	GCA	predicted	-	0.54
AP1G1	ARF6	predicted	-	0.98
AP2A1	ARF6	activated by	<-	1
AP2A1	DPYSL2	complex	-	1
AP2A2	ARF6	activated by	<-	1
AP2A2	DPYSL2	complex	-	1
AP2B1	ARF6	activated by	<-	1
AP2M1	ARF6	activated by	<-	1
AP2M1	CSNK2B	predicted	-	0.64
AP2M1	PSAP	predicted	-	0.65
AP2S1	ARF6	activated by	<-	1
AP3B1	ARF6	predicted	-	0.98
AP3D1	ARF6	predicted	-	0.98
AP3D1	STX5	predicted	-	0.97
AP3S2	ARF6	predicted	-	0.64
APBB1IP	CRK	complex; input	-	1
APC	CDC42	activate	->	1
APC	CSNK2B	inhibited by	|-	1
APC	IQGAP1	predicted	-	0.64
APC	MAP2K1	predicted	-	0.64
APC2	CRK	predicted	-	0.96
APC2	CSNK2B	inhibited by	|-	1
APE1	GZMA	activated by	<-	1
APEX1	MPG	input	-	1
APLN	GNG2	complex; input	-	1
APLNR	GNAQ	PPrel: binding/association	-	1
APLNR	GNG2	PPrel: binding/association; complex; input	-	1
APMAP	LOXL3	predicted	-	0.77
APOA1	KRT1	predicted	-	0.64
APOB	APOBR	complex; input	-	1
APOB	ITGAM	complex; input	-	1
APOB	ITGB2	complex; input	-	1
APOBR	APOC1	complex; input	-	1
APOBR	APOC4	complex; input	-	1
APOBR	PPARA	expression regulated by	<-	1
APOE	HP	predicted	-	0.64
APOL5	CRK	predicted	-	0.64
APP	ARF6	predicted	-	0.64
APP	CLP1	predicted	-	0.64
APP	GNAQ	complex; input	-	1
APP	GNG2	complex; input	-	1
APP	NOLC1	predicted	-	0.64
APP	RPL23	predicted	-	0.64
APP	S100A8	predicted	-	0.64
APPBP2	PSAP	predicted	-	0.64
AQR	CLP1	complex; input	-	1
AQR	PQBP1	complex; input	-	1
AQR	SMNDC1	complex; input	-	1
AQR	SNRNP40	complex; input	-	1
AR	CHD8	predicted	-	0.64
AR	GNG2	activate	->	1
AR	KMT2A	predicted	-	0.64
AR	RCOR1	predicted	-	0.64
AR	RUNX2	complex; input; reaction	-	1
ARAF	MAP2K1	PPrel: activation; PPrel: activation, phosphorylation; PPrel: phosphorylation; catalyze; catalyzed by; complex; input	<->	1
ARAP1	CDC42	catalyze	->	1
ARAP2	ARF6	activate	->	1
ARAP2	CDC42	catalyze	->	1
ARAP3	ARF6	activate	->	1
ARAP3	CDC42	catalyze	->	1
ARCN1	STX5	complex; input	-	1
AREG	CDC42	complex; input	-	1
AREG	STX5	input	-	1
ARF1	ARF6	PPrel: activated by; activated by	<-	1
ARF6	ARFGAP1	catalyzed by; complex	<-	1
ARF6	ARFIP1	predicted	-	0.97
ARF6	ARFIP2	complex	-	1
ARF6	ARRB1	input	-	1
ARF6	ARRB2	input	-	1
ARF6	ASAP1	PPrel: activated by	<-	1
ARF6	ASAP2	PPrel: activated by; activate	<->	1
ARF6	ASAP3	PPrel: activated by	<-	1
ARF6	ATP6V1C1	predicted	-	0.77
ARF6	BIN1	activate	->	1
ARF6	CLTA	activate	->	1
ARF6	CLTB	activate	->	1
ARF6	CLTC	activate	->	1
ARF6	CLTCL1	activate	->	1
ARF6	CPE	activate	->	1
ARF6	CRK	complex; input	-	1
ARF6	CRKL	complex; input	-	1
ARF6	CYTH1	PPrel: activated by	<-	1
ARF6	CYTH2	PPrel: activated by; activate; activated by; input	<->	1
