ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0001501	skeletal system development	19/168	300/6029	0.000623472491463979	0.000623472491463979	0.0666404588463911	SATB2/HOXB7/HOXA7/HOXB3/HOXA2/HOXA4/HOXA5/HOXB6/HOXA3/HOXB5/ZFAND5/PTPN6/TYROBP/HOXA1/SHOX/UNCX/HOXB8/ZNF385A/HOXB9	19
BP	GO:0002221	pattern recognition receptor signaling pathway	9/168	89/6029	0.000767417573382976	0.000767417573382976	0.0758025380464291	GFI1/TLR2/TNIP2/IRAK1/NLRP3/NLRP1/TNFAIP3/PLCG2/CASP1	9
BP	GO:0071222	cellular response to lipopolysaccharide	11/168	127/6029	0.000768289983482478	0.000768289983482478	0.0758025380464291	GFI1/TLR2/SPI1/TNIP2/IRAK1/TSPO/TRIB1/NLRP3/TNFAIP3/PLCG2/CASP1	11
BP	GO:0061515	myeloid cell development	6/168	41/6029	0.000856786274411498	0.000856786274411498	0.0814030468125077	TLR2/PTPN6/TYROBP/BCL6/KLF2/ZNF385A	6
BP	GO:0071216	cellular response to biotic stimulus	12/168	152/6029	0.00101958220236344	0.00101958220236344	0.0900858200989094	GFI1/TLR2/SPI1/TNIP2/IRAK1/TSPO/TRIB1/NLRP3/TNFAIP3/PLCG2/TXNIP/CASP1	12
BP	GO:0032640	tumor necrosis factor production	10/168	112/6029	0.00105352723546119	0.00105352723546119	0.0900858200989094	TLR2/CLU/PTPN6/TYROBP/TSPO/ABCC8/CD33/TNFAIP3/PLCG2/TNFRSF8	10
BP	GO:0032680	regulation of tumor necrosis factor production	10/168	112/6029	0.00105352723546119	0.00105352723546119	0.0900858200989094	TLR2/CLU/PTPN6/TYROBP/TSPO/ABCC8/CD33/TNFAIP3/PLCG2/TNFRSF8	10
BP	GO:0032570	response to progesterone	5/168	29/6029	0.00109243024071937	0.00109243024071937	0.0903990660995964	FOS/TLR2/TSPO/TXNIP/FOSB	5
BP	GO:0071219	cellular response to molecule of bacterial origin	11/168	133/6029	0.0011283344014727	0.0011283344014727	0.0904523334338475	GFI1/TLR2/SPI1/TNIP2/IRAK1/TSPO/TRIB1/NLRP3/TNFAIP3/PLCG2/CASP1	11
BP	GO:0072666	establishment of protein localization to vacuole	4/168	18/6029	0.00131111235484365	0.00131111235484365	0.101151017744828	TSG101/CLU/VPS25/TNFAIP3	4
BP	GO:0071706	tumor necrosis factor superfamily cytokine production	10/168	116/6029	0.00138008672138512	0.00138008672138512	0.101151017744828	TLR2/CLU/PTPN6/TYROBP/TSPO/ABCC8/CD33/TNFAIP3/PLCG2/TNFRSF8	10
BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	10/168	116/6029	0.00138008672138512	0.00138008672138512	0.101151017744828	TLR2/CLU/PTPN6/TYROBP/TSPO/ABCC8/CD33/TNFAIP3/PLCG2/TNFRSF8	10
BP	GO:0002819	regulation of adaptive immune response	10/168	119/6029	0.00167560136032539	0.00167560136032539	0.119398845471139	TNFSF13B/TNFSF13/PTPN6/BCL6/ANXA1/NLRP3/IL4R/TYK2/TNFAIP3/ADCY7	10
BP	GO:0031663	lipopolysaccharide-mediated signaling pathway	6/168	47/6029	0.0017825740920289	0.0017825740920289	0.123588422824308	TLR2/SPI1/IRAK1/TRIB1/TNFAIP3/PLCG2	6
BP	GO:0042116	macrophage activation	7/168	64/6029	0.00187795829024719	0.00187795829024719	0.12585732180157	TLR2/CLU/TNIP2/TYROBP/IL4R/C5AR1/PLCG2	7
BP	GO:0034340	response to type I interferon	5/168	33/6029	0.00199553727871174	0.00199553727871174	0.12585732180157	PTPN6/IRAK1/SMPD1/TANK/TYK2	5
BP	GO:0050732	negative regulation of peptidyl-tyrosine phosphorylation	5/168	33/6029	0.00199553727871174	0.00199553727871174	0.12585732180157	PRKCD/TSG101/VPS25/PTPN6/ZGPAT	5
BP	GO:0071248	cellular response to metal ion	8/168	83/6029	0.00205083927045315	0.00205083927045315	0.12585732180157	FOS/NCSTN/TSPO/SMPD1/MT1H/PLCG2/ADCY7/FOSB	8
BP	GO:0002443	leukocyte mediated immunity	13/168	188/6029	0.00213691200736208	0.00213691200736208	0.12585732180157	PRKCD/TNFSF13/CLU/JAG1/SPI1/PTPN6/TYROBP/BCL6/NLRP3/IL4R/RAB27A/ELANE/PLCG2	13
BP	GO:0010035	response to inorganic substance	16/168	259/6029	0.00218955181010676	0.00218955181010676	0.12585732180157	FOS/PRKCD/MAPK7/NCSTN/NDRG1/TSPO/ABCC8/ANXA1/KLF2/SMPD1/MT1H/TNFAIP3/PLCG2/ADCY7/TXNIP/FOSB	16
BP	GO:0036257	multivesicular body organization	3/168	10/6029	0.00220779667912068	0.00220779667912068	0.12585732180157	TSG101/VPS25/RAB27A	3
BP	GO:0046466	membrane lipid catabolic process	3/168	10/6029	0.00220779667912068	0.00220779667912068	0.12585732180157	PRKCD/MGST2/SMPD1	3
BP	GO:0045087	innate immune response	19/168	335/6029	0.00230558887491625	0.00230558887491625	0.128574830392927	TLR2/CLU/SPI1/PTPN6/IRAK1/TYROBP/ANXA1/NLRP3/TFEB/RAB27A/PSTPIP1/NLRP1/SMPD1/TANK/TYK2/TNFAIP3/PLCG2/CASP1/RAB43	19
BP	GO:0050727	regulation of inflammatory response	13/168	191/6029	0.00245861066096193	0.00245861066096193	0.132613713152371	PRKCD/MAPK7/MGST2/TLR2/BCL6/ANXA1/NLRP3/TEK/NLRP1/ELANE/TNFAIP3/PLCG2/CASP1	13
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	9/168	105/6029	0.00248140554770131	0.00248140554770131	0.132613713152371	TNFSF13B/TNFSF13/PTPN6/BCL6/ANXA1/NLRP3/IL4R/TYK2/TNFAIP3	9
BP	GO:0048562	embryonic organ morphogenesis	13/168	192/6029	0.00257430408566434	0.00257430408566434	0.133894765113939	SATB2/HOXB7/HOXA7/HOXB3/HOXA2/HOXA4/HOXA5/HOXB6/HOXA3/HOXB5/HOXA1/HOXB8/HOXB9	13
BP	GO:0071277	cellular response to calcium ion	5/168	35/6029	0.00260976665691921	0.00260976665691921	0.133894765113939	FOS/NCSTN/SMPD1/PLCG2/FOSB	5
BP	GO:2000352	negative regulation of endothelial cell apoptotic process	4/168	22/6029	0.00287330602133831	0.00287330602133831	0.142516098139079	MAPK7/TNIP2/TEK/TNFAIP3	4
BP	GO:0048568	embryonic organ development	17/168	291/6029	0.00288891885435802	0.00288891885435802	0.142516098139079	SATB2/HOXB7/PBX3/HOXA7/HOXB3/HOXA2/HOXA4/HOXA5/HOXB6/HOXA3/HOXB5/HOXA1/HOXB8/TFEB/HOXB9/MBD2/TAF10	17
BP	GO:0010038	response to metal ion	11/168	150/6029	0.0029609919131369	0.0029609919131369	0.143174152819203	FOS/NCSTN/NDRG1/TSPO/ABCC8/SMPD1/MT1H/PLCG2/ADCY7/TXNIP/FOSB	11
BP	GO:0032088	negative regulation of NF-kappaB transcription factor activity	6/168	52/6029	0.00301388347953431	0.00301388347953431	0.143174152819203	GFI1/SPI1/IRAK1/NLRP3/ANXA4/TNFAIP3	6
BP	GO:0032612	interleukin-1 production	7/168	70/6029	0.00315196890974672	0.00315196890974672	0.144386244982195	TYROBP/ANXA1/NLRP3/CD33/NLRP1/TNFAIP3/CASP1	7
BP	GO:0032652	regulation of interleukin-1 production	7/168	70/6029	0.00315196890974672	0.00315196890974672	0.144386244982195	TYROBP/ANXA1/NLRP3/CD33/NLRP1/TNFAIP3/CASP1	7
BP	GO:0006909	phagocytosis	10/168	130/6029	0.00322721707518487	0.00322721707518487	0.145239667815799	PRKCD/TLR2/TYROBP/ANXA1/CDC42SE1/RAB27A/RAC1/SIRPB1/ELANE/PLCG2	10
BP	GO:0002250	adaptive immune response	15/168	246/6029	0.0034002162869518	0.0034002162869518	0.148655005680119	TNFSF13B/PRKCD/TNFSF13/CLU/JAG1/PTPN6/BCL6/ANXA1/NLRP3/IL4R/TFEB/RAB27A/TYK2/TNFAIP3/ADCY7	15
BP	GO:0050864	regulation of B cell activation	8/168	90/6029	0.00341900413146108	0.00341900413146108	0.148655005680119	TNFSF13B/TNFSF13/PTPN6/TNIP2/TYROBP/IRS2/BCL6/TNFAIP3	8
BP	GO:0009611	response to wounding	17/168	298/6029	0.0036928919312782	0.0036928919312782	0.153310602693139	USF1/PRKCD/F3/PLEK/PTPN6/TYROBP/TSPO/ABCC8/GRIN2C/ANXA1/RAB27A/RAC1/SMPD1/TNFAIP3/PLCG2/ILK/ARHGAP24	17
BP	GO:0042113	B cell activation	12/168	177/6029	0.00370370069241229	0.00370370069241229	0.153310602693139	TNFSF13B/PRKCD/TNFSF13/HDAC4/SPI1/PTPN6/TNIP2/TYROBP/IRS2/BCL6/TNFAIP3/PLCG2	12
BP	GO:0007599	hemostasis	9/168	112/6029	0.00384400404127938	0.00384400404127938	0.153310602693139	USF1/PRKCD/F3/PLEK/PTPN6/ZNF385A/RAB27A/PLCG2/ILK	9
BP	GO:0002467	germinal center formation	3/168	12/6029	0.00388466545601202	0.00388466545601202	0.153310602693139	TNFSF13B/BCL6/TNFAIP3	3
BP	GO:0050832	defense response to fungus	3/168	12/6029	0.00388466545601202	0.00388466545601202	0.153310602693139	SPI1/ELANE/PLCG2	3
BP	GO:0071985	multivesicular body sorting pathway	3/168	12/6029	0.00388466545601202	0.00388466545601202	0.153310602693139	TSG101/VPS25/RAB27A	3
BP	GO:0002828	regulation of type 2 immune response	4/168	24/6029	0.00399680154094063	0.00399680154094063	0.155346177915029	BCL6/ANXA1/NLRP3/IL4R	4
BP	GO:0044242	cellular lipid catabolic process	5/168	39/6029	0.00423207366880396	0.00423207366880396	0.162035562150436	PRKCD/MGST2/IRS2/SMPD1/PLCG2	5
BP	GO:0042119	neutrophil activation	4/168	25/6029	0.00465622285340827	0.00465622285340827	0.169224114506741	PRKCD/SPI1/TYROBP/ANXA1	4
BP	GO:2000379	positive regulation of reactive oxygen species metabolic process	5/168	40/6029	0.00472973723031497	0.00472973723031497	0.169224114506741	PRKCD/TYROBP/TSPO/RAB27A/PLCG2	5
BP	GO:0030216	keratinocyte differentiation	6/168	57/6029	0.00479187770117364	0.00479187770117364	0.169224114506741	HOXA7/TSG101/FOSL2/JAG1/ANXA1/TXNIP	6
BP	GO:0007175	negative regulation of epidermal growth factor-activated receptor activity	3/168	13/6029	0.0049475659247457	0.0049475659247457	0.169224114506741	TSG101/VPS25/ZGPAT	3
BP	GO:0009395	phospholipid catabolic process	3/168	13/6029	0.0049475659247457	0.0049475659247457	0.169224114506741	PRKCD/SMPD1/PLCG2	3
BP	GO:0010043	response to zinc ion	3/168	13/6029	0.0049475659247457	0.0049475659247457	0.169224114506741	TSPO/ABCC8/MT1H	3
BP	GO:0050849	negative regulation of calcium-mediated signaling	3/168	13/6029	0.0049475659247457	0.0049475659247457	0.169224114506741	MAPK7/HOMER3/PLEK	3
BP	GO:0140632	inflammasome complex assembly	3/168	13/6029	0.0049475659247457	0.0049475659247457	0.169224114506741	NLRP3/NLRP1/PLCG2	3
BP	GO:0036230	granulocyte activation	4/168	26/6029	0.00538509687391183	0.00538509687391183	0.181765665951844	PRKCD/SPI1/TYROBP/ANXA1	4
BP	GO:0150076	neuroinflammatory response	5/168	42/6029	0.00584748388104249	0.00584748388104249	0.192997530887182	TLR2/CLU/TYROBP/C5AR1/PLCG2	5
BP	GO:0001819	positive regulation of cytokine production	16/168	287/6029	0.00601426570737505	0.00601426570737505	0.192997530887182	TLR2/F3/CLU/IRAK1/TYROBP/ABCC8/ANXA1/NLRP3/IL4R/NLRP1/TYK2/ELANE/C5AR1/PLCG2/CASP1/TNFRSF8	16
BP	GO:0050778	positive regulation of immune response	16/168	287/6029	0.00601426570737505	0.00601426570737505	0.192997530887182	SPG21/TNFSF13B/PRKCD/TNFSF13/CLU/SPI1/PTPN6/SH2B2/TYROBP/ANXA1/NLRP3/IL4R/TYK2/ELANE/C5AR1/PLCG2	16
BP	GO:0022010	central nervous system myelination	3/168	14/6029	0.00616926863197024	0.00616926863197024	0.192997530887182	TLR2/NCSTN/CLU	3
BP	GO:0032291	axon ensheathment in central nervous system	3/168	14/6029	0.00616926863197024	0.00616926863197024	0.192997530887182	TLR2/NCSTN/CLU	3
BP	GO:0046148	pigment biosynthetic process	3/168	14/6029	0.00616926863197024	0.00616926863197024	0.192997530887182	TSPO/NFE2L1/GPR143	3
BP	GO:0045637	regulation of myeloid cell differentiation	10/168	143/6029	0.00634925712738883	0.00634925712738883	0.196235125167363	HOXA7/FOS/HOXA5/MITF/JAG1/SPI1/TYROBP/TRIB1/HOXB8/H4C4	10
CC	GO:0030667	secretory granule membrane	16/168	109/6051	3.87186976600383e-08	3.87186976600383e-08	5.43970444671209e-06	TLR2/RAP2C/NCSTN/APLP2/RAB4B/VAPA/ADGRE5/RAB24/IGF2R/TYROBP/CD33/RAB27A/RAC1/SIRPB1/C5AR1/RAB3D	16
CC	GO:0030141	secretory granule	24/168	243/6051	4.27084233419544e-08	4.27084233419544e-08	5.43970444671209e-06	PRKCD/TLR2/RAP2C/NCSTN/APLP2/RAB4B/CLU/VAPA/ADGRE5/PTPN6/RAB24/IGF2R/TYROBP/S100A11/CD33/OSTF1/RAB27A/RAC1/CREG1/SMPD1/SIRPB1/ELANE/C5AR1/RAB3D	24
CC	GO:0099503	secretory vesicle	25/168	296/6051	4.67732420001969e-07	4.67732420001969e-07	3.97162265405181e-05	PRKCD/TLR2/RAP2C/NCSTN/APLP2/RAB4B/CLU/VAPA/ADGRE5/PTPN6/RAB24/IGF2R/TYROBP/ABCC8/S100A11/CD33/OSTF1/RAB27A/RAC1/CREG1/SMPD1/SIRPB1/ELANE/C5AR1/RAB3D	25
CC	GO:0012506	vesicle membrane	29/168	415/6051	2.73799675914231e-06	2.73799675914231e-06	0.000174367162029589	SPG21/TSG101/TLR2/RAP2C/NCSTN/APLP2/CLTCL1/RAB4B/VAPA/VPS25/ADGRE5/NDRG1/RAB24/IRAK1/IGF2R/TYROBP/ABCC8/ANXA1/CD33/RAB27A/ANXA4/RAC1/SIRPB1/ANTXR1/C5AR1/SORCS2/RAB3D/RAB43/GPR143	29
CC	GO:0030659	cytoplasmic vesicle membrane	28/168	405/6051	5.14638148167596e-06	5.14638148167596e-06	0.000262194593382228	SPG21/TSG101/TLR2/RAP2C/NCSTN/APLP2/CLTCL1/RAB4B/VAPA/VPS25/ADGRE5/NDRG1/RAB24/IRAK1/IGF2R/TYROBP/ABCC8/ANXA1/CD33/RAB27A/RAC1/SIRPB1/ANTXR1/C5AR1/SORCS2/RAB3D/RAB43/GPR143	28
CC	GO:0005766	primary lysosome	6/168	30/6051	0.000142953449566158	0.000142953449566158	0.00520221575864816	PRKCD/NCSTN/VAPA/CREG1/ELANE/RAB3D	6
CC	GO:0042582	azurophil granule	6/168	30/6051	0.000142953449566158	0.000142953449566158	0.00520221575864816	PRKCD/NCSTN/VAPA/CREG1/ELANE/RAB3D	6
CC	GO:0000323	lytic vacuole	13/168	161/6051	0.000491070704279217	0.000491070704279217	0.013899311162055	GNB2/PRKCD/NCSTN/VAPA/TFEB/RAB27A/CREG1/SMPD1/ELANE/TNFAIP3/RAB3D/GLMP/GPR143	13
CC	GO:0005764	lysosome	13/168	161/6051	0.000491070704279217	0.000491070704279217	0.013899311162055	GNB2/PRKCD/NCSTN/VAPA/TFEB/RAB27A/CREG1/SMPD1/ELANE/TNFAIP3/RAB3D/GLMP/GPR143	13
CC	GO:0005773	vacuole	14/168	187/6051	0.000643024518194145	0.000643024518194145	0.0163802035161035	GNB2/PRKCD/NCSTN/VAPA/RAB24/TFEB/RAB27A/CREG1/SMPD1/ELANE/TNFAIP3/RAB3D/GLMP/GPR143	14
CC	GO:0034774	secretory granule lumen	8/168	73/6051	0.000864033508910308	0.000864033508910308	0.0200091970484492	PRKCD/CLU/PTPN6/S100A11/OSTF1/RAB27A/CREG1/ELANE	8
CC	GO:0060205	cytoplasmic vesicle lumen	8/168	75/6051	0.00103465204221497	0.00103465204221497	0.0219636661593002	PRKCD/CLU/PTPN6/S100A11/OSTF1/RAB27A/CREG1/ELANE	8
CC	GO:0031983	vesicle lumen	8/168	76/6051	0.00112953003823914	0.00112953003823914	0.0221333011541598	PRKCD/CLU/PTPN6/S100A11/OSTF1/RAB27A/CREG1/ELANE	8
CC	GO:0010008	endosome membrane	13/168	179/6051	0.00132901564526607	0.00132901564526607	0.0241820891845406	SPG21/TSG101/RAP2C/NCSTN/VPS25/NDRG1/IRAK1/IGF2R/ANXA1/RAB27A/RAC1/ANTXR1/SORCS2	13
CC	GO:0035580	specific granule lumen	3/168	11/6051	0.00294339449419499	0.00294339449419499	0.0499860679014167	PTPN6/RAB27A/ELANE	3
CC	GO:0030140	trans-Golgi network transport vesicle	3/168	13/6051	0.00489747772972877	0.00489747772972877	0.0779730006969976	SPG21/CLTCL1/IGF2R	3
CC	GO:0005768	endosome	19/168	363/6051	0.00537650329748572	0.00537650329748572	0.0805643218570616	SPG21/PRKCD/TSG101/RAP2C/NCSTN/CLTCL1/RAB4B/VPS25/NDRG1/RAB24/IRAK1/IGF2R/ANXA1/RAB27A/RAC1/SMPD1/ANTXR1/SORCS2/RAB3D	19
CC	GO:0005765	lysosomal membrane	7/168	82/6051	0.00742575383603226	0.00742575383603226	0.095272957447423	GNB2/NCSTN/VAPA/TFEB/RAB3D/GLMP/GPR143	7
CC	GO:0098852	lytic vacuole membrane	7/168	82/6051	0.00742575383603226	0.00742575383603226	0.095272957447423	GNB2/NCSTN/VAPA/TFEB/RAB3D/GLMP/GPR143	7
CC	GO:0035577	azurophil granule membrane	3/168	15/6051	0.00748010822934313	0.00748010822934313	0.095272957447423	NCSTN/VAPA/RAB3D	3
CC	GO:0005775	vacuolar lumen	4/168	29/6051	0.00791855179027157	0.00791855179027157	0.0960546131952742	PRKCD/CREG1/SMPD1/ELANE	4
CC	GO:0035578	azurophil granule lumen	3/168	16/6051	0.00902085608989658	0.00902085608989658	0.104452017883013	PRKCD/CREG1/ELANE	3
CC	GO:0005912	adherens junction	6/168	66/6051	0.0096107023146042	0.0096107023146042	0.106443476436349	JAG1/NDRG1/ANXA1/S100A11/BAIAP2L1/ARHGAP24	6
CC	GO:0005774	vacuolar membrane	7/168	89/6051	0.0114565881939967	0.0114565881939967	0.121600629076631	GNB2/NCSTN/VAPA/TFEB/RAB3D/GLMP/GPR143	7
CC	GO:0048471	perinuclear region of cytoplasm	15/168	284/6051	0.0120356325556867	0.0120356325556867	0.122636761198997	GNB2/TNFSF13B/PRKCD/RAB4B/CLU/VAPA/NDRG1/S100A6/IGF2R/TAF8/ANXA4/PSTPIP1/NOCT/PLCG2/TAF10	15
CC	GO:0042383	sarcolemma	4/168	34/6051	0.0138910340939586	0.0138910340939586	0.127448234815639	STAC3/NCSTN/ABCC8/ANXA1	4
CC	GO:0055038	recycling endosome membrane	4/168	34/6051	0.0138910340939586	0.0138910340939586	0.127448234815639	RAP2C/NDRG1/RAC1/SORCS2	4
CC	GO:0005911	cell-cell junction	11/168	188/6051	0.0151013285509145	0.0151013285509145	0.127448234815639	PRKCD/RAP2C/JAG1/VAPA/PTPN6/NDRG1/ANXA1/S100A11/TEK/BAIAP2L1/ARHGAP24	11
CC	GO:0005884	actin filament	4/168	35/6051	0.0153519411211925	0.0153519411211925	0.127448234815639	ANXA1/TEK/RAC1/PSTPIP1	4
CC	GO:1905368	peptidase complex	4/168	35/6051	0.0153519411211925	0.0153519411211925	0.127448234815639	F3/PIGU/TADA2B/TAF10	4
CC	GO:0005925	focal adhesion	12/168	214/6051	0.0155097128732255	0.0155097128732255	0.127448234815639	GNB2/TNFSF13B/KLF11/NCSTN/ADGRE5/IGF2R/ANXA1/IRF2/TEK/RAC1/ILK/ARHGAP24	12
CC	GO:0030055	cell-substrate junction	12/168	216/6051	0.0165837716078706	0.0165837716078706	0.132015550299496	GNB2/TNFSF13B/KLF11/NCSTN/ADGRE5/IGF2R/ANXA1/IRF2/TEK/RAC1/ILK/ARHGAP24	12
CC	GO:0062023	collagen-containing extracellular matrix	6/168	77/6051	0.0195637709774118	0.0195637709774118	0.147758952944753	F3/CLU/S100A6/ANXA1/ANXA4/ELANE	6
CC	GO:0042470	melanosome	4/168	38/6051	0.0203015916752604	0.0203015916752604	0.147758952944753	NCSTN/RAB27A/RAC1/GPR143	4
CC	GO:0048770	pigment granule	4/168	38/6051	0.0203015916752604	0.0203015916752604	0.147758952944753	NCSTN/RAB27A/RAC1/GPR143	4
CC	GO:0032588	trans-Golgi network membrane	3/168	22/6051	0.0219694475661103	0.0219694475661103	0.155456324883003	HTR7/IGF2R/RAB43	3
MF	GO:0048306	calcium-dependent protein binding	5/168	22/6068	0.000275358528614322	0.000275358528614322	0.0933465412002551	TSG101/S100A6/ANXA1/S100A11/ANXA4	5
