nodeLabel	Cluster_IDH2_R_25k	Cluster_IDH2_NR_25k	distance
RAB25	0	0.415285639268469	0.2979
CXXC5	0.12728037376948	0.542844325074941	0.2977
PDCD1	0	0.414632575982786	0.2975
KCNH5	0	0.414432844210739	0.2973
CXCR4	0.0297203651165118	0.442939792319412	0.2964
ZNF229	0	0.413099994518758	0.2964
GABRA3	0	0.412650721609311	0.2961
ADRA2A	0	0.412600339713031	0.296
MEIS1	0.127133533686618	0.540080274454493	0.2958
FEZF1	0.0381269089639043	0.446255967951049	0.2928
ZNF425	0	0.406220727243431	0.2915
SP7	0	0.405813517026184	0.2913
GUCY2C	0	0.404757027433325	0.2905
BTG2	0	0.404589711099578	0.2904
HRH4	0	0.404452978855229	0.2903
DOCK7	0	0.403833803203114	0.2899
CCKBR	0	0.402793930987835	0.2891
COTL1	0.0349377027865739	0.437925564558888	0.2891
AOAH	0	0.399807066803883	0.287
ZBTB5	0.0332325051242303	0.432120689667645	0.2863
RASL12	0.0307801849165392	0.428531086862161	0.2855
PLCL1	0	0.396931705609537	0.285
SUFU	0.0306489374242266	0.42765193984567	0.2849
ZNF226	0.0279385176703029	0.424198477199609	0.2844
PER1	0.0355425999148271	0.431193163029257	0.284
SORT1	0	0.395495773413625	0.284
TICAM1	0	0.394283924346983	0.2831
RGS18	0.0385255582303793	0.432839357424191	0.283
F7	0	0.393821636085464	0.2828
ZNF678	0	0.393727352820581	0.2827
EID2	0.0296811030994	0.423406714906664	0.2826
OR8B12	0	0.393465044941456	0.2825
DPF2	0	0.393285620940766	0.2824
TRHR	0	0.391906284725243	0.2814
NTS	0	0.389971969960449	0.2801
RAX2	0	0.389307858808742	0.2796
GPR87	0	0.388824641779498	0.2793
WSB2	0	0.386156791132506	0.2774
RGS10	0.0320273924054171	0.41676690840739	0.2763
PTCH2	0	0.383807677102941	0.2757
CD34	0.12266034942101	0.506735110651474	0.2755
NEK6	0	0.383084729433869	0.2752
PPIC	0.0375768499443938	0.42087621412117	0.2752
MED12L	0.246835287242746	0.630842581752443	0.275
RAB24	0.0389975491923338	0.421917838692124	0.275
ZNF418	0	0.382679099412718	0.2749
NME7	0	0.382502180903419	0.2748
OR1Q1	0	0.38215848301241	0.2746
CELSR2	0	0.382017912689791	0.2745
TRIM54	0	0.380733638609843	0.2736
RLF	0	0.379750213580513	0.2729
OR10G7	0	0.379675679200617	0.2728
ZNF676	0	0.379669158987392	0.2728
SUCNR1	0	0.37915617444839	0.2725
ZNF517	0.138833477913187	0.518585235269511	0.2724
AVPR2	0	0.378592042106713	0.2721
OR7A5	0	0.378435324081569	0.2719
FOXG1	0	0.378197318371348	0.2718
RHPN1	0	0.378129360927623	0.2717
RP1L1	0	0.378032669298259	0.2717
TRPV4	0	0.377744470818498	0.2715
OR1A2	0	0.377600279746426	0.2714
TAS1R2	0.0355874199815109	0.413171754391227	0.2712
BARX1	0	0.377217310414236	0.2711
CACNB3	0.0374154181722861	0.414336464364487	0.2707
PLCH1	0	0.376399509686199	0.2705
CTSB	0.0435143610349194	0.419705730074812	0.2702
RAD54L2	0.134369088710263	0.510255761534749	0.2697
WNK3	0.0335624504739388	0.408635959200921	0.2695
FOXJ3	0.0446045423186174	0.419562174651743	0.2693
HTR3B	0	0.373376812510963	0.2684
ZFPM1	0	0.372831619857643	0.268
ANKRD35	0	0.37247678414435	0.2677
SOX21	0.133550042488287	0.506660237942297	0.2677
SMAD2	0.0410929764289373	0.413343072173892	0.2674
ADNP	0.0522319022118137	0.423603727464848	0.2668
TTL	0.04256440732624	0.4136541312505	0.2666
HOXB13	0	0.369948223402198	0.266
CNTNAP4	0	0.369707269633383	0.2658
NCLN	0	0.369513026845443	0.2657
MAR00031	0	0.369352216730532	0.2655
MAR00032	0	0.369352216730532	0.2655
OR4D1	0	0.369275571717205	0.2655
ARF6	0	0.369002354427478	0.2653
ASGR2	0	0.368865226242329	0.2652
PDPK1	0	0.368835691259541	0.2652
RAP2C	0	0.368896907485767	0.2652
SOCS5	0.0358727936659432	0.404955045929914	0.2652
BCL6B	0.0435454027369459	0.41243890005348	0.2651
RBM33	0	0.368660807542252	0.265
CKAP4	0	0.368504818267847	0.2649
LALBA	0	0.368493404716804	0.2649
ZBTB3	0	0.368199088786048	0.2647
TIGD1	0	0.367980631064042	0.2646
OR2F1	0	0.367324329670959	0.2641
ZNF549	0	0.366890391744213	0.2638
DLX4	0	0.366646925913466	0.2636
PSTPIP1	0.123209258409028	0.490427540961945	0.2636
HSFY2	0	0.366397996610817	0.2635
OR5H15	0.0334422909835097	0.40000655288557	0.2635
CES1	0	0.36601916462751	0.2632
ETV1	0	0.365991816627638	0.2632
TBC1D28	0	0.365890548374152	0.2631
ZNF799	0.0350072190262276	0.401011317272951	0.2631
NXN	0	0.365189613069703	0.2626
ARHGEF4	0	0.364982280900135	0.2625
MRAS	0	0.364747968733766	0.2623
SMAD1	0	0.364716230173939	0.2623
ZNF107	0.0418885631352247	0.405451481971034	0.2613
PRKAB2	0.0488348668855842	0.41212651931003	0.2611
HOXA13	0.0286787650143774	0.391298580842732	0.2607
GREM1	0.0427525058118902	0.404134093093823	0.2598
TNFRSF8	0.0446125480197671	0.40531820688965	0.2593
OR1N1	0	0.35957368548522	0.2586
TMEM123	0	0.358074578957812	0.2576
SNAPC1	0.0325940795757883	0.390646331874299	0.2575
PRKCD	0.0535797604048211	0.411487277916062	0.2573
EXT2	0.0444002340776932	0.401951507708555	0.2571
OR10K2	0	0.357294938314016	0.257
TMX3	0	0.356504257939207	0.2565
CYB5R2	0	0.356187402493435	0.2563
NHSL1	0	0.355771329740249	0.256
OR2H1	0	0.355823622649814	0.256
ZNF682	0	0.355675179094483	0.2559
ZNF827	0.0468896026469469	0.402603851848555	0.2558
OR51S1	0	0.355321913955125	0.2556
SOX11	0	0.355270104129469	0.2556
OR11H12	0.0283462152630428	0.383628135688567	0.2555
SH3BP5	0	0.354778264788549	0.2553
VAX2	0	0.354878146808329	0.2553
ZNF607	0.12660409617202	0.481698098148399	0.255
PRR14	0	0.353870059105267	0.2546
ZBED3	0.035178537347432	0.388920104790383	0.2544
ADARB1	0	0.352660695019309	0.2538
OR56A3	0	0.352702414008427	0.2538
ARID3C	0	0.352552860022957	0.2537
ZEB1	0	0.352396517164921	0.2536
CNIH4	0	0.352078386612694	0.2534
FLNA	0	0.35155242380185	0.253
FGF3	0	0.351452804922258	0.2529
ZNF17	0.0333035878480618	0.384596634245233	0.2527
SGK1	0	0.35095146863458	0.2526
SLC7A1	0.0398334912373237	0.39103817113711	0.2526
CFLAR	0	0.350738194427458	0.2524
ZNF675	0	0.35070185065417	0.2524
CCR2	0.0432813172267898	0.391989477583558	0.2508
PRKD1	0.0353720798790605	0.383558783427657	0.2505
FBP1	0.0530620782872587	0.399908063823594	0.2495
CGB8	0.0315625863446318	0.378062229433522	0.2493
HSPB1	0.0499168235268438	0.396557215369865	0.2493
BCORL1	0	0.344880501090485	0.2483
INSIG1	0.0349012750233812	0.379676246160491	0.2481
ZNF287	0.126975420941925	0.472288975482511	0.2481
CSF1	0.0342015864691846	0.378632335524451	0.2478
OR4D5	0	0.342775446822542	0.2468
OR6Q1	0	0.342486241606484	0.2466
USP20	0.0448097672268289	0.387603212643932	0.2466
BTRC	0.030196098299361	0.372440559503817	0.2463
JRKL	0	0.34201412950322	0.2463
S100A1	0	0.342017521173444	0.2463
RERGL	0.0274616370103958	0.369420546627059	0.2461
GPR89A	0	0.341700967713007	0.246
TGFB3	0.0368111560667667	0.37870460430466	0.246
CHRM4	0	0.34156793271243	0.2459
KRBA2	0.225148709182816	0.567802100072352	0.2459
NFIL3	0.0357718143442798	0.377300458212521	0.2458
ZNF185	0.125418277310942	0.467146526761861	0.2456
OR2M3	0	0.340811403114629	0.2454
OR2A5	0.0301556034734668	0.370907370151944	0.2453
TMPRSS2	0	0.340657292143107	0.2453
ABCG4	0	0.340385925189837	0.2451
MMP2	0	0.339732670762555	0.2446
RGS20	0	0.339700843617356	0.2446
OR6C68	0	0.339067696802282	0.2442
DACH2	0	0.338833970868946	0.244
MARK2	0	0.338786094819488	0.244
GSX2	0	0.338533300157308	0.2438
OR2A14	0	0.338580881009215	0.2438
ZNF623	0	0.33834861723338	0.2437
NTSR1	0	0.337963322394756	0.2434
OR8K3	0	0.337792238110669	0.2433
ARHGEF15	0	0.337712063444356	0.2432
HAND2	0	0.337732695550526	0.2432
TMOD2	0	0.337254606377697	0.2429
ZC3H13	0	0.33728429351908	0.2429
ZFP28	0	0.337218269624088	0.2429
BEST1	0	0.336912724497476	0.2427
KCNH7	0	0.336797129833733	0.2426
CECR2	0	0.336693204358376	0.2425
OPN4	0	0.336299115197518	0.2422
ZNF596	0.0433441238513894	0.37982867018464	0.2422
LRP10	0	0.336177862774951	0.2421
P2RX7	0	0.336083303258855	0.2421
SMARCB1	0.136238393917387	0.473057204818705	0.2421
TRIB1	0	0.336162501452681	0.2421
HOXB2	0	0.335860032344261	0.2419
OR2M4	0	0.335500271280347	0.2417
LONRF3	0	0.335327554912998	0.2415
ZNF664	0	0.335121664612907	0.2414
PKD2L1	0	0.335046210305992	0.2413
LMO2	0.0342235595172697	0.369304395452419	0.2412
OR2T12	0	0.334844257676768	0.2412
PASD1	0	0.334919031995698	0.2412
RAB6B	0	0.334862557427108	0.2412
ZNF625	0.181261402647686	0.516823944545935	0.2411
ZNF74	0.193895262622568	0.527132454598174	0.2394
ZMYM3	0.224511878110232	0.557112748861067	0.2388
OR51A2	0.0318428169951279	0.363154528003499	0.2386
FEV	0.0380687064166919	0.367484514151248	0.2372
ZNF662	0.0276775637429671	0.356826421127261	0.2371
BAZ2B	0.0508526284537495	0.379459206508479	0.2366
HAL	0.0517588492009378	0.380086653844425	0.2364
PGAP2	0.0544404978645114	0.382140119929343	0.236
BRDT	0	0.325486162877864	0.2346
HDAC4	0.252518507256135	0.578168070458388	0.2338
E2F5	0.182396980409744	0.507453466798273	0.2337
PLEKHA1	0	0.324064275870528	0.2336
RGS22	0	0.323880273802289	0.2335
SETD7	0.278638366478554	0.604009365001689	0.2335
TBC1D16	0.0303473301651643	0.354209692055091	0.2333
CSNK1G1	0	0.323391383432613	0.2331
PROM1	0.0464029130086845	0.370012281693623	0.2331
LILRA2	0.126673258330928	0.450451256066665	0.2329
OR1L3	0	0.323001228553051	0.2328
ACOT1	0	0.322750802073964	0.2327
OR5AC2	0	0.322698915413957	0.2326
PTF1A	0	0.322721155046249	0.2326
ZNF530	0	0.322496406417595	0.2325
MSGN1	0	0.322440924223208	0.2324
ADIPOR1	0.0424959134786087	0.3648707252462	0.2323
CSRNP2	0	0.322203880006902	0.2323
LECT2	0	0.322280462869759	0.2323
HINFP	0.127603942221219	0.450344133055538	0.2322
HOXC13	0	0.3220676718078	0.2322
EBF2	0.0279905075758748	0.350125013759494	0.2321
KLF16	0	0.321931323205303	0.2321
ASB2	0	0.321844442774569	0.232
DMWD	0	0.321359850722682	0.2317
OMP	0	0.32138231661927	0.2317
PMS1	0	0.321414026684678	0.2317
TAS2R40	0	0.32108996191923	0.2315
CBX8	0.0475978018570856	0.368787067237072	0.2314
RCSD1	0	0.32092254837331	0.2314
ZNF257	0	0.320593287900467	0.2311
ZNF557	0	0.320567585274952	0.2311
ESX1	0	0.320108974062187	0.2308
GRIN2B	0	0.320039577819627	0.2308
GABRA5	0	0.31996569309464	0.2307
KLF10	0	0.319753601745495	0.2306
LGALS2	0	0.319872610826847	0.2306
ST14	0	0.319799524302338	0.2306
NPR2	0	0.319701417939354	0.2305
NFE2L2	0.0338331645949093	0.353554766322942	0.2304
SLC20A1	0.0344434230716752	0.353961332954329	0.2303
ZDBF2	0	0.319374913696364	0.2303
OR51G1	0	0.319294392123238	0.2302
PRDM6	0	0.319285442255278	0.2302
SLC7A8	0	0.319241131489064	0.2302
PIK3C2B	0	0.319064636353281	0.2301
ING4	0	0.318911243830691	0.23
OR1N2	0	0.318936821607223	0.23
OR12D3	0	0.318793162971771	0.2299
AARS2	0	0.318709589633495	0.2298
OR52E6	0	0.318486018684383	0.2297
NAP1L3	0	0.318452698110287	0.2296
ZNF705D	0	0.318414414117123	0.2296
OR10R2	0.0521690806827379	0.37071002930648	0.2295
UBE2R2	0	0.318258912287794	0.2295
ZFAT	0	0.318309414083961	0.2295
ASB13	0.127602621783699	0.446348130077711	0.2294
ALDH1A2	0	0.31804632290745	0.2293
ELMO1	0.149950457007114	0.468658074703588	0.2293
IRS2	0.186412607036717	0.505158205635419	0.2292
RTN2	0	0.317759621692082	0.2291
GOLIM4	0.0345523886199849	0.35229369678863	0.229
HOXA4	0	0.317371995313638	0.2289
HRH3	0	0.317344750760899	0.2289
ROR2	0	0.317201170106672	0.2288
AIM2	0	0.317096112135375	0.2287
ZNF714	0	0.317073816380027	0.2287
JOSD2	0.0648011492497858	0.381926531480729	0.2285
ARHGAP25	0.0422977397094832	0.359175758573459	0.2284
SCRIB	0.0699300174172061	0.386772943440305	0.2283
RASL11B	0	0.316438402742462	0.2282
OTX2	0	0.316336397789249	0.2281
ARAP2	0.0418989335923591	0.357722318017183	0.2276
ETV6	0.0367177476448768	0.352467921573317	0.2276
FYN	0.123872410164524	0.440081163042241	0.2276
HOXB6	0	0.315358105836732	0.2275
FOXF1	0.0339789882011574	0.349434175714826	0.2274
GDF3	0	0.315257109464417	0.2274
OR4A47	0	0.314554924596005	0.2269
ZNF556	0.146763648675211	0.461550496216975	0.2265
OR13J1	0.124097134599326	0.437424555769123	0.2256
ZNF71	0.123873598385435	0.436187894583331	0.2249
OR52H1	0.180857114750893	0.492330577173517	0.2241
ZNF497	0.189849217813235	0.501178642014811	0.2239
TMEM201	0.0431397382064245	0.353380930666173	0.2237
ARHGDIA	0.155136959135133	0.465806997665599	0.2236
GSTCD	0.0304843534743352	0.339944911448563	0.2232
CHMP5	0	0.309113579871548	0.223
DMBX1	0	0.308798105715898	0.2228
BST2	0.0557399497913575	0.364635897594479	0.2227
TLR4	0.216941584424496	0.526517370292852	0.2226
ENSA	0.0299433189426766	0.337602230919694	0.2219
ZNF154	0.129528193291493	0.436750325453395	0.2213
PSEN1	0.0373653573010925	0.343864310718392	0.2211
ZNF317	0	0.30634361687188	0.2211
ADRB2	0.216387035421386	0.523437507101584	0.2208
BCL11A	0.182878371512004	0.489471836600491	0.2206
SRY	0.0375654879160089	0.343455638538931	0.2206
CRX	0.131726200713805	0.437873905819531	0.2205
FGFBP1	0.0469271296405114	0.352315313129526	0.2203
KCNK2	0	0.304561456753446	0.2198
RAB9B	0.0641231841952171	0.369022020356306	0.2198
EFCAB7	0.0332351881805	0.337289370915481	0.2194
SUV39H2	0.047920762696117	0.351695407063497	0.2191
OR2AT4	0	0.303325708808017	0.219
FCN2	0	0.303247932021221	0.2189
ZNF700	0	0.303267127946354	0.2189
TAS2R5	0.135831410433726	0.439500830130859	0.2187
AGAP6	0.0309945507489161	0.333904391888427	0.2186
BAIAP2L2	0	0.302870520444008	0.2186
DRD1	0	0.302741772242922	0.2186
ZIM3	0.0350009309553066	0.337812468696601	0.2185
MORC3	0.131060292888062	0.434232996278238	0.2184
OR8H1	0	0.302378168269243	0.2183
ZNF404	0	0.30209869279364	0.2181
OR4C45	0	0.301892653618885	0.218
OR51F1	0	0.30171440559004	0.2178
OR5M10	0	0.301314645815792	0.2175
DES	0	0.301168465364658	0.2174
ULK1	0.138655718563766	0.440443186742487	0.2174
ZNF8	0.219943558046866	0.522159714024974	0.2174
TSKU	0	0.301010306052728	0.2173
NFE2	0.0457661706956523	0.346632347681595	0.2171
APP	0	0.300321033672629	0.2168
FCGR2A	0	0.300239918966702	0.2168
TBL1Y	0.033411480553088	0.333782126436491	0.2168
MYCNOS	0	0.300070295713661	0.2167
KLRC3	0	0.299923768938413	0.2166
CRIP3	0	0.299791081779729	0.2165
ITGB3BP	0	0.299770856032199	0.2165
ASAH1	0	0.299369852113431	0.2162
OR10Q1	0	0.299415103797913	0.2162
ACOT8	0	0.299312094720859	0.2161
OR10J1	0.038772862441539	0.338173763407955	0.2161
PLEKHG2	0	0.299238690838528	0.2161
DFFB	0.036279880195812	0.335578236647323	0.216
PGAM1	0	0.298897688106993	0.2158
TICAM2	0.120300982145616	0.419541833766679	0.2157
GEM	0	0.298530153211911	0.2156
SLCO1A2	0	0.298424356592312	0.2155
TOX	0	0.298402348645261	0.2155
OR51Q1	0	0.298242943764592	0.2154
MAN2B2	0	0.298088074236917	0.2153
ST6GALNAC4	0	0.298124839350008	0.2153
ZNF480	0.131394385128603	0.430173385046653	0.2153
CHST1	0	0.297865164024244	0.2151
SCOC	0	0.297812009684184	0.2151
ZNF747	0.132716554188466	0.431284731291954	0.2151
GSC2	0	0.297534840274379	0.2149
CACNA2D3	0	0.297460443195303	0.2148
NEUROG1	0	0.297365407354443	0.2148
ATL1	0	0.297255503053992	0.2147
CHD7	0.125152069576235	0.422752313990658	0.2145
ZNF431	0.109072073323475	0.40651588433706	0.2144
ADORA2B	0	0.29634795252107	0.214
ZNF34	0	0.296268624244328	0.214
OR5V1	0	0.296105559122242	0.2139
MAN2B1	0	0.295888359883574	0.2137
ADAP1	0.184824300683136	0.481519701449532	0.2136
OR2AK2	0	0.295786307914154	0.2136
BLOC1S2	0.286517125156737	0.583342065626769	0.2134
MSI2	0.127423250694655	0.423424433619979	0.2134
WNK2	0	0.295350499897567	0.2133
GSX1	0	0.295151392600239	0.2132
STAC3	0	0.295136890605534	0.2132
ZEB2	0.142542860350972	0.438377038304243	0.2132
HOXB7	0.125954949860831	0.421287474348723	0.2129
ZNF320	0.0425650326784469	0.337522720716328	0.2129
CELSR3	0.0276345463270158	0.322327703320698	0.2128
TRAF3IP2	0.133859842630263	0.428924335830831	0.2127
TAF11	0.0647588112889867	0.3592783293255	0.2125
MAR06864	0	0.293676973202563	0.2122
PROKR1	0.0329350214596811	0.326697589845086	0.2121
MAR04808	0	0.293260846591712	0.2119
PTPN2	0.131307248630556	0.424726453967455	0.2115
TAS2R30	0.044887835724092	0.337709727531427	0.2114
OR5W2	0.0330788099024089	0.324390185906389	0.2104
FOLR3	0.02939835032851	0.320448756520839	0.2102
NAT14	0.184562034236682	0.475972565212243	0.2099
RSU1	0.130557899774109	0.421421313946569	0.2097
ZSCAN21	0.0297182989832628	0.31977143764173	0.2095
MCTP2	0.0333317422037922	0.32330241820965	0.2094
EGFL8	0.0342897896380107	0.323557869638084	0.2089
LTA	0.0308734150334749	0.320009316777781	0.2088
ZNF771	0.0304014712282469	0.319420520839044	0.2088
PRDM13	0.0361834738352507	0.324684796160817	0.2084
ZMYM5	0.0303802286262101	0.318834031774447	0.2084
GNB4	0.0519408123565049	0.340441616053919	0.2083
GLRX2	0.133320973538373	0.422078407578111	0.2082
PLXND1	0.177997836381481	0.466796776202548	0.2081
GALR1	0.032339064994771	0.320099189617498	0.2079
OR5D16	0.0339879926595121	0.320977787343596	0.2073
ZNF503	0.167733079636779	0.455333671192075	0.2073
FOXR1	0.0376034657563561	0.324331185032641	0.2071
PIK3C3	0.0932082764145907	0.380210939938892	0.2071
FRAT1	0.232717289826023	0.519847761911613	0.2067
OR51L1	0.0322032627641545	0.318312569806112	0.2067
CALM1	0.217911545127183	0.504316804927086	0.2063
HES2	0.0405852165575471	0.32612513879544	0.2063
BLZF1	0.183884634319634	0.46986041742107	0.2061
OR2G3	0.0386672991440524	0.323309798089202	0.2057
RUNX3	0.199227621725576	0.484803481453985	0.2057
NGFR	0.0326200258882441	0.316767666229879	0.2053
OR10A7	0	0.283615436035738	0.2051
ZNF195	0.127886379633074	0.412065064099375	0.205
ZNF610	0.278329157140583	0.562919121074948	0.2048
SLC25A22	0	0.282890886752347	0.2046
RAB1A	0.196755143978701	0.480502717667212	0.2045
MAR01604	0	0.282575265191851	0.2043
OR1J4	0	0.282593574113138	0.2043
ZNF551	0.0342721536795687	0.316933129976465	0.2043
ERAS	0.185745649937372	0.46872127902885	0.204
LSM11	0	0.28213271858185	0.204
TBX1	0.0337560170425492	0.316091356169701	0.204
BLK	0	0.281460153689186	0.2035
OR1S2	0.132444829319316	0.414442870659072	0.2035
ADAM9	0.126880031582637	0.408657820395525	0.2033
OR4F21	0.0380949007124719	0.319210239447323	0.2032
KLHL31	0.26058781274744	0.542601361589184	0.203
OR52B6	0.179993625509264	0.46152729092812	0.203
LRBA	0.0381886405152152	0.31892380897055	0.2029
OR52B2	0.0401032257260945	0.32080536540927	0.2029
MAR03802	0	0.279924620155519	0.2025
MAR03804	0	0.279924620155519	0.2025
LGALS9	0.130865876763557	0.411355488455135	0.2024
WNT3A	0.0399004976264909	0.31988508497906	0.2024
LRP1B	0	0.27975940278992	0.2023
OR8D1	0	0.279647130229192	0.2023
RADIL	0	0.279625389044789	0.2022
DNMT3B	0.295360829596687	0.576168089366065	0.202
NAAA	0	0.279206173242585	0.202
TGIF2	0.230613945921014	0.510974211734462	0.202
LCP1	0.252040456324703	0.532323433099801	0.2018
ABL2	0.13602134632036	0.415425255617818	0.2016
MAP3K9	0	0.278662179958313	0.2016
MYCN	0.12261254830583	0.401767649666646	0.2015
PTN	0.133011499994662	0.412027111786574	0.2014
SORBS3	0.0398357253271758	0.318368008071908	0.2013
BCL2L13	0	0.278092723846256	0.2012
ALPL	0	0.277832177004723	0.201
TDGF1	0	0.277818095308835	0.201
CDK8	0.0428645511057356	0.320751824683572	0.2009
CEBPG	0.0383681779334737	0.316161479851809	0.2008
GMPPA	0	0.277552711923556	0.2008
PCMTD2	0	0.27760423671806	0.2008
NRGN	0.130556124019216	0.408641197107921	0.2007
OR5H14	0.0285492493242831	0.306177200506949	0.2007
DUSP22	0.122642361768539	0.400503955831356	0.2006
IL3	0	0.277319372473529	0.2006
ZBTB49	0	0.27734149597535	0.2006
GRK4	0	0.276964892282262	0.2004
TMEM175	0	0.277023422354917	0.2004
CGA	0	0.276797168068581	0.2003
GRK6	0	0.276876740257896	0.2003
PARP2	0	0.276850221513114	0.2003
ROBO2	0	0.276855155635641	0.2003
ZNF141	0.136518700196925	0.414056084115983	0.2003
ARHGEF19	0	0.27666629420507	0.2002
FZD2	0	0.276715695782077	0.2002
ZNF572	0.0426228650560009	0.319546082774143	0.2002
CNN3	0	0.276638497707782	0.2001
NPY5R	0	0.276584123226863	0.2001
OR14I1	0	0.276605134198785	0.2001
ZNF648	0.191055607545932	0.468547792578137	0.2001
HOXA1	0.133864094408162	0.410854114628678	0.1999
DKK3	0	0.276017423769581	0.1997
HEY2	0	0.27602363034679	0.1997
OR4C11	0	0.276023009702175	0.1997
KIAA1671	0	0.275689302169969	0.1995
PLP2	0	0.275794414533829	0.1995
MIB1	0.128001622534926	0.404090966881265	0.1993
ZNF672	0	0.275403397255595	0.1993
C9orf50	0	0.27517747564674	0.1991
GHRH	0.043323295235691	0.318646650122258	0.1991
ZNF721	0.126379070639296	0.402051599262067	0.199
EPB41	0	0.274592784508733	0.1987
APLF	0	0.274523125519267	0.1986
ITGB3	0.0423190426699749	0.317035131153553	0.1986
NPY6R	0	0.27439500785137	0.1986
OR6K6	0	0.274508059291596	0.1986
EPHB3	0	0.274376156547295	0.1985
FAM133B	0	0.274243493089058	0.1985
OR51G2	0	0.274357931065884	0.1985
TNFAIP8	0	0.274293178877438	0.1985
ASB14	0	0.274185607625745	0.1984
FCN1	0.128548978922293	0.403299951586536	0.1984
MAPK8IP1	0.221609856804796	0.496846699400924	0.1984
P2RY12	0.0640484393533696	0.33852169247468	0.1984
SAMD1	0	0.274103140019684	0.1984
TFEB	0.277693611349462	0.553274401610433	0.1984
TYRO3	0	0.274217070259143	0.1984
WDR13	0	0.274130215208145	0.1984
YY2	0	0.274190012844963	0.1984
FASLG	0	0.273972093367737	0.1983
HOXC10	0	0.273822617372831	0.1982
MAR01776	0	0.273893907587258	0.1982
ZNF592	0.196918993761245	0.471828768412581	0.1982
ARSH	0	0.273516200141647	0.1979
ZNF135	0	0.273476978059432	0.1979
ABI3BP	0	0.273228723694097	0.1977
SRGAP2	0.193804956357013	0.467895948203628	0.1977
AGAP1	0.185941722491564	0.459859017820646	0.1976
PLB1	0	0.27299079861	0.1976
ID2	0.185366539630011	0.459167930410808	0.1975
RAB40A	0	0.272890424556213	0.1975
TREML2	0	0.272835122764661	0.1975
TSC22D2	0	0.272865636957056	0.1975
CD33	0.0294338998381053	0.302161358865245	0.1973
GAS1	0	0.272546160670984	0.1973
USF1	0.131181498242634	0.404382913436231	0.1973
PCSK7	0.193682443294948	0.467181494895661	0.1972
POU4F2	0	0.272431419220343	0.1972
OR5AP2	0	0.272190776600082	0.197
TFCP2L1	0	0.272164579503076	0.197
FAR1	0	0.272096187020706	0.1969
EWSR1	0.187216584798461	0.460077003520711	0.1968
RBL2	0	0.271838278767507	0.1968
NEO1	0.224928031726396	0.497749593066603	0.1967
ZMAT1	0.0285492493242831	0.300283840746831	0.1966
FOXD4L6	0	0.271439227243122	0.1965
GYG1	0	0.271468137962954	0.1965
