tf	confidence	target	mor
CEBPA	A	RB1	1
CEBPA	A	RNASE2	1
CEBPA	A	S100A9	1
CEBPA	A	SAA1	1
CEBPA	A	SCD	1
CEBPA	A	SERPINC1	1
CEBPA	A	SFTPD	1
CEBPA	A	SLC10A1	1
CEBPA	A	SLC9A1	1
CEBPA	A	SMYD2	1
CEBPA	A	SOCS3	1
CEBPA	A	SOD1	1
CEBPA	A	SP1	1
CEBPA	A	SPI1	1
CEBPA	A	SPIDR	1
CEBPA	A	SPP1	1
CEBPA	A	SREBF1	1
CEBPA	A	SREBF2	1
CEBPA	A	STAR	1
CEBPA	A	STAT3	1
CEBPA	A	TF	1
CEBPA	A	THOC1	1
CEBPA	A	TIMP2	1
CEBPA	A	TK1	1
CEBPA	A	TNFAIP3	1
CEBPA	A	TNFRSF1A	1
CEBPA	A	TOP2A	1
CEBPA	A	TSC22D3	1
CEBPA	A	UBE2L3	1
CEBPA	A	UHRF1	1
CEBPA	A	VLDLR	1
CEBPA	A	XDH	1
CEBPB	A	ABCB1	1
CEBPB	A	ADM	1
CEBPB	A	ALB	1
CEBPB	A	ASNS	1
CEBPB	A	BCL2L1	1
CEBPB	A	CDKN1A	1
CEBPB	A	CRP	1
CEBPB	A	CSF3R	1
CEBPB	A	CSH2	1
CEBPB	A	CSRP1	1
CEBPB	A	CXCL8	1
CEBPB	A	CYP19A1	-1
CEBPB	A	F8	1
CEBPB	A	FASLG	1
CEBPB	A	FOS	1
CEBPB	A	FURIN	1
CEBPB	A	GADD45G	1
CEBPB	A	GFER	-1
CEBPB	A	HP	1
CEBPB	A	IGF2	1
CEBPB	A	IL10	1
CEBPB	A	IL12B	1
CEBPB	A	IL1B	1
CEBPB	A	IL24	1
CEBPB	A	IL3	1
CEBPB	A	IL4	1
CEBPB	A	IL5	1
CEBPB	A	IL6	1
CEBPB	A	INSR	1
CEBPB	A	PRL	1
CEBPB	A	PTGS2	1
CEBPB	A	S100A9	1
CEBPB	A	SAA1	1
CEBPB	A	SAA2	1
CEBPB	A	SFTPD	1
CEBPB	A	SLC10A1	1
CEBPB	A	SLC19A1	1
CEBPB	A	STAR	1
CEBPB	A	TNF	1
CEBPB	A	TNFAIP6	1
CEBPB	A	TOP1	1
CEBPB	A	XBP1	1
CEBPD	B	ALOX5AP	1
CEBPD	B	C3	1
CEBPD	B	CFTR	1
CEBPD	B	CYP19A1	-1
CEBPD	B	GADD45G	1
CEBPD	B	GAPDH	1
CEBPD	B	POU5F1	1
CEBPD	B	PTGS2	1
CEBPD	B	TNF	1
CEBPD	B	CCND1	1
CEBPD	B	GRAMD1A	1
CEBPD	B	IL6	1
CEBPD	B	NFIL3	1
CEBPD	B	TF	1
CREB1	A	ADRA1A	1
CREB1	A	AQP2	1
CREB1	A	AQP3	1
CREB1	A	BCL2	1
CREB1	A	BDKRB1	1
CREB1	A	BDNF	1
CREB1	A	CCL5	1
CREB1	A	CCND1	1
CREB1	A	CD4	1
CREB1	A	CDK11A	1
CREB1	A	CGA	1
CREB1	A	CIITA	1
CREB1	A	CPT1A	1
CREB1	A	CXCR4	1
CREB1	A	CYP11A1	1
CREB1	A	CYP11B1	1
CREB1	A	CYP11B2	1
CREB1	A	CYP17A1	1
CREB1	A	CYP19A1	1
CREB1	A	DBH	1
CREB1	A	DIO2	1
CREB1	A	EGR1	1
CREB1	A	ERBB2	1
CREB1	A	ETV3	1
CREB1	A	FLT1	1
CREB1	A	FN1	1
CREB1	A	FOS	1
CREB1	A	G6PC	1
CREB1	A	HLA-DOB	1
CREB1	A	HLA-DQB1	1
CREB1	A	HLA-DRA	1
CREB1	A	HMOX1	-1
CREB1	A	HPGD	1
CREB1	A	IFNG	1
CREB1	A	IL10	1
CREB1	A	IL2	1
CREB1	A	IL5RA	1
CREB1	A	IL6	1
CREB1	A	INS	1
CREB1	A	JUN	-1
CREB1	A	MITF	1
CREB1	A	MSMB	1
CREB1	A	MUC4	1
CREB1	A	MUC5AC	1
CREB1	A	NF1	1
CREB1	A	NOLC1	1
CREB1	A	NPY	1
CREB1	A	NR4A2	1
CREB1	A	NR4A3	1
CREB1	A	NTS	1
CREB1	A	ODC1	1
CREB1	A	PCK1	1
CREB1	A	PCK2	1
CREB1	A	PCSK1	1
CREB1	A	PDYN	1
CREB1	A	PLAT	-1
CREB1	A	POLD2	1
CREB1	A	PPP2CA	1
CREB1	A	PSEN1	1
CREB1	A	PTGS2	1
CREB1	A	RARB	1
CREB1	A	REN	1
CREB1	A	RRM2B	1
CREB1	A	SLC19A1	1
CREB1	A	SLC20A1	1
CREB1	A	SPRY2	1
CREB1	A	STAR	1
CREB1	A	TG	1
CREB1	A	TH	1
CREB1	A	TRH	1
CREB1	A	UCP1	1
CREB1	A	UGT8	1
CREB1	A	UXT	1
CREB1	A	VEGFA	1
CREB1	A	VIP	1
CTCF	A	ABCA2	1
CTCF	A	ACKR3	1
CTCF	A	ACTR3	-1
CTCF	A	ACVR1C	1
CTCF	A	AHCYL1	1
CTCF	A	AKT1	-1
CTCF	A	ALDH1A3	-1
CTCF	A	ANG	1
CTCF	A	ANKRD46	1
CTCF	A	APP	1
CTCF	A	ARL2	-1
CTCF	A	ASAP2	1
CTCF	A	ATN1	1
CTCF	A	ATXN7	1
CTCF	A	B4GALNT1	1
CTCF	A	BATF2	1
CTCF	A	BBC3	1
CTCF	A	BCL2L14	-1
CTCF	A	BCL6	-1
CTCF	A	BICD2	1
CTCF	A	C1R	1
CTCF	A	CCL16	1
CTCF	A	CCND1	1
CTCF	A	CD80	1
CTCF	A	CDKN2A	1
CTCF	A	CELSR3	1
CTCF	A	CEP135	1
CTCF	A	CFTR	1
CTCF	A	CHRNA6	1
CTCF	A	CIDEB	1
CTCF	A	CNIH1	1
CTCF	A	COL27A1	1
CTCF	A	COMMD2	-1
CTCF	A	CSF2	1
CTCF	A	CT45A5	1
CTCF	A	DEFB123	1
CTCF	A	DIP2B	1
CTCF	A	DMKN	1
CTCF	A	DMPK	1
CTCF	A	ELP5	1
CTCF	A	EPHB1	1
CTCF	A	EPX	1
CTCF	A	ESRP2	-1
CTCF	A	ETNK2	1
CTCF	A	FBXO7	1
CTCF	A	GALNT6	1
CTCF	A	GALT	1
CTCF	A	GAS7	1
CTCF	A	GPR156	-1
CTCF	A	GRIN3A	1
CTCF	A	H19	1
CTCF	A	HAUS7	-1
CTCF	A	HEBP2	1
CTCF	A	HMCN1	1
CTCF	A	HS1BP3	1
CTCF	A	HSPA5	1
CTCF	A	IGF2	1
CTCF	A	IL19	1
CTCF	A	IPO13	1
CTCF	A	IRAK2	1
CTCF	A	KSR1	1
CTCF	A	LPIN3	1
CTCF	A	LRRC59	1
CTCF	A	MB	1
CTCF	A	MCM10	1
CTCF	A	MEG3	1
CTCF	A	MMP10	-1
CTCF	A	MRPL17	1
CTCF	A	MYC	-1
CTCF	A	MYD88	1
CTCF	A	NBN	1
CTCF	A	NCBP3	1
CTCF	A	NES	1
CTCF	A	NF1	1
CTCF	A	NFE2L2	1
CTCF	A	NPC1	-1
CTCF	A	NT5C3A	-1
CTCF	A	PAGE4	-1
CTCF	A	PBXIP1	1
CTCF	A	PLXNB3	1
CTCF	A	PMPCB	1
CTCF	A	POMT2	1
CTCF	A	POU1F1	1
CTCF	A	PPARD	1
CTCF	A	PPRC1	1
CTCF	A	PRNT	-1
CTCF	A	PRSS35	1
CTCF	A	PTPA	1
CTCF	A	PTPRG	1
CTCF	A	RAD21	1
CTCF	A	RARRES1	1
CTCF	A	RBL2	1
CTCF	A	RBM39	-1
CTCF	A	RBMS3	-1
CTCF	A	RPL39L	1
CTCF	A	RPP30	1
CTCF	A	S100Z	-1
CTCF	A	SIX5	1
CTCF	A	SLC6A4	1
CTCF	A	SMIM7	1
CTCF	A	STAB2	-1
CTCF	A	TBC1D14	1
CTCF	A	TERT	-1
CTCF	A	TMBIM6	1
CTCF	A	TNFRSF18	-1
CTCF	A	TRAPPC6A	1
CTCF	A	TRO	-1
CTCF	A	TSFM	1
CTCF	A	TSPAN16	1
CTCF	A	TYSND1	1
CTCF	A	WT1	1
CTCF	A	ZNF20	1
CTCF	A	ZNF462	-1
CTCF	A	ZNF613	1
CTCF	A	ZNF763	-1
CTCF	A	ZNF804B	1
CTCF	A	ZNHIT2	-1
E2F1	A	AARS1	1
E2F1	A	ABCA1	1
E2F1	A	ACSL1	1
E2F1	A	ACTR2	1
E2F1	A	ADH6	1
E2F1	A	AK3	1
E2F1	A	ALOX5AP	1
E2F1	A	AMPD3	1
E2F1	A	ANKRD16	1
E2F1	A	APAF1	1
E2F1	A	AR	-1
E2F1	A	ARHGEF17	1
E2F1	A	ARL10	1
E2F1	A	ARMC8	1
E2F1	A	ASCC2	1
E2F1	A	ASF1B	1
E2F1	A	ATAD2	1
E2F1	A	ATG10	1
E2F1	A	ATM	1
E2F1	A	AURKA	1
E2F1	A	AXIN2	1
E2F1	A	B4GALT1	1
E2F1	A	BBC3	1
E2F1	A	BCL2	1
E2F1	A	BDH1	1
E2F1	A	BHLHE40	1
E2F1	A	BIN1	1
E2F1	A	BIRC5	1
E2F1	A	BLVRA	1
E2F1	A	BMI1	1
E2F1	A	BMP4	1
E2F1	A	BNIP3	1
E2F1	A	BRCA1	1
E2F1	A	BRD2	1
E2F1	A	CASP7	1
E2F1	A	CASR	1
E2F1	A	CBS	1
E2F1	A	CBX5	1
E2F1	A	CCDC7	1
E2F1	A	CCNA2	1
E2F1	A	CCND1	1
E2F1	A	CCND3	1
E2F1	A	CCNE1	1
E2F1	A	CCNE2	1
E2F1	A	CD2AP	1
E2F1	A	CD72	1
E2F1	A	CDAN1	1
E2F1	A	CDC25A	1
E2F1	A	CDC45	1
E2F1	A	CDC6	1
E2F1	A	CDCA4	1
E2F1	A	CDCA7	1
E2F1	A	CDH20	1
E2F1	A	CDH5	1
E2F1	A	CDK1	1
E2F1	A	CDKN1A	1
E2F1	A	CDKN1C	1
E2F1	A	CDKN2A	1
E2F1	A	CDKN2C	1
E2F1	A	CDT1	1
E2F1	A	CELF1	1
E2F1	A	CHKA	1
E2F1	A	CLASP2	1
E2F1	A	CLDN23	1
E2F1	A	CLDN5	1
E2F1	A	CNIH4	1
E2F1	A	COQ2	1
E2F1	A	COX15	1
E2F1	A	CSRNP3	1
E2F1	A	CTNNBIP1	1
E2F1	A	CTNND2	1
E2F1	A	CTSV	1
E2F1	A	CUL5	1
E2F1	A	CUX1	1
E2F1	A	DAPK2	1
E2F1	A	DBF4	1
E2F1	A	DCC	1
E2F1	A	DCLRE1C	1
E2F1	A	DDIT4	1
E2F1	A	DGKI	1
E2F1	A	DHFR	1
E2F1	A	DIRAS2	1
E2F1	A	DIRAS3	-1
E2F1	A	DNMT1	1
E2F1	A	DPF2	1
E2F1	A	DRAM1	1
E2F1	A	DTL	1
E2F1	A	DUSP1	1
E2F1	A	DUSP4	1
E2F1	A	DYNC1I2	1
E2F1	A	E2F3	1
E2F1	A	E2F6	1
E2F1	A	ECT2	1
E2F1	A	EGF	1
E2F1	A	EGFR	1
E2F1	A	EIF3A	1
E2F1	A	ENPEP	1
E2F1	A	ERCC1	1
E2F1	A	ERCC8	1
E2F1	A	ETV4	1
E2F1	A	EYA2	1
E2F1	A	FAM184A	1
E2F1	A	FANCA	1
E2F1	A	FANCD2	1
E2F1	A	FBXO43	1
E2F1	A	FBXO5	1
E2F1	A	FGFR1	1
E2F1	A	FH	1
E2F1	A	FHIT	-1
E2F1	A	FLT1	1
E2F1	A	FOXA2	1
E2F1	A	FOXM1	1
E2F1	A	GALC	1
E2F1	A	GATA3	1
E2F1	A	GINS3	1
E2F1	A	GMNN	1
E2F1	A	GNL3	1
E2F1	A	GPR158	1
E2F1	A	GRIK5	1
E2F1	A	H19	1
E2F1	A	H2AC17	1
E2F1	A	H2BC11	1
E2F1	A	H4C8	1
E2F1	A	HAT1	1
E2F1	A	HBA2	1
E2F1	A	HELLS	1
E2F1	A	HERPUD1	1
E2F1	A	HFE	1
E2F1	A	HIC1	1
E2F1	A	HIVEP1	1
E2F1	A	HMGA1	1
E2F1	A	HOXB9	1
E2F1	A	HSPA5	-1
E2F1	A	HSPD1	1
E2F1	A	IER3	1
E2F1	A	IFT80	1
E2F1	A	IL12RB1	1
E2F1	A	IL1B	1
E2F1	A	IQCK	1
E2F1	A	IRF3	-1
E2F1	A	IRF4	1
E2F1	A	ISYNA1	1
E2F1	A	ITGAL	1
E2F1	A	JPH2	1
E2F1	A	JUN	1
E2F1	A	KCNG4	1
E2F1	A	KCNJ16	1
E2F1	A	KCNJ2	1
E2F1	A	KCNK10	1
E2F1	A	KDM4C	1
E2F1	A	KDR	1
E2F1	A	KIF23	1
E2F1	A	KIF24	1
E2F1	A	KIF2C	1
E2F1	A	KIR3DL1	1
E2F1	A	KLF10	1
E2F1	A	KRT75	1
E2F1	A	LINGO1	1
E2F1	A	LMO1	1
E2F1	A	LYPLAL1	1
E2F1	A	MAP1LC3A	1
E2F1	A	MAP1LC3B	1
E2F1	A	MAP2K6	1
E2F1	A	MAP3K14	1
E2F1	A	MAP3K5	1
E2F1	A	MAPK1	1
E2F1	A	MAPK8	1
E2F1	A	MCM10	1
E2F1	A	MCM5	1
E2F1	A	MCM6	1
E2F1	A	MCM7	1
E2F1	A	MCM8	1
E2F1	A	MCM9	1
E2F1	A	MCMDC2	1
E2F1	A	MCPH1	1
E2F1	A	MDM2	-1
E2F1	A	MEFV	1
E2F1	A	MEIS1	1
E2F1	A	MEMO1	1
E2F1	A	MIPEP	1
E2F1	A	MIR202	1
E2F1	A	MPPED2	1
E2F1	A	MPST	1
E2F1	A	MRAS	1
E2F1	A	MT1G	1
E2F1	A	MT1X	1
E2F1	A	MUC4	1
E2F1	A	MXI1	1
E2F1	A	MYB	1
E2F1	A	MYBL2	1
E2F1	A	MYC	1
E2F1	A	MYCN	1
E2F1	A	MYH10	1
E2F1	A	NCOA3	1
E2F1	A	NDC1	1
E2F1	A	NDUFAB1	1
E2F1	A	NDUFAF6	1
E2F1	A	NEK4	1
E2F1	A	NELL2	1
E2F1	A	NLRP5	1
E2F1	A	NOL9	1
E2F1	A	NPAT	1
E2F1	A	NTNG2	1
E2F1	A	OCA2	1
E2F1	A	OSR1	1
E2F1	A	PALD1	1
E2F1	A	PAX2	1
E2F1	A	PCBD2	1
E2F1	A	PCNA	1
E2F1	A	PCSK6	1
E2F1	A	PDK4	1
E2F1	A	PDPN	1
E2F1	A	PDXK	1
E2F1	A	PEG3	1
E2F1	A	PHLDB1	1
E2F1	A	PIGU	1
E2F1	A	PIK3R5	1
E2F1	A	PLAUR	1
E2F1	A	PLEKHB1	1
E2F1	A	PLEKHF2	1
E2F1	A	PLK1	1
E2F1	A	PLK4	1
E2F1	A	PNRC2	-1
E2F1	A	POLA1	1
E2F1	A	POLA2	1
E2F1	A	POLD1	1
E2F1	A	POLE2	1
E2F1	A	POLR3A	1
E2F1	A	POU2AF1	1
E2F1	A	PPARG	1
E2F1	A	PPP1R13B	1
E2F1	A	PPP2R2D	1
E2F1	A	PRDM1	1
E2F1	A	PRIM2	1
E2F1	A	PRKDC	1
E2F1	A	PTPRO	1
E2F1	A	RAB40C	1
E2F1	A	RACGAP1	1
E2F1	A	RAD18	1
E2F1	A	RAD51	1
E2F1	A	RALGDS	1
E2F1	A	RASGEF1B	1
E2F1	A	RASGRP1	1
E2F1	A	RASSF8	1
E2F1	A	RB1	1
E2F1	A	RBM38	1
E2F1	A	RELA	1
E2F1	A	RFC2	1
E2F1	A	RNF128	1
E2F1	A	RRM1	1
E2F1	A	RRM2	1
E2F1	A	RRP1B	1
E2F1	A	RTN4	1
E2F1	A	RXRG	1
E2F1	A	SAFB	1
E2F1	A	SCARF1	1
E2F1	A	SCN8A	1
E2F1	A	SEPHS1	1
E2F1	A	SERPINE1	-1
E2F1	A	SEZ6L2	1
E2F1	A	SIAH1	1
E2F1	A	SKP2	1
E2F1	A	SLC14A2	1
E2F1	A	SLC35F3	1
E2F1	A	SLC35G1	1
E2F1	A	SLC6A19	1
E2F1	A	SLX4	1
E2F1	A	SMARCA5	1
E2F1	A	SNTB2	1
E2F1	A	SOCS2	1
E2F1	A	SP110	1
E2F1	A	SP3	-1
E2F1	A	SPOCK1	1
E2F1	A	SSTR1	1
E2F1	A	ST13	1
E2F1	A	STAM	1
E2F1	A	STX11	1
E2F1	A	SUCLG1	1
E2F1	A	SYNE2	1
E2F1	A	TAF5L	1
E2F1	A	TBC1D16	1
E2F1	A	TERT	-1
E2F1	A	TGFB2	1
E2F1	A	THBS1	1
E2F1	A	THOC5	1
E2F1	A	TK1	1
E2F1	A	TMBIM1	1
E2F1	A	TMCO5A	1
E2F1	A	TMEM132A	1
E2F1	A	TMEM47	1
E2F1	A	TNFSF11	1
E2F1	A	TOP1	1
E2F1	A	TOP2A	1
E2F1	A	TOR1B	1
E2F1	A	TP53	1
E2F1	A	TP53BP2	1
E2F1	A	TP73	1
E2F1	A	TRERF1	1
E2F1	A	TRIT1	1
E2F1	A	TRPM2	1
E2F1	A	TSNARE1	1
E2F1	A	TXNDC15	1
