ID,NAME,EQUATION,GENE ASSOCIATION,SUBSYSTEM
MAR04521,NA,glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r],ENSG00000131482 or ENSG00000141349 or ENSG00000152254,Glycolysis / Gluconeogenesis
MAR06410,NA,H+[m] + lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m],(ENSG00000131828 and ENSG00000168291) or (ENSG00000163114 and ENSG00000168291),Glycolysis / Gluconeogenesis
MAR06412,NA,CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m],(ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291) or (ENSG00000091140 and ENSG00000150768 and ENSG00000163114 and ENSG00000168291),Glycolysis / Gluconeogenesis
MAR07745,NA,beta-D-glucose[c] <=> glucose[c],ENSG00000143891,Glycolysis / Gluconeogenesis
MAR07747,NA,ADP[c] + glucose[c] => AMP[c] + glucose-6-phosphate[c] + H+[c],ENSG00000159322,Glycolysis / Gluconeogenesis
MAR08360,NA,ethanol[x] + H2O2[x] => acetaldehyde[x] + 2 H2O[x],ENSG00000121691,Glycolysis / Gluconeogenesis
MAR08652,NA,carbamoyl-phosphate[r] + glucose[r] => CO2[r] + glucose-6-phosphate[r] + NH3[r],ENSG00000131482 or ENSG00000141349 or ENSG00000152254,Glycolysis / Gluconeogenesis
MAR08757,NA,ethanol[c] + H+[c] + NADPH[c] + O2[c] => acetaldehyde[c] + 2 H2O[c] + NADP+[c],ENSG00000130649,Glycolysis / Gluconeogenesis
MAR03989,NA,H2O[e] + maltose[e] => 2 glucose[e],ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,Starch and sucrose metabolism
MAR04122,NA,H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 3 H+[c] + 2 NADH[c] + UDP-glucuronate[c],ENSG00000109814,Starch and sucrose metabolism
MAR04837,NA,H2O[e] + trehalose[e] => 2 glucose[e],ENSG00000118094 or ENSG00000142102,Starch and sucrose metabolism
MAR05395,NA,glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 H+[c] + 8 UDP[c],ENSG00000056998 or ENSG00000163754,Starch and sucrose metabolism
MAR05396,NA,glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 H+[c] + 3 UDP[c],ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754,Starch and sucrose metabolism
MAR09727,NA,UDP-glucose[c] => H+[c] + UDP[c] + glycogen[c],ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281,Starch and sucrose metabolism
MAR05397,NA,glycogenin G11[c] => glycogenin G4G7[c],ENSG00000114480,Starch and sucrose metabolism
MAR05398,NA,glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c],ENSG00000068976 or ENSG00000100504 or ENSG00000100994,Starch and sucrose metabolism
MAR05399,NA,glycogenin G4G4[c] => glycogenin G7G1[c],ENSG00000162688,Starch and sucrose metabolism
MAR05400,NA,glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c],ENSG00000162688,Starch and sucrose metabolism
MAR05401,NA,glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c],ENSG00000068976 or ENSG00000100504 or ENSG00000100994,Starch and sucrose metabolism
MAR08568,NA,H2O[c] + maltodecaose[c] => fructose[c] + maltononaose[c],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08569,NA,H2O[e] + maltodecaose[e] => glucose[e] + maltononaose[e],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08570,NA,2 H2O[c] + maltononaose[c] => 2 fructose[c] + maltoheptaose[c],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08571,NA,2 H2O[e] + maltononaose[e] => 2 glucose[e] + maltoheptaose[e],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08572,NA,H2O[c] + maltoheptaose[c] => fructose[c] + maltohexaose[c],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08573,NA,H2O[e] + maltoheptaose[e] => glucose[e] + maltohexaose[e],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08574,NA,H2O[c] + maltohexaose[c] => fructose[c] + maltopentaose[c],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08575,NA,H2O[e] + maltohexaose[e] => glucose[e] + maltopentaose[e],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08576,NA,H2O[c] + maltopentaose[c] => fructose[c] + maltotetraose[c],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08577,NA,H2O[e] + maltopentaose[e] => glucose[e] + maltotetraose[e],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08578,NA,H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08579,NA,H2O[e] + maltotetraose[e] => glucose[e] + maltotriose[e],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08581,NA,H2O[e] + maltotriose[e] => glucose[e] + maltose[e],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08591,NA,H2O[c] + maltotriose[c] => glucose[c] + maltose[c],ENSG00000214013 or ENSG00000257335,Starch and sucrose metabolism
MAR08592,NA,H2O[l] + maltotriose[l] => glucose[l] + maltose[l],ENSG00000171298,Starch and sucrose metabolism
MAR08580,NA,H2O[c] + maltotriose[c] => fructose[c] + maltose[c],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08582,NA,H2O[c] + maltose[c] => 2 fructose[c],ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,Starch and sucrose metabolism
MAR08587,NA,H2O[c] + maltose[c] => 2 glucose[c],ENSG00000214013 or ENSG00000257335,Starch and sucrose metabolism
MAR08589,NA,H2O[l] + maltose[l] => 2 glucose[l],ENSG00000171298,Starch and sucrose metabolism
MAR08583,NA,8 H2O[e] + starch structure 1[e] => 8 glucose[e] + starch structure 2[e],ENSG00000257335,Starch and sucrose metabolism
MAR08584,NA,H2O[e] + starch structure 2[e] => glucose[e] + maltose[e],ENSG00000090402,Starch and sucrose metabolism
MAR08585,NA,"1,3-bisphospho-D-glycerate[c] + glucose-1-phosphate[c] => 3-phospho-D-glycerate[c] + glucose-1,6-bisphosphate[c]",ENSG00000165434,Starch and sucrose metabolism
MAR03944,NA,glucose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-glucose[c],ENSG00000169764,Galactose metabolism
MAR04128,NA,UDP-galactose[c] <=> UDP-glucose[c],ENSG00000117308,Galactose metabolism
MAR04130,NA,ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c] + H+[c],ENSG00000108479 or ENSG00000156958,Galactose metabolism
MAR04131,NA,glucose-1-phosphate[c] + UDP-galactose[c] <=> alpha-D-galactose-1-phosphate[c] + UDP-glucose[c],ENSG00000213930,Galactose metabolism
MAR04132,NA,galactose-1-phosphate[c] + UDP-glucose[c] => glucose-1-phosphate[c] + UDP-galactose[c],ENSG00000213930,Galactose metabolism
MAR04303,NA,H2O[e] + sucrose[e] => fructose[e] + glucose[e],ENSG00000090402 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,Galactose metabolism
MAR04414,NA,ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c] + H+[c],ENSG00000108479 or ENSG00000156958 or ENSG00000166262,Galactose metabolism
MAR04415,NA,H2O[e] + lactose[e] => galactose[e] + glucose[e],ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167,Galactose metabolism
MAR04416,NA,galactosylglycerol[e] + H2O[e] => galactose[e] + glycerol[e],ENSG00000102393 or ENSG00000170266 or ENSG00000241343,Galactose metabolism
MAR04774,NA,"CDP[c] + H+[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]",ENSG00000067057 or ENSG00000141959 or ENSG00000152556,Galactose metabolism
MAR04775,NA,"D-tagatose-6-phosphate[c] + ITP[c] <=> H+[c] + IDP[c] + tagatose-1,6-bisphosphate[c]",ENSG00000067057 or ENSG00000141959 or ENSG00000152556,Galactose metabolism
MAR04831,NA,lactose[e] + NAD+[e] <=> 3-ketolactose[e] + H+[e] + NADH[e],NA,Galactose metabolism
MAR04832,NA,3-keto-beta-D-galactose[e] + glucose[e] <=> 3-ketolactose[e] + H2O[e],ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167,Galactose metabolism
MAR07674,NA,glucose[g] + UDP-galactose[g] => H+[g] + lactose[g] + UDP[g],ENSG00000086062 or ENSG00000117411 or ENSG00000167531,Galactose metabolism
MAR08761,NA,ATP[c] + D-tagatose[c] => ADP[c] + D-tagatose-6-phosphate[c] + H+[c],ENSG00000138030,Galactose metabolism
MAR08762,NA,D-tagatose-6-phosphate[c] <=> DHAP[c] + glyceraldehyde[c],ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,Galactose metabolism
MAR08764,NA,H2O[l] + lactose[l] => galactose[l] + glucose[l],ENSG00000115850,Galactose metabolism
MAR08766,NA,galactose[c] + H+[c] + NADPH[c] <=> galactitol[c] + NADP+[c],ENSG00000085662 or ENSG00000198074,Galactose metabolism
MAR08767,NA,alpha-D-galactose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-galactose[c],ENSG00000213930,Galactose metabolism
MAR00454,NA,ATP[c] + glyceraldehyde[c] => ADP[c] + GAP[c] + H+[c],NA,Fructose and mannose metabolism
MAR04297,NA,"ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2,6-bisphosphate[c] + H+[c]",ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525,Fructose and mannose metabolism
MAR04310,NA,ATP[c] + fructose[c] => ADP[c] + fructose-1-phosphate[c] + H+[c],ENSG00000138030,Fructose and mannose metabolism
MAR04315,NA,D-glucitol[c] + NAD+[c] <=> fructose[c] + H+[c] + NADH[c],ENSG00000140263,Fructose and mannose metabolism
MAR04316,NA,D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c],ENSG00000085662 or ENSG00000198074,Fructose and mannose metabolism
MAR04317,NA,ATP[c] + D-glucitol[c] => ADP[c] + H+[c] + sorbitol-3-phosphate[c],ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456,Fructose and mannose metabolism
MAR04318,NA,ATP[c] + fructose[c] => ADP[c] + fructose-3-phosphate[c] + H+[c],ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456,Fructose and mannose metabolism
MAR04319,NA,ATP[c] + fructose[c] => ADP[c] + fructose-6-phosphate[c] + H+[c],ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,Fructose and mannose metabolism
MAR04320,NA,"ATP[c] + mannose-1-phosphate[c] => ADP[c] + D-mannose-1,6-bisphosphate[c] + H+[c]",ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456,Fructose and mannose metabolism
MAR04356,NA,DHAP[c] + glyceraldehyde[c] => fructose-1-phosphate[c],ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043,Fructose and mannose metabolism
MAR04383,NA,fructose-6-phosphate[c] <=> mannose-6-phosphate[c],ENSG00000178802,Fructose and mannose metabolism
MAR04385,NA,mannose-6-phosphate[c] => mannose-1-phosphate[c],ENSG00000100413 or ENSG00000100417 or ENSG00000140650,Fructose and mannose metabolism
MAR04386,NA,GDP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + Pi[c],ENSG00000144591 or ENSG00000164068 or ENSG00000173540 or ENSG00000176020,Fructose and mannose metabolism
MAR04387,NA,GTP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + PPi[c],ENSG00000144591 or ENSG00000173540 or ENSG00000176020,Fructose and mannose metabolism
MAR04399,NA,GDP-mannose[c] => GDP-4-dehydro-6-deoxy-D-mannose[c] + H2O[c],ENSG00000112699,Fructose and mannose metabolism
MAR04400,NA,GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADH[c] => GDP-L-fucose[c] + NAD+[c],ENSG00000104522,Fructose and mannose metabolism
MAR04401,NA,GDP-L-fucose[c] + PPi[c] <=> GTP[c] + H+[c] + L-fucose-1-phosphate[c],ENSG00000116783 or ENSG00000254685 or ENSG00000259030,Fructose and mannose metabolism
MAR04402,NA,6-deoxy-L-galactose[c] + ATP[c] <=> ADP[c] + H+[c] + L-fucose-1-phosphate[c],ENSG00000157353,Fructose and mannose metabolism
MAR04403,NA,6-deoxy-L-galactose[c] => L-fuculose[c],NA,Fructose and mannose metabolism
MAR04490,NA,ATP[c] + mannose[c] => ADP[c] + H+[c] + mannose-6-phosphate[c],ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,Fructose and mannose metabolism
MAR04706,NA,"fructose-2,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]",ENSG00000078237 or ENSG00000108813 or ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525,Fructose and mannose metabolism
MAR08768,NA,GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADPH[c] => GDP-L-fucose[c] + NADP+[c],ENSG00000104522,Fructose and mannose metabolism
MAR04590,NA,H+[c] + L-xylulose[c] + NADPH[c] => NADP+[c] + xylitol[c],ENSG00000169738,Pentose and glucuronate interconversions
MAR04591,NA,NAD+[c] + xylitol[c] => H+[c] + L-xylulose[c] + NADH[c],ENSG00000115425 or ENSG00000116353,Pentose and glucuronate interconversions
MAR04592,NA,D-xylose[c] + H+[c] + NADPH[c] <=> NADP+[c] + xylitol[c],ENSG00000085662 or ENSG00000198074,Pentose and glucuronate interconversions
MAR04593,NA,NAD+[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c],ENSG00000140263,Pentose and glucuronate interconversions
MAR04594,NA,D-xylose[c] + NADP+[c] => D-xylonolactone[c] + H+[c] + NADPH[c],ENSG00000104808,Pentose and glucuronate interconversions
MAR04595,NA,ADP[c] + D-xylulose-5-phosphate[c] + H+[c] <=> ATP[c] + D-xylulose[c],ENSG00000093217,Pentose and glucuronate interconversions
MAR08341,NA,H+[c] + L-arabinose[c] + NADPH[c] => L-arabitol[c] + NADP+[c],ENSG00000053371 or ENSG00000085662 or ENSG00000117448,Pentose and glucuronate interconversions
MAR08342,NA,H+[c] + L-xylulose[c] + NADH[c] <=> L-arabitol[c] + NAD+[c],NA,Pentose and glucuronate interconversions
MAR08344,NA,glucuronate[r] + H+[r] + NADPH[r] <=> L-gulonate[r] + NADP+[r],ENSG00000117448,Pentose and glucuronate interconversions
MAR08352,NA,3-dehydro-L-gulonate[c] + H+[c] + NADH[c] <=> L-gulonate[c] + NAD+[c],ENSG00000165475,Pentose and glucuronate interconversions
MAR08353,NA,3-dehydro-L-gulonate[c] + H+[c] <=> CO2[c] + L-xylulose[c],NA,Pentose and glucuronate interconversions
MAR08726,NA,ATP[c] + D-ribulose[c] => ADP[c] + H+[c] + ribulose-5-phosphate[c],ENSG00000171174,Pentose and glucuronate interconversions
MAR08727,NA,H2O[c] + UDP-glucuronate[c] => D-glucuronate 1-phosphate[c] + 2 H+[c] + UMP[c],ENSG00000120697,Pentose and glucuronate interconversions
MAR08728,NA,D-glucuronate 1-phosphate[c] + H2O[c] => glucuronate[c] + Pi[c],NA,Pentose and glucuronate interconversions
MAR08729,NA,H2O[c] + UDP-glucuronate[c] => glucuronate[c] + H+[c] + UDP[c],ENSG00000115652,Pentose and glucuronate interconversions
MAR06537,NA,glucuronate[c] + H+[c] + NADPH[c] <=> L-gulonate[c] + NADP+[c],ENSG00000117448,Pentose and glucuronate interconversions
MAR01568,NA,acetaldehyde[c] + H2O[c] + NAD+[c] => acetate[c] + 2 H+[c] + NADH[c],ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,Pyruvate metabolism
MAR03853,NA,GSH[c] + methylglyoxal[c] => (R)-S-lactoylglutathione[c],ENSG00000124767 or ENSG00000167699,Pyruvate metabolism
MAR03854,NA,H+[c] + methylglyoxal[c] + NADH[c] => lactaldehyde[c] + NAD+[c],ENSG00000085662 or ENSG00000198074,Pyruvate metabolism
MAR03855,NA,"H+[c] + lactaldehyde[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]",ENSG00000085662 or ENSG00000198074,Pyruvate metabolism
MAR03857,NA,(R)-S-lactoylglutathione[c] + H2O[c] => D-lactate[c] + GSH[c] + H+[c],ENSG00000063854 or ENSG00000103253,Pyruvate metabolism
MAR03859,NA,D-lactate[c] + 2 ferricytochrome C[m] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c],ENSG00000166816 or ENSG00000182224,Pyruvate metabolism
MAR04087,NA,malate[m] + NAD+[m] => CO2[m] + NADH[m] + pyruvate[m],ENSG00000082212 or ENSG00000151376,Pyruvate metabolism
MAR04089,NA,malate[c] + NADP+[c] => CO2[c] + NADPH[c] + pyruvate[c],ENSG00000013392 or ENSG00000065833,Pyruvate metabolism
MAR04091,NA,malate[m] + NADP+[m] => CO2[m] + NADPH[m] + pyruvate[m],ENSG00000082212 or ENSG00000151376,Pyruvate metabolism
MAR04093,NA,acetyl-CoA[c] + H2O[c] => acetate[c] + CoA[c] + H+[c],ENSG00000172497,Pyruvate metabolism
MAR04095,NA,acetyl-CoA[m] + H2O[m] => acetate[m] + CoA[m] + H+[m],ENSG00000172497,Pyruvate metabolism
MAR04101,NA,GTP[c] + OAA[c] => CO2[c] + GDP[c] + PEP[c],ENSG00000124253,Pyruvate metabolism
MAR04103,NA,GTP[m] + OAA[m] => CO2[m] + GDP[m] + PEP[m],ENSG00000100889,Pyruvate metabolism
MAR04143,NA,ATP[m] + HCO3-[m] + pyruvate[m] => ADP[m] + H+[m] + OAA[m] + Pi[m],ENSG00000173599,Pyruvate metabolism
MAR04193,NA,CDP[c] + H+[c] + PEP[c] => CTP[c] + pyruvate[c],ENSG00000067225 or ENSG00000143627,Pyruvate metabolism
MAR08497,NA,H+[c] + methylglyoxal[c] + NADPH[c] => hydroxyacetone[c] + NADP+[c],ENSG00000053371 or ENSG00000085662 or ENSG00000117448,Pyruvate metabolism
MAR08498,NA,acetone[c] + H+[c] + NADPH[c] + O2[c] => H2O[c] + hydroxyacetone[c] + NADP+[c],ENSG00000130649,Pyruvate metabolism
MAR08499,NA,H+[c] + hydroxyacetone[c] + NADPH[c] + O2[c] => 2 H2O[c] + methylglyoxal[c] + NADP+[c],ENSG00000130649,Pyruvate metabolism
MAR08500,NA,"H+[c] + hydroxyacetone[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]",ENSG00000053371 or ENSG00000085662 or ENSG00000117448,Pyruvate metabolism
MAR08501,NA,H+[c] + methylglyoxal[c] + NADPH[c] => D-lactaldehyde[c] + NADP+[c],ENSG00000137106,Pyruvate metabolism
MAR08502,NA,(R)-S-lactoylglutathione[c] + H+[c] + NADH[c] <=> D-lactaldehyde[c] + GSH[c] + NAD+[c],ENSG00000147576 or ENSG00000172955 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,Pyruvate metabolism
MAR08503,NA,H2O[c] + lactaldehyde[c] + NAD+[c] => 2 H+[c] + L-lactate[c] + NADH[c],ENSG00000006534 or ENSG00000072210 or ENSG00000108602 or ENSG00000132746 or ENSG00000143149 or ENSG00000164904 or ENSG00000184254,Pyruvate metabolism
MAR08504,NA,D-lactaldehyde[c] + H2O[c] + NAD+[c] => D-lactate[c] + 2 H+[c] + NADH[c],ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,Pyruvate metabolism
MAR08506,NA,H2O[m] + lactaldehyde[m] + NAD+[m] => 2 H+[m] + L-lactate[m] + NADH[m],ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,Pyruvate metabolism
MAR08507,NA,"NAD+[c] + propane-1,2-diol[c] => D-lactaldehyde[c] + H+[c] + NADH[c]",ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,Pyruvate metabolism
