tf	target	mor	likelihood	weight_corr
ZNF438	TADA2B	0.990725226045448	0.994385987911648	0.96577284902581
TADA2B	ZNF438	0.955477113546866	0.993711200492099	0.96577284902581
GTF2H3	LRPPRC	0.999982151526039	0.999798062647586	0.965670944904858
LRPPRC	GTF2H3	0.999337426421327	0.999783583392294	0.965670944904858
NAB1	TAF7	0.974341325005405	0.996919939868147	0.965668932158546
HDAC2	ERN1	-0.99882664896437	0.993729352987844	0.965564416226262
ERN1	HDAC2	-0.999860381241633	0.994450917678909	0.965564416226262
ZC3H15	CBX3	0.999710160597514	0.999301475773095	0.965547943180824
MCM8	FANCD2	0.99829640745035	0.999367764015053	0.965347852519334
GTSE1	CDCA8	0.99999999878942	0.99999941908346	0.965305336990385
KLF4	TADA2B	0.999575629900158	0.998163724148547	0.965167335538757
LRPPRC	ERN1	-0.654038831508352	0.900659799683141	0.965157188779729
ERN1	LRPPRC	-0.928960509429523	0.932978320850308	0.965157188779729
NPM1	CCT6A	0.999861527038691	0.995547774064762	0.965131782559019
SPAG5	RACGAP1	0.999999986540086	0.999991270133605	0.965070277936696
RACGAP1	SPAG5	0.999999986540086	0.999991270169174	0.965070277936696
MORF4L2	TAF9	0.998096684345734	0.997000410576631	0.965062642170236
IRF8	TNNI2	0.999920097069023	0.999619321041724	0.965032136570882
TNNI2	IRF8	0.997446071283825	0.999394283154233	0.965032136570882
ILF2	RAN	0.999984445832341	0.999987855712429	0.964993545461404
RAN	ILF2	0.999999570744922	0.999958216386516	0.964993545461404
TADA2B	PARP1	-0.977572967149115	0.981745370714829	0.964976073829764
CENPF	KIF23	0.999834575574387	0.999973268834497	0.964919276179441
CNOT1	ARFGEF2	0.994636748335597	0.997694297765942	0.964861507427145
YOD1	OR2L2	0.975444361303831	0.95168350995825	0.964860932269114
CENPK	PLK4	0.999482365012444	0.999848414812622	0.964697024732239
CD86	MYB	-0.994381372048736	0.990202008599989	0.964577433955999
FANCD2	BRIP1	0.999995358694754	0.999816511930523	0.964557831698715
BRIP1	FANCD2	0.999995358694754	0.999816512689004	0.964557831698715
POU2F2	TLR8	0.999992487527984	0.999948152783632	0.964502196739144
BRCA1	CENPK	0.999999652403998	0.999770786739722	0.964383955035255
PPARD	PDE4A	0.999886706099358	0.998197964894083	0.964245775104144
PDE4A	PPARD	0.999993658839585	0.998174062751697	0.964245775104144
CEP290	ITPK1	-0.999592795281216	0.99994145713447	0.964159380675485
NDC80	KIF2C	0.999999995555426	0.999992145321573	0.964144020869686
ZCRB1	CBX3	0.999229374662405	0.996337004664303	0.964089897495178
SIRT7	MED15	0.986172500814936	0.991493331425554	0.964077014110678
MED15	SIRT7	0.986183332631797	0.991493331425554	0.964077014110678
TOP2A	DEPDC1B	0.999999504234989	0.99999704807937	0.964021335325908
BCL6	CD14	0.999996390346885	0.999975661589993	0.963922941890807
RXRA	LRP1	0.998902010872222	0.996386650620905	0.963842878464471
SOX6	ACSL6	0.999999100286575	0.999994976311722	0.963838929096995
ACSL6	SOX6	0.999999991449309	0.999981932974839	0.963838929096995
ZNF564	NUP93	-0.995879473102784	0.995328262759279	0.963825589630619
NUP93	ZNF564	-0.999396687064583	0.995806226581757	0.963825589630619
SSBP2	LZTFL1	0.965248779739129	0.921255212613765	0.963790994853509
NACC2	LILRB2	0.998022700078334	0.999800960765338	0.96368661179738
ZWINT	CHEK1	0.999996839407264	0.999856245081974	0.963661627899522
POLR2I	RANBP1	0.995701200528404	0.993594564914591	0.963621659878912
MCM8	PLK4	0.999731855437567	0.999936558544304	0.963618811921782
LZTFL1	ITPK1	-0.999976835899983	0.99978919625466	0.963613332035289
NOLC1	RAD51	0.928070056852713	0.967556543526242	0.963598785020448
ZNF17	ZNF773	0.99999182351271	0.9999634216115	0.963499418225371
SNAPC2	CHMP1A	0.999979414471781	0.999978340292908	0.963484266040206
CHMP1A	SNAPC2	0.999275206571362	0.999974080227787	0.963484266040206
TAF10	CHMP1A	0.999978724494319	0.999781847183917	0.963461487319494
CHMP1A	TAF10	0.999260004828192	0.999760280615437	0.963461487319494
TCF19	FEN1	0.999997103660474	0.999987555883461	0.963448949293748
FEN1	TCF19	0.999999957202964	0.999953381120868	0.963448949293748
DEPDC1	NUF2	0.999999995718995	0.999994911933574	0.963302052779544
CENPF	CCNA2	0.999747207983795	0.999934088134154	0.963199369668289
IPO7	CSNK2A1	0.999987473174904	0.997767440142219	0.963108091151973
CSNK2A1	IPO7	0.999987473174904	0.997767440142219	0.963108091151973
AKNA	HSPD1	-0.999412744328937	0.997826830316826	0.962985815607125
HSPD1	AKNA	-0.999942604325108	0.997842527336352	0.962985815607125
SMARCD3	MYO6	0.502607665191669	0.703283233974119	0.962984774662425
MYO6	SMARCD3	0.891385983018974	0.793084941778786	0.962984774662425
HCLS1	ITGB2	0.999997671464447	0.999983103248532	0.96285444428883
ZBTB7B	CD4	0.999995227640539	0.999958631654444	0.962834128041637
CD4	ZBTB7B	0.999999914971338	0.999900025253732	0.962834128041637
BAIAP2	RAB15	0.983906836960924	0.96307436480653	0.962818271092677
RAB15	BAIAP2	0.983906836960924	0.96307436480653	0.962818271092677
CCNA2	ESCO2	0.999999987514798	0.99998879290927	0.962788610192344
ZWINT	FEN1	0.999999993589936	0.999991852750656	0.962706856087647
FEN1	ZWINT	0.999999993589936	0.999991852783848	0.962706856087647
CREB3L4	GPR157	0.305638581752399	0.944819394397	0.962697482044444
GPR157	CREB3L4	0.557623533062309	0.955340278325971	0.962697482044444
BRCA1	HELLS	0.999999191800451	0.999763577856169	0.962660490543125
SMARCAD1	ZNF146	0.999291497751603	0.999462783368749	0.962594046972578
TOP2A	KIF14	0.999999762178839	0.999999114926361	0.962555042521318
NFKB2	MINK1	0.99998207473953	0.99973901061506	0.962480038450647
MINK1	NFKB2	0.99999947895047	0.999617930273801	0.962480038450647
HTATIP2	TWIST1	-0.86384669749484	0.901420675920597	0.962412245355891
MYCBP	ACTR5	-0.95521578090947	0.972095712921758	0.962325269167132
ACTR5	MYCBP	-0.955176032723465	0.972095374810793	0.962325269167132
SUZ12	HBS1L	0.989777199223071	0.994119751381878	0.962279102553777
CBX3	CDK7	0.973500502958021	0.938701194937103	0.962227069639245
CDK7	CBX3	0.99983958427758	0.993798758972895	0.962227069639245
MEIS1	FADS1	0.941441405216983	0.894207361369885	0.962216919590962
FADS1	MEIS1	0.825535544004094	0.870782012240307	0.962216919590962
ZNF641	ZC3HAV1L	-0.605186222587585	0.951998571071577	0.962216044455327
ZC3HAV1L	ZNF641	-0.605186222587585	0.951998571071577	0.962216044455327
MYBBP1A	PPRC1	0.993638068941946	0.999438914239999	0.962161826755906
PPRC1	MYBBP1A	0.996009129992857	0.999684482523257	0.962161826755906
DPF3	KREMEN1	0.998530294981907	0.999515712474375	0.962128685157366
KREMEN1	DPF3	0.999997137408736	0.999409243940518	0.962128685157366
MTF1	NLRC4	0.999989407193626	0.99997208642465	0.962070293581498
TFAP2E	GNA15	0.96949930352527	0.972842636211395	0.961883933106613
GNA15	TFAP2E	0.992173606335644	0.978090396893582	0.961883933106613
ZDHHC9	PRDM16	0.118592810914256	0.923657380145312	0.961701334058181
PRDM16	ZDHHC9	0.118592810914256	0.923658056679443	0.961701334058181
FOXM1	FANCD2	0.999819000190069	0.997136642647396	0.961555420611113
FOXO1	MDFIC	0.99099575821581	0.988969454344871	0.961530023912112
MTF2	TAPT1	0.999516733363089	0.999309052738467	0.961340106211185
TAPT1	MTF2	0.999956413205179	0.999172671038313	0.961340106211185
ZNF804A	SPN	0.996815484314901	0.937720821991829	0.961313907717996
SPN	ZNF804A	0.99950662809083	0.949590695004924	0.961313907717996
MCM8	BUB1B	0.998923854219704	0.998347599003334	0.961236579089217
CAP1	LCP1	0.99999972062127	0.999898837618152	0.961164493845638
LCP1	CAP1	0.99999972062127	0.999898837618152	0.961164493845638
MAFB	TADA2B	0.999026032383946	0.994907743698361	0.961086109596183
TADA2B	MAFB	0.991037835068857	0.9943391398132	0.961086109596183
KDM1A	NUFIP1	0.999737097937348	0.999024170195625	0.961085716959113
MTF1	BCL6	0.999886534601006	0.999690769616042	0.961082536113488
BCL6	MTF1	0.999886534601006	0.999690771462791	0.961082536113488
FABP4	LUM	0.999010763058679	0.999130531444118	0.961046403113591
BUB1B	DIAPH3	0.999999987295958	0.999976965223705	0.961045267487617
RACGAP1	CDCA8	0.999999993217975	0.999996948197504	0.961020622934078
ZNF22	NUFIP1	0.999460633248541	0.993824282732257	0.96098902389056
NUFIP1	ZNF22	0.993999616135754	0.993104570706654	0.96098902389056
ZNF131	GSK3A	-0.997599662951531	0.989980652344201	0.960973358228715
NRBF2	TNFRSF8	0.845190958602784	0.969072076144009	0.960872554970841
TAPT1	SIRT2	-0.991242815407437	0.991067448206705	0.960845485421927
NCOA7	NPR3	0.978149235892043	0.976782223132858	0.960828222489731
NPR3	NCOA7	0.999448701008368	0.983416250432502	0.960828222489731
IFNG	GZMA	0.994392532742374	0.99653111178918	0.960783353997179
CD86	CD4	0.998111190827677	0.999714963667852	0.960782937180641
MTDH	SLC39A9	0.986914099197111	0.967361534655403	0.96071770652794
RAD51	RAN	0.999618411982447	0.979960804441415	0.960643023661725
RAN	RAD51	0.999618411982447	0.979960804441415	0.960643023661725
U2AF1	CSRNP1	0.961365969303655	0.912491231254042	0.960582058032133
TSC22D1	OR2L2	0.999270865427681	0.993288239140328	0.960563441019098
RAP1GAP	EPB42	0.99999926753348	0.999428434708525	0.960475515744352
KDM4A	RAB12	-0.483493302296683	0.513026818500288	0.96046320348091
BCORL1	ZNF445	0.486969567049117	0.540277543326796	0.960461218631294
ZNF784	GTF2H3	-0.996459314040389	0.957083885749451	0.960391985539576
TOP2A	RACGAP1	0.999999646780044	0.999997934182292	0.960364669578258
TNNI2	PAK1	0.9984960622656	0.998103906479142	0.960344958831822
PAK1	TNNI2	0.999996515734463	0.998272969201736	0.960344958831822
IPO7	RBBP4	0.999935549060889	0.997667055559483	0.960101265710036
SSBP2	SUPT3H	0.99572575691004	0.999244475227101	0.960100136354295
SUPT3H	SSBP2	0.99572575691004	0.999244468245643	0.960100136354295
TFAM	G3BP1	0.999944662939527	0.999187968988498	0.960030005728818
FOXM1	CCNF	0.999995390161227	0.999995272812063	0.960020129200337
DEPDC1	KIF14	0.999999989746369	0.999993601862975	0.959937110857756
ANXA3	DEFA1B	0.999903932344065	0.998714821830553	0.959927402049314
CREB5	SDCBP	0.999852857506682	0.999424130811472	0.959854121216461
SDCBP	CREB5	0.999990997300289	0.999277863930436	0.959854121216461
EOMES	PHLDB2	0.99982893974005	0.998755652605706	0.959852360884467
HNRNPAB	TYMS	0.978546434211426	0.984085415103112	0.959828996668111
KDM1A	HDAC2	0.995787484817051	0.986786607882381	0.959771198296425
HDAC2	KDM1A	0.998259313131672	0.945958127497646	0.959771198296425
RPS6	RPL34	0.999999479867345	0.999782453382676	0.959742564021854
ZNF138	CEP290	0.999951030090626	0.999375147976288	0.959652131318221
CEP290	ZNF138	0.99874574436924	0.99931846613316	0.959652131318221
LZTFL1	ZNF22	0.999964554374505	0.9988457899204	0.959592124980403
ZNF22	LZTFL1	0.999964554374505	0.9988457899204	0.959592124980403
DDX54	ERCC2	0.999650023823377	0.979642372009048	0.959582955120125
CDK4	RANBP1	0.999999873205515	0.999947066643669	0.959534106322725
RANBP1	CDK4	0.999999890645374	0.999912892215566	0.959534106322725
ZNF524	CEP290	-0.999944420841468	0.998944701456588	0.95952340965508
CEP290	ZNF524	-0.998663115413157	0.998870214508045	0.95952340965508
HMGN1	NFYB	0.966853538103588	0.87650441913867	0.95943862384308
NRBF2	NLRC4	0.993301078038434	0.99886309290985	0.959428110201033
ZNF713	NFYB	0.998688412607571	0.992574101390529	0.959424224582924
NFYB	ZNF713	0.998688412607571	0.992574101390529	0.959424224582924
TOP2A	KIF2C	0.999998934332126	0.999995570219409	0.959419661945255
RAB4B	GABPB1	-0.999881221486595	0.99767789558403	0.959377475953271
MAMLD1	CDH1	0.947081842529974	0.973152684175891	0.959346761335579
CDH1	MAMLD1	0.947081842529974	0.973152684175891	0.959346761335579
SSBP2	PTCH1	0.00136635893507579	0.254516994713749	0.959258417846416
CAND1	GTF2H3	0.9963933110027	0.993182407430311	0.959113124096873
TADA2B	CD4	0.998180318193084	0.999234850106404	0.959077814187543
MCM6	BRIP1	0.998255230648008	0.999906141444732	0.959029239700791
HMGB1	ANP32A	0.998431127139301	0.981125920077452	0.959027209237113
MAFB	IL10	0.999678934444873	0.995713055791894	0.95889775928512
IL10	MAFB	0.995748370222903	0.995275349033203	0.95889775928512
BRCA1	BCL3	-0.999667424708051	0.989063718430445	0.958869634887831
SMARCAD1	ZNF524	-0.997732314858171	0.999727481333378	0.958809541632779
CDH1	SNCA	0.935364774901212	0.953282001845469	0.958745176809188
SUPT3H	BCL11A	0.986957371634512	0.994389539588896	0.958730435102755
ZNF524	CCAR1	-0.999721507002069	0.99407047768664	0.958707593322009
CCAR1	ZNF524	-0.996298516218681	0.993375493369867	0.958707593322009
CENPK	NUF2	0.998121505139392	0.999366050875075	0.958656212005619
ZMYND19	MRPL12	0.999977179323481	0.999821473982281	0.958638137621023
MRPL12	ZMYND19	0.999226589028716	0.999812601498407	0.958638137621023
GABPB1	TFDP2	0.987801441401114	0.986353911977959	0.958618496984932
TFDP2	GABPB1	0.987803369602373	0.986353814330864	0.958618496984932
NPM1	HSP90AB1	0.999999820910268	0.999905503948301	0.958586247005381
E2F8	ZWINT	0.999995459813931	0.999868322429837	0.958498071998728
ZWINT	E2F8	0.999999920601832	0.999775878055846	0.958498071998728
CEBPD	FCGRT	0.999945163221406	0.999681523440947	0.958491360016365
FCGRT	CEBPD	0.999997616401484	0.999559376737007	0.958491360016365
CD86	LILRB2	0.999625586117554	0.999953692566826	0.958449307589417
ADAP1	TOLLIP	0.999998939382205	0.999185088478769	0.958345876776916
