	ID	Description	GeneRatio	BgRatio	pvalue	geneID	Count
hsa00010	hsa00010	Glycolysis / Gluconeogenesis	1/67	67/8586	0.409575959196046	128	1
hsa04720	hsa04720	Long-term potentiation	1/67	67/8586	0.409575959196046	5500	1
hsa05152	hsa05152	Tuberculosis	2/67	180/8586	0.411757539766332	54205/6714	2
hsa00830	hsa00830	Retinol metabolism	1/67	68/8586	0.414219510168445	128	1
hsa05031	hsa05031	Amphetamine addiction	1/67	69/8586	0.41882708152542	5500	1
hsa05211	hsa05211	Renal cell carcinoma	1/67	69/8586	0.41882708152542	5781	1
hsa05016	hsa05016	Huntington disease	3/67	306/8586	0.429312381063971	54205/84516/6648	3
hsa00982	hsa00982	Drug metabolism - cytochrome P450	1/67	72/8586	0.432436653491599	128	1
hsa04137	hsa04137	Mitophagy - animal	1/67	72/8586	0.432436653491599	6714	1
hsa00562	hsa00562	Inositol phosphate metabolism	1/67	73/8586	0.436903031717587	8396	1
hsa01524	hsa01524	Platinum drug resistance	1/67	73/8586	0.436903031717587	54205	1
hsa05206	hsa05206	MicroRNAs in cancer	3/67	310/8586	0.437658263348499	4363/6624/6774	3
hsa04115	hsa04115	p53 signaling pathway	1/67	74/8586	0.441334782789467	54205	1
hsa03320	hsa03320	PPAR signaling pathway	1/67	75/8586	0.445732171129823	3611	1
hsa04971	hsa04971	Gastric acid secretion	1/67	76/8586	0.450095459172861	6548	1
hsa05212	hsa05212	Pancreatic cancer	1/67	76/8586	0.450095459172861	6774	1
hsa00980	hsa00980	Metabolism of xenobiotics by cytochrome P450	1/67	78/8586	0.458720774250169	128	1
hsa05169	hsa05169	Epstein-Barr virus infection	2/67	202/8586	0.470325073740458	54205/6774	2
hsa03083	hsa03083	Polycomb repressive complex	1/67	84/8586	0.483805000315373	10238	1
hsa05210	hsa05210	Colorectal cancer	1/67	86/8586	0.49190916623984	54205	1
hsa05170	hsa05170	Human immunodeficiency virus 1 infection	2/67	212/8586	0.495814609504154	8454/54205	2
hsa04260	hsa04260	Cardiac muscle contraction	1/67	87/8586	0.495914117517714	6548	1
hsa04540	hsa04540	Gap junction	1/67	88/8586	0.49988796786791	6714	1
hsa04211	hsa04211	Longevity regulating pathway	1/67	89/8586	0.503830955177023	6648	1
hsa04976	hsa04976	Bile secretion	1/67	89/8586	0.503830955177023	6548	1
hsa05022	hsa05022	Pathways of neurodegeneration - multiple diseases	4/67	476/8586	0.513649784768409	54205/84516/5481/51465	4
hsa05222	hsa05222	Small cell lung cancer	1/67	92/8586	0.515477090926786	54205	1
hsa04520	hsa04520	Adherens junction	1/67	93/8586	0.519298969300686	6714	1
hsa04912	hsa04912	GnRH signaling pathway	1/67	93/8586	0.519298969300686	6714	1
hsa04970	hsa04970	Salivary secretion	1/67	93/8586	0.519298969300686	6548	1
hsa04024	hsa04024	cAMP signaling pathway	2/67	225/8586	0.527797123579803	5500/6548	2
hsa04070	hsa04070	Phosphatidylinositol signaling system	1/67	97/8586	0.534291745369473	8396	1
hsa01522	hsa01522	Endocrine resistance	1/67	98/8586	0.537967378902309	6714	1
hsa04972	hsa04972	Pancreatic secretion	1/67	102/8586	0.552386288088419	6548	1
hsa04014	hsa04014	Ras signaling pathway	2/67	236/8586	0.553797543831869	5781/7535	2
hsa04064	hsa04064	NF-kappa B signaling pathway	1/67	104/8586	0.559428591987861	7535	1
hsa04350	hsa04350	TGF-beta signaling pathway	1/67	108/8586	0.573187361326832	8454	1
hsa04066	hsa04066	HIF-1 signaling pathway	1/67	109/8586	0.576560379348901	6774	1
hsa04144	hsa04144	Endocytosis	2/67	250/8586	0.585440221065405	9135/6714	2
hsa04670	hsa04670	Leukocyte transendothelial migration	1/67	115/8586	0.596253990594113	5781	1
hsa04724	hsa04724	Glutamatergic synapse	1/67	115/8586	0.596253990594113	2752	1
hsa04722	hsa04722	Neurotrophin signaling pathway	1/67	119/8586	0.608878907159724	5781	1
hsa04071	hsa04071	Sphingolipid signaling pathway	1/67	121/8586	0.615044719640552	4363	1
hsa05012	hsa05012	Parkinson disease	2/67	266/8586	0.619586664659096	54205/51465	2
hsa04926	hsa04926	Relaxin signaling pathway	1/67	129/8586	0.63876478871961	6714	1
hsa04728	hsa04728	Dopaminergic synapse	1/67	132/8586	0.647283532271627	5500	1
hsa00190	hsa00190	Oxidative phosphorylation	1/67	134/8586	0.65285243348482	54205	1
hsa04270	hsa04270	Vascular smooth muscle contraction	1/67	134/8586	0.65285243348482	5500	1
hsa04915	hsa04915	Estrogen signaling pathway	1/67	137/8586	0.661043763524385	6714	1
hsa04371	hsa04371	Apelin signaling pathway	1/67	139/8586	0.666398564481031	6548	1
hsa04936	hsa04936	Alcoholic liver disease	1/67	142/8586	0.674274881555338	128	1
hsa04550	hsa04550	Signaling pathways regulating pluripotency of stem cells	1/67	143/8586	0.676859389245508	6774	1
hsa05017	hsa05017	Spinocerebellar ataxia	1/67	143/8586	0.676859389245508	54205	1
hsa04072	hsa04072	Phospholipase D signaling pathway	1/67	148/8586	0.689481969864195	5781	1
hsa04932	hsa04932	Non-alcoholic fatty liver disease	1/67	155/8586	0.706341272034879	54205	1
hsa04110	hsa04110	Cell cycle	1/67	157/8586	0.710990332566992	8454	1
hsa04390	hsa04390	Hippo signaling pathway	1/67	157/8586	0.710990332566992	5500	1
hsa04514	hsa04514	Cell adhesion molecules	1/67	158/8586	0.713287597689547	214	1
hsa04022	hsa04022	cGMP-PKG signaling pathway	1/67	167/8586	0.733169867070097	5500	1
hsa04530	hsa04530	Tight junction	1/67	170/8586	0.739490503630898	6714	1
hsa05164	hsa05164	Influenza A	1/67	171/8586	0.741564426665205	54205	1
hsa05034	hsa05034	Alcoholism	1/67	188/8586	0.774432083531926	5500	1
hsa04613	hsa04613	Neutrophil extracellular trap formation	1/67	191/8586	0.779788562143348	6714	1
hsa04814	hsa04814	Motor proteins	1/67	193/8586	0.783289732389562	84516	1
hsa05014	hsa05014	Amyotrophic lateral sclerosis	2/67	364/8586	0.783470190759105	54205/84516	2
hsa05415	hsa05415	Diabetic cardiomyopathy	1/67	203/8586	0.799989603481968	5500	1
hsa05010	hsa05010	Alzheimer disease	2/67	384/8586	0.808266249185785	54205/5481	2
hsa04015	hsa04015	Rap1 signaling pathway	1/67	210/8586	0.810918559390151	6714	1
hsa05166	hsa05166	Human T-cell leukemia virus 1 infection	1/67	222/8586	0.828301553191369	6777	1
hsa05171	hsa05171	Coronavirus disease - COVID-19	1/67	232/8586	0.841577032809315	6774	1
hsa05020	hsa05020	Prion disease	1/67	272/8586	0.885289287186205	54205	1
