node	layer	module	flow	log_flow	nodeLabel	DNA_methylation_logFC	DNA_methylation_P.Value	GRN_logFC	GRN_AveExpr	GRN_t	GRN_P.Value	GRN_adj.P.Val	GRN_B	GRN_eigenvalue	GRN_Page_Rank	GRN_degree	GRN_closeness	GRN_betweenness	GRN_size	GRN_nes	GRN_pval	GRN_pval.fdr	GRN_TF	Metabolism_pvalue	Metabolism_mean.diff
8775	1	74	0.000562224	7.48361021096865	frag_260576	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
31802	1	57	0.000553062	7.50004044699407	frag_683200	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
42049	3	8	0.000547496	7.51015540223638	GRK3	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
43894	3	14	0.000547437	7.51026317138766	MAPK3	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
57174	3	148	0.000543504	7.51747349172448	TP53	0	1	0.05596681	2.815952	0.315027	0.7543811	0.8791968	-5.884647	-3.253492	-8.690668	1	1	0	10	0.7325424	0.4638376	0.6511258	TF	NA	NA
41860	3	8	0.000540625	7.52278468027813	GNAL	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
42018	3	7	0.000535629	7.5320688007288	GRB2	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
29648	1	68	0.000527877	7.54664725594159	frag_634408	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
23360	1	124	0.000525792	7.55060486069485	frag_506991	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
14561	1	66	0.000524089	7.55384904073741	frag_341341	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
4196	1	84	0.000523031	7.55586982223339	frag_171166	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
56367	3	7	0.000513502	7.57425663376391	SRC	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
52508	3	5	0.000512654	7.57590940428425	NFKB1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
56481	3	12	0.000501546	7.59781522994323	STAT3	0	1	0.2837609	7.171105	2.437465	0.01933755	0.159952	-3.302228	-6.87614	-8.715182	1	1	0	17	0.7442078	0.4567507	0.6466115	TF	NA	NA
22950	1	132	0.000497366	7.60618438437964	frag_495588	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
16945	1	142	0.000495251	7.61044585320542	frag_383979	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
30086	1	144	0.000491552	7.61794282539754	frag_647103	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
18793	1	133	0.000484432	7.63253348736075	frag_416606	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
43886	3	14	0.000479535	7.64269367360389	MAPK1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
33202	1	140	0.000478819	7.6441879025281	frag_709626	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
26823	1	153	0.000477032	7.64792698337222	frag_596929	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
39285	3	20	0.000474726	7.65277276247231	CDC42	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
3845	1	143	0.000472714	7.65702000351037	frag_163055	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
22322	1	159	0.000468658	7.66563726660914	frag_483624	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
17521	1	158	0.000467194	7.66876596899848	frag_393604	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
4607	1	160	0.000464349	7.67487413329255	frag_180690	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
41545	3	2	0.000463954	7.67572514858354	FYN	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54815	3	8	0.000461887	7.68019028554383	REEP1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
35339	1	82	0.000461884	7.68019678066004	frag_770859	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
55313	3	8	0.000460741	7.68267449497463	RTP1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
55314	3	8	0.000460741	7.68267449497463	RTP2	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
41857	3	4	0.000459845	7.68462108178548	GNAI1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
56040	4	55	0.000459575	7.68520840859534	SLCO1B1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
32526	1	164	0.000457935	7.68878330531926	frag_696387	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
43089	3	29	0.000452387	7.70097254976737	JUN	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
41859	3	4	0.00044829	7.71007021354286	GNAI3	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
35914	1	166	0.000447362	7.71214244769649	frag_779653	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
41858	3	4	0.000446365	7.71437355498893	GNAI2	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
6323	1	176	0.000446169	7.71481275395087	frag_226747	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
54085	3	1	0.000441629	7.72504039486773	POLR2E	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54086	3	1	0.000441627	7.72504492356609	POLR2F	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54088	3	1	0.000441627	7.72504492356609	POLR2H	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54094	3	1	0.000441627	7.72504492356609	POLR2K	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54095	3	1	0.000441627	7.72504492356609	POLR2L	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
28446	1	177	0.000438992	7.73102936828977	frag_612533	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
4834	1	71	0.00043684	7.73594356263475	frag_186072	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
26496	1	135	0.000436633	7.73641753264613	frag_591045	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
40778	3	7	0.00043538	7.73929134499148	EGFR	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54900	3	20	0.000435165	7.73978528845075	RHOA	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
53824	3	7	0.00042833	7.75561663143451	PIK3CB	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
42513	3	7	0.000425638	7.76192133820829	HRAS	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
35346	1	181	0.000418806	7.77810275242295	frag_7709	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
36162	1	190	0.000416925	7.78260420845663	frag_782356	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
30122	1	188	0.000416704	7.78313442034988	frag_647970	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
53829	3	7	0.000414245	7.78905297173648	PIK3R2	0	1	-0.4458617	5.121386	-1.93586	0.05998466	0.2391024	-4.228187	-39.75256	-8.847671	1	0	0	0	0	1	1	Gene	NA	NA
17205	1	202	0.000413762	7.79021962867243	frag_388741	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
11809	1	173	0.000413444	7.79098848193429	frag_292530	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
55672	3	7	0.000410989	7.79694410781647	SHC1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
21255	1	185	0.000410913	7.79712904470728	frag_456579	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
31714	1	57	0.000410866	7.79724343069196	frag_683099	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
16539	1	174	0.000410573	7.79795681296971	frag_37831	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
6060	1	89	0.000409407	7.80080078669078	frag_223420	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
11038	1	141	0.00040894	7.80194211194937	frag_286149	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
3994	1	206	0.000408361	7.80335897084679	frag_168895	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
15426	1	194	0.000407731	7.80490291472848	frag_35415	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
52354	3	1	0.000407228	7.806137332813	NCBP2	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
52353	3	1	0.000407225	7.80614469972061	NCBP1	0	1	0.2495603	6.191132	2.353741	0.02359362	0.1757909	-3.467939	-6.242425	-8.847671	1	0	0	0	0	1	1	Gene	NA	NA
31039	1	197	0.000406542	7.80782331328045	frag_666461	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
42187	3	15	0.00040571	7.80987193930041	H4C1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
20018	1	106	0.000404364	7.81319509555206	frag_432939	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
7578	1	80	0.000397801	7.82955867772152	frag_242719	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
15084	1	207	0.000397559	7.83016720721123	frag_349073	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
22000	1	180	0.000396301	7.83333653443017	frag_476281	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
56239	3	7	0.000395819	7.83455352190552	SOS1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
5891	1	73	0.000394343	7.83828946900687	frag_223121	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
43070	3	12	0.000393826	7.83960137057658	JAK2	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
12287	1	212	0.000392158	7.84384573815668	frag_298619	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
29883	1	213	0.000392158	7.84384573815668	frag_639568	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
30515	1	199	0.000391723	7.8449556006094	frag_65802	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
32499	1	217	0.00038965	7.8502616576747	frag_694974	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54821	3	5	0.000389341	7.85105499165727	RELA	0	1	1.373893	-4.996528	1.613903	0.1144219	0.316951	-4.730618	-47.70602	-5.907509	6	0.2	10	15	1.68539	0.0919134	0.4625362	TF	NA	NA
39330	3	9	0.000389062	7.85177184401253	CDK1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
22618	1	81	0.000386974	7.85715305065393	frag_491333	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
23979	1	161	0.000386023	7.85961360478236	frag_517836	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54081	3	1	0.000385691	7.8604740272199	POLR2A	0.3212462	8.65E-08	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
34082	1	220	0.000385213	7.86171412990781	frag_731201	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
34909	1	224	0.000384503	7.86355896670831	frag_760952	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
42567	3	1	0.000384016	7.86482633957791	HSPA8	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54087	3	1	0.000383689	7.8656782293527	POLR2G	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54083	3	1	0.000383688	7.86568083563357	POLR2C	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54084	3	1	0.000383688	7.86568083563357	POLR2D	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54089	3	1	0.000383688	7.86568083563357	POLR2I	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54090	3	1	0.000383688	7.86568083563357	POLR2J	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54082	3	1	0.000383682	7.86569647346148	POLR2B	0	1	0.3090914	7.487373	3.258336	0.002291693	0.0735541	-1.478804	-47.70602	-8.847671	1	0	0	0	0	1	1	Gene	NA	NA
21327	1	215	0.000383188	7.86698482759798	frag_457179	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
37653	3	11	0.000381688	7.87090703700962	ACTB	0	1	0.05371498	-7.509467	0.3140977	0.7550815	0.8794635	-5.884925	-5.355937	-8.847671	1	0	0	0	0	1	1	Gene	NA	NA
28316	1	225	0.000381356	7.87177723589972	frag_611837	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54653	3	6	0.000380155	7.87493149367344	RAD21	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
43891	3	14	0.000378423	7.8794979403927	MAPK14	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
54786	3	10	0.000376927	7.88345902321799	RBX1	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
26307	1	152	0.00037464	7.88954499308899	frag_58621	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
2660	1	230	0.000374411	7.89015643345055	frag_145190	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
37123	1	134	0.000372178	7.89613832350952	frag_93636	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
26679	1	151	0.000371173	7.89884229676666	frag_596241	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
14530	1	66	0.000370624	7.90032248636095	frag_341255	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
21453	1	223	0.000370143	7.90162114050618	frag_466694	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
3456	1	193	0.000369668	7.9029052524355	frag_158337	0	1	0	NA	NA	1	NA	NA	-47.7060215553525	-8.84767126356658	NA	NA	NA	0	0	1	NA	NA	NA	NA
28897	1	38	0.000367436	7.90896140413706	frag_618815	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
32110	1	178	0.000362142	7.92347415786101	frag_689373	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
43384	3	7	0.000359839	7.92985384877002	KRAS	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
25547	1	121	0.000359133	7.93181776454677	frag_572242	0	1	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
37879	3	14	0.000358015	7.93493567299999	AKT1	0.3397152	2.30E-09	0	NA	NA	1	NA	NA	-47.70602	-8.847671	NA	NA	NA	0	0	1	NA	NA	NA	NA
