A	B
MAR04485	thymidine[c]
MAR04577	orotidine-5-phosphate[c]
MAR04577	PPi[c]
MAR04577	orotate[c]
MAR04577	PRPP[c]
MAR04608	(S)-dihydroorotate[c]
MAR04608	H2O[c]
MAR04608	H+[c]
MAR04608	N-carbamoyl-L-aspartate[c]
MAR04575	(S)-dihydroorotate[c]
MAR04575	ubiquinone[m]
MAR04575	orotate[c]
MAR04575	ubiquinol[m]
MAR04819	3-ureidoisobutyrate[c]
MAR04819	H+[c]
MAR04819	H2O[c]
MAR04819	CO2[c]
MAR04819	D-3-amino-isobutanoate[c]
MAR04819	NH3[c]
MAR08637	cytosine[c]
MAR08637	H2O[c]
MAR08637	NH3[c]
MAR08637	uracil[c]
MAR04601	ATP[m]
MAR04601	deoxyguanosine[m]
MAR04601	ADP[m]
MAR04601	dGMP[m]
MAR04601	H+[m]
MAR07801	ADP[m]
MAR07801	GDP[m]
MAR07801	AMP[m]
MAR07801	GTP[m]
MAR08477	ADP[m]
MAR08477	dCMP[m]
MAR08477	H+[m]
MAR08477	ATP[m]
MAR08477	deoxycytidine[m]
MAR03870	GSSG[m]
MAR03870	H+[m]
MAR03870	NADPH[m]
MAR03870	GSH[m]
MAR03870	NADP+[m]
MAR03892	glutamine[m]
MAR03892	H2O[m]
MAR03892	glutamate[m]
MAR03892	H+[m]
MAR03892	NH3[m]
MAR04690	glutamate[c]
MAR04690	H+[c]
MAR04690	4-aminobutyrate[c]
MAR04690	CO2[c]
MAR04582	arginine[c]
MAR04582	glycine[c]
MAR04582	guanidinoacetate[c]
MAR04582	ornithine[c]
MAR04430	H2O[c]
MAR04430	N-methylhistamine[c]
MAR04430	O2[c]
MAR04430	H+[c]
MAR04430	H2O2[c]
MAR04430	methylimidazole-acetaldehyde[c]
MAR04430	NH3[c]
MAR04431	H2O[c]
MAR04431	methylimidazole-acetaldehyde[c]
MAR04431	NAD+[c]
MAR04431	H+[c]
MAR04431	methylimidazoleacetic acid[c]
MAR04431	NADH[c]
MAR04597	2-oxoadipate[m]
MAR04597	glutamate[m]
MAR04597	AKG[m]
MAR04597	L-2-aminoadipate[m]
MAR08563	H2O[m]
MAR08563	indole-3-acetaldehyde[m]
MAR08563	NAD+[m]
MAR08563	H+[m]
MAR08563	indoleacetate[m]
MAR08563	NADH[m]
MAR04702	homogentisate[c]
MAR04702	NADPH[c]
MAR04702	O2[c]
MAR04702	CO2[c]
MAR04702	gentisate aldehyde[c]
MAR04702	H2O[c]
MAR04702	NADP+[c]
MAR04703	gentisate aldehyde[c]
MAR04703	H2O[c]
MAR04703	NAD+[c]
MAR04703	2,5-dihydroxybenzoate[c]
MAR04703	H+[c]
MAR04703	NADH[c]
MAR04704	gentisate aldehyde[c]
MAR04704	H2O[c]
MAR04704	O2[c]
MAR04704	2,5-dihydroxybenzoate[c]
MAR04704	H+[c]
MAR04704	H2O2[c]
MAR03795	2-methyl-3-oxopropanoate[m]
MAR03795	CoA[m]
MAR03795	NAD+[m]
MAR03795	CO2[m]
MAR03795	NADH[m]
MAR03795	propanoyl-CoA[m]
MAR08088	2-methyl-3-oxopropanoate[m]
MAR08088	glutamate[m]
MAR08088	AKG[m]
MAR08088	L-3-amino-isobutanoate[m]
MAR03940	O2[c]
MAR03940	phenylalanine[c]
MAR03940	tetrahydrobiopterin[c]
MAR03940	dihydrobiopterin[c]
MAR03940	H2O[c]
MAR03940	tyrosine[c]
MAR04214	O2[c]
MAR04214	tryptophan[c]
MAR04214	L-formylkynurenine[c]
MAR04216	H2O[c]
MAR04216	L-formylkynurenine[c]
MAR04216	formate[c]
MAR04216	H+[c]
MAR04216	kynurenine[c]
MAR04222	4-hydroxy-2-quinolinecarboxylic acid[c]
MAR04222	glutamate[c]
MAR04222	H2O[c]
MAR04222	AKG[c]
MAR04222	kynurenine[c]
MAR04232	2-aminomuconate semialdehyde[c]
MAR04232	H+[c]
MAR04232	H2O[c]
MAR04232	picolinic acid[c]
MAR06713	H2O[c]
MAR06713	O2[c]
MAR06713	tryptamine[c]
MAR06713	H+[c]
MAR06713	H2O2[c]
MAR06713	indole-3-acetaldehyde[c]
MAR06713	NH3[c]
MAR06714	H2O[c]
MAR06714	indole-3-acetaldehyde[c]
MAR06714	NAD+[c]
MAR06714	H+[c]
MAR06714	indoleacetate[c]
MAR06714	NADH[c]
MAR06726	O2[c]
MAR06726	phenylpyruvate[c]
MAR06726	2-hydroxyphenylacetate[c]
MAR06726	CO2[c]
MAR06758	dopamine[c]
MAR06758	H2O[c]
MAR06758	O2[c]
MAR06758	3,4-dihydroxyphenylacetaldehyde[c]
MAR06758	H+[c]
MAR06758	H2O2[c]
MAR06758	NH3[c]
MAR06772	4-hydroxyphenylpyruvate[c]
MAR06772	O2[c]
MAR06772	CO2[c]
MAR06772	homogentisate[c]
MAR06811	5-S-glutathionyl-dopamine[c]
MAR06811	dopamine-O-quinone[c]
MAR06811	GSH[c]
MAR06813	dopamine-O-quinone[c]
MAR06813	H2O2[c]
MAR06813	dopaminochrome[c]
MAR06813	H+[c]
MAR06813	H2O[c]
MAR06826	3,3-diiodo-L-thyronine[c]
MAR06826	iodide[c]
MAR06826	NADP+[c]
MAR06826	NADPH[c]
MAR06826	triiodothyronine[c]
MAR08539	O2[c]
MAR08539	phenylalanine[c]
MAR08539	tetrahydrobiopterin[c]
MAR08539	4alpha-hydroxytetrahydrobiopterin[c]
MAR08539	tyrosine[c]
MAR05390	H2O[c]
MAR05390	methionine[c]
MAR05390	O2[c]
MAR05390	4-methylthio-2-oxobutanoic acid[c]
MAR05390	H+[c]
MAR05390	H2O2[c]
MAR05390	NH3[c]
MAR03869	GSSG[m]
MAR03869	H+[m]
MAR03869	NADH[m]
MAR03869	GSH[m]
MAR03869	NAD+[m]
MAR04120	GSH[e]
MAR04120	H2O2[e]
MAR04120	GSSG[e]
MAR04120	H2O[e]
MAR04121	GSH[m]
MAR04121	H2O2[m]
MAR04121	GSSG[m]
MAR04121	H2O[m]
MAR04174	aspartate[c]
MAR04174	H+[c]
MAR04174	beta-alanine[c]
MAR04174	CO2[c]
MAR04330	3-oxopropanoate[m]
MAR04330	glutamate[m]
MAR04330	AKG[m]
MAR04330	beta-alanine[m]
MAR04347	3-ureidopropionate[c]
MAR04347	H+[c]
MAR04347	H2O[c]
MAR04347	beta-alanine[c]
MAR04347	CO2[c]
MAR04347	NH3[c]
MAR08690	D-ornithine[x]
MAR08690	H2O[x]
MAR08690	O2[x]
MAR08690	5-amino-2-oxopentanoic acid[x]
MAR08690	H+[x]
MAR08690	H2O2[x]
MAR08690	NH3[x]
MAR03796	AMP[m]
MAR03796	H+[m]
MAR03796	propanoyl-CoA[m]
MAR03796	CoA[m]
MAR03796	propinol adenylate[m]
MAR04494	ATP[c]
MAR04494	glucosamine[c]
MAR04494	ADP[c]
MAR04494	glucosamine-6-phosphate[c]
MAR04494	H+[c]
MAR04531	H+[c]
MAR04531	N-acetylneuraminate[c]
MAR04531	NADH[c]
MAR04531	O2[c]
MAR04531	H2O[c]
MAR04531	NAD+[c]
MAR04531	neungc[c]
MAR04532	CMP-neuNGc[c]
MAR04532	PPi[c]
MAR04532	CTP[c]
MAR04532	neungc[c]
MAR04533	CMP-neuNGc[c]
MAR04533	H2O[c]
MAR04533	NAD+[c]
MAR04533	CMP-N-acetylneuraminate[c]
MAR04533	H+[c]
MAR04533	NADH[c]
MAR04533	O2[c]
MAR04534	CMP-neuNGc[c]
MAR04534	H2O[c]
MAR04534	NADP+[c]
MAR04534	CMP-N-acetylneuraminate[c]
MAR04534	H+[c]
MAR04534	NADPH[c]
MAR04534	O2[c]
MAR08377	CTP[c]
MAR08377	N-acetylneuraminate[c]
MAR08377	CMP-N-acetylneuraminate[c]
MAR08377	PPi[c]
MAR03851	3-sulfinylpyruvic acid[c]
MAR03851	H2O[c]
MAR03851	H+[c]
MAR03851	pyruvate[c]
MAR03851	sulfite[c]
MAR03861	3-sulfinoalanine[c]
MAR03861	AKG[c]
MAR03861	H+[c]
MAR03861	3-sulfinylpyruvic acid[c]
MAR03861	glutamate[c]
MAR03787	acetoacetate[m]
MAR03787	succinyl-CoA[m]
MAR03787	acetoacetyl-CoA[m]
MAR03787	succinate[m]
MAR04408	fumarate[c]
MAR04408	H2O[c]
MAR04408	malate[c]
MAR04410	fumarate[m]
MAR04410	H2O[m]
MAR04410	malate[m]
MAR04652	fumarate[m]
MAR04652	ubiquinol[m]
MAR04652	succinate[m]
MAR04652	ubiquinone[m]
MAR08743	FADH2[m]
MAR08743	fumarate[m]
MAR08743	FAD[m]
MAR08743	succinate[m]
MAR06911	FADH2[m]
MAR06911	ubiquinone[m]
MAR06911	FAD[m]
MAR06911	ubiquinol[m]
MAR02152	acetyl-[ACP][c]
MAR02152	H+[c]
MAR02152	malonyl-[ACP][c]
MAR02152	[ACP][c]
MAR02152	acetoacetyl-[ACP][c]
MAR02152	CO2[c]
MAR02153	acetoacetyl-[ACP][c]
MAR02153	H+[c]
MAR02153	NADPH[c]
MAR02153	(R)-3-hydroxybutanoyl-[ACP][c]
MAR02153	NADP+[c]
MAR02154	(R)-3-hydroxybutanoyl-[ACP][c]
MAR02154	but-2-enoyl-[ACP][c]
MAR02154	H2O[c]
MAR02155	but-2-enoyl-[ACP][c]
MAR02155	H+[c]
MAR02155	NADPH[c]
MAR02155	butyryl-[ACP][c]
MAR02155	NADP+[c]
MAR02156	butyryl-[ACP][c]
MAR02156	H+[c]
MAR02156	malonyl-[ACP][c]
MAR02156	[ACP][c]
MAR02156	3-oxohexanoyl-[ACP][c]
MAR02156	CO2[c]
MAR02157	3-oxohexanoyl-[ACP][c]
MAR02157	H+[c]
MAR02157	NADPH[c]
MAR02157	D-3-hydroxyhexanoyl-[ACP][c]
MAR02157	NADP+[c]
MAR02158	D-3-hydroxyhexanoyl-[ACP][c]
MAR02158	(2E)-hexenoyl-[ACP][c]
MAR02158	H2O[c]
MAR02159	(2E)-hexenoyl-[ACP][c]
MAR02159	H+[c]
MAR02159	NADPH[c]
MAR02159	hexanoyl-[ACP][c]
MAR02159	NADP+[c]
MAR02160	H+[c]
MAR02160	hexanoyl-[ACP][c]
MAR02160	malonyl-[ACP][c]
MAR02160	[ACP][c]
MAR02160	3-oxooctanoyl-[ACP][c]
MAR02160	CO2[c]
MAR02161	3-oxooctanoyl-[ACP][c]
MAR02161	H+[c]
MAR02161	NADPH[c]
MAR02161	(R)-3-hydroxyoctanoyl-[ACP][c]
MAR02161	NADP+[c]
MAR02162	(R)-3-hydroxyoctanoyl-[ACP][c]
MAR02162	(2E)-octenoyl-[ACP][c]
MAR02162	H2O[c]
MAR02163	(2E)-octenoyl-[ACP][c]
MAR02163	H+[c]
MAR02163	NADPH[c]
MAR02163	NADP+[c]
MAR02163	octanoyl-[ACP][c]
MAR02164	H+[c]
MAR02164	malonyl-[ACP][c]
MAR02164	octanoyl-[ACP][c]
MAR02164	[ACP][c]
MAR02164	3-oxodecanoyl-[ACP][c]
MAR02164	CO2[c]
MAR02165	3-oxodecanoyl-[ACP][c]
MAR02165	H+[c]
MAR02165	NADPH[c]
MAR02165	(R)-3-hydroxydecanoyl-[ACP][c]
MAR02165	NADP+[c]
MAR02166	(R)-3-hydroxydecanoyl-[ACP][c]
MAR02166	(2E)-decenoyl-[ACP][c]
MAR02166	H2O[c]
MAR02167	(2E)-decenoyl-[ACP][c]
MAR02167	H+[c]
MAR02167	NADPH[c]
MAR02167	decanoyl-[ACP][c]
MAR02167	NADP+[c]
MAR02168	decanoyl-[ACP][c]
MAR02168	H+[c]
MAR02168	malonyl-[ACP][c]
MAR02168	[ACP][c]
MAR02168	3-oxododecanoyl-[ACP][c]
MAR02168	CO2[c]
MAR02169	3-oxododecanoyl-[ACP][c]
MAR02169	H+[c]
MAR02169	NADPH[c]
MAR02169	D-3-hydroxydodecanoyl-[ACP][c]
MAR02169	NADP+[c]
MAR02170	D-3-hydroxydodecanoyl-[ACP][c]
MAR02170	(2E)-dodecenoyl-[ACP][c]
MAR02170	H2O[c]
MAR02171	(2E)-dodecenoyl-[ACP][c]
MAR02171	H+[c]
MAR02171	NADPH[c]
MAR02171	dodecanoyl-[ACP][c]
MAR02171	NADP+[c]
MAR02173	dodecanoyl-[ACP][c]
MAR02173	H+[c]
MAR02173	malonyl-[ACP][c]
MAR02173	[ACP][c]
MAR02173	3-oxotetradecanoyl-[ACP][c]
MAR02173	CO2[c]
MAR02175	HMA[c]
MAR02175	(2E)-tetradecenoyl-[ACP][c]
MAR02175	H2O[c]
MAR02176	(2E)-tetradecenoyl-[ACP][c]
MAR02176	H+[c]
MAR02176	NADPH[c]
MAR02176	NADP+[c]
MAR02176	tetradecanoyl-[ACP][c]
MAR02178	H+[c]
MAR02178	malonyl-[ACP][c]
MAR02178	tetradecanoyl-[ACP][c]
MAR02178	[ACP][c]
MAR02178	3-oxohexadecanoyl-[ACP][c]
MAR02178	CO2[c]
MAR02179	3-oxohexadecanoyl-[ACP][c]
MAR02179	H+[c]
MAR02179	NADPH[c]
MAR02179	(R)-3-hydroxypalmitoyl-[ACP][c]
MAR02179	NADP+[c]
MAR02180	(R)-3-hydroxypalmitoyl-[ACP][c]
MAR02180	(2E)-hexadecenoyl-[ACP][c]
MAR02180	H2O[c]
MAR02181	(2E)-hexadecenoyl-[ACP][c]
MAR02181	H+[c]
MAR02181	NADPH[c]
MAR02181	hexadecanoyl-[ACP][c]
MAR02181	NADP+[c]
MAR02227	[ACP][c]
MAR02227	propanoyl-CoA[c]
MAR02227	CoA[c]
MAR02227	propanoyl-[ACP][c]
MAR02228	H+[c]
MAR02228	malonyl-[ACP][c]
MAR02228	propanoyl-[ACP][c]
MAR02228	[ACP][c]
MAR02228	3-oxopentanoyl-[ACP][c]
MAR02228	CO2[c]
MAR02229	3-oxopentanoyl-[ACP][c]
MAR02229	H+[c]
MAR02229	NADPH[c]
MAR02229	3-hydroxypentanoyl-[ACP][c]
MAR02229	NADP+[c]
MAR02230	3-hydroxypentanoyl-[ACP][c]
MAR02230	(2E)-pentenoyl-[ACP][c]
MAR02230	H2O[c]
MAR02231	(2E)-pentenoyl-[ACP][c]
MAR02231	H+[c]
MAR02231	NADPH[c]
MAR02231	NADP+[c]
MAR02231	pentanoyl-[ACP][c]
MAR02232	H+[c]
MAR02232	malonyl-[ACP][c]
MAR02232	pentanoyl-[ACP][c]
MAR02232	[ACP][c]
MAR02232	3-oxoheptanoyl-[ACP][c]
MAR02232	CO2[c]
MAR02233	3-oxoheptanoyl-[ACP][c]
MAR02233	H+[c]
MAR02233	NADPH[c]
MAR02233	3-hydroxyheptanoyl-[ACP][c]
MAR02233	NADP+[c]
MAR02234	3-hydroxyheptanoyl-[ACP][c]
MAR02234	(2E)-heptenoyl-[ACP][c]
MAR02234	H2O[c]
MAR02235	(2E)-heptenoyl-[ACP][c]
MAR02235	H+[c]
MAR02235	NADPH[c]
MAR02235	heptanoyl-[ACP][c]
MAR02235	NADP+[c]
MAR02236	H+[c]
MAR02236	heptanoyl-[ACP][c]
MAR02236	malonyl-[ACP][c]
MAR02236	[ACP][c]
MAR02236	3-oxononanoyl-[ACP][c]
MAR02236	CO2[c]
MAR02237	3-oxononanoyl-[ACP][c]
MAR02237	H+[c]
MAR02237	NADPH[c]
MAR02237	3-hydroxynonanoyl-[ACP][c]
MAR02237	NADP+[c]
MAR02238	3-hydroxynonanoyl-[ACP][c]
MAR02238	(2E)-nonenoyl-[ACP][c]
MAR02238	H2O[c]
MAR02239	(2E)-nonenoyl-[ACP][c]
MAR02239	H+[c]
MAR02239	NADPH[c]
MAR02239	NADP+[c]
MAR02239	nonanoyl-[ACP][c]
MAR02240	H+[c]
MAR02240	malonyl-[ACP][c]
MAR02240	nonanoyl-[ACP][c]
MAR02240	[ACP][c]
MAR02240	3-oxoundecanoyl-[ACP][c]
MAR02240	CO2[c]
MAR02241	3-oxoundecanoyl-[ACP][c]
MAR02241	H+[c]
MAR02241	NADPH[c]
MAR02241	3-hydroxyundecanoyl-[ACP][c]
MAR02241	NADP+[c]
MAR02242	3-hydroxyundecanoyl-[ACP][c]
MAR02242	(2E)-undecenoyl-[ACP][c]
MAR02242	H2O[c]
MAR02243	(2E)-undecenoyl-[ACP][c]
MAR02243	H+[c]
MAR02243	NADPH[c]
MAR02243	NADP+[c]
MAR02243	undecanoyl-[ACP][c]
MAR02244	H+[c]
MAR02244	malonyl-[ACP][c]
MAR02244	undecanoyl-[ACP][c]
MAR02244	[ACP][c]
MAR02244	3-oxotridecanoyl-[ACP][c]
MAR02244	CO2[c]
MAR02245	3-oxotridecanoyl-[ACP][c]
MAR02245	H+[c]
MAR02245	NADPH[c]
MAR02245	3-hydroxytridecanoyl-[ACP][c]
MAR02245	NADP+[c]
MAR02246	3-hydroxytridecanoyl-[ACP][c]
MAR02246	(2E)-tridecenoyl-[ACP][c]
MAR02246	H2O[c]
MAR02247	(2E)-tridecenoyl-[ACP][c]
MAR02247	H+[c]
MAR02247	NADPH[c]
MAR02247	NADP+[c]
MAR02247	tridecanoyl-[ACP][c]
MAR02249	H+[c]
MAR02249	malonyl-[ACP][c]
MAR02249	tridecanoyl-[ACP][c]
MAR02249	[ACP][c]
MAR02249	3-oxopentadecanoyl-[ACP][c]
MAR02249	CO2[c]
MAR02250	3-oxopentadecanoyl-[ACP][c]
MAR02250	H+[c]
MAR02250	NADPH[c]
MAR02250	3-hydroxypentadecanoyl-[ACP][c]
MAR02250	NADP+[c]
MAR02251	3-hydroxypentadecanoyl-[ACP][c]
MAR02251	(2E)-pentadecenoyl-[ACP][c]
MAR02251	H2O[c]
MAR02252	(2E)-pentadecenoyl-[ACP][c]
MAR02252	H+[c]
MAR02252	NADPH[c]
MAR02252	NADP+[c]
MAR02252	pentadecanoyl-[ACP][c]
MAR02254	H+[c]
MAR02254	malonyl-[ACP][c]
MAR02254	pentadecanoyl-[ACP][c]
MAR02254	[ACP][c]
MAR02254	3-oxoheptadecanoyl-[ACP][c]
MAR02254	CO2[c]
MAR02255	3-oxoheptadecanoyl-[ACP][c]
MAR02255	H+[c]
MAR02255	NADPH[c]
MAR02255	3-hydroxyheptadecanoyl-[ACP][c]
MAR02255	NADP+[c]
MAR02256	3-hydroxyheptadecanoyl-[ACP][c]
MAR02256	(2E)-heptadecenoyl-[ACP][c]
MAR02256	H2O[c]
MAR02257	(2E)-heptadecenoyl-[ACP][c]
MAR02257	H+[c]
MAR02257	NADPH[c]
MAR02257	heptadecanoyl-[ACP][c]
MAR02257	NADP+[c]
MAR02267	H+[c]
MAR02267	heneicosanoyl-CoA[c]
MAR02267	malonyl-CoA[c]
MAR02267	3-oxotricosanoyl-CoA[c]
MAR02267	CO2[c]
MAR02267	CoA[c]
MAR02268	3-oxotricosanoyl-CoA[c]
MAR02268	H+[c]
MAR02268	NADPH[c]
MAR02268	3-hydroxytricosanoyl-CoA[c]
MAR02268	NADP+[c]
MAR02269	3-hydroxytricosanoyl-CoA[c]
MAR02269	(2E)-tricosenoyl-CoA[c]
MAR02269	H2O[c]
MAR02270	(2E)-tricosenoyl-CoA[c]
MAR02270	H+[c]
MAR02270	NADPH[c]
MAR02270	NADP+[c]
MAR02270	tricosanoyl-CoA[c]
MAR02150	[ACP][c]
MAR02150	acetyl-CoA[c]
MAR02150	acetyl-[ACP][c]
MAR02150	CoA[c]
MAR02151	[ACP][c]
MAR02151	malonyl-CoA[c]
MAR02151	CoA[c]
MAR02151	malonyl-[ACP][c]
MAR02172	dodecanoyl-[ACP][c]
MAR02172	H2O[c]
MAR02172	[ACP][c]
MAR02172	H+[c]
MAR02172	lauric acid[c]
MAR02177	H2O[c]
MAR02177	tetradecanoyl-[ACP][c]
MAR02177	[ACP][c]
MAR02177	H+[c]
MAR02177	myristic acid[c]
MAR02182	H2O[c]
MAR02182	hexadecanoyl-[ACP][c]
MAR02182	[ACP][c]
MAR02182	H+[c]
MAR02182	palmitate[c]
MAR02248	H2O[c]
MAR02248	tridecanoyl-[ACP][c]
MAR02248	[ACP][c]
MAR02248	H+[c]
MAR02248	tridecylic acid[c]
MAR02253	H2O[c]
MAR02253	pentadecanoyl-[ACP][c]
MAR02253	[ACP][c]
MAR02253	H+[c]
MAR02253	pentadecylic acid[c]
MAR02258	H2O[c]
MAR02258	heptadecanoyl-[ACP][c]
MAR02258	[ACP][c]
MAR02258	H+[c]
MAR02258	margaric acid[c]
MAR01045	12(S)-HPETE[e]
MAR01045	hepoxilin A3[e]
MAR01084	H+[e]
MAR01084	leukotriene C4[e]
MAR01084	5-L-gamma-glutamyl[e]
MAR01084	LTD4[e]
MAR02591	CoA[c]
MAR02591	O-acetylcarnitine[c]
MAR02591	acetyl-CoA[c]
MAR02591	L-carnitine[c]
MAR02605	CoA[c]
MAR02605	tridecanoylcarnitine[c]
MAR02605	L-carnitine[c]
MAR02605	tridecanoyl-CoA[c]
MAR02608	CoA[c]
MAR02608	tetradecanoylcarnitine[c]
MAR02608	L-carnitine[c]
MAR02608	myristoyl-CoA[c]
MAR02623	CoA[c]
