A	B
MAR04387	mannose-1-phosphate[c]
MAR04387	GDP-mannose[c]
MAR04387	PPi[c]
MAR04399	GDP-mannose[c]
MAR04399	GDP-4-dehydro-6-deoxy-D-mannose[c]
MAR04399	H2O[c]
MAR04400	GDP-4-dehydro-6-deoxy-D-mannose[c]
MAR04400	H+[c]
MAR04400	NADH[c]
MAR04400	GDP-L-fucose[c]
MAR04400	NAD+[c]
MAR04401	GDP-L-fucose[c]
MAR04401	PPi[c]
MAR04401	GTP[c]
MAR04401	H+[c]
MAR04401	L-fucose-1-phosphate[c]
MAR04402	6-deoxy-L-galactose[c]
MAR04402	ATP[c]
MAR04402	ADP[c]
MAR04402	H+[c]
MAR04402	L-fucose-1-phosphate[c]
MAR04490	ATP[c]
MAR04490	mannose[c]
MAR04490	ADP[c]
MAR04490	H+[c]
MAR04490	mannose-6-phosphate[c]
MAR04706	fructose-2,6-bisphosphate[c]
MAR04706	H2O[c]
MAR04706	fructose-6-phosphate[c]
MAR04706	Pi[c]
MAR08768	GDP-4-dehydro-6-deoxy-D-mannose[c]
MAR08768	H+[c]
MAR08768	NADPH[c]
MAR08768	GDP-L-fucose[c]
MAR08768	NADP+[c]
MAR08353	3-dehydro-L-gulonate[c]
MAR08353	H+[c]
MAR08353	CO2[c]
MAR08353	L-xylulose[c]
MAR01568	acetaldehyde[c]
MAR01568	H2O[c]
MAR01568	NAD+[c]
MAR01568	acetate[c]
MAR01568	H+[c]
MAR01568	NADH[c]
MAR04093	acetyl-CoA[c]
MAR04093	H2O[c]
MAR04093	acetate[c]
MAR04093	CoA[c]
MAR04093	H+[c]
MAR04095	acetyl-CoA[m]
MAR04095	H2O[m]
MAR04095	acetate[m]
MAR04095	CoA[m]
MAR04095	H+[m]
MAR04101	GTP[c]
MAR04101	OAA[c]
MAR04101	CO2[c]
MAR04101	GDP[c]
MAR04101	PEP[c]
MAR04103	GTP[m]
MAR04103	OAA[m]
MAR04103	CO2[m]
MAR04103	GDP[m]
MAR04103	PEP[m]
MAR04143	ATP[m]
MAR04143	HCO3-[m]
MAR04143	pyruvate[m]
MAR04143	ADP[m]
MAR04143	H+[m]
MAR04143	OAA[m]
MAR04143	Pi[m]
MAR04193	CDP[c]
MAR04193	H+[c]
MAR04193	PEP[c]
MAR04193	CTP[c]
MAR04193	pyruvate[c]
MAR08498	acetone[c]
MAR08498	H+[c]
MAR08498	NADPH[c]
MAR08498	O2[c]
MAR08498	H2O[c]
MAR08498	hydroxyacetone[c]
MAR08498	NADP+[c]
MAR08516	DHAP[c]
MAR08516	methylglyoxal[c]
MAR08516	Pi[c]
MAR08517	GAP[c]
MAR08517	methylglyoxal[c]
MAR08517	Pi[c]
MAR00153	ATP[c]
MAR00153	CoA[c]
MAR00153	propanoate[c]
MAR00153	AMP[c]
MAR00153	PPi[c]
MAR00153	propanoyl-CoA[c]
MAR03800	2-oxobutyrate[m]
MAR03800	CoA[m]
MAR03800	NAD+[m]
MAR03800	CO2[m]
MAR03800	NADH[m]
MAR03800	propanoyl-CoA[m]
MAR04105	H+[c]
MAR04105	malonyl-CoA[c]
MAR04105	acetyl-CoA[c]
MAR04105	CO2[c]
MAR04331	AMP[c]
MAR04331	H+[c]
MAR04331	propanoyl-CoA[c]
MAR04331	CoA[c]
MAR04331	propinol adenylate[c]
MAR04459	ATP[c]
MAR04459	H+[c]
MAR04459	propanoate[c]
MAR04459	PPi[c]
MAR04459	propinol adenylate[c]
MAR01436	acetoacetate[c]
MAR01436	ATP[c]
MAR01436	CoA[c]
MAR01436	acetoacetyl-CoA[c]
MAR01436	AMP[c]
MAR01436	PPi[c]
MAR07709	(R)-3-hydroxybutanoyl-CoA[m]
MAR07709	crotonyl-CoA[m]
MAR07709	H2O[m]
MAR04052	ATP[c]
MAR04052	ribose-5-phosphate[c]
MAR04052	AMP[c]
MAR04052	H+[c]
MAR04052	PRPP[c]
MAR04398	2-deoxy-D-ribose-5-phosphate[c]
MAR04398	acetaldehyde[c]
MAR04398	GAP[c]
MAR04710	2-deoxy-D-ribose-1-phosphate[c]
MAR04710	2-deoxy-D-ribose-5-phosphate[c]
MAR04841	H+[c]
MAR04841	NADH[c]
MAR04841	ribose[c]
MAR04841	NAD+[c]
MAR04841	ribitol[c]
MAR08074	ATP[c]
MAR08074	deoxyribose[c]
MAR08074	2-deoxy-D-ribose-5-phosphate[c]
MAR08074	ADP[c]
MAR08074	H+[c]
MAR03998	ADP[c]
MAR03998	H2O[c]
MAR03998	AMP[c]
MAR03998	H+[c]
MAR03998	Pi[c]
MAR04000	ATP[c]
MAR04000	cAMP[c]
MAR04000	PPi[c]
MAR04002	ADP[c]
MAR04002	AMP[c]
MAR04002	ATP[c]
MAR04010	AMP[c]
MAR04010	H2O[c]
MAR04010	adenosine[c]
MAR04010	Pi[c]
MAR04081	AMP[e]
MAR04081	H2O[e]
MAR04081	adenosine[e]
MAR04081	Pi[e]
MAR04082	AMP[m]
MAR04082	H2O[m]
MAR04082	adenosine[m]
MAR04082	Pi[m]
MAR04012	adenosine[c]
MAR04012	ATP[c]
MAR04012	ADP[c]
MAR04012	AMP[c]
MAR04012	H+[c]
MAR04014	cAMP[c]
MAR04014	H2O[c]
MAR04014	AMP[c]
MAR04014	H+[c]
MAR04022	GTP[c]
MAR04022	cGMP[c]
MAR04022	PPi[c]
MAR04040	H2O[c]
MAR04040	IMP[c]
MAR04040	NAD+[c]
MAR04040	H+[c]
MAR04040	NADH[c]
MAR04040	xanthosine-5-phosphate[c]
MAR04042	aspartate[c]
MAR04042	GTP[c]
MAR04042	IMP[c]
MAR04042	adenylosuccinate[c]
MAR04042	GDP[c]
MAR04042	H+[c]
MAR04042	Pi[c]
MAR04046	ATP[c]
MAR04046	glutamine[c]
MAR04046	H2O[c]
MAR04046	xanthosine-5-phosphate[c]
MAR04046	AMP[c]
MAR04046	glutamate[c]
MAR04046	GMP[c]
MAR04046	H+[c]
MAR04046	PPi[c]
MAR04048	cGMP[c]
MAR04048	H2O[c]
MAR04048	GMP[c]
MAR04048	H+[c]
MAR04080	AMP[c]
MAR04080	H2O[c]
MAR04080	IMP[c]
MAR04080	NH3[c]
MAR04085	AMP[c]
MAR04085	PPi[c]
MAR04085	adenine[c]
MAR04085	PRPP[c]
MAR04168	GTP[c]
MAR04168	H2O[c]
MAR04168	GMP[c]
MAR04168	H+[c]
MAR04168	PPi[c]
MAR04171	GDP[c]
MAR04171	H+[c]
MAR04171	PEP[c]
MAR04171	GTP[c]
MAR04171	pyruvate[c]
MAR04290	H2O[e]
MAR04290	ITP[e]
MAR04290	H+[e]
MAR04290	IDP[e]
MAR04290	Pi[e]
MAR04406	glutamine[c]
MAR04406	H2O[c]
MAR04406	PRPP[c]
MAR04406	5-phosphoribosylamine[c]
MAR04406	glutamate[c]
MAR04406	PPi[c]
MAR04412	AMP[c]
MAR04412	fumarate[c]
MAR04412	adenylosuccinate[c]
MAR04417	H2O[c]
MAR04417	IMP[c]
MAR04417	inosine[c]
MAR04417	Pi[c]
MAR04419	GMP[c]
MAR04419	H+[c]
MAR04419	NADPH[c]
MAR04419	IMP[c]
MAR04419	NADP+[c]
MAR04419	NH3[c]
MAR04421	dADP[c]
MAR04421	H+[c]
MAR04421	PEP[c]
MAR04421	dATP[c]
MAR04421	pyruvate[c]
MAR04450	GMP[e]
MAR04450	H2O[e]
MAR04450	guanosine[e]
MAR04450	Pi[e]
MAR04453	ATP[c]
MAR04453	NH3[c]
MAR04453	xanthosine-5-phosphate[c]
MAR04453	AMP[c]
MAR04453	GMP[c]
MAR04453	H+[c]
MAR04453	PPi[c]
MAR04480	ADP[c]
MAR04480	dADP[c]
MAR04480	ATP[c]
MAR04480	dAMP[c]
MAR04486	glucose[c]
MAR04486	ITP[c]
MAR04486	glucose-6-phosphate[c]
MAR04486	H+[c]
MAR04486	IDP[c]
MAR04487	dATP[c]
MAR04487	glucose[c]
MAR04487	dADP[c]
MAR04487	glucose-6-phosphate[c]
MAR04487	H+[c]
MAR04492	ITP[c]
MAR04492	mannose[c]
MAR04492	H+[c]
MAR04492	IDP[c]
MAR04492	mannose-6-phosphate[c]
MAR04493	dATP[c]
MAR04493	mannose[c]
MAR04493	dADP[c]
MAR04493	H+[c]
MAR04493	mannose-6-phosphate[c]
MAR04495	glucosamine[c]
MAR04495	ITP[c]
MAR04495	glucosamine-6-phosphate[c]
MAR04495	H+[c]
MAR04495	IDP[c]
MAR04496	dATP[c]
MAR04496	glucosamine[c]
MAR04496	dADP[c]
MAR04496	glucosamine-6-phosphate[c]
MAR04496	H+[c]
MAR04519	H2O[c]
MAR04519	hypoxanthine[c]
MAR04519	NAD+[c]
MAR04519	H+[c]
MAR04519	NADH[c]
MAR04519	xanthine[c]
MAR04520	H2O[c]
MAR04520	hypoxanthine[c]
MAR04520	O2[c]
MAR04520	H2O2[c]
MAR04520	xanthine[c]
MAR04573	dGDP[c]
MAR04573	H+[c]
MAR04573	PEP[c]
MAR04573	dGTP[c]
MAR04573	pyruvate[c]
MAR04600	ATP[c]
MAR04600	deoxyguanosine[c]
MAR04600	ADP[c]
MAR04600	dGMP[c]
MAR04600	H+[c]
MAR04602	dGMP[c]
MAR04602	H2O[c]
MAR04602	deoxyguanosine[c]
MAR04602	Pi[c]
MAR04646	H2O[c]
MAR04646	NAD+[c]
MAR04646	xanthine[c]
MAR04646	H+[c]
MAR04646	NADH[c]
MAR04646	urate[c]
MAR04648	H2O[x]
MAR04648	NAD+[x]
MAR04648	xanthine[x]
MAR04648	H+[x]
MAR04648	NADH[x]
MAR04648	urate[x]
MAR04649	H2O[c]
MAR04649	O2[c]
MAR04649	xanthine[c]
MAR04649	H2O2[c]
MAR04649	urate[c]
MAR04650	H2O[x]
MAR04650	O2[x]
MAR04650	xanthine[x]
MAR04650	H2O2[x]
MAR04650	urate[x]
MAR04663	Pi[c]
MAR04663	xanthosine[c]
MAR04663	ribose-1-phosphate[c]
MAR04663	xanthine[c]
MAR04695	2-deoxy-D-ribose-1-phosphate[c]
MAR04695	adenine[c]
MAR04695	deoxyadenosine[c]
MAR04695	Pi[c]
MAR04799	5-phosphoribosylamine[c]
MAR04799	ATP[c]
MAR04799	glycine[c]
MAR04799	ADP[c]
MAR04799	GAR[c]
MAR04799	H+[c]
MAR04799	Pi[c]
MAR04802	5-phosphoribosylformylglycinamidine[c]
MAR04802	ATP[c]
MAR04802	ADP[c]
MAR04802	AIR[c]
MAR04802	H+[c]
MAR04802	Pi[c]
MAR04804	5-phosphoribosyl-4-carboxy-5-aminoimidazole[c]
MAR04804	H+[c]
MAR04804	AIR[c]
MAR04804	CO2[c]
MAR04808	ATP[c]
MAR04808	glutamine[c]
MAR04808	H2O[c]
MAR04808	N-formyl-GAR[c]
MAR04808	5-phosphoribosylformylglycinamidine[c]
MAR04808	ADP[c]
MAR04808	glutamate[c]
MAR04808	H+[c]
MAR04808	Pi[c]
MAR04810	5-phosphoribosyl-4-carboxy-5-aminoimidazole[c]
MAR04810	aspartate[c]
MAR04810	ATP[c]
MAR04810	ADP[c]
MAR04810	H+[c]
MAR04810	Pi[c]
MAR04810	SAICAR[c]
MAR04812	AICAR[c]
MAR04812	fumarate[c]
MAR04812	SAICAR[c]
MAR05301	GTP[c]
MAR05301	uridine[c]
MAR05301	GDP[c]
MAR05301	H+[c]
MAR05301	UMP[c]
MAR06602	H2O2[c]
MAR06602	urate[c]
MAR06602	alloxan[c]
MAR06602	H+[c]
MAR06602	urea[c]
MAR06606	ascorbate[c]
MAR06606	urate radical[c]
MAR06606	monodehydroascorbate[c]
MAR06606	urate[c]
MAR06610	5-hydroxyisourate[c]
MAR06610	H2O[c]
MAR06610	allantoin[c]
MAR06610	CO2[c]
MAR06611	H2O[c]
MAR06611	O2[c]
MAR06611	urate[c]
MAR06611	5-hydroxyisourate[c]
MAR06611	H2O2[c]
MAR07144	ADP-ribose[c]
MAR07144	H2O[c]
MAR07144	AMP[c]
MAR07144	H+[c]
MAR07144	ribose-5-phosphate[c]
MAR08755	H2O[x]
MAR08755	hypoxanthine[x]
MAR08755	O2[x]
MAR08755	H2O2[x]
MAR08755	xanthine[x]
MAR09797	adenine[c]
MAR09797	H2O[c]
MAR09797	hypoxanthine[c]
MAR09797	NH3[c]
MAR04673	ADP[c]
MAR04673	dUTP[c]
MAR04673	ATP[c]
MAR04673	dUDP[c]
MAR04675	ATP[m]
MAR04675	dUDP[m]
MAR04675	ADP[m]
MAR04675	dUTP[m]
MAR03969	ITP[c]
MAR03969	uridine[c]
MAR03969	H+[c]
MAR03969	IDP[c]
MAR03969	UMP[c]
MAR03970	H2O[c]
MAR03970	UMP[c]
MAR03970	Pi[c]
MAR03970	uridine[c]
MAR04034	ATP[c]
MAR04034	glutamine[c]
MAR04034	H2O[c]
MAR04034	HCO3-[c]
MAR04034	ADP[c]
MAR04034	carbamoyl-phosphate[c]
MAR04034	glutamate[c]
MAR04034	H+[c]
MAR04034	Pi[c]
MAR04036	H+[c]
MAR04036	orotidine-5-phosphate[c]
MAR04036	CO2[c]
MAR04036	UMP[c]
MAR04050	H+[c]
MAR04050	N-carbamoyl-L-aspartate[c]
MAR04050	Pi[c]
MAR04050	aspartate[c]
MAR04050	carbamoyl-phosphate[c]
MAR04056	dTMP[c]
MAR04056	H2O[c]
MAR04056	Pi[c]
MAR04056	thymidine[c]
MAR04060	H2O[e]
MAR04060	UDP[e]
MAR04060	H+[e]
MAR04060	Pi[e]
MAR04060	UMP[e]
MAR04127	H2O[c]
MAR04127	UDP-glucose[c]
MAR04127	glucose-1-phosphate[c]
MAR04127	H+[c]
MAR04127	UMP[c]
MAR04177	CMP[c]
MAR04177	H2O[c]
MAR04177	cytidine[c]
MAR04177	Pi[c]
MAR04179	CMP[e]
MAR04179	H2O[e]
MAR04179	cytidine[e]
MAR04179	Pi[e]
MAR04182	cytidine[c]
MAR04182	GTP[c]
MAR04182	CMP[c]
MAR04182	GDP[c]
MAR04182	H+[c]
MAR04183	CDP[e]
MAR04183	H2O[e]
MAR04183	CMP[e]
MAR04183	H+[e]
MAR04183	Pi[e]
MAR04192	CTP[e]
MAR04192	H2O[e]
MAR04192	CDP[e]
MAR04192	H+[e]
MAR04192	Pi[e]
MAR04210	H+[c]
MAR04210	PEP[c]
MAR04210	UDP[c]
MAR04210	pyruvate[c]
MAR04210	UTP[c]
MAR04211	H2O[e]
MAR04211	UTP[e]
MAR04211	H+[e]
MAR04211	PPi[e]
MAR04211	UMP[e]
MAR04343	PRPP[c]
MAR04343	uracil[c]
MAR04343	PPi[c]
MAR04343	UMP[c]
MAR04346	5,6-Dihydrouracil[c]
MAR04346	H2O[c]
MAR04346	3-ureidopropionate[c]
MAR04346	H+[c]
MAR04470	H+[c]
MAR04470	NADH[c]
MAR04470	thymine[c]
MAR04470	dihydrothymine[c]
MAR04470	NAD+[c]
MAR04471	H+[m]
MAR04471	NADH[m]
MAR04471	thymine[m]
MAR04471	dihydrothymine[m]
MAR04471	NAD+[m]
MAR04472	H+[c]
MAR04472	NADPH[c]
MAR04472	thymine[c]
MAR04472	dihydrothymine[c]
MAR04472	NADP+[c]
MAR04484	dTMP[m]
MAR04484	H2O[m]
MAR04484	Pi[m]
MAR04484	thymidine[m]
MAR04485	2-deoxy-D-ribose-1-phosphate[c]
MAR04485	thymine[c]
MAR04485	Pi[c]
MAR04485	thymidine[c]
MAR04510	dCMP[c]
MAR04510	H2O[c]
MAR04510	deoxycytidine[c]
MAR04510	Pi[c]
MAR04577	orotidine-5-phosphate[c]
MAR04577	PPi[c]
MAR04577	orotate[c]
MAR04577	PRPP[c]
MAR04579	Pi[c]
MAR04579	uridine[c]
MAR04579	ribose-1-phosphate[c]
MAR04579	uracil[c]
MAR04608	(S)-dihydroorotate[c]
MAR04608	H2O[c]
MAR04608	H+[c]
MAR04608	N-carbamoyl-L-aspartate[c]
MAR04575	(S)-dihydroorotate[c]
MAR04575	ubiquinone[m]
MAR04575	orotate[c]
MAR04575	ubiquinol[m]
MAR04642	dUMP[c]
MAR04642	H2O[c]
MAR04642	deoxyuridine[c]
MAR04642	Pi[c]
MAR04643	dUTP[m]
MAR04643	H2O[m]
MAR04643	dUMP[m]
MAR04643	H+[m]
MAR04643	PPi[m]
MAR04672	dCTP[c]
MAR04672	H2O[c]
MAR04672	dUTP[c]
MAR04672	NH3[c]
MAR04676	cytidine[c]
MAR04676	dUTP[c]
MAR04676	CMP[c]
MAR04676	dUDP[c]
MAR04676	H+[c]
MAR04736	dihydrothymine[c]
MAR04736	H2O[c]
MAR04736	3-ureidoisobutyrate[c]
MAR04736	H+[c]
MAR04819	3-ureidoisobutyrate[c]
MAR04819	H+[c]
MAR04819	H2O[c]
MAR04819	CO2[c]
MAR04819	D-3-amino-isobutanoate[c]
MAR04819	NH3[c]
MAR05299	ATP[c]
MAR05299	uridine[c]
MAR05299	ADP[c]
MAR05299	H+[c]
MAR05299	UMP[c]
MAR05352	dUTP[c]
MAR05352	uridine[c]
MAR05352	dUDP[c]
MAR05352	H+[c]
MAR05352	UMP[c]
MAR06621	dUTP[m]
MAR06621	H2O[m]
MAR06621	oxidized thioredoxin[m]
MAR06621	thioredoxin[m]
MAR06621	UTP[m]
MAR06623	deoxyuridine[c]
MAR06623	dGTP[c]
MAR06623	dGDP[c]
MAR06623	dUMP[c]
MAR06623	H+[c]
MAR06624	deoxyuridine[m]
MAR06624	dGTP[m]
MAR06624	dGDP[m]
MAR06624	dUMP[m]
MAR06624	H+[m]
MAR06627	dTDP[c]
MAR06627	H+[c]
MAR06627	PEP[c]
MAR06627	dTTP[c]
MAR06627	pyruvate[c]
MAR08072	2-deoxy-D-ribose-1-phosphate[c]
MAR08072	H2O[c]
MAR08072	deoxyribose[c]
MAR08072	Pi[c]
MAR08637	cytosine[c]
MAR08637	H2O[c]
MAR08637	NH3[c]
MAR08637	uracil[c]
MAR03965	dUDP[c]
MAR03965	H2O[c]
MAR03965	dUMP[c]
MAR03965	H+[c]
MAR03965	Pi[c]
MAR03966	ATP[m]
MAR03966	H2O[m]
MAR03966	AMP[m]
MAR03966	H+[m]
MAR03966	PPi[m]
MAR03968	ADP[c]
MAR03968	dUDP[c]
MAR03968	ATP[c]
MAR03968	dUMP[c]
MAR03999	ADP[e]
MAR03999	H2O[e]
MAR03999	AMP[e]
MAR03999	H+[e]
MAR03999	Pi[e]
MAR04026	ADP[m]
MAR04026	CDP[m]
MAR04026	ATP[m]
MAR04026	CMP[m]
MAR04054	ATP[c]
MAR04054	thymidine[c]
MAR04054	ADP[c]
MAR04054	dTMP[c]
MAR04054	H+[c]
MAR04061	H2O[e]
MAR04061	UTP[e]
MAR04061	H+[e]
MAR04061	Pi[e]
MAR04061	UDP[e]
MAR04083	adenosine[m]
MAR04083	ATP[m]
MAR04083	ADP[m]
