""	"seqnames"	"start"	"end"	"width"	"strand"	"value"	"area"	"cluster"	"indexStart"	"indexEnd"	"L"	"clusterL"	"p.value"	"fwer"	"p.valueArea"	"fwerArea"
"DMR_47"	"chr16"	3355079	3355839	760	"*"	0.992717138555571	13.898039939778	151657	43446	43459	14	21	0.00495439911674383	0.612	0.0133137878886281	0.768
"DMR_48"	"chr3"	111260756	111261303	547	"*"	1.31661627639105	10.5329302111284	288566	82594	82601	8	8	0.0110963695573513	0.612	0.0352281899743002	0.92
"DMR_49"	"chr22"	19710712	19711327	615	"*"	1.33308450336249	9.33159152353743	266152	76561	76567	7	13	0.0121818839705705	0.624	0.0493491552471169	0.94
"DMR_50"	"chr14"	105714589	105715025	436	"*"	1.2664392003275	11.3979528029475	134520	38160	38168	9	18	0.0104098048857426	0.628	0.0275182542701539	0.884
"DMR_51"	"chr16"	68572892	68573240	348	"*"	1.32944393948015	9.30610757636107	161039	46432	46438	7	12	0.0123859977918596	0.628	0.0497202712858243	0.944
"DMR_52"	"chr2"	27529325	27530455	1130	"*"	1.327461997555	9.29223398288503	218159	64859	64865	7	20	0.0124509430986334	0.628	0.0499151072061457	0.944
"DMR_53"	"chr2"	131513608	131513927	319	"*"	1.25675770378294	11.3108193340464	232071	68305	68313	9	10	0.0109943126467068	0.632	0.028251208446601	0.888
"DMR_54"	"chr13"	111267790	111268031	241	"*"	1.17635143424122	11.7635143424122	118602	33391	33400	10	14	0.0106695861128378	0.636	0.0247719955837191	0.872
"DMR_55"	"chr3"	160822985	160823781	796	"*"	1.10833357365946	12.191669310254	295945	84690	84700	11	23	0.0101778573615505	0.664	0.021858734679866	0.868
"DMR_56"	"chr19"	58446600	58446988	388	"*"	1.14788944819233	11.4788944819233	212719	63813	63822	10	11	0.0121633281686351	0.668	0.0268316895985452	0.876
"DMR_57"	"chr5"	92956474	92957098	624	"*"	1.23066512930703	11.0759861637633	330769	92927	92935	9	9	0.0123396082870211	0.672	0.0303665698672332	0.9
"DMR_58"	"chr17"	43324322	43325323	1001	"*"	1.222985600365	11.006870403285	177615	51855	51863	9	9	0.0129241160479853	0.684	0.0310995240436804	0.908
"DMR_59"	"chr19"	11784246	11784955	709	"*"	1.18416426356191	10.6574783720572	201495	58457	58465	9	12	0.0153085365966804	0.704	0.0340870081552749	0.912
"DMR_60"	"chr3"	159557493	159558254	761	"*"	-1.25862305912742	10.0689844730193	295775	84611	84618	8	8	0.0147982520434577	0.704	0.0402475343978178	0.932
"DMR_61"	"chr20"	13200685	13200992	307	"*"	1.1746628893987	10.5719660045883	249764	72494	72502	9	25	0.0159301559615153	0.712	0.0348199623317221	0.92
"DMR_62"	"chr15"	99644950	99645435	485	"*"	1.17104690597738	10.5394221537964	148773	42431	42439	9	9	0.0162548824953842	0.716	0.0351725225684941	0.92
"DMR_63"	"chr7"	27142200	27143046	846	"*"	1.04671339463776	11.5138473410154	373115	108158	108168	11	21	0.0129519497508884	0.724	0.0266090199753208	0.876
"DMR_64"	"chr3"	111717534	111718457	923	"*"	0.963367982392738	12.5237837711056	288674	82638	82650	13	13	0.00779343681285546	0.728	0.0197526511602015	0.852
"DMR_65"	"chr5"	140864020	140864834	814	"*"	1.1587361683723	10.4286255153507	336650	95225	95233	9	9	0.0172383399979589	0.728	0.036295148585584	0.924
"DMR_66"	"chr11"	62476891	62477624	733	"*"	1.24258214115237	9.94065712921896	73492	20163	20170	8	8	0.0160043791692567	0.728	0.0416670532458737	0.932
"DMR_67"	"chr3"	101546384	101546859	475	"*"	1.09537526301029	10.9537526301029	287866	82486	82495	10	10	0.0155683178237755	0.736	0.0314706400823878	0.908
"DMR_68"	"chr6"	136871947	136872552	605	"*"	1.22040582055396	9.76324656443169	362278	106228	106235	8	13	0.0178692372637614	0.736	0.0437453030626351	0.932
"DMR_69"	"chr3"	44596512	44597153	641	"*"	1.21217760883602	9.69742087068819	281097	80347	80354	8	12	0.0184630229256933	0.74	0.0444225898332761	0.932
"DMR_70"	"chr6"	133562463	133562776	313	"*"	1.02382238605469	11.2620462466016	361727	106138	106148	11	35	0.0141766326786228	0.744	0.028724381395953	0.888
"DMR_71"	"chr1"	163038415	163039184	769	"*"	0.924351164802171	12.0165651424282	27789	8854	8866	13	13	0.00848927938543184	0.748	0.0229720827959882	0.868
"DMR_72"	"chr7"	94284486	94284919	433	"*"	0.921572632619552	11.9804442240542	380707	110017	110029	13	17	0.00855422469220564	0.748	0.0231483629143743	0.868
"DMR_73"	"chr11"	2889602	2890190	588	"*"	1.14070304131492	10.2663273718343	64769	17416	17424	9	27	0.01879702736053	0.748	0.0381321729771856	0.928
"DMR_74"	"chr8"	86350568	86351067	499	"*"	1.17970067910729	9.43760543285829	402165	114953	114960	8	11	0.0213670059285787	0.76	0.047873968993255	0.94
"DMR_75"	"chr15"	53086630	53087599	969	"*"	1.17168466781243	9.37347734249942	139613	39848	39855	8	8	0.022035014798252	0.764	0.048727535882282	0.94
"DMR_76"	"chr1"	109203610	109203923	313	"*"	1.10377800563161	9.9340020506845	21742	6151	6159	9	17	0.0222947960253472	0.788	0.0417876659584536	0.932
"DMR_77"	"chr14"	61789088	61789733	645	"*"	1.04395051405852	10.4395051405852	125199	35754	35763	10	13	0.0190568085876251	0.792	0.0361930916749395	0.924
"DMR_78"	"chr19"	44763979	44764603	624	"*"	1.09818943549218	9.88370491942965	208310	61706	61714	9	9	0.022860747984376	0.792	0.0423257842145793	0.932
"DMR_79"	"chr12"	26986758	26987065	307	"*"	1.03689997713922	10.3689997713922	91794	25646	25655	10	16	0.01967842795246	0.8	0.0368982121484835	0.924
"DMR_80"	"chr12"	104697126	104697532	406	"*"	1.03663169745551	10.3663169745551	101883	29299	29308	10	12	0.0196969837543954	0.8	0.0369167679504189	0.924
"DMR_81"	"chr10"	61469753	61470282	529	"*"	1.0903696402653	9.8133267623877	49536	13419	13427	9	10	0.0235473126559847	0.824	0.0431793511036063	0.932
"DMR_82"	"chr17"	37123638	37123949	311	"*"	1.0832852623594	9.74956736123461	175373	50697	50705	9	10	0.0241596541198519	0.828	0.0439030273790858	0.932
"DMR_83"	"chr4"	76555347	76555856	509	"*"	1.07787860184666	9.70090741661995	309920	87874	87882	9	10	0.0247348839798484	0.828	0.0444040340313408	0.932
"DMR_84"	"chr6"	32908567	32909282	715	"*"	1.05777206588409	9.51994859295679	350878	102237	102245	9	14	0.0269059128062867	0.852	0.0468533998868096	0.94
"DMR_85"	"chr1"	203320190	203320732	542	"*"	0.885887654294038	9.74476419723442	33200	10194	10204	11	11	0.0208381655734207	0.856	0.0439586947848919	0.932
"DMR_86"	"chr5"	175969064	175969569	505	"*"	1.057412670662	9.51671403595804	342259	96480	96488	9	11	0.0269894139149959	0.856	0.0468812335897127	0.94
"DMR_87"	"chr10"	103603292	103603931	639	"*"	1.04934386523587	9.44409478712284	56918	15234	15242	9	12	0.0279821493185382	0.864	0.0477719120826104	0.94
"DMR_88"	"chr6"	28956247	28956577	330	"*"	0.853019542376114	9.38321496613726	349318	98331	98341	11	17	0.0215803976508355	0.876	0.0486254789716375	0.94
"DMR_89"	"chr2"	210636188	210636844	656	"*"	0.941661098221601	9.41661098221601	240803	70558	70567	10	10	0.0277594796953137	0.884	0.0481523060222855	0.94
"DMR_90"	"chr8"	87521078	87521456	378	"*"	1.03306387658384	9.29757488925459	402273	114982	114990	9	14	0.029930508521752	0.884	0.0498316060974365	0.944
