""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"IDH1_AVG"	"IDH2_AVG"	"deltaBeta"	"CHR"	"MAPINFO"	"Strand"	"Type"	"gene"	"feature"	"cgi"	"feat.cgi"	"UCSC_Islands_Name"	"SNP_ID"	"SNP_DISTANCE"
"cg01077566"	-0.026197231545369	0.0663753868276493	-5.46752217263829	1.1396289857308e-06	0.0413399844759354	5.09250469371519	0.082748656543505	0.0565514249981359	-0.026197231545369	"2"	198365596	"F"	"II"	"HSPD1"	"TSS1500"	"shore"	"TSS1500-shore"	"chr2:198363689-198365405"	""	""
"cg14237237"	0.0779229582267675	0.864309065792114	5.44597831981792	1.23290741845424e-06	0.0425939571038635	5.0159234077061	0.815607216900385	0.893530175127152	0.0779229582267676	"15"	72509816	"F"	"II"	"PKM"	"ExonBnd"	"opensea"	"ExonBnd-opensea"	""	"rs201533100;rs569328016;rs147939689;rs371711226"	"7;8;13;36"
"cg04349162"	0.0405285445850084	0.92366580324876	5.392802427101	1.49665434296403e-06	0.0493555104166393	4.82727962177194	0.898335462883129	0.938864007468138	0.0405285445850084	"17"	62464701	"F"	"II"	"C17orf60"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs78354642;rs555604443;rs184692170;rs148403352"	"4;35;50;51"
"cg26094470"	0.0960271869441846	0.633290806022339	5.35379422175194	1.72484182565777e-06	0.0543769414421181	4.68924864807964	0.573273814182223	0.669301001126408	0.0960271869441846	"10"	75187383	"F"	"II"	"ZMYND17"	"Body"	"opensea"	"Body-opensea"	""	"rs140439809;rs150492078;rs374885512;rs145395391;rs200947443"	"0;12;17;27;46"
"cg16903122"	0.0747391859539988	0.572512445189657	5.34223504339106	1.79882617978913e-06	0.0543769414421181	4.64840503534952	0.525800453968408	0.600539639922407	0.0747391859539989	"1"	44584429	"R"	"I"	"KLF17"	"TSS200"	"opensea"	"TSS200-opensea"	""	"rs549247420;rs12030367;rs113075193;rs113495484;rs551558040;rs571412147;rs533876247"	"32;31;19;14;12;5;4"
"cg19742965"	0.0457058984147711	0.824292044005655	5.31483773997068	1.98691854821024e-06	0.0576602967923192	4.55170749383067	0.795725857496423	0.841431755911194	0.0457058984147716	"7"	42006083	"R"	"I"	"GLI3"	"Body"	"island"	"Body-island"	"chr7:42005067-42006121"	"rs137939155"	"49"
"cg04509559"	-0.0386111550033184	0.10023885335481	-5.2740254376717	2.30361680662617e-06	0.0642796803688645	4.40795200812126	0.124370825231884	0.0857596702285653	-0.0386111550033183	"14"	69864994	"F"	"I"	"ERH"	"1stExon"	"island"	"1stExon-island"	"chr14:69864713-69865073"	"rs531610559;rs543758111;rs188280663;rs529317557;rs80134653"	"10;21;23;32;49"
"cg05956747"	0.0532144470310186	0.8895034128465	5.26201043144124	2.40599143654614e-06	0.0646497918971403	4.36569812390167	0.856244383452113	0.909458830483132	0.0532144470310191	"8"	618751	"F"	"II"	"ERICH1"	"Body"	"shore"	"Body-shore"	"chr8:619097-619607"	"rs139649568;rs544295245;rs144294718;rs146050477"	"0;1;5;25"
"cg09559551"	0.0486547371340644	0.929610560137342	5.24457586568078	2.56256542786513e-06	0.0663978091196686	4.30444021429852	0.899201349428551	0.947856086562616	0.0486547371340648	"1"	15986245	"F"	"II"	"DDI2"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs189335043;rs572304680;rs557469493;rs577315479"	"0;1;16;37"
"cg21954085"	0.101056270009405	0.715872017155306	5.18702022685142	3.1541862015043e-06	0.0789089287932816	4.10268686038116	0.652711848399427	0.753768118408833	0.101056270009406	"7"	156664673	"F"	"II"	"LMBR1"	"Body"	"opensea"	"Body-opensea"	""	"rs6968779;rs185921442;rs73167935;rs551135489"	"23;31;38;39"
"cg15476885"	0.0610058239828024	0.463089351586428	5.16104227538718	3.46348442441943e-06	0.0837584828810623	4.01186811437906	0.424960711597176	0.485966535579979	0.0610058239828026	"12"	14968227	"F"	"II"	"C12orf69"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs145965191;rs187469202"	"1;14"
"cg02072446"	0.0576142485387913	0.892783614814814	5.13771471229501	3.76655663511442e-06	0.0865483608946558	3.93044710129041	0.856774709478069	0.91438895801686	0.0576142485387913	"2"	240301931	"F"	"I"	"HDAC4"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs142968967;rs571156400;rs6543529;rs553663260;rs565608825"	"2;18;39;41;46"
"cg04759619"	-0.0323037770486782	0.0557311564572531	-5.13398042551168	3.81743813379341e-06	0.0865483608946558	3.9174249175821	0.075921017112677	0.0436172400639988	-0.0323037770486782	"4"	99977343	"R"	"II"	"METAP1"	"Body"	"opensea"	"Body-opensea"	""	"rs537091098;rs556481516;rs574813897"	"47;37;13"
"cg16443977"	0.100425804935234	0.868621250557354	5.05601153652409	5.04847348530303e-06	0.101868321015985	3.64628814648078	0.805855122472833	0.906280927408067	0.100425804935234	"5"	115884994	"R"	"II"	"SEMA6A"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs182240643;rs550399351"	"11;1"
"cg12461281"	0.0581930149503486	0.922812893182945	5.04884307893405	5.17955698133622e-06	0.101868321015985	3.62143360907554	0.886442258838977	0.944635273789326	0.058193014950349	"5"	148288661	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs73278685;rs559209033"	"17;24"
"cg00345704"	0.0694941571611019	0.883281961696582	5.04700078426283	5.21378245231642e-06	0.101868321015985	3.61504803202021	0.839848113470894	0.909342270631996	0.0694941571611019	"17"	39216495	"R"	"II"	"LOC730755"	"TSS200"	"opensea"	"TSS200-opensea"	""	"rs181767591;rs145599338;rs532946291"	"40;27;4"
"cg17733590"	0.0793490533081561	0.6469376042754	5.04564416236663	5.23912733238087e-06	0.101868321015985	3.61034638039575	0.597344445957802	0.676693499265958	0.0793490533081561	"19"	36708264	"F"	"II"	"ZNF146"	"5'UTR"	"shelf"	"5'UTR-shelf"	"chr19:36705433-36706262"	""	""
"cg04808345"	0.048768832404723	0.900859202349542	5.037614615225	5.39163724430489e-06	0.101868321015985	3.58252765203328	0.87037868209659	0.919147514501313	0.048768832404723	"14"	26642106	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs551658880;rs571413465;rs149804218;rs556538181"	"46;24;9;1"
"cg26508775"	0.123527596461471	0.665369706602622	5.03423552682938	5.45711544752503e-06	0.101868321015985	3.57082542512043	0.588164958814203	0.711692555275674	0.123527596461471	"20"	55050494	"R"	"II"	"RTFDC1"	"Body"	"opensea"	"Body-opensea"	""	"rs577306478;rs546130936"	"46;32"
"cg02263576"	0.0322945955033953	0.935472011886662	5.0332661134312	5.47604410154034e-06	0.101868321015985	3.56746874291535	0.91528788969704	0.947582485200435	0.0322945955033955	"3"	185208552	"F"	"II"	"TMEM41A"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs531867954;rs550154641;rs571680125"	"0;25;40"
"cg04320095"	0.0978640072623185	0.814314814396426	5.02170563118977	5.70680748971023e-06	0.103507078174432	3.52745757399507	0.753149809857476	0.851013817119795	0.0978640072623185	"15"	49309308	"F"	"II"	"SECISBP2L"	"Body"	"opensea"	"Body-opensea"	""	"rs113395523"	"0"
"cg22844925"	-0.0495130008798116	0.10291785392127	-4.9736194952526	6.77362503955851e-06	0.116169627385898	3.36139194654901	0.133863479471153	0.084350478591341	-0.0495130008798116	"18"	21242920	"F"	"I"	"ANKRD29"	"TSS200"	"shore"	"TSS200-shore"	"chr18:21242366-21242805"	""	""
"cg26301516"	0.0575566143428111	0.90936645201884	4.9689968552964	6.88595700177002e-06	0.116169627385898	3.34545878794963	0.873393568054583	0.930950182397394	0.057556614342811	"3"	171930178	"R"	"II"	"FNDC3B"	"Body"	"opensea"	"Body-opensea"	""	"rs376262083;rs11927623;rs562318706"	"49;38;2"
"cg26175287"	0.0552761610731128	0.312945716023737	4.95595128847077	7.21293009166169e-06	0.116169627385898	3.30052362060705	0.278398115353042	0.333674276426155	0.0552761610731128	"14"	95877009	"R"	"II"	"C14orf139"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs542895893;rs184717878"	"15;14"
"cg09362366"	0.0741687809260597	0.80789307584209	4.95506892622507	7.23558796551509e-06	0.116169627385898	3.29748594072447	0.761537587763302	0.835706368689362	0.0741687809260602	"3"	159710706	"R"	"II"	"IL12A"	"Body"	"shelf"	"Body-shelf"	"chr3:159706490-159707011"	"rs573904817"	"46"
"cg03310027"	0.0311122007773809	0.836157555206619	4.95315464112685	7.28498480102914e-06	0.116169627385898	3.29089639156928	0.816712429720756	0.847824630498137	0.0311122007773812	"15"	43941072	"F"	"I"	"CATSPER2"	"TSS200"	"island"	"TSS200-island"	"chr15:43940866-43941702"	"rs186311771;rs543867911"	"18;43"
"cg10360403"	0.0500871751656815	0.853304529590083	4.93978391793567	7.6393621310374e-06	0.116169627385898	3.24489704587702	0.822000045111532	0.872087220277213	0.0500871751656816	"3"	46064716	"R"	"I"	"XCR1"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs543950370;rs562223688;rs139836084;rs551323434;rs375351970;rs190764829"	"24;23;19;15;10;8"
"cg22208295"	-0.0287000178081714	0.0717996666889994	-4.93709798641861	7.71256483028106e-06	0.116169627385898	3.23566228773471	0.0897371778191065	0.0610371600109351	-0.0287000178081714	"6"	26474477	"F"	"II"	"BTN2A1"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg00106685"	-0.0514365484733967	0.416339792544713	-4.93297568314512	7.82625608840664e-06	0.116169627385898	3.22149270135136	0.448487635340586	0.397051086867189	-0.0514365484733967	"3"	52720133	"R"	"II"	"GNL3"	"1stExon"	"island"	"1stExon-island"	"chr3:52719934-52720335"	"rs549660436;rs368025635"	"42;16"
"cg25113081"	0.0624026805943459	0.917926597143084	4.93226348373466	7.84606421498718e-06	0.116169627385898	3.2190451139294	0.878924921771618	0.941327602365963	0.0624026805943458	"3"	160156820	"F"	"II"	"TRIM59"	"Body"	"opensea"	"Body-opensea"	""	"rs139273294;rs144500230;rs201971764;rs200573852"	"0;1;27;30"
"cg07442040"	0.0312226686542442	0.953721183233524	4.8928082367575	9.02379681060455e-06	0.130935111245936	3.08366183962441	0.934207015324621	0.965429683978866	0.0312226686542445	"5"	169289365	"R"	"II"	"DOCK2"	"Body"	"opensea"	"Body-opensea"	""	"rs551338153;rs181324769"	"45;37"
"cg10506618"	0.0641830771051129	0.346320517604265	4.87742279005446	9.52863399981654e-06	0.134791580934145	3.03098312821487	0.306206094413569	0.370389171518682	0.064183077105113	"3"	42246902	"R"	"II"	"TRAK1"	"Body"	"shelf"	"Body-shelf"	"chr3:42243930-42244371"	"rs73831719;rs553528159"	"24;12"
"cg08806401"	0.0969385643633741	0.861037328801119	4.87351642535191	9.66116039936034e-06	0.134791580934145	3.01761826293168	0.80045072607401	0.897389290437385	0.0969385643633742	"10"	63709410	"F"	"II"	"ARID5B"	"Body"	"opensea"	"Body-opensea"	""	"rs549471901;rs75629944;rs116968305"	"0;2;20"
"cg24263671"	0.0536277338527712	0.797181260865644	4.85516567578319	1.03083137229819e-05	0.141107005617163	2.95489075494348	0.763663927207662	0.817291661060433	0.0536277338527714	"3"	52097649	"F"	"I"	"LINC00696"	"Body"	"opensea"	"Body-opensea"	""	"rs561971848;rs573879707"	"0;12"
"cg02833580"	-0.0425335514315265	0.0840692583136512	-4.82744137060859	1.13674269696927e-05	0.147873774724989	2.86029890189961	0.110652727958355	0.0681191765268288	-0.0425335514315264	"12"	65996465	"R"	"II"	"LOC100507065"	"Body"	"opensea"	"Body-opensea"	""	"rs188468211;rs555969567"	"28;10"
"cg17448223"	0.0567255561687925	0.907621811533294	4.82687518629289	1.13901314776537e-05	0.147873774724989	2.85836938924198	0.872168338927799	0.928893895096592	0.0567255561687927	"11"	86085026	"R"	"II"	"CCDC81"	"TSS1500"	"shore"	"TSS1500-shore"	"chr11:86085693-86086006"	"rs2045509"	"18"
"cg10887670"	0.0919698700178782	0.847563347280461	4.82289980727706	1.15508043698129e-05	0.147873774724989	2.84482414010912	0.790082178519288	0.882052048537166	0.0919698700178782	"5"	67586509	"R"	"II"	"PIK3R1"	"Body"	"shelf"	"Body-shelf"	"chr5:67584213-67584451"	"rs191923530;rs200533433;rs115082151"	"50;2;1"
"cg07940010"	0.0477701419112958	0.942505923060286	4.82062200211472	1.16438653768744e-05	0.147873774724989	2.8370650130671	0.912649584365726	0.960419726277022	0.0477701419112958	"9"	80746798	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs578121758;rs545531796;rs12350795"	"42;18;16"
"cg23454275"	0.0351550293280104	0.862030310120037	4.81631686894334	1.1821765342267e-05	0.147873774724989	2.82240398141985	0.84005841679003	0.875213446118041	0.0351550293280107	"12"	123189246	"F"	"I"	"HCAR2"	"TSS1500"	"opensea"	"TSS1500-opensea"	""	"rs539519297;rs187223452;rs576921353;rs562479730;rs112378089;rs562386642;rs574376330"	"0;10;11;15;39;40;48"
"cg23471351"	0.0815696485370829	0.904215152437161	4.80187734647843	1.24381154912476e-05	0.152946446623468	2.77326883428506	0.853234122101484	0.934803770638567	0.0815696485370829	"12"	48552752	"F"	"II"	"ASB8"	"TSS1500"	"shore"	"TSS1500-shore"	"chr12:48550824-48551518"	""	""
"cg13504856"	0.0399873435348447	0.931186964185775	4.78912762546602	1.300843579591e-05	0.154455570825742	2.72993314514411	0.906194874476497	0.946182218011341	0.0399873435348446	"7"	128956859	"F"	"II"	"AHCYL2"	"Body"	"opensea"	"Body-opensea"	""	"rs115473403;rs559721432"	"31;51"
"cg22395253"	0.0675970090362006	0.621930276234519	4.78855589466464	1.30346019102801e-05	0.154455570825742	2.72799094979561	0.579682145586894	0.647279154623094	0.0675970090362007	"7"	104941898	"F"	"I"	"SRPK2"	"Body"	"island"	"Body-island"	"chr7:104941752-104941978"	"rs527867919;rs111524928;rs567572565;rs186931275;rs138847723;rs568955928"	"1;14;19;27;36;51"
"cg02077729"	-0.027413390356724	0.0416994749306564	-4.77556001501332	1.36434798624976e-05	0.154455570825742	2.68386872270565	0.0588328439036089	0.0314194535468849	-0.027413390356724	"1"	232714530	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs148558821;rs557712818;rs577757708;rs539582735;rs553026991;rs191068171"	"47;39;26;24;16;1"
"cg00782174"	-0.0383511848607421	0.132357989296461	-4.77419763523947	1.37089003974242e-05	0.154455570825742	2.67924613755768	0.156327479834425	0.117976294973683	-0.0383511848607421	"19"	47291626	"R"	"II"	"SLC1A5"	"1stExon"	"island"	"1stExon-island"	"chr19:47290585-47291983"	"rs545091181;rs564986912"	"37;29"
"cg26700469"	0.0905973478038348	0.741020077396262	4.76796785657569	1.4011985917773e-05	0.154455570825742	2.65811520733308	0.684396735018865	0.7749940828227	0.0905973478038349	"16"	79155427	"R"	"II"	"WWOX"	"Body"	"opensea"	"Body-opensea"	""	"rs566532162;rs9940026;rs555243718;rs186570724"	"43;31;13;12"
"cg10529952"	0.0538804274646666	0.89485520132484	4.75768767120365	1.45265372684068e-05	0.154455570825742	2.62327026668873	0.861179934159423	0.91506036162409	0.0538804274646668	"4"	139985455	"F"	"II"	"ELF2"	"Body"	"opensea"	"Body-opensea"	""	"rs190227262;rs531952201;rs550157485"	"9;14;45"
"cg09275602"	0.0647455511997385	0.548014631106356	4.75521457543591	1.46530573899429e-05	0.154455570825742	2.61489224617392	0.50754866160652	0.572294212806258	0.0647455511997385	"7"	66370330	"F"	"I"	""	"IGR"	"shore"	"IGR-shore"	"chr7:66368772-66369612"	"rs374369382;rs115232864;rs551806027;rs571199093"	"0;8;18;32"
"cg19472393"	0.0394010209125912	0.900122666169461	4.7540234883851	1.47143761011105e-05	0.154455570825742	2.61085787993185	0.875497028099091	0.914898049011682	0.0394010209125915	"8"	86141302	"R"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs532203933;rs552487316"	"28;14"
"cg00141929"	0.0332541732102594	0.954454889716429	4.75326964450662	1.47533147261218e-05	0.154455570825742	2.6083047274781	0.933671031460017	0.966925204670276	0.0332541732102596	"12"	106886989	"R"	"II"	"POLR3B"	"Body"	"opensea"	"Body-opensea"	""	"rs184912857;rs150117133;rs138446064;rs543464592;rs556782642"	"17;13;8;2;1"
"cg04951822"	-0.145604369582562	0.339476408064746	-4.7490138481259	1.49750412148962e-05	0.154455570825742	2.59389412675196	0.430479139053847	0.284874769471286	-0.145604369582562	"12"	113345598	"F"	"II"	"OAS1"	"Body"	"opensea"	"Body-opensea"	""	""	""
"cg15302530"	0.0303822927378331	0.187871526151947	4.74475300381066	1.52002982320563e-05	0.154455570825742	2.57947175685452	0.168882593190801	0.199264885928634	0.0303822927378332	"7"	108210038	"R"	"I"	"THAP5"	"5'UTR"	"island"	"5'UTR-island"	"chr7:108209784-108210906"	"rs567574027;rs536499673;rs2233131;rs575560565;rs112785303"	"38;32;21;10;1"
"cg10213319"	0.0803344803866241	0.639702416192359	4.74320224360384	1.52831025556648e-05	0.154455570825742	2.57422397223542	0.589493365950719	0.669827846337343	0.0803344803866242	"5"	68616637	"F"	"II"	"CCDC125"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs181510198;rs75486902"	"7;25"
"cg24509398"	0.067753321766081	0.615197690344556	4.74235579237353	1.53284857724868e-05	0.154455570825742	2.57135987328343	0.572851864240755	0.640605186006836	0.0677533217660811	"1"	28416532	"R"	"I"	"EYA3"	"TSS1500"	"shore"	"TSS1500-shore"	"chr1:28415098-28415312"	""	""
"cg12953669"	-0.0359554725716242	0.103889219871665	-4.73344698991863	1.58142127321114e-05	0.157167061958001	2.54122837508149	0.12636139022893	0.0904059176573059	-0.0359554725716242	"18"	60988017	"R"	"II"	"BCL2"	"TSS1500"	"island"	"TSS1500-island"	"chr18:60986621-60988286"	""	""
"cg15639659"	0.0829375860066459	0.727803847515532	4.72092437410817	1.65225328173806e-05	0.161987581574011	2.49891391677162	0.675967856261378	0.758905442268024	0.0829375860066461	"5"	162843589	"R"	"I"	""	"IGR"	"opensea"	"IGR-opensea"	""	"rs17061666;rs534888125;rs192299747;rs574801932"	"46;32;31;13"
"cg13883732"	0.0760634285805116	0.87317966383105	4.70876651897226	1.72398869876952e-05	0.166766943595812	2.45787670502203	0.82564002096823	0.901703449548742	0.0760634285805116	"19"	41003524	"F"	"II"	"SPTBN4"	"ExonBnd"	"opensea"	"ExonBnd-opensea"	""	"rs569652104"	"50"
"cg11221687"	0.0713847433297852	0.859324412818658	4.70058631942856	1.77396050637938e-05	0.169342970186544	2.43029047251635	0.814708948237543	0.886093691567328	0.0713847433297853	"17"	5083868	"R"	"II"	"ZNF594"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs535953977;rs151156746;rs566078609"	"42;32;28"
"cg13573178"	0.0764447264641064	0.914990527927676	4.68808420345008	1.85308401635621e-05	0.174598779322392	2.38816835137519	0.86721257388761	0.943657300351716	0.0764447264641062	"1"	90463746	"R"	"II"	"ZNF326"	"Body"	"shelf"	"Body-shelf"	"chr1:90460399-90461237"	"rs182559748;rs187261775;rs138906234;rs200310011;rs201892552"	"48;43;16;2;1"
"cg01642084"	0.0588942384814441	0.840644374642865	4.67676357664503	1.92770154402787e-05	0.179300710575728	2.35006780233925	0.803835475591963	0.862729714073407	0.0588942384814443	"2"	105118579	"F"	"I"	"LOC150568"	"Body"	"opensea"	"Body-opensea"	""	"rs566502125;rs1439670;rs555514745"	"14;15;47"
"cg27484512"	0.108299570199479	0.855550287561793	4.66218948078268	2.02810227574113e-05	0.186251414297204	2.30107505303521	0.787863056187118	0.896162626386598	0.10829957019948	"7"	102585030	"F"	"II"	"FBXL13"	"Body"	"opensea"	"Body-opensea"	""	"rs117261467;rs527699665"	"1;14"
"cg01918001"	0.0689963928861529	0.875893809232849	4.65749597468433	2.06151108833304e-05	0.186953029134317	2.28531109807744	0.832771063679003	0.901767456565156	0.068996392886153	"12"	13687295	"F"	"II"	""	"IGR"	"opensea"	"IGR-opensea"	""	""	""
"cg20742840"	0.0285875579864157	0.949627879996393	4.64310351895018	2.16734785922711e-05	0.193395781314533	2.2370139720157	0.931760656254884	0.960348214241299	0.0285875579864158	"11"	73243384	"F"	"II"	"FAM168A"	"5'UTR"	"opensea"	"5'UTR-opensea"	""	"rs148751569;rs573387852;rs191529106"	"0;16;51"
"cg09150254"	-0.0157944146788573	0.0258109723491176	-4.63946546121151	2.19493081641094e-05	0.193395781314533	2.22481582459826	0.0356824815234034	0.0198880668445461	-0.0157944146788573	"14"	70234774	"R"	"II"	"SRSF5"	"5'UTR"	"shore"	"5'UTR-shore"	"chr14:70233570-70234668"	"rs180697390;rs183756008;rs569080542;rs147888451;rs113003863;rs188524991"	"49;35;30;21;12;7"
"cg27053177"	0.104543339378921	0.808018693448893	4.63716808909341	2.21252542720338e-05	0.193395781314533	2.2171150229089	0.742679106337068	0.847222445715989	0.104543339378921	"2"	169508778	"R"	"II"	"LASS6"	"Body"	"opensea"	"Body-opensea"	""	"rs566148983"	"40"
"cg12107772"	0.057923523875782	0.847770321419205	4.63016392577378	2.26702246982015e-05	0.19580030176572	2.19364720121802	0.811568118996841	0.869491642872623	0.0579235238757823	"18"	9860454	"R"	"II"	"RAB31"	"3'UTR"	"opensea"	"3'UTR-opensea"	""	"rs138557098;rs549834829"	"33;1"
