"ID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"MAPINFO"	"Strand"	"CHR"	"abs_logFC"	"fragment_ID"
"cg00612332"	0.183690750081371	0.374855513452275	2.76902315629393	0.00758950964827849	0.662329311473781	-3.07175496275592	272258	"-"	"9"	0.183690750081371	750578
"cg00634202"	0.128466857234656	0.404395258916331	2.23322194394247	0.0295071416499684	0.767508196282198	-4.27701789933472	93532437	"-"	"9"	0.128466857234656	772762
"cg00640991"	0.111181242383927	0.627805448129496	2.62089984217147	0.0112430696730199	0.691234040784468	-3.42534070343134	29685631	"+"	"1"	0.111181242383927	6320
"cg00661777"	0.146734797037372	0.548673748395325	2.33503493231635	0.0231141945113057	0.75023823388322	-4.06408027825565	106511741	"+"	"7"	0.146734797037372	691852
"cg00679477"	0.121110633738664	0.463196535129254	2.34560877798462	0.0225267476936363	0.749174605365943	-4.04151715797754	78023985	"-"	"11"	0.121110633738664	124217
"cg00714975"	0.132761329919611	0.651891520593219	2.65607573993263	0.0102533507576788	0.685315831877812	-3.34272926917417	64770405	"+"	"7"	0.132761329919611	680237
"cg00720747"	-0.111040805379793	0.165535183034941	-2.69694553903072	0.00920378338740485	0.678429874042038	-3.24567673749386	4363832	"+"	"16"	0.111040805379793	259509
"cg00739120"	-0.138762414091308	0.396000950136782	-2.93564465170377	0.00480438709938965	0.621918474337382	-2.65657397395076	36035875	"+"	"19"	0.138762414091308	327667
"cg00743831"	0.124488370076608	0.55186505616002	2.15632981707492	0.0353238675764891	0.780770549217025	-4.43257094241676	126285778	"-"	"8"	0.124488370076608	745119
"cg00747647"	-0.110824808550141	0.314007130531316	-2.43537916181423	0.0180523789649412	0.73065702647377	-3.84661713388883	10045441	"-"	"19"	0.110824808550141	321864
"cg00752223"	0.118207697806855	0.259956732377219	2.43723893130362	0.0179687897492298	0.730122598391287	-3.84251670724466	379845	"+"	"18"	0.118207697806855	297773
"cg00766382"	0.118730956979683	0.35361257333036	2.0605344877486	0.0439574363509902	0.792761016906835	-4.61989209910043	48592404	"+"	"16"	0.118730956979683	267707
"cg00768503"	0.130398638376994	0.698015889448703	3.46975082252304	0.00100385761985465	0.488851804958666	-1.21164884384136	121805509	"+"	"5"	0.130398638376994	593170
"cg00796466"	0.200483232332742	0.483693791545305	2.65885671699072	0.0101786041920678	0.68477069387435	-3.33616164765881	43386412	"+"	"2"	0.200483232332742	344484
"cg00805728"	0.149392591820967	0.684809168651961	2.93454964840042	0.00481909113658081	0.621918474337382	-2.65936087898141	19324073	"+"	"20"	0.149392591820967	409027
"cg00829858"	0.126325133380341	0.577334249940963	2.33290318057908	0.0232342684642124	0.751231793347266	-4.06861900464589	179148245	"+"	"2"	0.126325133380341	384331
"cg00849052"	0.132435014683299	0.578679341736267	2.2228730980663	0.0302372642265321	0.769545037512585	-4.29821978224026	23570444	"-"	"8"	0.132435014683299	714091
"cg00860726"	0.142759461137251	0.271472548962973	3.18055878994846	0.00238627999150878	0.560153076038789	-2.01463332116668	129508082	"+"	"2"	0.142759461137251	368502
"cg00874173"	0.115010645406608	0.539460776499669	2.17602298414228	0.0337455595092921	0.778219605746983	-4.39316849576964	104660700	"+"	"7"	0.115010645406608	691318
"cg00878274"	0.169286333991984	0.436773484306941	2.68314762370548	0.0095465855571342	0.680259844299966	-3.27857002651943	130405077	"+"	"5"	0.169286333991984	595987
"cg00881604"	0.114447634924382	0.786375898028249	2.82024812262879	0.00660533465862032	0.650402237987838	-2.94604183280318	36701495	"+"	"5"	0.114447634924382	566352
"cg00881696"	-0.148662337088543	0.721220019416237	-3.14242315895664	0.00266656398991757	0.569499413635917	-2.1169714925689	43328003	"-"	"2"	0.148662337088543	344473
"cg00926855"	0.141888806207605	0.398645651112509	2.70409608140973	0.00903060297393065	0.676357263678599	-3.22857935062578	80037111	"-"	"5"	0.141888806207605	579729
"cg00939032"	0.121609650373804	0.440151255893857	2.16443042808649	0.0346669772642486	0.779548820910406	-4.4163997089601	156503693	"+"	"5"	0.121609650373804	603542
"cg00940577"	-0.109841540361047	0.460958340589787	-2.2916732699841	0.0256685160326594	0.758831454022996	-4.15572985020755	28803884	"+"	"17"	0.109841540361047	284839
"cg00942920"	0.149751115478266	0.360841737227334	2.63297400800771	0.0108939309233929	0.689692762760611	-3.3970807368444	203734559	"-"	"1"	0.149751115478266	51242
"cg00943260"	0.116857639144691	0.671458442994451	2.21451691727817	0.0308383840220686	0.771174373014908	-4.31527912283734	53172480	"+"	"12"	0.116857639144691	157271
"cg00943359"	0.112669897400923	0.690254384245728	2.32364500830905	0.023762222811645	0.75281859798387	-4.08829110469591	13222600	"-"	"8"	0.112669897400923	711033
"cg00945507"	-0.191440005603658	0.36723148857312	-3.09481792054227	0.00305982544003478	0.580056870941936	-2.24351031300251	54827677	"+"	"7"	0.191440005603658	677747
"cg00955307"	-0.131880831642362	0.563925578427442	-2.54448717953046	0.0136993662786575	0.70823692609262	-3.60182357340064	166889789	"-"	"1"	0.131880831642362	39903
"cg00969405"	-0.144804309663817	0.75526319877121	-2.29772675485819	0.0252974831787461	0.757791884397909	-4.14302029181118	27184441	"-"	"7"	0.144804309663817	669614
"cg00969893"	0.144021991671272	0.533875046181451	2.40499666802181	0.0194683460904683	0.736994269297421	-3.9132460095696	63133069	"+"	"15"	0.144021991671272	248105
"cg00988037"	-0.11147138759901	0.561521219683435	-2.57399283160619	0.0126983320258239	0.699061196436446	-3.53416362145355	54869007	"-"	"1"	0.11147138759901	12629
"cg00989961"	0.111780283307281	0.669542993068326	2.07465428373035	0.0425797444266552	0.7910468563027	-4.59273848552599	154684562	"+"	"7"	0.111780283307281	706197
"cg00995520"	-0.147057269647906	0.655386883761912	-2.49672382037495	0.0154722631316056	0.718453112501069	-3.71003904954811	111218282	"-"	"1"	0.147057269647906	30509
"cg01014190"	0.147138534135152	0.693031120247276	3.11550705773154	0.00288267212863707	0.573419396183323	-2.18868325990091	51254021	"-"	"2"	0.147138534135152	346835
"cg01022219"	-0.163393332783044	0.593232680082453	-2.67580417898325	0.00973375822322683	0.681115952911977	-3.29602331707524	13641735	"-"	"18"	0.163393332783044	301711
"cg01030476"	-0.113295364879312	0.656606509852093	-2.30894657017752	0.0246223755310134	0.755189626377666	-4.11939058059446	236686564	"-"	"1"	0.113295364879312	60687
"cg01055562"	-0.150684019092707	0.485785187988436	-3.07438742439659	0.00324472429209892	0.583533530491684	-2.29739896727127	230777685	"-"	"1"	0.150684019092707	59012
"cg01074657"	-0.152528977191971	0.366244453231939	-2.27695717165181	0.0265907241157048	0.760189064102755	-4.18651118190898	78511466	"-"	"1"	0.152528977191971	20027
"cg01117167"	0.109901835089998	0.737252247977033	2.43259771378353	0.0181780464776773	0.731516165863549	-3.85274496680393	237070548	"+"	"1"	0.109901835089998	60803
"cg01140247"	0.182411375319287	0.559801657579741	2.83660379362394	0.00631681050485756	0.646172227548414	-2.90553881507736	77784369	"-"	"10"	0.182411375319287	85850
"cg01206378"	-0.171045765021623	0.710514586106794	-2.8547219246799	0.00601081649737398	0.641527146343825	-2.86046734329496	95698827	"+"	"1"	0.171045765021623	25643
"cg01219347"	0.115901932919208	0.356447396924016	3.1267251333679	0.00279068037928612	0.572943482590637	-2.15884772877155	136844289	"+"	"2"	0.115901932919208	370641
"cg01225948"	0.117380281304772	0.602748509893399	2.5042614210621	0.015179364961717	0.71673375205732	-3.69306984106346	22366897	"-"	"1"	0.117380281304772	4750
"cg01237444"	0.183606415673001	0.24969305548839	2.78146430066753	0.00733878748337512	0.658375538568217	-3.04138242060223	71129750	"+"	"8"	0.183606415673001	727622
"cg01239499"	0.109158433117496	0.735412105112455	2.10650950274881	0.0396085804659521	0.787121517457137	-4.53089599985147	30210587	"+"	"7"	0.109158433117496	670552
"cg01241241"	-0.109323956655429	0.830780667216049	-3.69307602327321	0.000500678631099886	0.440351825935975	-0.561049699608116	33202135	"+"	"15"	0.109323956655429	239142
"cg01244468"	0.126717444825193	0.647482192758075	2.53266959670503	0.0141199843225466	0.710476784022143	-3.62874970265678	75240537	"+"	"11"	0.126717444825193	123537
"cg01264729"	-0.138232152605022	0.606592792906653	-2.61339603061577	0.0114651599398125	0.691952588900592	-3.44285258558393	14622974	"-"	"16"	0.138232152605022	262063
"cg01267185"	0.12600937777603	0.605547134934912	2.60706319244345	0.0116556951505392	0.69235108022656	-3.45760122259483	183274221	"-"	"1"	0.12600937777603	44954
"cg01274640"	0.122015559318549	0.66585880276929	2.39409445569072	0.0200002357541314	0.740374294852444	-3.93698923193717	137044471	"-"	"3"	0.122015559318549	477477
"cg01297872"	0.112852171387234	0.550678901926605	2.26125219518927	0.0276071974969031	0.763732773706543	-4.21917944032868	45674277	"-"	"6"	0.112852171387234	623243
"cg01300957"	0.113818067496716	0.676830028302267	2.3438838349945	0.0226216609466181	0.74950181519102	-4.04520365417852	198328463	"-"	"1"	0.113818067496716	49779
"cg01319235"	0.115777592369002	0.518976859660375	2.13067536354544	0.0374767003905225	0.7845275410177	-4.48344604779175	146051698	"-"	"8"	0.115777592369002	750418
"cg01320298"	-0.124711215880751	0.567316800395828	-2.61181675597626	0.0115124079038222	0.692152565101218	-3.44653319666435	15160158	"-"	"3"	0.124711215880751	441153
"cg01323723"	0.12317125846037	0.373861294191761	2.44678762554825	0.0175450708809129	0.72821558678664	-3.82142398011878	114126547	"-"	"6"	0.12317125846037	644191
"cg01355753"	-0.147710988482816	0.652910958543425	-2.93379938351023	0.00482919004132275	0.621918474337382	-2.66126994770782	30457524	"+"	"16"	0.147710988482816	265916
"cg01357846"	0.122899271649607	0.668383555351821	2.98526119728419	0.0041802406210912	0.606669590135837	-2.52950119236497	79252794	"-"	"2"	0.122899271649607	355306
"cg01384290"	0.11841855782178	0.670535690130611	2.42770857200468	0.0184008480487124	0.732576257350371	-3.86350257286603	168870287	"-"	"3"	0.11841855782178	487732
"cg01403504"	-0.145711145445391	0.262836822364456	-2.32219675315029	0.0238457701065367	0.75281859798387	-4.09136259039021	60118020	"-"	"18"	0.145711145445391	315123
"cg01418385"	0.131454887241321	0.28149866056601	2.06525474965156	0.043492633068895	0.791954968221526	-4.6108323067387	140722587	"-"	"5"	0.131454887241321	598739
"cg01427130"	0.116237773310578	0.636947342320179	2.09799943686134	0.0403840963785623	0.787725670214209	-4.54749585530878	93670018	"-"	"11"	0.116237773310578	129283
"cg01429039"	-0.109987460206953	0.156768892895296	-2.34583855619468	0.0225141312352731	0.749174605365943	-4.04102591512234	52918065	"-"	"4"	0.109987460206953	511008
"cg01431993"	-0.121674693813241	0.193553492166801	-3.05395132378403	0.00344008725714951	0.588904060328846	-2.35104921401326	182542864	"-"	"2"	0.121674693813241	385431
"cg01437816"	0.110951644738797	0.48795006418304	2.11682596901732	0.0386858755609784	0.785127612903448	-4.51069581276889	102658053	"-"	"2"	0.110951644738797	360689
"cg01444325"	0.152571131602697	0.388646199461582	2.64483187142544	0.0105607020376435	0.687183972378417	-3.36922875333338	217731345	"-"	"2"	0.152571131602697	396623
"cg01446492"	0.115604464834363	0.610381411628564	2.04201123484261	0.0458232500049459	0.795072722978821	-4.65527248915794	85859864	"-"	"15"	0.115604464834363	254080
"cg01448863"	0.110057559857855	0.584180422614292	2.33393100140447	0.0231763057572258	0.750575245538861	-4.06643108971957	70264043	"-"	"14"	0.110057559857855	225773
"cg01480638"	0.124620291361979	0.563450653278032	2.08740484823921	0.0413680175654417	0.789573865622695	-4.56808166094397	13810979	"-"	"18"	0.124620291361979	301755
"cg01481503"	0.112890816508767	0.345445230585674	2.11453232316817	0.0388893825616284	0.78588201642223	-4.51519415459857	40515642	"-"	"1"	0.112890816508767	8905
"cg01486979"	0.135792245611674	0.546030338336085	2.12984490899658	0.0375482647870536	0.7845275410177	-4.48508428598285	126147721	"-"	"5"	0.135792245611674	594596
"cg01507019"	-0.108884072444763	0.509518101896777	-2.21550251466508	0.0307669392399977	0.771174373014908	-4.31326980102163	56703257	"-"	"16"	0.108884072444763	270058
"cg01519464"	0.131217729582553	0.619871596917482	2.0078564136622	0.0494435777714205	0.798919784446776	-4.71978803049742	24861818	"-"	"1"	0.131217729582553	5333
"cg01527805"	0.110208721432449	0.171853697427619	3.00889574399661	0.00391027018341531	0.602101408497282	-2.46842930167323	24850703	"+"	"13"	0.110208721432449	182387
"cg01544187"	0.128414850828049	0.670011521417045	2.26100678038303	0.0276233508652473	0.763732773706543	-4.21968844228541	11008087	"+"	"20"	0.128414850828049	406479
"cg01556246"	0.115495778904376	0.296073526515375	2.39871903559411	0.0197730445432864	0.739259162231886	-3.92692835740401	8204802	"-"	"8"	0.115495778904376	709612
"cg01569067"	0.114895169090841	0.269283904732084	2.84832439715124	0.00611726249374422	0.643478008112069	-2.87640652971383	75473407	"+"	"9"	0.114895169090841	767269
"cg01583131"	-0.132397434930968	0.382865948261695	-3.2145651300062	0.00215992527686773	0.549091894175669	-1.92265781204355	27744675	"+"	"11"	0.132397434930968	110447
"cg01606027"	0.116973751751395	0.432831932828425	2.41066672836819	0.0191967640632273	0.736573673105593	-3.90086295911302	31607212	"-"	"22"	0.116973751751395	432614
"cg01612594"	0.116534908568374	0.704390216409255	2.92480455777638	0.00495180458130889	0.625165711968296	-2.68412970755702	3943262	"-"	"11"	0.116534908568374	103073
"cg01629558"	-0.148086043536884	0.534668214879693	-2.7639326847221	0.00769435027701048	0.663429721909016	-3.08415261280366	4835602	"+"	"17"	0.148086043536884	279636
"cg01631657"	0.117561391771841	0.475286878040441	2.49787647126535	0.0154271448919299	0.718188711212779	-3.70744675853197	14259494	"+"	"11"	0.117561391771841	106157
"cg01637125"	0.133081643422123	0.762381855955513	2.5591704593323	0.0131925914754648	0.703403536625138	-3.56822998734589	77587383	"+"	"14"	0.133081643422123	227799
"cg01663277"	0.120866475240386	0.604323529853118	2.06969946671692	0.04305886492554	0.791276824513345	-4.60228513336314	109246717	"-"	"1"	0.120866475240386	29983
"cg01665880"	0.11580301942566	0.295361222377277	2.62990073793432	0.010981847192418	0.689960904335733	-3.40428341576301	126135865	"+"	"6"	0.11580301942566	648119
"cg01697383"	0.119037563381857	0.268729067619577	3.36815592044064	0.00136711302887744	0.515340676962123	-1.4990230112475	61517163	"-"	"17"	0.119037563381857	293064
"cg01706809"	0.115138470800198	0.658050726567945	2.43628331266717	0.0180116974215616	0.730522252911882	-3.84462397415484	146155218	"-"	"4"	0.115138470800198	541146
"cg01717376"	0.111421647795393	0.580824903781101	2.37883237023832	0.02076670269765	0.742966142405947	-3.97008013484082	219574845	"+"	"2"	0.111421647795393	397138
"cg01718742"	-0.128538212790878	0.348307750043431	-2.84294327005431	0.00620814359145652	0.645091124320517	-2.88979277315572	62070184	"-"	"16"	0.128538212790878	271586
"cg01730064"	-0.12458220826264	0.656997106437364	-2.01516449999636	0.0486488635596409	0.797857750253463	-4.70606266463289	235362916	"+"	"1"	0.12458220826264	60354
"cg01732617"	0.112892734062305	0.331192305562038	2.19959557606043	0.031938014544804	0.77393195665951	-4.34560742111379	11691153	"-"	"19"	0.112892734062305	322057
"cg01736498"	0.112614756694131	0.718360400007259	2.26474543986284	0.0273781749238293	0.763640206982353	-4.21192930688156	176029488	"+"	"5"	0.112614756694131	609414
"cg01749725"	-0.121688859767179	0.416104733188868	-2.25231801672862	0.028200670191947	0.765082067999312	-4.23767973158448	20147996	"-"	"8"	0.121688859767179	713212
"cg01750729"	0.130060938203978	0.735734760001672	2.85977325038358	0.00592798252683522	0.640436677319612	-2.84786338147544	17163736	"+"	"5"	0.130060938203978	560307
"cg01759112"	0.108821024160931	0.604089793972363	2.1369605702263	0.0369389263850755	0.783695705961527	-4.47102964617908	5980904	"+"	"17"	0.108821024160931	279914
"cg01785893"	-0.119532278251294	0.702347472855041	-2.2479561424236	0.028494496715022	0.765753978870994	-4.24668985373804	229691110	"+"	"1"	0.119532278251294	58704
"cg01791648"	-0.129596136656131	0.73096449303025	-2.4120054882309	0.0191331388780981	0.735979484434005	-3.89793574377067	101232718	"+"	"3"	0.129596136656131	466612
"cg01804557"	0.114909263093366	0.632640659071669	2.01693733097464	0.0484577457113388	0.797857750253463	-4.70272660619676	66093248	"+"	"15"	0.114909263093366	248861
"cg01804679"	-0.11255553163171	0.321902303051239	-2.07053189151462	0.0429780457103073	0.791276824513345	-4.60068263317092	32707303	"+"	"1"	0.11255553163171	6965
"cg01818776"	0.13179155277145	0.237996892510023	2.9210636187843	0.00500364579568748	0.625348996408295	-2.69362192168914	25202910	"-"	"8"	0.13179155277145	714621
"cg01821018"	-0.117755726492252	0.706146858539907	-2.26085549037179	0.0276333130450224	0.763732773706543	-4.22000220206533	59043280	"-"	"1"	0.117755726492252	13957
"cg01829241"	-0.111110537690812	0.600796508311814	-2.28896373539631	0.0258361498489836	0.759485448917658	-4.16140965319913	8582249	"-"	"4"	0.111110537690812	498255
"cg01856865"	0.110561645326161	0.439851561625367	2.08922965495615	0.0411970759436388	0.789373108942407	-4.56454231704247	58492007	"-"	"8"	0.110561645326161	723659
"cg01860091"	0.123391450516977	0.436685645639194	2.03707477861402	0.0463319044839089	0.795626904074386	-4.66465500854475	249113412	"+"	"1"	0.123391450516977	64362
"cg01886199"	0.152970255787733	0.481796674844144	3.07168099441967	0.00326998732752611	0.58383255710948	-2.30451865565506	73976090	"-"	"13"	0.152970255787733	197842
"cg01887280"	0.110471132189742	0.751214309559418	2.62615932655791	0.0110897501160702	0.690952940007028	-3.41304314824431	38441666	"-"	"7"	0.110471132189742	673027
"cg01894498"	-0.111061405147489	0.3118868044403	-2.08318968566919	0.0417652386897904	0.790175052031289	-4.57624716649815	61655848	"-"	"14"	0.111061405147489	223276
"cg01920085"	0.144539698229438	0.434502510274733	2.61178190398008	0.0115134525863756	0.692152565101218	-3.44661440210903	9966720	"+"	"20"	0.144539698229438	406119
