""	"seqnames"	"start"	"end"	"width"	"strand"	"value"	"area"	"cluster"	"indexStart"	"indexEnd"	"L"	"clusterL"	"p.value"	"fwer"	"p.valueArea"	"fwerArea"
"DMR_14"	"chr15"	45421578	45422553	975	"*"	-1.85253584665437	31.4931093931244	138201	44658	44674	17	18	0	0	0.00019226923846	0.092
"DMR_15"	"chr12"	104697126	104697620	494	"*"	-2.62349311608774	31.4819173930529	101705	33495	33506	12	12	0	0	0.00019226923846	0.092
"DMR_16"	"chr16"	68270129	68271177	1048	"*"	-2.28393332143192	29.6911331786149	160665	52329	52341	13	13	0	0	0.0002153415470752	0.104
"DMR_17"	"chr1"	27709634	27710155	521	"*"	-2.28344165635342	29.6847415325945	9484	2519	2531	13	15	0	0	0.0002153415470752	0.104
"DMR_18"	"chr5"	178986131	178986906	775	"*"	-2.09934834084759	29.3908767718663	342791	108131	108144	14	14	0	0	0.0002153415470752	0.104
"DMR_19"	"chr8"	38831148	38831857	709	"*"	-2.62648455328545	28.8913300861399	397070	128044	128054	11	11	0	0	0.000230723086152	0.108
"DMR_20"	"chr3"	49314155	49315017	862	"*"	-2.19406669519853	28.5228670375809	282247	90516	90528	13	13	0	0	0.000230723086152	0.108
"DMR_21"	"chr11"	32454718	32455735	1017	"*"	-2.1926997983262	28.5050973782406	69237	21723	21735	13	13	0	0	0.000230723086152	0.108
"DMR_22"	"chr4"	76555347	76556042	695	"*"	-2.73100252405099	27.3100252405099	309647	98231	98240	10	10	0	0	0.000269176933844	0.128
"DMR_23"	"chr2"	98703108	98703935	827	"*"	-1.9007423611361	26.6103930559054	227258	75516	75529	14	14	0	0	0.000307630781536001	0.136
"DMR_24"	"chr22"	38092643	38093207	564	"*"	-2.16101017513575	25.932122101629	270289	86814	86825	12	12	0	0	0.000323012320612801	0.14
"DMR_25"	"chr20"	3051954	3052483	529	"*"	-2.31378170723247	25.4515987795572	248202	80812	80822	11	11	0	0	0.000330703090151201	0.144
"DMR_26"	"chr5"	68710808	68711640	832	"*"	-2.52918158876415	25.2918158876415	327645	103136	103145	10	10	0	0	0.000338393859689601	0.148
"DMR_27"	"chr1"	42383900	42384647	747	"*"	-2.29117285753236	25.202901432856	13385	3927	3937	11	11	0	0	0.000346084629228001	0.152
"DMR_28"	"chr2"	71205052	71206528	1476	"*"	-1.92313613468998	25.0007697509698	224491	74353	74365	13	13	0	0	0.000346084629228001	0.152
"DMR_29"	"chr17"	37856147	37857070	923	"*"	-2.27000978636158	24.9701076499774	175437	57149	57159	11	11	0	0	0.000346084629228001	0.152
"DMR_30"	"chr16"	69140794	69141478	684	"*"	-2.23099647696816	24.5409612466498	160947	52459	52469	11	12	0	0	0.000361466168304801	0.16
"DMR_31"	"chr13"	46425210	46426263	1053	"*"	-1.85229698665299	24.0798608264889	113054	36852	36864	13	14	0	0	0.000369156937843201	0.164
"DMR_32"	"chr2"	85640762	85641438	676	"*"	-2.18127766134114	23.9940542747525	226052	75029	75039	11	11	0	0	0.000369156937843201	0.164
"DMR_33"	"chr19"	13135318	13135808	490	"*"	-2.39274177944254	23.9274177944254	201718	65895	65904	10	10	0	0	0.000384538476920001	0.172
"DMR_34"	"chr19"	41882069	41882741	672	"*"	-1.82390801789399	23.7108042326219	207428	68543	68555	13	13	0	0	0.000399920015996801	0.18
"DMR_35"	"chr12"	47219626	47220197	571	"*"	-1.80976240245707	23.5269112319419	93429	29883	29895	13	13	0	0	0.000415301555073601	0.184
"DMR_36"	"chr19"	39465821	39466851	1030	"*"	-1.80591077943271	23.4768401326252	206670	68103	68115	13	13	0	0	0.000422992324612001	0.184
"DMR_37"	"chr1"	155290446	155291405	959	"*"	-1.94985482702544	23.3982579243053	25896	9183	9194	12	12	0	0	0.000438373863688801	0.188
"DMR_38"	"chr19"	7459697	7460327	630	"*"	-2.51328689741959	22.6195820767763	199823	64667	64675	9	9	0	0	0.000538353867688001	0.224
"DMR_39"	"chr10"	43892790	43893073	283	"*"	-2.24080525890911	22.4080525890911	47816	14872	14881	10	10	0	0	0.000546044637226401	0.228
"DMR_40"	"chr5"	67583961	67584297	336	"*"	-2.45627443015233	22.106469871371	327489	103044	103052	9	9	0	0	0.000599880023995201	0.252
"DMR_41"	"chr22"	23487027	23487588	561	"*"	-2.17521183533171	21.7521183533171	266836	85832	85841	10	10	0	0	0.000622952332610401	0.264
"DMR_42"	"chr19"	44763979	44764603	624	"*"	-2.28747549261871	20.5872794335684	208136	68975	68983	9	9	0	0	0.000715241567071201	0.3
"DMR_43"	"chr6"	106428957	106429769	812	"*"	-2.28175440083699	20.5357896075329	358256	117942	117950	9	9	0	0	0.000730623106148001	0.304
"DMR_44"	"chr7"	105221826	105222180	354	"*"	-2.50075399704862	20.006031976389	382465	124412	124419	8	8	0	0	0.000792149262455201	0.324
"DMR_45"	"chr16"	8768031	8768700	669	"*"	-2.2205017545057	19.9845157905513	152391	49346	49354	9	9	0	0	0.000799840031993601	0.328
"DMR_46"	"chr6"	43276478	43276781	303	"*"	-2.16461730353038	19.4815557317734	353376	116375	116383	9	9	0	0	0.000899820035992801	0.352
"DMR_47"	"chr11"	504301	504937	636	"*"	-2.27813174374743	18.2250539499795	63386	19272	19279	8	8	0	0	0.0011843785089136	0.428
"DMR_48"	"chr5"	131592959	131593413	454	"*"	-2.21391464258176	17.7113171406541	333782	105099	105106	8	8	0	0	0.0013612662082968	0.476
"DMR_49"	"chr6"	10521142	10521715	573	"*"	-2.38854895709507	16.7198426996655	345535	108680	108686	7	9	0	0	0.001768876993832	0.536
"DMR_50"	"chr20"	327170	328035	865	"*"	-2.18425254189	15.28976779323	247469	80507	80513	7	9	0	0	0.0025840985649024	0.62
"DMR_51"	"chr9"	114287214	114287528	314	"*"	-2.28824932580483	13.729495954829	419311	132646	132651	6	8	0	0	0.00396843708181441	0.708
"DMR_52"	"chr2"	24307957	24308302	345	"*"	-2.22461859440707	11.1230929720354	217071	72135	72139	5	16	0	0	0.00915201575069602	0.892
"DMR_53"	"chr10"	8095121	8096991	1870	"*"	-1.47649234405749	56.1067090741845	43442	13846	13883	38	46	7.69076953840001e-06	0.004	7.69076953840001e-06	0.004
"DMR_54"	"chr11"	2889602	2890725	1123	"*"	-1.36627972602176	40.9883917806528	64689	20064	20093	30	30	7.69076953840001e-06	0.004	6.92169258456001e-05	0.036
"DMR_55"	"chr6"	33160262	33161849	1587	"*"	-1.3355909301256	37.3965460435167	350575	114606	114633	28	34	7.69076953840001e-06	0.004	0.000115361543076	0.06
"DMR_56"	"chr6"	30094960	30095802	842	"*"	-1.44578082763348	36.1445206908371	349249	110531	110555	25	25	7.69076953840001e-06	0.004	0.0001461246212296	0.068
"DMR_57"	"chr7"	27142200	27143717	1517	"*"	-1.5944166113033	33.4827488373693	372775	121334	121354	21	23	7.69076953840001e-06	0.004	0.0001845784689216	0.088
"DMR_58"	"chr12"	58013109	58013942	833	"*"	-1.50138101299235	31.5290012728394	96766	31842	31862	21	21	7.69076953840001e-06	0.004	0.00019226923846	0.092
"DMR_59"	"chr1"	66998484	66999933	1449	"*"	-1.70254753032432	30.6458555458378	18017	5539	5556	18	18	7.69076953840001e-06	0.004	0.0001999600079984	0.096
"DMR_60"	"chr6"	33280052	33280927	875	"*"	-1.58116958782102	30.0422221685994	350650	115154	115172	19	50	7.69076953840001e-06	0.004	0.0002076507775368	0.1
"DMR_61"	"chr12"	95941571	95943131	1560	"*"	-1.55419775712043	29.5297573852882	100609	33040	33058	19	19	7.69076953840001e-06	0.004	0.0002153415470752	0.104
"DMR_62"	"chr15"	72612125	72613427	1302	"*"	-1.729730702399	29.4054219407829	143265	46180	46196	17	17	7.69076953840001e-06	0.004	0.0002153415470752	0.104
"DMR_63"	"chr17"	75084517	75085390	873	"*"	-1.72874538074229	27.6599260918767	184287	60648	60663	16	16	7.69076953840001e-06	0.004	0.0002537953947672	0.12
"DMR_64"	"chr6"	31465075	31466187	1112	"*"	-1.76157958075514	26.4236937113271	349775	111978	111992	15	15	7.69076953840001e-06	0.004	0.0003153215510744	0.14
"DMR_65"	"chr13"	79169714	79171679	1965	"*"	-1.54727301535404	26.3036412610187	115406	37543	37559	17	17	7.69076953840001e-06	0.004	0.0003153215510744	0.14
"DMR_66"	"chr8"	11057947	11059415	1468	"*"	-1.52199640361684	25.8739388614862	392636	126826	126842	17	17	7.69076953840001e-06	0.004	0.000323012320612801	0.14
"DMR_67"	"chr12"	6419409	6420426	1017	"*"	-1.55799322769978	24.9278916431964	88793	28327	28342	16	19	7.69076953840001e-06	0.004	0.000346084629228001	0.152
"DMR_68"	"chr17"	48545519	48546620	1101	"*"	-1.75616168831786	24.58626363645	179016	58962	58975	14	14	7.69076953840001e-06	0.004	0.000361466168304801	0.16
"DMR_69"	"chr19"	52390810	52391789	979	"*"	-1.73949189580817	24.3528865413144	211021	70275	70288	14	14	7.69076953840001e-06	0.004	0.000369156937843201	0.164
"DMR_70"	"chr7"	27186676	27188020	1344	"*"	-1.72446504654898	24.1425106516858	372816	121456	121469	14	14	7.69076953840001e-06	0.004	0.000369156937843201	0.164
"DMR_71"	"chr10"	22622793	22625465	2672	"*"	-1.48828423225666	23.8125477161066	45373	14361	14376	16	19	7.69076953840001e-06	0.004	0.000384538476920001	0.172
"DMR_72"	"chr7"	130125719	130126871	1152	"*"	-1.56663547551259	23.4995321326889	385154	125184	125198	15	19	7.69076953840001e-06	0.004	0.000422992324612001	0.184
"DMR_73"	"chr6"	33084479	33085063	584	"*"	-1.56179622617787	23.426943392668	350528	114480	114494	15	15	7.69076953840001e-06	0.004	0.000438373863688801	0.188
"DMR_74"	"chr11"	72928926	72929983	1057	"*"	-1.6475947538156	23.0663265534185	77418	24952	24965	14	14	7.69076953840001e-06	0.004	0.000484518480919201	0.204
"DMR_75"	"chr19"	4534986	4535582	596	"*"	-1.8961524285994	22.7538291431928	198766	64310	64321	12	12	7.69076953840001e-06	0.004	0.000522972328611201	0.224
"DMR_76"	"chr16"	2286287	2287294	1007	"*"	-1.51300556460279	22.6950834690419	150802	48824	48838	15	15	7.69076953840001e-06	0.004	0.000530663098149601	0.224
"DMR_77"	"chr3"	160167317	160168238	921	"*"	-1.72249211409951	22.3923974832937	295662	94603	94615	13	14	7.69076953840001e-06	0.004	0.000553735406764801	0.232
"DMR_78"	"chr2"	160918519	160919830	1311	"*"	-1.72001419816088	22.3601845760915	234687	76975	76987	13	13	7.69076953840001e-06	0.004	0.000561426176303201	0.236
"DMR_79"	"chr8"	102503892	102504903	1011	"*"	-1.55130734496795	21.7183028295513	403690	129927	129940	14	14	7.69076953840001e-06	0.004	0.000622952332610401	0.264
"DMR_80"	"chr1"	26233035	26233709	674	"*"	-1.65315960482534	21.4910748627294	8932	2216	2228	13	22	7.69076953840001e-06	0.004	0.000630643102148801	0.268
"DMR_81"	"chr2"	201450323	201451303	980	"*"	-1.51010872195975	21.1415221074365	239122	78597	78610	14	14	7.69076953840001e-06	0.004	0.000661406180302401	0.284
"DMR_82"	"chr14"	75535468	75536561	1093	"*"	-1.50277526545684	21.0388537163958	127928	41631	41644	14	14	7.69076953840001e-06	0.004	0.000676787719379201	0.288
"DMR_83"	"chr1"	95392372	95393429	1057	"*"	-1.61474695841565	20.9917104594034	20869	6597	6609	13	14	7.69076953840001e-06	0.004	0.000692169258456001	0.296
"DMR_84"	"chr16"	8806359	8807043	684	"*"	-1.48645568530445	20.8103795942623	152400	49355	49368	14	15	7.69076953840001e-06	0.004	0.000692169258456001	0.296
"DMR_85"	"chr11"	113184936	113185879	943	"*"	-1.56899191212743	20.3968948576566	82144	26648	26660	13	13	7.69076953840001e-06	0.004	0.000738313875686401	0.304
"DMR_86"	"chr22"	24890690	24891220	530	"*"	-1.56802483693278	20.3843228801262	267203	85964	85976	13	16	7.69076953840001e-06	0.004	0.000738313875686401	0.304
"DMR_87"	"chr7"	27280914	27282987	2073	"*"	-1.2723227050888	36.8973584475752	372908	121607	121635	29	29	1.53815390768e-05	0.008	0.0001307430821528	0.064
"DMR_88"	"chr22"	30476089	30476525	436	"*"	-2.05149308125608	22.5664238938168	268417	86274	86284	11	13	1.53815390768e-05	0.008	0.000538353867688001	0.224
"DMR_89"	"chr3"	128712555	128713631	1076	"*"	-2.03128597900593	22.3441457690653	291539	93167	93177	11	14	1.53815390768e-05	0.008	0.000569116945841601	0.24
"DMR_90"	"chr19"	11784246	11785188	942	"*"	-1.85468443574587	22.2562132289504	201320	65472	65483	12	12	1.53815390768e-05	0.008	0.000592189254456801	0.248
"DMR_91"	"chr2"	26624450	26625326	876	"*"	-1.80892118283074	21.7070541939689	217621	72329	72340	12	13	1.53815390768e-05	0.008	0.000622952332610401	0.264
"DMR_92"	"chr11"	32451777	32452839	1062	"*"	-1.97227005079978	21.6949705587975	69234	21712	21722	11	11	1.53815390768e-05	0.008	0.000622952332610401	0.264
"DMR_93"	"chr1"	85527430	85528044	614	"*"	-1.78339153490732	21.4006984188879	19478	6030	6041	12	12	1.53815390768e-05	0.008	0.000630643102148801	0.268
"DMR_94"	"chr11"	86085366	86086101	735	"*"	-2.08059401616871	20.8059401616871	79479	25608	25617	10	10	1.53815390768e-05	0.008	0.000692169258456001	0.296
"DMR_95"	"chr3"	40428330	40428986	656	"*"	-2.05379650814562	20.5379650814562	280189	89473	89482	10	11	1.53815390768e-05	0.008	0.000730623106148001	0.304
"DMR_96"	"chr1"	1181757	1182658	901	"*"	-2.10266680094674	16.8213344075739	311	98	105	8	8	1.53815390768e-05	0.008	0.001691969298448	0.532
"DMR_97"	"chr19"	46800054	46800602	548	"*"	-2.0716149797255	16.572919837804	208875	69357	69364	8	8	1.53815390768e-05	0.008	0.001884238536908	0.54
"DMR_98"	"chr19"	19280969	19281474	505	"*"	-2.06622921895342	16.5298337516274	203839	66892	66899	8	8	1.53815390768e-05	0.008	0.0018919293064464	0.544
"DMR_99"	"chr19"	49249932	49250688	756	"*"	-2.06497480766186	16.5197984612949	209805	69734	69741	8	8	1.53815390768e-05	0.008	0.0018919293064464	0.544
"DMR_100"	"chr11"	111385338	111385778	440	"*"	-2.05956801679863	14.4169761175904	81782	26456	26462	7	9	1.53815390768e-05	0.008	0.00313783397166721	0.668
"DMR_101"	"chr2"	70312615	70313417	802	"*"	-2.07811434933287	12.4686860959972	224256	74216	74221	6	10	1.53815390768e-05	0.008	0.00582960331010721	0.808
"DMR_102"	"chr12"	65671664	65672174	510	"*"	-2.04784739857305	10.2392369928652	97535	32164	32168	5	14	1.53815390768e-05	0.008	0.0128743482072816	0.96
"DMR_103"	"chr20"	36148133	36149750	1617	"*"	-1.24772883112801	51.1568820762484	253121	82271	82311	41	41	2.30723086152e-05	0.012	2.30723086152e-05	0.012
"DMR_104"	"chr6"	28602513	28603437	924	"*"	-1.2544282882548	42.650561800663	348789	109679	109712	34	34	2.30723086152e-05	0.012	6.15261563072001e-05	0.032
"DMR_105"	"chr12"	45268999	45270997	1998	"*"	-1.21336857991745	37.6144259774409	93143	29776	29806	31	31	2.30723086152e-05	0.012	0.000115361543076	0.06
"DMR_106"	"chr7"	121943705	121946213	2508	"*"	-1.31293588932837	30.1975254545525	384023	124833	124855	23	23	2.30723086152e-05	0.012	0.0002076507775368	0.1
"DMR_107"	"chr7"	95025194	95026248	1054	"*"	-1.35767112532286	25.7957513811344	380441	123570	123588	19	24	3.07630781536001e-05	0.012	0.000323012320612801	0.14
"DMR_108"	"chr1"	32827150	32828191	1041	"*"	-1.69364398458692	20.3237278150431	10896	3054	3065	12	12	3.07630781536001e-05	0.012	0.000738313875686401	0.304
"DMR_109"	"chr1"	78511235	78512129	894	"*"	-1.6761518918541	20.1138227022492	18978	5919	5930	12	12	3.07630781536001e-05	0.012	0.000769076953840001	0.312
"DMR_110"	"chr19"	58220080	58220955	875	"*"	-1.66906870489292	20.0288244587151	212491	71226	71237	12	12	3.07630781536001e-05	0.012	0.000792149262455201	0.324
"DMR_111"	"chr15"	90455635	90456619	984	"*"	-1.51166912382809	19.6516986097652	146873	47544	47556	13	15	2.30723086152e-05	0.012	0.000876747727377601	0.344
"DMR_112"	"chr1"	201857296	201857955	659	"*"	-1.50211584897914	19.5275060367288	32660	11306	11318	13	16	2.30723086152e-05	0.012	0.000892129266454401	0.348
"DMR_113"	"chr4"	15471214	15471977	763	"*"	-1.93979131140024	19.3979131140024	304989	96939	96948	10	10	2.30723086152e-05	0.012	0.000899820035992801	0.352
"DMR_114"	"chr5"	16180033	16180419	386	"*"	-1.93147131328832	19.3147131328832	322933	101789	101798	10	10	2.30723086152e-05	0.012	0.000907510805531201	0.352
"DMR_115"	"chr3"	46735315	46735454	139	"*"	-2.00260145160993	12.0156087096596	281480	89963	89968	6	10	3.07630781536001e-05	0.012	0.00676018642425361	0.852
"DMR_116"	"chr8"	23563572	23565174	1602	"*"	-1.46539761582201	23.4463618531522	394681	127394	127409	16	16	3.07630781536001e-05	0.016	0.000438373863688801	0.188
"DMR_117"	"chr3"	49459143	49460177	1034	"*"	-1.62204659805565	19.4645591766679	282295	90563	90574	12	12	3.84538476920001e-05	0.016	0.000899820035992801	0.352
"DMR_118"	"chr21"	32931471	32932496	1025	"*"	-1.92148110497908	19.2148110497908	261055	84318	84327	10	10	3.07630781536001e-05	0.016	0.000953655422761602	0.364
"DMR_119"	"chr7"	143105850	143106298	448	"*"	-1.95206166538943	17.5685549885049	387313	125768	125776	9	11	3.84538476920001e-05	0.016	0.0014381739036808	0.492
"DMR_120"	"chr7"	8302094	8302424	330	"*"	-1.96397715477097	15.7118172381677	370880	120813	120820	8	8	3.84538476920001e-05	0.016	0.0022841585529048	0.588
"DMR_121"	"chr3"	13114343	13114803	460	"*"	-1.94243769855411	15.5395015884329	276671	88623	88630	8	8	3.84538476920001e-05	0.016	0.002384138556904	0.596
"DMR_122"	"chr7"	8481994	8482681	687	"*"	-1.92580525978433	13.4806368184903	370910	120831	120837	7	8	3.84538476920001e-05	0.016	0.00424530478519681	0.716
"DMR_123"	"chr19"	10697913	10698098	185	"*"	-1.92613747951571	11.5568248770942	200870	65232	65237	6	8	3.84538476920001e-05	0.016	0.00794456493316721	0.868
"DMR_124"	"chr16"	51183988	51185772	1784	"*"	-1.16901654106253	33.9014796908133	157956	51159	51187	29	29	3.84538476920001e-05	0.02	0.0001845784689216	0.088
"DMR_125"	"chr6"	31126599	31127527	928	"*"	-1.27158221560517	24.1600620964983	349700	111840	111858	19	35	4.61446172304001e-05	0.02	0.000369156937843201	0.164
"DMR_126"	"chr5"	141030607	141031380	773	"*"	-1.42143438680481	21.3215158020722	336236	106397	106411	15	15	3.84538476920001e-05	0.02	0.000638333871687201	0.272
"DMR_127"	"chr14"	85995655	85996873	1218	"*"	-1.45811410215639	20.4135974301894	129222	42003	42016	14	14	3.84538476920001e-05	0.02	0.000730623106148001	0.304
"DMR_128"	"chr19"	12912244	12913388	1144	"*"	-1.44580900516148	20.2413260722607	201586	65768	65781	14	14	3.84538476920001e-05	0.02	0.000746004645224801	0.308
"DMR_129"	"chr2"	223176167	223177742	1575	"*"	-1.44243984988289	20.1941578983604	242524	79621	79634	14	14	3.84538476920001e-05	0.02	0.000753695414763201	0.308
"DMR_130"	"chr1"	36038468	36039885	1417	"*"	-1.44118341218092	20.1765677705328	11610	3344	3357	14	14	3.84538476920001e-05	0.02	0.000753695414763201	0.308
"DMR_131"	"chr11"	32449254	32450692	1438	"*"	-1.80072040028679	19.8079244031547	69232	21701	21711	11	11	3.84538476920001e-05	0.02	0.000845984649224001	0.332
"DMR_132"	"chr7"	752149	752800	651	"*"	-1.78314878090724	19.6146365899796	368137	120289	120299	11	14	3.84538476920001e-05	0.02	0.000876747727377601	0.344
"DMR_133"	"chr14"	89017615	89018372	757	"*"	-1.73614848041304	19.0976332845434	129440	42069	42079	11	11	4.61446172304001e-05	0.02	0.000992109270453601	0.368
"DMR_134"	"chr19"	19648335	19649144	809	"*"	-1.72634356919817	18.9897792611798	204017	66976	66986	11	11	4.61446172304001e-05	0.02	0.0010228723486072	0.376
"DMR_135"	"chr2"	27529153	27530884	1731	"*"	-1.70831620844791	18.791478292927	217989	72454	72464	11	20	5.38353867688001e-05	0.02	0.0010690169658376	0.384
"DMR_136"	"chr1"	169429525	169430257	732	"*"	-1.92163501177201	15.3730800941761	28738	10279	10286	8	9	4.61446172304001e-05	0.02	0.00249950009998	0.612
"DMR_137"	"chr10"	30721971	30722502	531	"*"	-1.9457118509122	9.72855925456099	46545	14638	14642	5	18	4.61446172304001e-05	0.02	0.0157583867841816	0.968
"DMR_138"	"chr17"	38375119	38375257	138	"*"	-1.97047543126615	7.8819017250646	175640	57276	57279	4	10	4.61446172304001e-05	0.02	0.0318628581975912	0.988
"DMR_139"	"chr2"	37384401	37384845	444	"*"	-1.9557721027694	7.82308841107759	219356	72957	72960	4	12	4.61446172304001e-05	0.02	0.0325857905342009	0.988
"DMR_140"	"chr5"	148928885	148929352	467	"*"	-1.92469732199802	7.69878928799209	337565	106745	106748	4	12	4.61446172304001e-05	0.02	0.0341008721332657	0.988
"DMR_141"	"chr1"	165324990	165326455	1465	"*"	-1.31087688408371	23.5957839135068	28050	10036	10053	18	18	5.38353867688001e-05	0.024	0.000407610785535201	0.184
"DMR_142"	"chr18"	21718735	21719568	833	"*"	-1.34133199031718	21.4613118450749	189992	62308	62323	16	18	6.15261563072001e-05	0.024	0.000630643102148801	0.268
"DMR_143"	"chr20"	825050	826057	1007	"*"	-1.38261264301328	19.3565770021859	247643	80557	80570	14	14	5.38353867688001e-05	0.024	0.000907510805531201	0.352
"DMR_144"	"chr2"	165811765	165812325	560	"*"	-1.45504045306517	18.9155258898472	235185	77147	77159	13	14	5.38353867688001e-05	0.024	0.0010228723486072	0.376
"DMR_145"	"chr5"	60457716	60458894	1178	"*"	-1.45219190739452	18.8784947961288	326785	102818	102830	13	13	5.38353867688001e-05	0.024	0.0010305631181456	0.376
"DMR_146"	"chr14"	75389480	75390401	921	"*"	-1.70214676739397	18.7236144413336	127875	41581	41591	11	18	6.15261563072001e-05	0.024	0.0010843985049144	0.392
"DMR_147"	"chr11"	66313854	66314378	524	"*"	-1.69780649181155	18.675871409927	75038	24194	24204	11	19	6.15261563072001e-05	0.024	0.0010843985049144	0.392
"DMR_148"	"chr1"	16543684	16544220	536	"*"	-1.90583388800369	15.2466711040295	5792	1460	1467	8	8	5.38353867688001e-05	0.024	0.0026071708735176	0.62
"DMR_149"	"chr17"	30814514	30815034	520	"*"	-1.90953745955902	13.3667622169131	173927	56570	56576	7	8	5.38353867688001e-05	0.024	0.00439912017596481	0.724
"DMR_150"	"chr7"	27183133	27185732	2599	"*"	-0.986406157606977	41.429058619493	372815	121414	121455	42	42	5.38353867688001e-05	0.028	6.92169258456001e-05	0.036
"DMR_151"	"chr12"	54392734	54394212	1478	"*"	-1.25890113970723	28.9547262132663	95643	31014	31036	23	23	5.38353867688001e-05	0.028	0.000230723086152	0.108
"DMR_152"	"chr12"	54426483	54428171	1688	"*"	-1.33208736763939	22.6454852498697	95673	31085	31101	17	17	6.15261563072001e-05	0.028	0.000538353867688001	0.224
"DMR_153"	"chr5"	146258159	146259003	844	"*"	-1.32433463069086	22.5136887217447	337108	106603	106619	17	22	6.15261563072001e-05	0.028	0.000546044637226401	0.228
"DMR_154"	"chr12"	54410251	54410819	568	"*"	-1.32427057468163	21.1883291949061	95659	31069	31084	16	16	6.92169258456001e-05	0.028	0.000646024641225601	0.276
"DMR_155"	"chr4"	53617076	53618211	1135	"*"	-1.36098358201859	20.4147537302789	308012	97794	97808	15	15	6.92169258456001e-05	0.028	0.000730623106148001	0.304
"DMR_156"	"chr1"	200011273	200012526	1253	"*"	-1.35850028104565	20.3775042156847	32115	11174	11188	15	15	6.92169258456001e-05	0.028	0.000738313875686401	0.304
"DMR_157"	"chr6"	127839822	127840755	933	"*"	-1.34294941236464	20.1442411854696	360694	118717	118731	15	15	6.92169258456001e-05	0.028	0.000761386184301601	0.312
"DMR_158"	"chr1"	32930168	32931179	1011	"*"	-1.33745236407295	20.0617854610942	10923	3075	3089	15	15	6.92169258456001e-05	0.028	0.000769076953840001	0.312
"DMR_159"	"chr14"	21493649	21494547	898	"*"	-1.5810317092653	18.9723805111836	120163	38551	38562	12	32	6.15261563072001e-05	0.028	0.0010228723486072	0.376
"DMR_160"	"chr14"	59931922	59932321	399	"*"	-1.85325754316832	18.5325754316832	124601	40477	40486	10	10	5.38353867688001e-05	0.028	0.0010920892744528	0.396
"DMR_161"	"chr5"	74162458	74162924	466	"*"	-1.84431751071035	18.4431751071035	328279	103348	103357	10	10	5.38353867688001e-05	0.028	0.0011074708135296	0.404
"DMR_162"	"chr11"	63827432	63828762	1330	"*"	-1.83850293613675	18.3850293613675	73749	23327	23336	10	10	5.38353867688001e-05	0.028	0.0011305431221448	0.416
"DMR_163"	"chr19"	38924045	38924436	391	"*"	-1.83529924731057	18.3529924731057	206450	68004	68013	10	10	5.38353867688001e-05	0.028	0.0011382338916832	0.416
"DMR_164"	"chr1"	67772896	67773725	829	"*"	-1.82086309905837	18.2086309905837	18142	5602	5611	10	10	5.38353867688001e-05	0.028	0.001192069278452	0.428
"DMR_165"	"chr6"	86158972	86160162	1190	"*"	-1.39675994413273	18.1578792737254	356807	117452	117464	13	13	6.92169258456001e-05	0.028	0.0011997600479904	0.428
"DMR_166"	"chr10"	49812686	49813434	748	"*"	-1.64722093895116	18.1194303284627	48551	15052	15062	11	11	6.92169258456001e-05	0.028	0.0012228323566056	0.432
"DMR_167"	"chr6"	30698584	30698987	403	"*"	-1.63884871294678	18.0273358424146	349504	111488	111498	11	11	6.92169258456001e-05	0.028	0.0012535954347592	0.44
