"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"32"	"Cluster NR"	"GO:0045936"	"negative regulation of phosphate metabolic process"	"5/57"	"440/18903"	0.010367711958015	0.010367711958015	0.267224521565898	"BDKRB1/DNAJA1/ENG/ROCK2/TFAP4"	5
"33"	"Cluster NR"	"GO:0010563"	"negative regulation of phosphorus metabolic process"	"5/57"	"441/18903"	0.0104628781582937	0.0104628781582937	0.267224521565898	"BDKRB1/DNAJA1/ENG/ROCK2/TFAP4"	5
"34"	"Cluster NR"	"GO:0006874"	"cellular calcium ion homeostasis"	"4/57"	"284/18903"	0.0105604531874699	0.0105604531874699	0.267224521565898	"BCAP31/BDKRB1/HTR1B/TPT1"	4
"35"	"Cluster NR"	"GO:0007548"	"sex differentiation"	"4/57"	"288/18903"	0.011073134036179	0.011073134036179	0.267224521565898	"AFP/AMHR2/NKX2-1/RARA"	4
"36"	"Cluster NR"	"GO:0097193"	"intrinsic apoptotic signaling pathway"	"4/57"	"298/18903"	0.0124246378651436	0.0124246378651436	0.267224521565898	"BCAP31/DNAJA1/JMY/TPT1"	4
"37"	"Cluster NR"	"GO:0050433"	"regulation of catecholamine secretion"	"2/57"	"57/18903"	0.0128213145420721	0.0128213145420721	0.267224521565898	"GRM2/HTR1B"	2
"38"	"Cluster NR"	"GO:0050432"	"catecholamine secretion"	"2/57"	"58/18903"	0.0132537511344673	0.0132537511344673	0.267224521565898	"GRM2/HTR1B"	2
"39"	"Cluster NR"	"GO:0060350"	"endochondral bone morphogenesis"	"2/57"	"58/18903"	0.0132537511344673	0.0132537511344673	0.267224521565898	"FGF18/RARA"	2
"40"	"Cluster NR"	"GO:0031960"	"response to corticosteroid"	"3/57"	"165/18903"	0.0135403999132166	0.0135403999132166	0.267224521565898	"ENG/HTR1B/TFAP4"	3
"41"	"Cluster NR"	"GO:0048608"	"reproductive structure development"	"4/57"	"306/18903"	0.0135790461872706	0.0135790461872706	0.267224521565898	"AFP/AMHR2/NKX2-1/RARA"	4
"42"	"Cluster NR"	"GO:0061458"	"reproductive system development"	"4/57"	"310/18903"	0.0141811004659512	0.0141811004659512	0.267224521565898	"AFP/AMHR2/NKX2-1/RARA"	4
"43"	"Cluster NR"	"GO:0001837"	"epithelial to mesenchymal transition"	"3/57"	"169/18903"	0.0144333895597795	0.0144333895597795	0.267224521565898	"ENG/NKX2-1/ROCK2"	3
"44"	"Cluster NR"	"GO:0030865"	"cortical cytoskeleton organization"	"2/57"	"61/18903"	0.0145887132042415	0.0145887132042415	0.267224521565898	"RHOB/ROCK2"	2
"45"	"Cluster NR"	"GO:0060485"	"mesenchyme development"	"4/57"	"313/18903"	0.0146436406694267	0.0146436406694267	0.267224521565898	"ENG/NKX2-1/PHOX2B/ROCK2"	4
"46"	"Cluster NR"	"GO:0046661"	"male sex differentiation"	"3/57"	"171/18903"	0.0148921758829269	0.0148921758829269	0.267224521565898	"AMHR2/NKX2-1/RARA"	3
"47"	"Cluster NR"	"GO:0007254"	"JNK cascade"	"3/57"	"172/18903"	0.0151246500566796	0.0151246500566796	0.267224521565898	"ARHGEF6/DNAJA1/MAP4K1"	3
"48"	"Cluster NR"	"GO:2001242"	"regulation of intrinsic apoptotic signaling pathway"	"3/57"	"172/18903"	0.0151246500566796	0.0151246500566796	0.267224521565898	"BCAP31/DNAJA1/TPT1"	3
"49"	"Cluster NR"	"GO:0044091"	"membrane biogenesis"	"2/57"	"63/18903"	0.0155096616678998	0.0155096616678998	0.267224521565898	"NSFL1C/PEX11A"	2
"50"	"Cluster NR"	"GO:0010950"	"positive regulation of endopeptidase activity"	"3/57"	"174/18903"	0.0155957711800276	0.0155957711800276	0.267224521565898	"BCAP31/ROCK2/TFAP4"	3
"51"	"Cluster NR"	"GO:0051893"	"regulation of focal adhesion assembly"	"2/57"	"64/18903"	0.0159793080142619	0.0159793080142619	0.267224521565898	"PTPRA/ROCK2"	2
"52"	"Cluster NR"	"GO:0090109"	"regulation of cell-substrate junction assembly"	"2/57"	"64/18903"	0.0159793080142619	0.0159793080142619	0.267224521565898	"PTPRA/ROCK2"	2
"53"	"Cluster NR"	"GO:0010634"	"positive regulation of epithelial cell migration"	"3/57"	"176/18903"	0.0160751361152128	0.0160751361152128	0.267224521565898	"FGF18/RHOB/ROCK2"	3
"54"	"Cluster NR"	"GO:0072503"	"cellular divalent inorganic cation homeostasis"	"4/57"	"323/18903"	0.0162543848141263	0.0162543848141263	0.267224521565898	"BCAP31/BDKRB1/HTR1B/TPT1"	4
"55"	"Cluster NR"	"GO:0048857"	"neural nucleus development"	"2/57"	"65/18903"	0.0164550161796806	0.0164550161796806	0.267224521565898	"NKX2-1/PHOX2B"	2
"56"	"Cluster NR"	"GO:0060389"	"pathway-restricted SMAD protein phosphorylation"	"2/57"	"66/18903"	0.01693674669166	0.01693674669166	0.267224521565898	"AMHR2/ENG"	2
"57"	"Cluster NR"	"GO:0060562"	"epithelial tube morphogenesis"	"4/57"	"335/18903"	0.0183296766331067	0.0183296766331067	0.267224521565898	"ENG/NKX2-1/RARA/RHOB"	4
"58"	"Cluster NR"	"GO:0150116"	"regulation of cell-substrate junction organization"	"2/57"	"69/18903"	0.0184176802116287	0.0184176802116287	0.267224521565898	"PTPRA/ROCK2"	2
"59"	"Cluster NR"	"GO:0000910"	"cytokinesis"	"3/57"	"187/18903"	0.0188596158790972	0.0188596158790972	0.267224521565898	"EXOC6/RHOB/ROCK2"	3
"60"	"Cluster NR"	"GO:0045766"	"positive regulation of angiogenesis"	"3/57"	"187/18903"	0.0188596158790972	0.0188596158790972	0.267224521565898	"ENG/FGF18/RHOB"	3
"61"	"Cluster NR"	"GO:1904018"	"positive regulation of vasculature development"	"3/57"	"187/18903"	0.0188596158790972	0.0188596158790972	0.267224521565898	"ENG/FGF18/RHOB"	3
"62"	"Cluster NR"	"GO:0001933"	"negative regulation of protein phosphorylation"	"4/57"	"338/18903"	0.0188731545316051	0.0188731545316051	0.267224521565898	"BDKRB1/DNAJA1/ENG/TFAP4"	4
"63"	"Cluster NR"	"GO:0006081"	"cellular aldehyde metabolic process"	"2/57"	"70/18903"	0.0189231088863811	0.0189231088863811	0.267224521565898	"AKR7A2/GRHPR"	2
"64"	"Cluster NR"	"GO:0014823"	"response to activity"	"2/57"	"70/18903"	0.0189231088863811	0.0189231088863811	0.267224521565898	"KL/PHOX2B"	2
"65"	"Cluster NR"	"GO:0048545"	"response to steroid hormone"	"4/57"	"339/18903"	0.0190565258108006	0.0190565258108006	0.267224521565898	"DNAJA1/ENG/HTR1B/TFAP4"	4
"66"	"Cluster NR"	"GO:0051937"	"catecholamine transport"	"2/57"	"73/18903"	0.020474206992249	0.020474206992249	0.267224521565898	"GRM2/HTR1B"	2
"67"	"Cluster NR"	"GO:0061035"	"regulation of cartilage development"	"2/57"	"73/18903"	0.020474206992249	0.020474206992249	0.267224521565898	"FGF18/RARA"	2
"68"	"Cluster NR"	"GO:0010952"	"positive regulation of peptidase activity"	"3/57"	"194/18903"	0.0207624946024092	0.0207624946024092	0.267224521565898	"BCAP31/ROCK2/TFAP4"	3
"69"	"Cluster NR"	"GO:0045765"	"regulation of angiogenesis"	"4/57"	"349/18903"	0.0209515277222888	0.0209515277222888	0.267224521565898	"ENG/FGF18/RHOB/ROCK2"	4
"70"	"Cluster NR"	"GO:0032890"	"regulation of organic acid transport"	"2/57"	"75/18903"	0.0215369003147589	0.0215369003147589	0.267224521565898	"GRM2/HTR1B"	2
"71"	"Cluster NR"	"GO:1901342"	"regulation of vasculature development"	"4/57"	"355/18903"	0.0221424787353636	0.0221424787353636	0.267224521565898	"ENG/FGF18/RHOB/ROCK2"	4
"72"	"Cluster NR"	"GO:0051966"	"regulation of synaptic transmission, glutamatergic"	"2/57"	"78/18903"	0.0231731255404308	0.0231731255404308	0.267224521565898	"GRM2/HTR1B"	2
"73"	"Cluster NR"	"GO:1903828"	"negative regulation of protein localization"	"3/57"	"203/18903"	0.0233592292668351	0.0233592292668351	0.267224521565898	"DNAJA1/NSFL1C/ROCK2"	3
"74"	"Cluster NR"	"GO:0045787"	"positive regulation of cell cycle"	"4/57"	"362/18903"	0.0235836131641664	0.0235836131641664	0.267224521565898	"NSFL1C/PHOX2B/RARA/ROCK2"	4
"75"	"Cluster NR"	"GO:0007193"	"adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway"	"2/57"	"79/18903"	0.023729633540497	0.023729633540497	0.267224521565898	"GRM2/HTR1B"	2
"76"	"Cluster NR"	"GO:1901654"	"response to ketone"	"3/57"	"205/18903"	0.0239592479675878	0.0239592479675878	0.267224521565898	"MAP4K1/ROCK2/TFAP4"	3
"77"	"Cluster NR"	"GO:0030336"	"negative regulation of cell migration"	"4/57"	"368/18903"	0.0248635349257609	0.0248635349257609	0.267224521565898	"CERS2/ENG/NKX2-1/RHOB"	4
"78"	"Cluster NR"	"GO:0021766"	"hippocampus development"	"2/57"	"82/18903"	0.0254319372673105	0.0254319372673105	0.267224521565898	"NKX2-1/RARA"	2
"79"	"Cluster NR"	"GO:0045862"	"positive regulation of proteolysis"	"4/57"	"372/18903"	0.0257398718834642	0.0257398718834642	0.267224521565898	"BCAP31/PSMC3/ROCK2/TFAP4"	4
"80"	"Cluster NR"	"GO:0007492"	"endoderm development"	"2/57"	"83/18903"	0.0260101759433238	0.0260101759433238	0.267224521565898	"NKX2-1/PAX9"	2
"81"	"Cluster NR"	"GO:0015844"	"monoamine transport"	"2/57"	"84/18903"	0.026593755844504	0.026593755844504	0.267224521565898	"GRM2/HTR1B"	2
"82"	"Cluster NR"	"GO:0048041"	"focal adhesion assembly"	"2/57"	"85/18903"	0.0271826407220167	0.0271826407220167	0.267224521565898	"PTPRA/ROCK2"	2
"83"	"Cluster NR"	"GO:0007179"	"transforming growth factor beta receptor signaling pathway"	"3/57"	"216/18903"	0.0274085807326231	0.0274085807326231	0.267224521565898	"AMHR2/ENG/NKX2-1"	3
"84"	"Cluster NR"	"GO:0033273"	"response to vitamin"	"2/57"	"86/18903"	0.0277767944902715	0.0277767944902715	0.267224521565898	"KL/RARA"	2
"85"	"Cluster NR"	"GO:0042326"	"negative regulation of phosphorylation"	"4/57"	"381/18903"	0.0277795177785872	0.0277795177785872	0.267224521565898	"BDKRB1/DNAJA1/ENG/TFAP4"	4
"86"	"Cluster NR"	"GO:2000146"	"negative regulation of cell motility"	"4/57"	"383/18903"	0.0282455989977804	0.0282455989977804	0.267224521565898	"CERS2/ENG/NKX2-1/RHOB"	4
"87"	"Cluster NR"	"GO:0008543"	"fibroblast growth factor receptor signaling pathway"	"2/57"	"87/18903"	0.0283761812262953	0.0283761812262953	0.267224521565898	"FGF18/KL"	2
"88"	"Cluster NR"	"GO:0001542"	"ovulation from ovarian follicle"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"AFP"	1
"89"	"Cluster NR"	"GO:0014012"	"peripheral nervous system axon regeneration"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"CERS2"	1
"90"	"Cluster NR"	"GO:0016559"	"peroxisome fission"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"PEX11A"	1
"91"	"Cluster NR"	"GO:0030638"	"polyketide metabolic process"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"AKR7A2"	1
"92"	"Cluster NR"	"GO:0030647"	"aminoglycoside antibiotic metabolic process"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"AKR7A2"	1
"93"	"Cluster NR"	"GO:0035768"	"endothelial cell chemotaxis to fibroblast growth factor"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"FGF18"	1
"94"	"Cluster NR"	"GO:0035907"	"dorsal aorta development"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"ENG"	1
"95"	"Cluster NR"	"GO:0044598"	"doxorubicin metabolic process"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"AKR7A2"	1
"96"	"Cluster NR"	"GO:0051409"	"response to nitrosative stress"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"DNAJA1"	1
"97"	"Cluster NR"	"GO:0051967"	"negative regulation of synaptic transmission, glutamatergic"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"HTR1B"	1
"98"	"Cluster NR"	"GO:0062042"	"regulation of cardiac epithelial to mesenchymal transition"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"ENG"	1
"99"	"Cluster NR"	"GO:1902946"	"protein localization to early endosome"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"ROCK2"	1
"100"	"Cluster NR"	"GO:1902959"	"regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"ROCK2"	1
"101"	"Cluster NR"	"GO:1904779"	"regulation of protein localization to centrosome"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"NSFL1C"	1
"102"	"Cluster NR"	"GO:2000544"	"regulation of endothelial cell chemotaxis to fibroblast growth factor"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"FGF18"	1
"103"	"Cluster NR"	"GO:2001269"	"positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway"	"1/57"	"10/18903"	0.0297550377194686	0.0297550377194686	0.267224521565898	"TFAP4"	1
"104"	"Cluster NR"	"GO:0007178"	"transmembrane receptor protein serine/threonine kinase signaling pathway"	"4/57"	"390/18903"	0.029913805544989	0.029913805544989	0.267224521565898	"AFP/AMHR2/ENG/NKX2-1"	4
"105"	"Cluster NR"	"GO:0044070"	"regulation of anion transport"	"2/57"	"93/18903"	0.0320804026120027	0.0320804026120027	0.267224521565898	"GRM2/HTR1B"	2
"106"	"Cluster NR"	"GO:0045666"	"positive regulation of neuron differentiation"	"2/57"	"93/18903"	0.0320804026120027	0.0320804026120027	0.267224521565898	"PHOX2B/RARA"	2
"107"	"Cluster NR"	"GO:0010594"	"regulation of endothelial cell migration"	"3/57"	"230/18903"	0.032162910282146	0.032162910282146	0.267224521565898	"FGF18/RHOB/ROCK2"	3
"108"	"Cluster NR"	"GO:0003357"	"noradrenergic neuron differentiation"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"PHOX2B"	1
"109"	"Cluster NR"	"GO:0010624"	"regulation of Schwann cell proliferation"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"CERS2"	1
"110"	"Cluster NR"	"GO:0014010"	"Schwann cell proliferation"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"CERS2"	1
"111"	"Cluster NR"	"GO:0021892"	"cerebral cortex GABAergic interneuron differentiation"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"NKX2-1"	1
"112"	"Cluster NR"	"GO:0032754"	"positive regulation of interleukin-5 production"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"RARA"	1
"113"	"Cluster NR"	"GO:0035766"	"cell chemotaxis to fibroblast growth factor"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"FGF18"	1
"114"	"Cluster NR"	"GO:0045628"	"regulation of T-helper 2 cell differentiation"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"RARA"	1
"115"	"Cluster NR"	"GO:0051561"	"positive regulation of mitochondrial calcium ion concentration"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"BCAP31"	1
"116"	"Cluster NR"	"GO:0061140"	"lung secretory cell differentiation"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"NKX2-1"	1
"117"	"Cluster NR"	"GO:0071394"	"cellular response to testosterone stimulus"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"ROCK2"	1
"118"	"Cluster NR"	"GO:1904847"	"regulation of cell chemotaxis to fibroblast growth factor"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"FGF18"	1
"119"	"Cluster NR"	"GO:1905668"	"positive regulation of protein localization to endosome"	"1/57"	"11/18903"	0.0326822574754625	0.0326822574754625	0.267224521565898	"ROCK2"	1
"120"	"Cluster NR"	"GO:0009953"	"dorsal/ventral pattern formation"	"2/57"	"94/18903"	0.0327154278084524	0.0327154278084524	0.267224521565898	"NKX2-1/TLL2"	2
"121"	"Cluster NR"	"GO:0060348"	"bone development"	"3/57"	"233/18903"	0.0332345295307941	0.0332345295307941	0.267224521565898	"ENG/FGF18/RARA"	3
"122"	"Cluster NR"	"GO:0051952"	"regulation of amine transport"	"2/57"	"98/18903"	0.0353046981408613	0.0353046981408613	0.267224521565898	"GRM2/HTR1B"	2
"123"	"Cluster NR"	"GO:0060349"	"bone morphogenesis"	"2/57"	"98/18903"	0.0353046981408613	0.0353046981408613	0.267224521565898	"FGF18/RARA"	2
"124"	"Cluster NR"	"GO:0051403"	"stress-activated MAPK cascade"	"3/57"	"239/18903"	0.0354334069027464	0.0354334069027464	0.267224521565898	"ARHGEF6/DNAJA1/MAP4K1"	3
"125"	"Cluster NR"	"GO:0002087"	"regulation of respiratory gaseous exchange by nervous system process"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"PHOX2B"	1
"126"	"Cluster NR"	"GO:0014051"	"gamma-aminobutyric acid secretion"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"HTR1B"	1
"127"	"Cluster NR"	"GO:0031953"	"negative regulation of protein autophosphorylation"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"ENG"	1
"128"	"Cluster NR"	"GO:0033327"	"Leydig cell differentiation"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"NKX2-1"	1
"129"	"Cluster NR"	"GO:0042756"	"drinking behavior"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"HTR1B"	1
"130"	"Cluster NR"	"GO:0051798"	"positive regulation of hair follicle development"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"TRADD"	1
"131"	"Cluster NR"	"GO:0097084"	"vascular associated smooth muscle cell development"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"ENG"	1
"132"	"Cluster NR"	"GO:0099509"	"regulation of presynaptic cytosolic calcium ion concentration"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"HTR1B"	1
"133"	"Cluster NR"	"GO:1905205"	"positive regulation of connective tissue replacement"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"ROCK2"	1
"134"	"Cluster NR"	"GO:1905245"	"regulation of aspartic-type peptidase activity"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"ROCK2"	1
"135"	"Cluster NR"	"GO:1905666"	"regulation of protein localization to endosome"	"1/57"	"12/18903"	0.0356008003149656	0.0356008003149656	0.267224521565898	"ROCK2"	1
"136"	"Cluster NR"	"GO:0043279"	"response to alkaloid"	"2/57"	"99/18903"	0.035964136845166	0.035964136845166	0.267224521565898	"GRM2/HTR1B"	2
"137"	"Cluster NR"	"GO:2001243"	"negative regulation of intrinsic apoptotic signaling pathway"	"2/57"	"101/18903"	0.0372973220013462	0.0372973220013462	0.267224521565898	"DNAJA1/TPT1"	2
"138"	"Cluster NR"	"GO:0040013"	"negative regulation of locomotion"	"4/57"	"419/18903"	0.0374420913885054	0.0374420913885054	0.267224521565898	"CERS2/ENG/NKX2-1/RHOB"	4
"139"	"Cluster NR"	"GO:0006875"	"cellular metal ion homeostasis"	"4/57"	"420/18903"	0.0377195371853677	0.0377195371853677	0.267224521565898	"BCAP31/BDKRB1/HTR1B/TPT1"	4
"140"	"Cluster NR"	"GO:0035249"	"synaptic transmission, glutamatergic"	"2/57"	"102/18903"	0.0379710011848836	0.0379710011848836	0.267224521565898	"GRM2/HTR1B"	2
"141"	"Cluster NR"	"GO:0031098"	"stress-activated protein kinase signaling cascade"	"3/57"	"246/18903"	0.0380920826740627	0.0380920826740627	0.267224521565898	"ARHGEF6/DNAJA1/MAP4K1"	3
"142"	"Cluster NR"	"GO:0060537"	"muscle tissue development"	"4/57"	"422/18903"	0.0382780132388897	0.0382780132388897	0.267224521565898	"ENG/PHOX2B/RARA/TLL2"	4
"143"	"Cluster NR"	"GO:0036302"	"atrioventricular canal development"	"1/57"	"13/18903"	0.0385106915002947	0.0385106915002947	0.267224521565898	"ENG"	1
"144"	"Cluster NR"	"GO:0042415"	"norepinephrine metabolic process"	"1/57"	"13/18903"	0.0385106915002947	0.0385106915002947	0.267224521565898	"KL"	1
"145"	"Cluster NR"	"GO:0097475"	"motor neuron migration"	"1/57"	"13/18903"	0.0385106915002947	0.0385106915002947	0.267224521565898	"PHOX2B"	1
"146"	"Cluster NR"	"GO:1905065"	"positive regulation of vascular associated smooth muscle cell differentiation"	"1/57"	"13/18903"	0.0385106915002947	0.0385106915002947	0.267224521565898	"ENG"	1
"147"	"Cluster NR"	"GO:0070167"	"regulation of biomineral tissue development"	"2/57"	"103/18903"	0.0386493601816973	0.0386493601816973	0.267224521565898	"KL/ROCK2"	2
"148"	"Cluster NR"	"GO:0008585"	"female gonad development"	"2/57"	"105/18903"	0.0400199847578582	0.0400199847578582	0.267224521565898	"AFP/AMHR2"	2
