"ID"	"Description"	"mIDH1_NES"	"mIDH2_NES"	"NR_NES"	"R_NES"	"mIDH1_pvalue"	"mIDH2_pvalue"	"NR_pvalue"	"R_pvalue"	"mIDH1_core_enrichment"	"mIDH2_core_enrichment"	"NR_core_enrichment"	"R_core_enrichment"
"hsa03022"	"Basal transcription factors"	0	-1.4410306865929	0	0	1	0.0952380952380952	1	1	""	"GTF2B/GTF2H4/CDK7/TAF9/TAF8/GTF2F1/TAF10/GTF2H3/TAF4B/GTF2A1"	""	""
"hsa03040"	"Spliceosome"	4.88444430536572	5.43742299364633	5.27522573845818	5.37745487501458	1e-10	1e-10	1e-10	1e-10	"HSPA8/NCBP1/EIF4A3/RBM8A/SRSF2/SRSF4/DDX5/CDC40/SRSF6/CDC5L/HNRNPU/SRSF1/SNRPD2/EFTUD2/SNW1/HNRNPM/DHX38/CWC15/PUF60/DDX46/SF3B1/PRPF3/PCBP1/U2SURP/PRPF19/SNRPA1/CRNKL1/HNRNPA3/ISY1/ALYREF/SF3B2/SART1/HNRNPK/BCAS2/NCBP2/SYF2/USP39/PRPF4/SF3B3/SRSF9/PPIH/SNRPD1/PPIL1/SRSF3/DHX15/SF3B5/CHERP/MAGOH/SRSF7/PRPF8/RBMX/LSM3/SF3A3/DDX23/RBM22/SNRPA/WBP11/AQR/PQBP1/RBM17/CTNNBL1/PHF5A/FUS/SNRNP70/SNRPB2/HNRNPA1/U2AF2/SNRNP40/XAB2/LSM6/PPIE"	"HSPA8/RBM8A/NCBP2/EIF4A3/SRSF2/DDX5/CDC40/U2AF2/SNRPD2/ALYREF/SRSF1/NCBP1/PCBP1/HNRNPK/SRSF3/SRSF4/HNRNPA3/CDC5L/HNRNPU/PUF60/XAB2/SNRPA1/PPIE/DDX46/PRPF6/LSM6/HNRNPM/SF3A1/PPIH/EFTUD2/SNRPA/PRPF19/SNW1/PRPF3/SNRNP200/MAGOH/U2SURP/SART1/SRSF7/SF3B5/DHX15/SF3A3/PRPF8/USP39/SRSF5/RBMX/PRPF40A/CWC15/SNRPB2/PPIL1/BCAS2/SF3B2/SF3B3/DDX23/PHF5A/SRSF6/RBM22/TRA2B/SNRPB/CTNNBL1/PLRG1/SNRPD1/CHERP/LSM8/WBP11/SNRPF/SNRNP70/FUS/CRNKL1/PRPF4/SF3B1/PQBP1/AQR/DHX38/SRSF9"	"HSPA8/RBM8A/EIF4A3/NCBP1/NCBP2/SRSF2/DDX5/CDC40/SNRPD2/SRSF1/CDC5L/SRSF4/ALYREF/HNRNPK/PCBP1/HNRNPU/HNRNPA3/EFTUD2/SRSF3/PUF60/PRPF19/SNRPA1/HNRNPM/DDX46/U2AF2/PRPF3/SNW1/SART1/PPIH/SRSF7/CWC15/USP39/XAB2/U2SURP/SRSF6/MAGOH/LSM6/DHX15/PPIE/SNRPA/SF3B5/PRPF6/SF3B3/PRPF8/SF3A1/RBMX/SF3B2/SF3B1/PPIL1/SF3A3/DHX38/SNRPD1/DDX23/BCAS2/CRNKL1/SNRPB2/RBM22/CHERP/PRPF40A/PHF5A/CTNNBL1/ISY1/PRPF4/SRSF9/WBP11/SNRNP70/SNRNP200/AQR/PRPF31/SRSF5/FUS/TRA2B/LSM3/HNRNPA1"	"HSPA8/RBM8A/EIF4A3/NCBP1/NCBP2/SRSF2/DDX5/CDC40/SNRPD2/SRSF1/CDC5L/SRSF4/ALYREF/HNRNPK/PCBP1/HNRNPU/HNRNPA3/EFTUD2/SRSF3/PUF60/PRPF19/SNRPA1/HNRNPM/DDX46/U2AF2/PRPF3/SNW1/SART1/PPIH/SRSF7/CWC15/USP39/XAB2/U2SURP/SRSF6/MAGOH/LSM6/DHX15/PPIE/SNRPA/SF3B5/PRPF6/SF3B3/SF3A1/PRPF8/RBMX/SF3B2/PPIL1/SF3B1/SF3A3/DHX38/SNRPD1/DDX23/BCAS2/CRNKL1/SNRPB2/RBM22/CHERP/PRPF40A/PHF5A/CTNNBL1/ISY1/PRPF4/SRSF9/WBP11/SNRNP70/SNRNP200/AQR/PRPF31/SRSF5/FUS/TRA2B/LSM3/HNRNPA1"
"hsa03050"	"Proteasome"	0	1.84629806497841	0	0	1	0.00990060906073791	1	1	""	"PSMA3/PSMC4/PSMC2/PSMD2/PSMC6/PSMA5/PSMC1/PSMD11/PSMC5/PSMB1/PSMD1/PSMD13/PSMD7/PSMD12/PSMD6/PSMA6/PSMA1/PSMC3/PSMD3/PSMB2/IFNG/PSME3/PSMA2/PSMD4/PSMB8"	""	""
"hsa03420"	"Nucleotide excision repair"	1.60929090492089	0	0	0	0.0417910447761194	1	1	1	"POLR2C/POLR2D/POLR2G/POLR2E/POLR2J/POLR2B/POLR2H/RPA1/POLR2L/CUL4A/POLR2A/RFC3/RAD23B/CUL4B/RFC2/ERCC1/DDB1/GTF2H3"	""	""	""
"hsa03440"	"Homologous recombination"	-1.91894389935865	0	0	-1.67659137461328	0.00578089862215987	1	1	0.0364744945370019	"BRIP1/RAD50/NBN/RPA3/RBBP8/PALB2/BRCA1/BRCC3"	""	""	"RPA3/BRIP1/NBN/RPA2/RAD50/RBBP8/BRCA1/PALB2"
"hsa03450"	"Non-homologous end-joining"	-1.49643125186583	0	0	0	0.0796252927400468	1	1	1	"RAD50/PRKDC/XRCC6"	""	""	""
"hsa03460"	"Fanconi anemia pathway"	0	0	0	-1.48859077727135	1	1	1	0.0736842105263158	""	""	""	"RPA3/BRIP1/RPA2/ERCC1/BRCA1/PALB2"
"hsa04012"	"ErbB signaling pathway"	0	-1.51242760994855	0	-1.65716092859658	1	0.0496106209029474	1	0.0295443791232029	""	"SOS1/MTOR/NRAS/GRB2/PAK1/RPS6KB1"	""	"PAK1/NRAS/MTOR/PLCG1/PTK2/RPS6KB2"
"hsa04015"	"Rap1 signaling pathway"	0	0	-1.74246514921784	0	1	1	0.0216428465124085	1	""	""	"PRKCI/NRAS/PFN1/ITGB2/ITGAM/GNAI1/CALM1/ADCY7"	""
"hsa04020"	"Calcium signaling pathway"	0	0	-1.8249944719299	0	1	1	0.0235040422062404	1	""	""	"PRKACA/CACNA1I/ADRB2/CALM1/ADCY7"	""
"hsa04022"	"cGMP-PKG signaling pathway"	0	0	-1.72101647863037	0	1	1	0.0272961499481583	1	""	""	"IRS2/ADRB2/GNAI1/CALM1/ADCY7/CREB3"	""
"hsa04060"	"Cytokine-cytokine receptor interaction"	-1.64299648550989	0	-1.68716739565579	0	0.0303258179896937	1	0.0455971211584571	1	"IL16/IL10RA/IFNK/IL10RB/CD4"	""	"IFNG/IL16/IFNGR2/IL10/IL10RB/IFNGR1"	""
"hsa04061"	"Viral protein interaction with cytokine and cytokine receptor"	-1.46729417541363	0	-1.60198231428593	-1.65153396207099	0.093681917211329	1	0.0322047283883226	0.0148035737202997	"IL10RB"	""	"IL10RB"	"IL10RA"
"hsa04068"	"FoxO signaling pathway"	0	-1.63814517756003	-1.75407255032758	-1.67105084343322	1	0.0405894361496918	0.0194131152891729	0.0217890234203585	""	"MAPK1/BCL6/USP7/SOS1/NRAS/GRB2/CCND2/PRKAA1"	"MAPK1/SETD7/BCL6/SOS1/USP7/GRB2/STAT3/NRAS/PRMT1/PRKAA1/PTEN/IL10/IRS2"	"MAPK1/USP7/GRB2/FOXO1/SETD7/BCL6/STAT3/NRAS/PRMT1/PRKAA1/PTEN"
"hsa04070"	"Phosphatidylinositol signaling system"	0	0	-1.59903557353979	-1.9703346110627	1	1	0.0662855573529757	0.00441765120816798	""	""	"PIKFYVE/PTEN/CALM1"	"PLCG1/PTEN/PIKFYVE/ITPR3"
"hsa04072"	"Phospholipase D signaling pathway"	0	-1.51242760994856	-1.45781847729999	0	1	0.0496106209029474	0.0857142857142857	1	""	"SOS1/FCER1G/MTOR/NRAS/DNM2/GRB2"	"DNM2/SOS1/GRB2/FCER1G/NRAS/MTOR/ADCY7/PTPN11"	""
"hsa04115"	"p53 signaling pathway"	0	-2.31201386910001	-1.79732311345103	-1.47788483442647	1	8.17076481835658e-05	0.0188742269801741	0.0759162303664921	""	"MDM4/CDK4/CCND2"	"PTEN/CDK4"	"CHEK1/PTEN/CDK6"
"hsa04130"	"SNARE interactions in vesicular transport"	0	0	-1.98648156466442	-1.95827136152629	1	1	0.00688709014917377	0.00828928176892326	""	""	"SEC22B/BET1/STX4"	"SEC22B/BET1/STX4"
"hsa04141"	"Protein processing in endoplasmic reticulum"	0	1.58268711328221	1.61365911441378	1.60118674814928	1	0.0414878397711016	0.0425531914893617	0.0429799426934097	""	"HSPA8/HSP90AA1/SEC13/HSP90AB1/VCP/DDOST/SSR1/RPN2/SEC61B/HSP90B1/CUL1/RPN1/EIF2S1/SSR4"	"HSPA8/SEC13/HSP90AA1/VCP/HSP90AB1/RPN1/EIF2S1/RPN2/DDOST/SSR4/SEC61B/SSR1/CUL1/SKP1"	"HSPA8/SEC13/HSP90AA1/HSP90AB1/VCP/RPN1/EIF2S1/RPN2/DDOST/SSR4/SEC61B/SSR1/CUL1/SKP1"
"hsa04144"	"Endocytosis"	-1.47243956706097	0	0	0	0.0590820034890001	1	1	1	"CDC42/CLTC/DNM2/RAB5A/ARPC1A/CHMP1A/PRKCI/ARPC2/AP2S1/AP2M1/AP2A2/ARPC3/CAPZA1/RAB7A/ARPC4/AP2B1/HGS/ACTR3/ARPC5/ARFGEF2/AP2A1/CAPZB/CAPZA2"	""	""	""
"hsa04216"	"Ferroptosis"	0	1.45057347744235	0	1.54613004288825	1	0.0909090909090909	1	0.0484739676840215	""	"PCBP1/PCBP2"	""	"PCBP1/PCBP2"
"hsa04218"	"Cellular senescence"	-1.66393986739134	0	-1.54997393336365	-1.54246192992347	0.0204639375469521	1	0.0507604111162819	0.0430613022005365	"MAPK1/PIK3CD/FOXM1/RELA/PPP1CC/PIK3R1/PPP1CA/SQSTM1/NFKB1/CCNA2/RAD50/RBBP4/RBL1/MAPK3/ZFP36L1/CDK4/PTEN/NBN/NRAS/MAPK14/CDK6"	""	"NFKB1/NBN/FOXM1/ZFP36L1/RAD50/NRAS/MTOR/CDK6/PTEN/HIPK2/CDK4/CALM1"	"FOXM1/MAPK1/PPP1CC/RBBP4/FOXO1/CDK4/NBN/NFKB1/ZFP36L1/CCNA2/RAD50/NRAS/RBL1/MTOR/CHEK1/PTEN/CDK6/ITPR3"
"hsa04360"	"Axon guidance"	0	-1.51607721498589	-1.98107638842804	-1.70621752824349	1	0.0862944162436548	0.00646883278720038	0.0328742459733568	""	"SRGAP1/NRAS/PAK1/NEO1/SEMA4C"	"CFL1/NRAS/SRGAP1/GNAI1/NEO1/PAK1/PTPN11"	"SRGAP1/PAK1/NRAS/PLCG1/SEMA4C/PTK2"
"hsa04371"	"Apelin signaling pathway"	0	-1.74621329755153	-1.41491524157392	-1.50783887850821	1	0.0212188008991347	0.0906148867313916	0.079971302619637	""	"GNB1/MAPK1/CDH1/GNG7/MTOR/MEF2C/TFAM/NRAS/ITPR1/RPS6KB1/PRKAA1/HDAC4"	"NRAS/MTOR/PRKAA1/PRKACA/GNG7/RPS6KB1/GNAI1/CALM1/ADCY7"	"NRAS/GNG7/MTOR/TFAM/PRKAA1/ADCY7/ITPR3/RPS6KB2"
"hsa04380"	"Osteoclast differentiation"	-1.49597591836334	0	0	0	0.0868263473053892	1	1	1	"TRAF2/PIK3CD/RELA/PIK3R1/GRB2/IRF9/IFNG/SQSTM1/LILRB2/NFKB1/MAPK3/TYK2/LILRB1/LILRB3/LOC102725035/MAPK14"	""	""	""
"hsa04392"	"Hippo signaling pathway - multiple species"	0	-1.48687573696611	0	0	1	0.0705772023132757	1	1	""	"LIMD1"	""	""
"hsa04514"	"Cell adhesion molecules"	0	0	-1.60472733841696	0	1	1	0.0327021295022921	1	""	""	"ITGB2/ITGAM/NEO1/CD34"	""
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	0	-1.59833420422285	-1.50475281496701	-1.53541394532991	1	0.0556994542726263	0.0786516853932584	0.040057552858674	""	"MAPK1/BMI1/KLF4/JARID2/NRAS/DVL2/MEIS1/GRB2/TCF3"	"MAPK1/GRB2/KLF4/BMI1/STAT3/MEIS1/NRAS/DVL2/JARID2"	"SMARCAD1/GRB2/KLF4/MEIS1/STAT3/WNT1/NRAS/DVL2/JARID2"
"hsa04610"	"Complement and coagulation cascades"	0	-1.53099667871584	-2.29840842192577	-1.72392997136725	1	0.0487517986791696	0.000382915342449713	0.00354038856121387	""	"ITGB2"	"ITGAM/C5AR1/ITGAX"	"ITGAX"
"hsa04625"	"C-type lectin receptor signaling pathway"	0	0	-1.7526854004231	0	1	1	0.0252125165214195	1	""	""	"NFKB1/FCER1G/NRAS/PYCARD/IL10/CALM1/IRF9/PAK1/PTPN11"	""
"hsa04630"	"JAK-STAT signaling pathway"	0	-1.6872892600757	-1.75407255032758	-1.51040720354929	1	0.0277405468384802	0.0194131152891729	0.0739644970414201	""	"SOS1/MTOR/TYK2/GRB2/IFNGR2/IRF9/CCND2"	"SOS1/GRB2/IFNK/IFNG/STAT3/MTOR/IFNGR2/IL10/IL10RB/IFNGR1/IRF9/STAT6/PTPN11"	"IFNG/GRB2/IRF9/STAT3/TYK2/MTOR/IL10RB/IL10RA/MPL"
"hsa04640"	"Hematopoietic cell lineage"	0	0	-1.47312242526524	0	1	1	0.0648148148148148	1	""	""	"ITGAM/CD34"	""
"hsa04650"	"Natural killer cell mediated cytotoxicity"	-1.56343102010172	-1.9938611080299	-1.77738248455121	-1.80807741043105	0.0412781481666268	0.00280286860714626	0.0175752097851539	0.017081862780128	"MAPK3/ITGAL/ICAM1/PAK1/NRAS/SHC1/CD247/SH3BP2/FCER1G"	"IFNG/SOS1/FCER1G/NRAS/GRB2/IFNGR2/PAK1/TYROBP/CD247/ITGB2/LCK"	"FCER1G/ICAM1/TYROBP/NRAS/IFNGR2/SH3BP2/ITGB2/IFNGR1/PAK1/PTPN11"	"IFNG/GRB2/ITGAL/SH3BP2/PAK1/NRAS/FCER1G/CD247/PLCG1/LCK/ITGB2/ICAM1"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	0	0	0	-1.45278502079349	1	1	1	0.0868421052631579	""	""	""	"PAK1/PLCG1/ARPC3/ARPC1A/RPS6KB2"
"hsa04670"	"Leukocyte transendothelial migration"	0	0	-1.65485819916899	0	1	1	0.0268275733574027	1	""	""	"ITGB2/ITGAM/GNAI1/PTPN11"	""
"hsa04713"	"Circadian entrainment"	0	0	-1.80844147276276	0	1	1	0.0162696227725424	1	""	""	"PRKACA/GNG7/CACNA1I/GNAI1/CALM1/ADCY7"	""
"hsa04714"	"Thermogenesis"	-1.45925005320672	-2.42435614540754	-1.66415481792395	-2.23148993812772	0.0932475884244373	0.000269858305963704	0.0215009614091287	0.0017170487654226	"GRB2/RPTOR/NDUFS8/DPF3/KDM1A/SMARCD1/PRDM16/PRKAA1/NRAS/MAPK14/PRKAG1/NDUFV2/SMARCD3/PRKACA/NDUFA3/CREB3/CREB3L4"	"SMARCC1/SOS1/SMARCD1/KDM1A/DPF3/NDUFV1/MTOR/CREB3L4/ACTL6A/NRAS/GRB2/PRDM16/NDUFS3/COX5A/RPS6KB1/NDUFS1/PRKAA1"	"SOS1/GRB2/SMARCD1/CREB3L4/SMARCC1/KDM1A/NRAS/MTOR/ACTL6A/NDUFV1/PRKAA1/PRKACA/RPS6KB1/NDUFA2/ADCY7/NDUFS1/CREB3/NDUFS3"	"NRAS/DPF3/MTOR/ACTL6A/SMARCD1/NDUFV1/PRKAA1/PRDM16/CREB3L4/ADCY7/NDUFA2/NDUFS1/NDUFS3/RPS6KB2"
"hsa04723"	"Retrograde endocannabinoid signaling"	0	0	-2.05544343046628	-1.64998650782879	1	1	0.00490177369542551	0.0250085056599847	""	""	"NDUFV1/PRKACA/GNG7/NDUFA2/GNAI1/ADCY7/NDUFS1/NDUFS3"	"GNG7/NDUFV1/ADCY7/NDUFA2/ITPR3/NDUFS1/NDUFS3"
"hsa04727"	"GABAergic synapse"	0	0	-1.51884984509856	0	1	1	0.0523458222090912	1	""	""	"PRKACA/GNG7/GNAI1/ADCY7"	""
"hsa04740"	"Olfactory transduction"	-1.59453355936566	0	0	0	0.0418999836439635	1	1	1	"PRKACA/GNG7/OR2L2"	""	""	""
"hsa04810"	"Regulation of actin cytoskeleton"	0	0	-1.71508016690582	-1.68378104807779	1	1	0.0160848185598941	0.0323538139478019	""	""	"CFL1/NRAS/PFN1/ARPC3/PIKFYVE/FGD3/ITGB2/ARPC1A/ITGAM/PAK1/ITGAX"	"PAK1/NRAS/ARPC3/PTK2/ARHGEF7/ARPC1A/PIKFYVE/ITGB2/ITGAX"
"hsa04911"	"Insulin secretion"	-1.59560241064954	0	0	-1.51239505686991	0.0418999836439635	1	1	0.0732984293193717	"PRKACA/CREB3/CREB3L4"	""	""	"CREB3L4/ADCY7/ITPR3"
"hsa04918"	"Thyroid hormone synthesis"	0	0	0	-1.50278428657259	1	1	1	0.0710526315789474	""	""	""	"CANX/TTF2/HSP90B1/CREB3L4/ADCY7/ITPR3"
"hsa04919"	"Thyroid hormone signaling pathway"	0	0	0	-1.49761827129115	1	1	1	0.0776789080715926	""	""	""	"ACTB/HDAC1/HDAC2/EP300/MAPK1/NCOR1/FOXO1/MED1/KAT2A/SIN3A/MED13/KAT2B/MED12L/NRAS/MTOR/PLCG1/RXRA"
"hsa04920"	"Adipocytokine signaling pathway"	0	0	-1.61704270802392	0	1	1	0.0461064517763378	1	""	""	"STAT3/NFKB1/PRKCQ/MTOR/PRKAA1/IRS2/PTPN11"	""
"hsa04922"	"Glucagon signaling pathway"	-1.52329610396197	0	-1.45465721472068	0	0.0488139072581925	1	0.0933333333333333	1	"PRMT1/PRKAA1/PRKAG1/PRKACA/CREB3/CREB3L4"	""	"PRMT1/PRKAA1/PRKACA/CALM1/CREB3"	""
"hsa04923"	"Regulation of lipolysis in adipocytes"	0	0	-2.07824764300174	0	1	1	0.0033042539265837	1	""	""	"PRKACA/IRS2/ADRB2/GNAI1/ADCY7"	""
"hsa04924"	"Renin secretion"	0	0	-1.79856019564364	0	1	1	0.0346244307302698	1	""	""	"PRKACA/ADRB2/GNAI1/CALM1"	""
"hsa04925"	"Aldosterone synthesis and secretion"	-1.59560241064954	0	-1.82598459022538	-1.51239505686991	0.0418999836439635	1	0.0230952866477454	0.0732984293193717	"PRKACA/CREB3/CREB3L4"	""	"PRKACA/CACNA1I/CALM1/ADCY7/CREB3"	"CREB3L4/ADCY7/ITPR3"
"hsa04927"	"Cortisol synthesis and secretion"	-1.59560241064954	0	-1.53166546383201	-1.51239505686991	0.0418999836439635	1	0.0491972625507961	0.0732984293193717	"PRKACA/CREB3/CREB3L4"	""	"PRKACA/CACNA1I/ADCY7/CREB3"	"CREB3L4/ADCY7/ITPR3"
