"Rownames"	"chr"	"start"	"end"	"Name"
"chr1:24065494-24076385"	"chr1:24065494-24076385"	"chr1"	24065494	24076385	""
"chr1:24102972-24113979"	"chr1:24102972-24113979"	"chr1"	24102972	24113979	"MYOM3"
"chr1:24190943-24206180"	"chr1:24190943-24206180"	"chr1"	24190943	24206180	"LOC284632"
"chr1:24742861-24745558"	"chr1:24742861-24745558"	"chr1"	24742861	24745558	"CLIC4"
"chr1:25549730-25582405"	"chr1:25549730-25582405"	"chr1"	25549730	25582405	""
"chr1:25869153-25874760"	"chr1:25869153-25874760"	"chr1"	25869153	25874760	"PAQR7"
"chr1:26179786-26191310"	"chr1:26179786-26191310"	"chr1"	26179786	26191310	"CATSPER4"
"chr1:26231727-26235442"	"chr1:26231727-26235442"	"chr1"	26231727	26235442	"CEP85"
"chr1:26322524-26326094"	"chr1:26322524-26326094"	"chr1"	26322524	26326094	""
"chr1:26370521-26381061"	"chr1:26370521-26381061"	"chr1"	26370521	26381061	"ZNF683"
"chr1:26499658-26520728"	"chr1:26499658-26520728"	"chr1"	26499658	26520728	""
"chr1:26554159-26561529"	"chr1:26554159-26561529"	"chr1"	26554159	26561529	"MIR1976"
"chr1:26643927-26645883"	"chr1:26643927-26645883"	"chr1"	26643927	26645883	""
"chr1:26690647-26702056"	"chr1:26690647-26702056"	"chr1"	26690647	26702056	"ARID1A;LOC101928728"
"chr1:26855141-26864507"	"chr1:26855141-26864507"	"chr1"	26855141	26864507	"SFN"
"chr1:27194265-27205526"	"chr1:27194265-27205526"	"chr1"	27194265	27205526	""
"chr1:27238067-27264637"	"chr1:27238067-27264637"	"chr1"	27238067	27264637	""
"chr1:27323391-27353252"	"chr1:27323391-27353252"	"chr1"	27323391	27353252	"SYTL1"
"chr1:27643559-27651232"	"chr1:27643559-27651232"	"chr1"	27643559	27651232	""
"chr1:27667759-27678358"	"chr1:27667759-27678358"	"chr1"	27667759	27678358	"IFI6"
"chr1:27680897-27713788"	"chr1:27680897-27713788"	"chr1"	27680897	27713788	""
"chr1:27814873-27820359"	"chr1:27814873-27820359"	"chr1"	27814873	27820359	""
"chr1:27992231-27997240"	"chr1:27992231-27997240"	"chr1"	27992231	27997240	""
"chr1:28184682-28203673"	"chr1:28184682-28203673"	"chr1"	28184682	28203673	"PTAFR"
"chr1:28238216-28248282"	"chr1:28238216-28248282"	"chr1"	28238216	28248282	""
"chr1:28251754-28264682"	"chr1:28251754-28264682"	"chr1"	28251754	28264682	"SESN2"
"chr1:28522952-28531626"	"chr1:28522952-28531626"	"chr1"	28522952	28531626	""
"chr1:28549095-28561123"	"chr1:28549095-28561123"	"chr1"	28549095	28561123	"TRNAU1AP"
"chr1:28584972-28592787"	"chr1:28584972-28592787"	"chr1"	28584972	28592787	"SNHG12;RAB42"
"chr1:28634750-28665666"	"chr1:28634750-28665666"	"chr1"	28634750	28665666	"LINC01715;TAF12;RNU11"
"chr1:28689801-28697667"	"chr1:28689801-28697667"	"chr1"	28689801	28697667	""
"chr1:28875368-28879982"	"chr1:28875368-28879982"	"chr1"	28875368	28879982	""
"chr1:28968733-28983358"	"chr1:28968733-28983358"	"chr1"	28968733	28983358	""
"chr1:28983359-29010293"	"chr1:28983359-29010293"	"chr1"	28983359	29010293	""
"chr1:29125292-29145455"	"chr1:29125292-29145455"	"chr1"	29125292	29145455	"TMEM200B"
"chr1:29210618-29232035"	"chr1:29210618-29232035"	"chr1"	29210618	29232035	"MECR"
"chr1:31405693-31421067"	"chr1:31405693-31421067"	"chr1"	31405693	31421067	"SERINC2"
"chr1:31810106-31826059"	"chr1:31810106-31826059"	"chr1"	31810106	31826059	"SPOCD1"
"chr1:32083124-32095490"	"chr1:32083124-32095490"	"chr1"	32083124	32095490	"MIR5585"
"chr1:32106422-32114565"	"chr1:32106422-32114565"	"chr1"	32106422	32114565	"KPNA6"
"chr1:32169227-32176336"	"chr1:32169227-32176336"	"chr1"	32169227	32176336	""
"chr1:32246460-32255318"	"chr1:32246460-32255318"	"chr1"	32246460	32255318	"FAM167B;LCK"
"chr1:32410371-32420906"	"chr1:32410371-32420906"	"chr1"	32410371	32420906	""
"chr1:32532669-32543686"	"chr1:32532669-32543686"	"chr1"	32532669	32543686	"ZBTB8A"
"chr1:32814703-32825453"	"chr1:32814703-32825453"	"chr1"	32814703	32825453	"S100PBP;YARS"
"chr1:33160962-33172003"	"chr1:33160962-33172003"	"chr1"	33160962	33172003	""
"chr1:33186314-33201416"	"chr1:33186314-33201416"	"chr1"	33186314	33201416	""
"chr1:33331971-33341230"	"chr1:33331971-33341230"	"chr1"	33331971	33341230	"MIR3605"
"chr1:33347783-33380941"	"chr1:33347783-33380941"	"chr1"	33347783	33380941	"LOC101929464"
"chr1:33427392-33431365"	"chr1:33427392-33431365"	"chr1"	33427392	33431365	"PHC2"
"chr1:36015399-36028658"	"chr1:36015399-36028658"	"chr1"	36015399	36028658	""
"chr1:36326423-36339124"	"chr1:36326423-36339124"	"chr1"	36326423	36339124	""
"chr1:36388376-36402530"	"chr1:36388376-36402530"	"chr1"	36388376	36402530	"LSM10"
"chr1:36612957-36628346"	"chr1:36612957-36628346"	"chr1"	36612957	36628346	""
"chr1:36771651-36800735"	"chr1:36771651-36800735"	"chr1"	36771651	36800735	""
"chr1:37494408-37508296"	"chr1:37494408-37508296"	"chr1"	37494408	37508296	"MIR5581"
"chr1:38469208-38479187"	"chr1:38469208-38479187"	"chr1"	38469208	38479187	"LINC01685"
"chr1:38860630-38862962"	"chr1:38860630-38862962"	"chr1"	38860630	38862962	"RRAGC"
"chr1:39720568-39724686"	"chr1:39720568-39724686"	"chr1"	39720568	39724686	""
"chr1:39950584-39970954"	"chr1:39950584-39970954"	"chr1"	39950584	39970954	"MFSD2A"
"chr1:40038583-40043308"	"chr1:40038583-40043308"	"chr1"	40038583	40043308	"CAP1"
"chr1:40237261-40256411"	"chr1:40237261-40256411"	"chr1"	40237261	40256411	"TMCO2;ZMPSTE24"
"chr1:40362537-40364674"	"chr1:40362537-40364674"	"chr1"	40362537	40364674	""
"chr1:40364675-40374228"	"chr1:40364675-40374228"	"chr1"	40364675	40374228	""
"chr1:40493568-40511069"	"chr1:40493568-40511069"	"chr1"	40493568	40511069	"EXO5"
"chr1:40560405-40564913"	"chr1:40560405-40564913"	"chr1"	40560405	40564913	""
"chr1:40764146-40786458"	"chr1:40764146-40786458"	"chr1"	40764146	40786458	"KCNQ4"
"chr1:40934539-40943649"	"chr1:40934539-40943649"	"chr1"	40934539	40943649	""
"chr1:41478445-41491742"	"chr1:41478445-41491742"	"chr1"	41478445	41491742	"EDN2"
"chr1:42493902-42508163"	"chr1:42493902-42508163"	"chr1"	42493902	42508163	""
"chr1:42844427-42849515"	"chr1:42844427-42849515"	"chr1"	42844427	42849515	"ZNF691"
"chr1:43449154-43467973"	"chr1:43449154-43467973"	"chr1"	43449154	43467973	"SZT2-AS1;HYI"
"chr1:43724149-43732826"	"chr1:43724149-43732826"	"chr1"	43724149	43732826	"LOC101929592"
"chr1:43733529-43747953"	"chr1:43733529-43747953"	"chr1"	43733529	43747953	""
"chr1:43850167-43855391"	"chr1:43850167-43855391"	"chr1"	43850167	43855391	""
"chr1:43976174-43992142"	"chr1:43976174-43992142"	"chr1"	43976174	43992142	"B4GALT2;CCDC24"
"chr1:44102900-44129113"	"chr1:44102900-44129113"	"chr1"	44102900	44129113	"KLF17"
"chr1:44172750-44176455"	"chr1:44172750-44176455"	"chr1"	44172750	44176455	""
"chr1:44190395-44205543"	"chr1:44190395-44205543"	"chr1"	44190395	44205543	""
"chr1:44395544-44403674"	"chr1:44395544-44403674"	"chr1"	44395544	44403674	"RNF220"
"chr1:44795296-44800009"	"chr1:44795296-44800009"	"chr1"	44795296	44800009	"PLK3"
"chr1:44815789-44830580"	"chr1:44815789-44830580"	"chr1"	44815789	44830580	""
"chr1:45301331-45310991"	"chr1:45301331-45310991"	"chr1"	45301331	45310991	"LINC01144;ZSWIM5"
"chr1:46040094-46049895"	"chr1:46040094-46049895"	"chr1"	46040094	46049895	""
"chr1:46134654-46154186"	"chr1:46134654-46154186"	"chr1"	46134654	46154186	"LOC101929626;PIK3R3"
"chr1:46212702-46240056"	"chr1:46212702-46240056"	"chr1"	46212702	46240056	"POMGNT1"
"chr1:46668482-46671826"	"chr1:46668482-46671826"	"chr1"	46668482	46671826	"TEX38"
"chr1:47012627-47024060"	"chr1:47012627-47024060"	"chr1"	47012627	47024060	"CYP4X1"
"chr1:47136539-47140305"	"chr1:47136539-47140305"	"chr1"	47136539	47140305	"CYP4A22"
"chr1:47183266-47194316"	"chr1:47183266-47194316"	"chr1"	47183266	47194316	"PDZK1IP1"
"chr1:47221502-47225844"	"chr1:47221502-47225844"	"chr1"	47221502	47225844	""
"chr1:47687948-47692986"	"chr1:47687948-47692986"	"chr1"	47687948	47692986	""
"chr1:48084329-48091149"	"chr1:48084329-48091149"	"chr1"	48084329	48091149	""
"chr1:51701618-51707979"	"chr1:51701618-51707979"	"chr1"	51701618	51707979	""
"chr1:51726697-51731761"	"chr1:51726697-51731761"	"chr1"	51726697	51731761	""
"chr1:51982259-51990648"	"chr1:51982259-51990648"	"chr1"	51982259	51990648	"RAB3B"
"chr1:51990649-52005457"	"chr1:51990649-52005457"	"chr1"	51990649	52005457	"RAB3B"
"chr1:52185140-52193145"	"chr1:52185140-52193145"	"chr1"	52185140	52193145	""
"chr1:52253627-52265528"	"chr1:52253627-52265528"	"chr1"	52253627	52265528	""
"chr1:52594995-52608450"	"chr1:52594995-52608450"	"chr1"	52594995	52608450	"GPX7"
"chr1:53058961-53070336"	"chr1:53058961-53070336"	"chr1"	53058961	53070336	"PODN"
"chr1:53685740-53689798"	"chr1:53685740-53689798"	"chr1"	53685740	53689798	""
"chr1:53724303-53755493"	"chr1:53724303-53755493"	"chr1"	53724303	53755493	"GLIS1"
"chr1:54141109-54157786"	"chr1:54141109-54157786"	"chr1"	54141109	54157786	"CDCP2"
"chr1:54199217-54200856"	"chr1:54199217-54200856"	"chr1"	54199217	54200856	"CYB5RL"
"chr1:54233734-54237814"	"chr1:54233734-54237814"	"chr1"	54233734	54237814	"SSBP3-AS1"
"chr1:54407561-54423841"	"chr1:54407561-54423841"	"chr1"	54407561	54423841	"SSBP3"
"chr1:54517645-54534602"	"chr1:54517645-54534602"	"chr1"	54517645	54534602	""
"chr1:54605965-54629016"	"chr1:54605965-54629016"	"chr1"	54605965	54629016	"FAM151A"
"chr1:54985504-54994167"	"chr1:54985504-54994167"	"chr1"	54985504	54994167	""
"chr1:55862440-55867207"	"chr1:55862440-55867207"	"chr1"	55862440	55867207	"LINC01755"
"chr1:62176341-62201390"	"chr1:62176341-62201390"	"chr1"	62176341	62201390	"L1TD1"
"chr1:62202974-62209823"	"chr1:62202974-62209823"	"chr1"	62202974	62209823	""
"chr1:62316768-62325111"	"chr1:62316768-62325111"	"chr1"	62316768	62325111	"KANK4"
"chr1:62777641-62791752"	"chr1:62777641-62791752"	"chr1"	62777641	62791752	"ATG4C"
"chr1:62901316-62904675"	"chr1:62901316-62904675"	"chr1"	62901316	62904675	""
"chr1:63247446-63250968"	"chr1:63247446-63250968"	"chr1"	63247446	63250968	""
"chr1:63769568-63792897"	"chr1:63769568-63792897"	"chr1"	63769568	63792897	"ROR1"
"chr1:65418968-65434119"	"chr1:65418968-65434119"	"chr1"	65418968	65434119	"LEPROT;LEPR"
"chr1:65481320-65492283"	"chr1:65481320-65492283"	"chr1"	65481320	65492283	""
"chr1:67264410-67275226"	"chr1:67264410-67275226"	"chr1"	67264410	67275226	""
"chr1:67517574-67533408"	"chr1:67517574-67533408"	"chr1"	67517574	67533408	""
"chr1:67661736-67663094"	"chr1:67661736-67663094"	"chr1"	67661736	67663094	""
"chr1:68516578-68525789"	"chr1:68516578-68525789"	"chr1"	68516578	68525789	""
"chr1:70030940-70036081"	"chr1:70030940-70036081"	"chr1"	70030940	70036081	""
"chr1:70701915-70704607"	"chr1:70701915-70704607"	"chr1"	70701915	70704607	"LINC01788"
"chr1:75122340-75143734"	"chr1:75122340-75143734"	"chr1"	75122340	75143734	"LHX8"
"chr1:76068563-76079386"	"chr1:76068563-76079386"	"chr1"	76068563	76079386	"ST6GALNAC3"
"chr1:77218708-77221473"	"chr1:77218708-77221473"	"chr1"	77218708	77221473	"PIGK"
"chr1:77683078-77686043"	"chr1:77683078-77686043"	"chr1"	77683078	77686043	"ZZZ3"
"chr1:77803300-77817351"	"chr1:77803300-77817351"	"chr1"	77803300	77817351	""
"chr1:77885731-77887379"	"chr1:77885731-77887379"	"chr1"	77885731	77887379	"NEXN"
"chr1:85154753-85156616"	"chr1:85154753-85156616"	"chr1"	85154753	85156616	""
"chr1:85460570-85465349"	"chr1:85460570-85465349"	"chr1"	85460570	85465349	""
"chr1:86927687-86935966"	"chr1:86927687-86935966"	"chr1"	86927687	86935966	""
"chr1:89145204-89151586"	"chr1:89145204-89151586"	"chr1"	89145204	89151586	"GBP2"
"chr1:89986570-90007785"	"chr1:89986570-90007785"	"chr1"	89986570	90007785	"ZNF326"
"chr1:92484501-92496508"	"chr1:92484501-92496508"	"chr1"	92484501	92496508	"GFI1"
"chr1:93446633-93461668"	"chr1:93446633-93461668"	"chr1"	93446633	93461668	"FNBP1L"
"chr1:93902865-93917539"	"chr1:93902865-93917539"	"chr1"	93902865	93917539	"GCLM"
"chr1:94739212-94755417"	"chr1:94739212-94755417"	"chr1"	94739212	94755417	"MIR378G"
"chr1:95277745-95286959"	"chr1:95277745-95286959"	"chr1"	95277745	95286959	""
"chr1:95317503-95322127"	"chr1:95317503-95322127"	"chr1"	95317503	95322127	"LINC01760"
"chr1:100249523-100251737"	"chr1:100249523-100251737"	"chr1"	100249523	100251737	"DBT"
"chr1:100634352-100646989"	"chr1:100634352-100646989"	"chr1"	100634352	100646989	""
"chr1:100713369-100722257"	"chr1:100713369-100722257"	"chr1"	100713369	100722257	"VCAM1"
"chr1:104064837-104072493"	"chr1:104064837-104072493"	"chr1"	104064837	104072493	"LOC100129138"
"chr1:108497627-108507082"	"chr1:108497627-108507082"	"chr1"	108497627	108507082	""
"chr1:108507083-108511712"	"chr1:108507083-108511712"	"chr1"	108507083	108511712	""
"chr1:108741258-108748408"	"chr1:108741258-108748408"	"chr1"	108741258	108748408	"STXBP3"
"chr1:109102497-109108895"	"chr1:109102497-109108895"	"chr1"	109102497	109108895	""
"chr1:109283997-109290654"	"chr1:109283997-109290654"	"chr1"	109283997	109290654	"PSRC1"
"chr1:109393600-109400548"	"chr1:109393600-109400548"	"chr1"	109393600	109400548	"SORT1"
"chr1:109407867-109428951"	"chr1:109407867-109428951"	"chr1"	109407867	109428951	"PSMA5"
"chr1:109496842-109513130"	"chr1:109496842-109513130"	"chr1"	109496842	109513130	"AMIGO1"
"chr1:109582829-109593398"	"chr1:109582829-109593398"	"chr1"	109582829	109593398	""
"chr1:109611323-109625093"	"chr1:109611323-109625093"	"chr1"	109611323	109625093	"AMPD2;GNAT2"
"chr1:109630623-109633960"	"chr1:109630623-109633960"	"chr1"	109630623	109633960	""
"chr1:109654432-109658005"	"chr1:109654432-109658005"	"chr1"	109654432	109658005	"GSTM4"
"chr1:109822236-109835489"	"chr1:109822236-109835489"	"chr1"	109822236	109835489	""
"chr1:110048306-110063044"	"chr1:110048306-110063044"	"chr1"	110048306	110063044	""
"chr1:110080432-110083450"	"chr1:110080432-110083450"	"chr1"	110080432	110083450	"LINC01397"
"chr1:110139726-110149332"	"chr1:110139726-110149332"	"chr1"	110139726	110149332	"SLC6A17"
"chr1:110149333-110166948"	"chr1:110149333-110166948"	"chr1"	110149333	110166948	"SLC6A17"
"chr1:110166949-110184247"	"chr1:110166949-110184247"	"chr1"	110166949	110184247	""
"chr1:110269914-110284845"	"chr1:110269914-110284845"	"chr1"	110269914	110284845	""
"chr1:110444689-110454787"	"chr1:110444689-110454787"	"chr1"	110444689	110454787	"PROK1"
"chr1:110651169-110659426"	"chr1:110651169-110659426"	"chr1"	110651169	110659426	""
"chr1:110750306-110770944"	"chr1:110750306-110770944"	"chr1"	110750306	110770944	""
"chr1:110943765-110952217"	"chr1:110943765-110952217"	"chr1"	110943765	110952217	""
"chr1:111504484-111507118"	"chr1:111504484-111507118"	"chr1"	111504484	111507118	"ADORA3"
"chr1:111990420-111993325"	"chr1:111990420-111993325"	"chr1"	111990420	111993325	"KCND3"
"chr1:112912343-112923372"	"chr1:112912343-112923372"	"chr1"	112912343	112923372	""
"chr1:113162604-113168347"	"chr1:113162604-113168347"	"chr1"	113162604	113168347	""
"chr1:114352796-114357761"	"chr1:114352796-114357761"	"chr1"	114352796	114357761	""
"chr1:114693170-114697537"	"chr1:114693170-114697537"	"chr1"	114693170	114697537	"AMPD1"
"chr1:116152799-116164974"	"chr1:116152799-116164974"	"chr1"	116152799	116164974	""
"chr1:116556336-116564878"	"chr1:116556336-116564878"	"chr1"	116556336	116564878	"MIR548AC"
"chr1:117208345-117212041"	"chr1:117208345-117212041"	"chr1"	117208345	117212041	"VTCN1"
"chr1:117212042-117217406"	"chr1:117212042-117217406"	"chr1"	117212042	117217406	"VTCN1"
"chr1:117602664-117607113"	"chr1:117602664-117607113"	"chr1"	117602664	117607113	"TENT5C;LOC100996263"
"chr1:119801290-119817300"	"chr1:119801290-119817300"	"chr1"	119801290	119817300	"REG4"
"chr1:120353123-120358399"	"chr1:120353123-120358399"	"chr1"	120353123	120358399	""
"chr1:120431471-120440812"	"chr1:120431471-120440812"	"chr1"	120431471	120440812	"PFN1P2"
"chr1:145427517-145441089"	"chr1:145427517-145441089"	"chr1"	145427517	145441089	""
"chr1:145451473-145470528"	"chr1:145451473-145470528"	"chr1"	145451473	145470528	""
"chr1:145472456-145477703"	"chr1:145472456-145477703"	"chr1"	145472456	145477703	""
"chr1:145503235-145513770"	"chr1:145503235-145513770"	"chr1"	145503235	145513770	""
