"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0060706"	"Cluster R"	"GO:0060706"	"cell differentiation involved in embryonic placenta development"	"3/286"	"18/10733"	0.0113558526541371	0.0113558526541371	0.857516976556332	"HAND1/HECTD1/NR2F2"	3
"GO:0001657"	"Cluster R"	"GO:0001657"	"ureteric bud development"	"6/286"	"72/10733"	0.0121972851994	0.0121972851994	0.857516976556332	"BMP7/FGF1/HOXA11/RET/SMAD4/SMAD6"	6
"GO:0010837"	"Cluster R"	"GO:0010837"	"regulation of keratinocyte proliferation"	"4/286"	"34/10733"	0.0122060653225523	0.0122060653225523	0.857516976556332	"IFT52/KLF9/MDK/VDR"	4
"GO:0072163"	"Cluster R"	"GO:0072163"	"mesonephric epithelium development"	"6/286"	"73/10733"	0.0130015513592035	0.0130015513592035	0.857516976556332	"BMP7/FGF1/HOXA11/RET/SMAD4/SMAD6"	6
"GO:0072164"	"Cluster R"	"GO:0072164"	"mesonephric tubule development"	"6/286"	"73/10733"	0.0130015513592035	0.0130015513592035	0.857516976556332	"BMP7/FGF1/HOXA11/RET/SMAD4/SMAD6"	6
"GO:0045830"	"Cluster R"	"GO:0045830"	"positive regulation of isotype switching"	"3/286"	"19/10733"	0.0132235948906588	0.0132235948906588	0.857516976556332	"MAD2L2/MLH1/PTPRC"	3
"GO:2000272"	"Cluster R"	"GO:2000272"	"negative regulation of signaling receptor activity"	"4/286"	"36/10733"	0.014875764117767	0.014875764117767	0.857516976556332	"ACE2/NCAPG2/PPARA/ZGPAT"	4
"GO:0007187"	"Cluster R"	"GO:0007187"	"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	"5/286"	"55/10733"	0.0152333346209363	0.0152333346209363	0.857516976556332	"CALCRL/CHRM2/DRD1/OPRD1/OR10J5"	5
"GO:0010839"	"Cluster R"	"GO:0010839"	"negative regulation of keratinocyte proliferation"	"3/286"	"20/10733"	0.0152559328218647	0.0152559328218647	0.857516976556332	"IFT52/KLF9/VDR"	3
"GO:0019082"	"Cluster R"	"GO:0019082"	"viral protein processing"	"3/286"	"20/10733"	0.0152559328218647	0.0152559328218647	0.857516976556332	"MGAT1/PARP10/ST3GAL4"	3
"GO:0001823"	"Cluster R"	"GO:0001823"	"mesonephros development"	"6/286"	"76/10733"	0.0156361984219289	0.0156361984219289	0.857516976556332	"BMP7/FGF1/HOXA11/RET/SMAD4/SMAD6"	6
"GO:0009612"	"Cluster R"	"GO:0009612"	"response to mechanical stimulus"	"9/286"	"146/10733"	0.0161258582765348	0.0161258582765348	0.857516976556332	"ANKRD23/CASP1/GCLC/IRF1/MAP3K1/MDK/NTRK1/STRC/TNFRSF1A"	9
"GO:0030325"	"Cluster R"	"GO:0030325"	"adrenal gland development"	"3/286"	"21/10733"	0.0174544335657666	0.0174544335657666	0.857516976556332	"MDK/NR0B1/SMAD4"	3
"GO:0007498"	"Cluster R"	"GO:0007498"	"mesoderm development"	"7/286"	"101/10733"	0.0181547957588339	0.0181547957588339	0.857516976556332	"ACVR2B/BMP7/HAND1/HOXA11/IRX3/LHX2/SMAD4"	7
"GO:0033135"	"Cluster R"	"GO:0033135"	"regulation of peptidyl-serine phosphorylation"	"7/286"	"101/10733"	0.0181547957588339	0.0181547957588339	0.857516976556332	"MAD2L2/NTRK2/OPRD1/RET/RPTOR/SPRY2/TCL1A"	7
"GO:0001654"	"Cluster R"	"GO:0001654"	"eye development"	"13/286"	"254/10733"	0.0185420970811366	0.0185420970811366	0.857516976556332	"ACVR2B/ATF6/BMP7/FOXE3/LHX2/NTRK2/PBX2/PDE6B/RET/SALL2/SMARCD3/SPRY2/ZHX2"	13
"GO:0150063"	"Cluster R"	"GO:0150063"	"visual system development"	"13/286"	"256/10733"	0.0196453571366236	0.0196453571366236	0.857516976556332	"ACVR2B/ATF6/BMP7/FOXE3/LHX2/NTRK2/PBX2/PDE6B/RET/SALL2/SMARCD3/SPRY2/ZHX2"	13
"GO:0030278"	"Cluster R"	"GO:0030278"	"regulation of ossification"	"6/286"	"80/10733"	0.0196946536117296	0.0196946536117296	0.857516976556332	"ACVR2B/BMP7/ECM1/MDK/SMAD6/VDR"	6
"GO:0098754"	"Cluster R"	"GO:0098754"	"detoxification"	"6/286"	"80/10733"	0.0196946536117296	0.0196946536117296	0.857516976556332	"ABCG2/BMP7/CLIC2/FANCC/HBQ1/MGST3"	6
"GO:0002755"	"Cluster R"	"GO:0002755"	"MyD88-dependent toll-like receptor signaling pathway"	"3/286"	"22/10733"	0.0198201594089979	0.0198201594089979	0.857516976556332	"IRAK2/IRAK4/IRF1"	3
"GO:0030279"	"Cluster R"	"GO:0030279"	"negative regulation of ossification"	"3/286"	"22/10733"	0.0198201594089979	0.0198201594089979	0.857516976556332	"ECM1/MDK/SMAD6"	3
"GO:0060561"	"Cluster R"	"GO:0060561"	"apoptotic process involved in morphogenesis"	"3/286"	"22/10733"	0.0198201594089979	0.0198201594089979	0.857516976556332	"BMP7/TNFRSF1A/VDR"	3
"GO:0071260"	"Cluster R"	"GO:0071260"	"cellular response to mechanical stimulus"	"5/286"	"59/10733"	0.0201296264231116	0.0201296264231116	0.857516976556332	"CASP1/GCLC/IRF1/MAP3K1/TNFRSF1A"	5
"GO:0098869"	"Cluster R"	"GO:0098869"	"cellular oxidant detoxification"	"5/286"	"59/10733"	0.0201296264231116	0.0201296264231116	0.857516976556332	"BMP7/CLIC2/FANCC/HBQ1/MGST3"	5
"GO:0048880"	"Cluster R"	"GO:0048880"	"sensory system development"	"13/286"	"258/10733"	0.0207973362499808	0.0207973362499808	0.857516976556332	"ACVR2B/ATF6/BMP7/FOXE3/LHX2/NTRK2/PBX2/PDE6B/RET/SALL2/SMARCD3/SPRY2/ZHX2"	13
"GO:0003158"	"Cluster R"	"GO:0003158"	"endothelium development"	"7/286"	"104/10733"	0.0209787336796952	0.0209787336796952	0.857516976556332	"ACVR2B/F2RL1/FGF1/FSTL1/NR2F2/SMAD4/TNFRSF1A"	7
"GO:0035107"	"Cluster R"	"GO:0035107"	"appendage morphogenesis"	"7/286"	"104/10733"	0.0209787336796952	0.0209787336796952	0.857516976556332	"BMP7/DLX5/EVX2/HOXA11/IFT52/PBX2/SMAD4"	7
"GO:0035108"	"Cluster R"	"GO:0035108"	"limb morphogenesis"	"7/286"	"104/10733"	0.0209787336796952	0.0209787336796952	0.857516976556332	"BMP7/DLX5/EVX2/HOXA11/IFT52/PBX2/SMAD4"	7
"GO:0043616"	"Cluster R"	"GO:0043616"	"keratinocyte proliferation"	"4/286"	"40/10733"	0.0212531402261434	0.0212531402261434	0.857516976556332	"IFT52/KLF9/MDK/VDR"	4
"GO:0009410"	"Cluster R"	"GO:0009410"	"response to xenobiotic stimulus"	"13/286"	"260/10733"	0.0219992569660934	0.0219992569660934	0.857516976556332	"AGPAT2/BLMH/DRD1/EMX2/GCLC/KCNH2/MAP2K6/MDK/NTRK1/RAD54L/REST/RET/RPTOR"	13
"GO:0061099"	"Cluster R"	"GO:0061099"	"negative regulation of protein tyrosine kinase activity"	"3/286"	"23/10733"	0.0223537013754379	0.0223537013754379	0.857516976556332	"NCAPG2/PTPRC/ZGPAT"	3
"GO:0051153"	"Cluster R"	"GO:0051153"	"regulation of striated muscle cell differentiation"	"5/286"	"61/10733"	0.0229234157576296	0.0229234157576296	0.857516976556332	"DMPK/MYF6/MYOD1/PPARA/SMAD4"	5
"GO:0072028"	"Cluster R"	"GO:0072028"	"nephron morphogenesis"	"5/286"	"61/10733"	0.0229234157576296	0.0229234157576296	0.857516976556332	"BMP7/FGF1/HOXA11/IRX3/SMAD4"	5
"GO:0060284"	"Cluster R"	"GO:0060284"	"regulation of cell development"	"17/286"	"376/10733"	0.023511575820847	0.023511575820847	0.857516976556332	"BMP7/CUL7/FEZF2/HOXA11/L1CAM/LHX2/MDK/MYF6/MYOD1/NTRK2/RASSF10/REST/RET/SEMA6A/SMAD4/SMARCD3/TNFRSF1A"	17
"GO:1901215"	"Cluster R"	"GO:1901215"	"negative regulation of neuron death"	"9/286"	"156/10733"	0.0237099053994076	0.0237099053994076	0.857516976556332	"DNAJC5/GCLC/MDK/NTRK1/NTRK2/PPARA/REST/THAP11/UNC5B"	9
"GO:0060041"	"Cluster R"	"GO:0060041"	"retina development in camera-type eye"	"7/286"	"107/10733"	0.024094852703374	0.024094852703374	0.857516976556332	"ACVR2B/LHX2/NTRK2/PDE6B/RET/SMARCD3/ZHX2"	7
"GO:0010657"	"Cluster R"	"GO:0010657"	"muscle cell apoptotic process"	"5/286"	"62/10733"	0.0244097651518126	0.0244097651518126	0.857516976556332	"BMP7/DMPK/GRIA4/MDK/SMAD4"	5
"GO:0045665"	"Cluster R"	"GO:0045665"	"negative regulation of neuron differentiation"	"5/286"	"62/10733"	0.0244097651518126	0.0244097651518126	0.857516976556332	"BMP7/FEZF2/IRX3/REST/ZHX2"	5
"GO:0001568"	"Cluster R"	"GO:0001568"	"blood vessel development"	"21/286"	"497/10733"	0.0247835863552125	0.0247835863552125	0.857516976556332	"ACVR2B/BMP7/CALCRL/CUL7/ECM1/ELK3/FGF1/HAND1/HECTD1/IL17F/MDK/NR2F2/NTRK2/OR10J5/PIK3CB/SAT1/SEMA6A/SH2D2A/SMAD6/SPRY2/UNC5B"	21
"GO:2000677"	"Cluster R"	"GO:2000677"	"regulation of transcription regulatory region DNA binding"	"4/286"	"42/10733"	0.0249818292345763	0.0249818292345763	0.857516976556332	"HAND1/LHX2/MAD2L2/ZNF593"	4
"GO:0006783"	"Cluster R"	"GO:0006783"	"heme biosynthetic process"	"3/286"	"24/10733"	0.0250552111701717	0.0250552111701717	0.857516976556332	"HMBS/IREB2/NFE2L1"	3
"GO:0010614"	"Cluster R"	"GO:0010614"	"negative regulation of cardiac muscle hypertrophy"	"3/286"	"24/10733"	0.0250552111701717	0.0250552111701717	0.857516976556332	"PPARA/SMAD4/TNFRSF1A"	3
"GO:0030509"	"Cluster R"	"GO:0030509"	"BMP signaling pathway"	"7/286"	"108/10733"	0.0252006786533308	0.0252006786533308	0.857516976556332	"ACVR2B/BMP7/DLX5/FSTL1/HIVEP1/SMAD4/SMAD6"	7
"GO:0072073"	"Cluster R"	"GO:0072073"	"kidney epithelium development"	"7/286"	"108/10733"	0.0252006786533308	0.0252006786533308	0.857516976556332	"BMP7/FGF1/HOXA11/IRX3/RET/SMAD4/SMAD6"	7
"GO:0030326"	"Cluster R"	"GO:0030326"	"embryonic limb morphogenesis"	"6/286"	"85/10733"	0.0257064418939274	0.0257064418939274	0.857516976556332	"BMP7/DLX5/HOXA11/IFT52/PBX2/SMAD4"	6
"GO:0035113"	"Cluster R"	"GO:0035113"	"embryonic appendage morphogenesis"	"6/286"	"85/10733"	0.0257064418939274	0.0257064418939274	0.857516976556332	"BMP7/DLX5/HOXA11/IFT52/PBX2/SMAD4"	6
"GO:0007423"	"Cluster R"	"GO:0007423"	"sensory organ development"	"17/286"	"380/10733"	0.0257098843532016	0.0257098843532016	0.857516976556332	"ACVR2B/ATF6/BMP7/DLX5/FOXE3/LHX2/LIN7A/NTRK2/PBX2/PDE6B/PRKRA/RET/SALL2/SMARCD3/SPRY2/STRC/ZHX2"	17
"GO:0009636"	"Cluster R"	"GO:0009636"	"response to toxic substance"	"8/286"	"134/10733"	0.0268158408309604	0.0268158408309604	0.857516976556332	"ABCG2/BLMH/BMP7/CLIC2/FANCC/HBQ1/MGST3/OPRD1"	8
"GO:0019362"	"Cluster R"	"GO:0019362"	"pyridine nucleotide metabolic process"	"4/286"	"43/10733"	0.0269847595913501	0.0269847595913501	0.857516976556332	"LDHB/ME2/PARP10/RPTOR"	4
"GO:0046496"	"Cluster R"	"GO:0046496"	"nicotinamide nucleotide metabolic process"	"4/286"	"43/10733"	0.0269847595913501	0.0269847595913501	0.857516976556332	"LDHB/ME2/PARP10/RPTOR"	4
"GO:0003211"	"Cluster R"	"GO:0003211"	"cardiac ventricle formation"	"2/286"	"10/10733"	0.0276473291914125	0.0276473291914125	0.857516976556332	"HAND1/SMARCD3"	2
"GO:0007183"	"Cluster R"	"GO:0007183"	"SMAD protein complex assembly"	"2/286"	"10/10733"	0.0276473291914125	0.0276473291914125	0.857516976556332	"SMAD4/SMAD6"	2
"GO:0021892"	"Cluster R"	"GO:0021892"	"cerebral cortex GABAergic interneuron differentiation"	"2/286"	"10/10733"	0.0276473291914125	0.0276473291914125	0.857516976556332	"DRD1/FEZF2"	2
"GO:0046501"	"Cluster R"	"GO:0046501"	"protoporphyrinogen IX metabolic process"	"2/286"	"10/10733"	0.0276473291914125	0.0276473291914125	0.857516976556332	"HMBS/IREB2"	2
"GO:0090336"	"Cluster R"	"GO:0090336"	"positive regulation of brown fat cell differentiation"	"2/286"	"10/10733"	0.0276473291914125	0.0276473291914125	0.857516976556332	"BMP7/SOX13"	2
"GO:1903671"	"Cluster R"	"GO:1903671"	"negative regulation of sprouting angiogenesis"	"2/286"	"10/10733"	0.0276473291914125	0.0276473291914125	0.857516976556332	"PIK3CB/SEMA6A"	2
"GO:2000347"	"Cluster R"	"GO:2000347"	"positive regulation of hepatocyte proliferation"	"2/286"	"10/10733"	0.0276473291914125	0.0276473291914125	0.857516976556332	"FGF1/MDK"	2
"GO:0035924"	"Cluster R"	"GO:0035924"	"cellular response to vascular endothelial growth factor stimulus"	"4/286"	"44/10733"	0.0290811100674771	0.0290811100674771	0.857516976556332	"CD63/PIK3CB/SEMA6A/SPRY2"	4
"GO:0007156"	"Cluster R"	"GO:0007156"	"homophilic cell adhesion via plasma membrane adhesion molecules"	"5/286"	"65/10733"	0.0292356136763109	0.0292356136763109	0.857516976556332	"AMIGO2/L1CAM/PCDH1/PIK3CB/RET"	5
"GO:0071363"	"Cluster R"	"GO:0071363"	"cellular response to growth factor stimulus"	"20/286"	"478/10733"	0.0307098462495334	0.0307098462495334	0.857516976556332	"ACVR2B/BMP7/CD63/DLX5/FGF1/FGF22/FSTL1/GCLC/HIVEP1/IL17F/ING1/NTRK1/NTRK2/OPRD1/PIK3CB/PPARA/SEMA6A/SMAD4/SMAD6/SPRY2"	20
"GO:0003156"	"Cluster R"	"GO:0003156"	"regulation of animal organ formation"	"3/286"	"26/10733"	0.0309607252992279	0.0309607252992279	0.857516976556332	"BMP7/FGF1/HOXA11"	3
"GO:0014741"	"Cluster R"	"GO:0014741"	"negative regulation of muscle hypertrophy"	"3/286"	"26/10733"	0.0309607252992279	0.0309607252992279	0.857516976556332	"PPARA/SMAD4/TNFRSF1A"	3
"GO:0043524"	"Cluster R"	"GO:0043524"	"negative regulation of neuron apoptotic process"	"7/286"	"113/10733"	0.0312526946507994	0.0312526946507994	0.857516976556332	"DNAJC5/GCLC/MDK/NTRK1/NTRK2/THAP11/UNC5B"	7
"GO:0045446"	"Cluster R"	"GO:0045446"	"endothelial cell differentiation"	"6/286"	"89/10733"	0.0313138624690853	0.0313138624690853	0.857516976556332	"ACVR2B/F2RL1/FSTL1/NR2F2/SMAD4/TNFRSF1A"	6
"GO:0003012"	"Cluster R"	"GO:0003012"	"muscle system process"	"13/286"	"274/10733"	0.0319110504757413	0.0319110504757413	0.857516976556332	"ACE2/CALCRL/CHRM2/CLIC2/DMPK/DRD1/KCNH2/MAP2K6/MYH11/MYOD1/PPARA/SMAD4/TNFRSF1A"	13
"GO:0071772"	"Cluster R"	"GO:0071772"	"response to BMP"	"7/286"	"114/10733"	0.0325704784230972	0.0325704784230972	0.857516976556332	"ACVR2B/BMP7/DLX5/FSTL1/HIVEP1/SMAD4/SMAD6"	7
"GO:0071773"	"Cluster R"	"GO:0071773"	"cellular response to BMP stimulus"	"7/286"	"114/10733"	0.0325704784230972	0.0325704784230972	0.857516976556332	"ACVR2B/BMP7/DLX5/FSTL1/HIVEP1/SMAD4/SMAD6"	7
"GO:0090287"	"Cluster R"	"GO:0090287"	"regulation of cellular response to growth factor stimulus"	"11/286"	"219/10733"	0.0326245739429183	0.0326245739429183	0.857516976556332	"CD63/FGF1/FSTL1/IL17F/ING1/PIK3CB/PPARA/SEMA6A/SMAD4/SMAD6/SPRY2"	11
"GO:0001656"	"Cluster R"	"GO:0001656"	"metanephros development"	"5/286"	"67/10733"	0.0327650007543624	0.0327650007543624	0.857516976556332	"BMP7/HOXA11/IRX3/RET/SMAD4"	5
"GO:1901890"	"Cluster R"	"GO:1901890"	"positive regulation of cell junction assembly"	"5/286"	"67/10733"	0.0327650007543624	0.0327650007543624	0.857516976556332	"ACE2/AMIGO2/IRX3/NTRK1/NTRK2"	5
"GO:0090092"	"Cluster R"	"GO:0090092"	"regulation of transmembrane receptor protein serine/threonine kinase signaling pathway"	"10/286"	"192/10733"	0.032837698440063	0.032837698440063	0.857516976556332	"ACVR2B/BMP7/FSTL1/IL17F/ING1/NOMO1/PPARA/SMAD4/SMAD6/SPRY2"	10
"GO:0021978"	"Cluster R"	"GO:0021978"	"telencephalon regionalization"	"2/286"	"11/10733"	0.0332055023162669	0.0332055023162669	0.857516976556332	"EMX2/LHX2"	2
"GO:0046643"	"Cluster R"	"GO:0046643"	"regulation of gamma-delta T cell activation"	"2/286"	"11/10733"	0.0332055023162669	0.0332055023162669	0.857516976556332	"PTPRC/SOX13"	2
"GO:0070493"	"Cluster R"	"GO:0070493"	"thrombin-activated receptor signaling pathway"	"2/286"	"11/10733"	0.0332055023162669	0.0332055023162669	0.857516976556332	"F2RL1/STMN1"	2
"GO:0072075"	"Cluster R"	"GO:0072075"	"metanephric mesenchyme development"	"2/286"	"11/10733"	0.0332055023162669	0.0332055023162669	0.857516976556332	"BMP7/SMAD4"	2
"GO:0060135"	"Cluster R"	"GO:0060135"	"maternal process involved in female pregnancy"	"4/286"	"46/10733"	0.0335564229126923	0.0335564229126923	0.857516976556332	"ACE2/DAZAP1/NR2F2/VDR"	4
"GO:2000179"	"Cluster R"	"GO:2000179"	"positive regulation of neural precursor cell proliferation"	"4/286"	"46/10733"	0.0335564229126923	0.0335564229126923	0.857516976556332	"LHX2/MDK/RASSF10/SMARCD3"	4
"GO:0001893"	"Cluster R"	"GO:0001893"	"maternal placenta development"	"3/286"	"27/10733"	0.0341631025317394	0.0341631025317394	0.857516976556332	"DAZAP1/NR2F2/VDR"	3
"GO:0006779"	"Cluster R"	"GO:0006779"	"porphyrin-containing compound biosynthetic process"	"3/286"	"27/10733"	0.0341631025317394	0.0341631025317394	0.857516976556332	"HMBS/IREB2/NFE2L1"	3
"GO:0010830"	"Cluster R"	"GO:0010830"	"regulation of myotube differentiation"	"3/286"	"27/10733"	0.0341631025317394	0.0341631025317394	0.857516976556332	"DMPK/MYF6/MYOD1"	3
"GO:0033014"	"Cluster R"	"GO:0033014"	"tetrapyrrole biosynthetic process"	"3/286"	"27/10733"	0.0341631025317394	0.0341631025317394	0.857516976556332	"HMBS/IREB2/NFE2L1"	3
"GO:0001841"	"Cluster R"	"GO:0001841"	"neural tube formation"	"6/286"	"91/10733"	0.0343949080617674	0.0343949080617674	0.857516976556332	"BMP7/CLUAP1/HECTD1/IFT52/LHX2/MTHFD1"	6
"GO:0043392"	"Cluster R"	"GO:0043392"	"negative regulation of DNA binding"	"4/286"	"47/10733"	0.0359362611589349	0.0359362611589349	0.857516976556332	"HAND1/LHX2/MAD2L2/ZNF593"	4
"GO:0043433"	"Cluster R"	"GO:0043433"	"negative regulation of DNA-binding transcription factor activity"	"8/286"	"142/10733"	0.0360936724712441	0.0360936724712441	0.857516976556332	"BMP7/COMMD6/HAND1/IRAK2/MAD2L2/NR0B1/PARP10/SIGIRR"	8
"GO:1903670"	"Cluster R"	"GO:1903670"	"regulation of sprouting angiogenesis"	"3/286"	"28/10733"	0.0375302469485173	0.0375302469485173	0.857516976556332	"FGF1/PIK3CB/SEMA6A"	3
"GO:0051100"	"Cluster R"	"GO:0051100"	"negative regulation of binding"	"7/286"	"118/10733"	0.0382116196715916	0.0382116196715916	0.857516976556332	"HAND1/LHX2/MAD2L2/MYOD1/PPARA/TDG/ZNF593"	7
"GO:0051896"	"Cluster R"	"GO:0051896"	"regulation of protein kinase B signaling"	"7/286"	"118/10733"	0.0382116196715916	0.0382116196715916	0.857516976556332	"NTRK1/NTRK2/PIK3CB/PPARA/RET/SPRY2/TSPYL5"	7
